School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Princeton,27,16,11,.593,0.29,-2.60,10,4,7,4,7,7,1795,1677,.323,.454,.577,49.0,64.4,3.5,.554,17.0,.223
Providence,32,18,14,.563,11.64,7.82,8,8,13,5,4,8,2284,2162,.348,.338,.536,49.6,59.8,9.7,.489,17.8,.271
Purdue,30,19,11,.633,15.95,9.42,10,6,14,1,3,6,2156,1960,.462,.285,.540,49.6,50.3,5.2,.484,17.1,.347
Quinnipiac,29,17,12,.586,-7.88,-8.56,10,8,8,4,7,8,2139,2096,.375,.316,.540,49.4,62.9,4.6,.508,18.7,.256
Radford,30,10,20,.333,-19.20,-9.24,6,8,6,5,4,14,1893,2202,.363,.324,.466,46.5,43.3,5.8,.424,17.5,.244
Rhode Island,31,19,12,.613,3.51,3.35,9,7,13,5,6,7,2163,2158,.386,.296,.482,50.5,54.6,4.3,.442,15.7,.257
Rice,29,19,10,.655,3.29,0.89,11,7,13,2,6,7,2159,2019,.389,.292,.565,50.7,61.2,5.9,.526,20.0,.287
Richmond,29,15,14,.517,6.19,3.50,9,7,10,5,5,7,1889,1811,.340,.355,.508,48.3,57.2,7.5,.471,15.9,.239
Rider,28,12,16,.429,-5.20,-3.60,7,11,8,6,4,9,1875,1920,.296,.403,.515,48.0,55.5,6.2,.479,17.0,.217
Robert Morris,27,10,17,.370,-13.04,-9.20,7,11,6,5,4,12,1912,1997,.339,.357,.564,47.7,46.4,3.7,.533,17.8,.245
Rutgers,28,12,16,.429,5.09,6.45,4,12,10,6,2,10,1894,1932,.321,.328,.482,48.4,51.9,9.8,.450,16.3,.211
Sacramento State,29,12,17,.414,-10.02,-1.84,5,9,6,6,6,11,1894,2088,.377,.335,.498,46.8,56.8,5.5,.461,20.2,.254
Sacred Heart,29,8,21,.276,-15.73,-7.27,6,12,4,8,4,11,2007,2231,.238,.289,.492,46.6,51.8,3.8,.463,18.3,.167
Saint Francis (PA),28,14,14,.500,-9.90,-8.37,10,8,9,4,5,9,1912,1955,.355,.306,.523,47.3,55.4,4.1,.490,19.2,.242
Saint Joseph's,30,23,7,.767,14.61,3.71,12,4,11,1,9,5,2111,1784,.376,.402,.547,49.9,57.5,10.1,.516,16.7,.258
Saint Louis,30,16,14,.533,6.84,6.88,9,7,11,5,4,8,1821,1822,.345,.326,.515,47.4,56.0,5.0,.486,15.6,.226
Saint Mary's (CA),30,15,15,.500,1.94,0.84,6,8,9,6,3,8,2001,1924,.488,.294,.548,51.4,52.3,6.9,.504,21.7,.344
Saint Peter's,29,10,19,.345,-7.52,-2.97,6,12,6,6,3,9,2132,2264,.279,.316,.505,48.2,47.6,6.7,.473,17.0,.198
Sam Houston State,30,23,7,.767,-1.65,-6.87,17,3,16,0,7,5,2185,1951,.424,.331,.556,51.3,66.8,10.1,.518,19.5,.299
Samford,28,13,15,.464,-5.67,-3.86,9,7,9,3,4,11,1793,1833,.309,.522,.597,49.0,72.8,2.9,.570,21.9,.228
San Diego State,30,16,14,.533,5.11,4.14,6,8,11,6,5,8,2145,2087,.349,.310,.542,53.8,55.4,5.3,.514,18.6,.237
San Diego,30,18,12,.600,5.46,2.74,10,4,9,5,9,6,2265,2143,.485,.341,.566,53.5,64.8,5.6,.535,21.1,.323
San Francisco,29,15,14,.517,2.07,1.43,9,5,9,5,5,9,2018,1986,.312,.330,.558,49.6,55.7,3.4,.528,18.0,.225
San Jose State,28,7,21,.250,-8.81,0.23,4,14,5,8,2,12,1841,2033,.327,.216,.486,48.2,53.6,2.0,.460,17.3,.203
Santa Clara,28,13,15,.464,-4.59,-0.11,4,10,8,7,5,7,1827,1925,.371,.326,.513,52.8,54.0,3.4,.478,19.3,.251
Savannah State,27,3,24,.111,-25.57,-7.49,2,8,1,16,1661,2123,.285,.258,.433,46.6,42.5,6.0,.406,21.5,.171
Seton Hall,30,17,13,.567,9.66,8.20,10,6,13,3,3,8,2029,1985,.360,.263,.512,51.0,54.2,6.1,.474,18.4,.249
Siena,32,21,11,.656,2.68,-1.79,12,6,11,6,8,4,2395,2252,.439,.291,.532,54.3,56.6,6.2,.485,18.3,.314
South Alabama,28,14,14,.500,0.52,2.16,7,8,11,3,3,10,2044,1999,.316,.371,.540,46.4,49.5,2.1,.511,16.1,.221
South Carolina State,31,20,11,.645,-9.20,-10.14,15,3,8,2,9,7,2238,2209,.465,.288,.545,51.0,41.3,5.0,.502,22.7,.325
South Carolina,28,12,16,.429,7.39,8.96,5,11,11,4,1,11,1839,1883,.325,.306,.500,47.5,57.8,6.1,.467,16.9,.222
South Florida,29,15,14,.517,4.20,4.52,7,9,13,2,1,11,2001,1971,.319,.311,.512,49.8,62.4,7.8,.488,18.4,.203
Southeast Missouri State,30,11,19,.367,-8.36,-3.18,5,11,7,6,3,12,2149,2253,.289,.308,.550,49.5,68.1,3.7,.519,17.2,.212
Southeastern Louisiana,27,11,16,.407,-10.77,-5.41,9,11,8,5,3,11,1775,1839,.357,.373,.499,47.9,55.4,3.1,.463,17.3,.242
Southern California,30,13,17,.433,7.25,7.28,6,12,8,6,3,9,2295,2297,.324,.289,.500,50.3,49.6,5.9,.464,16.3,.227
Southern Illinois,31,24,7,.774,8.57,2.37,16,2,14,0,8,5,2307,2115,.335,.274,.553,49.1,50.8,5.8,.523,15.7,.234
Southern Methodist,30,17,13,.567,1.76,1.76,11,7,10,3,5,9,2185,2185,.422,.313,.526,50.5,51.6,8.3,.482,18.6,.300
Southern Mississippi,29,13,16,.448,0.61,3.85,5,11,11,4,0,11,1939,2033,.419,.250,.493,51.1,56.4,5.9,.447,18.5,.288
Southern Utah,28,11,17,.393,-9.40,-3.60,5,9,8,5,2,11,1899,1978,.360,.309,.567,47.1,56.5,5.9,.538,20.3,.253
