School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,32,16,16,.500,2.71,3.31,6,10,12,5,3,11,2074,2082,62.5,102.5,.387,.367,.572,45.3,68.4,9.9,8.7,.540,17.5,20.4,.273
Akron,36,23,13,.639,2.15,-1.02,9,7,14,2,5,9,2524,2365,67.0,102.9,.313,.379,.530,47.9,58.3,9.8,9.2,.499,15.4,28.3,.220
Alabama A&M,28,13,15,.464,-15.19,-11.75,10,8,9,4,4,10,1808,1870,71.6,89.8,.418,.272,.472,48.8,53.6,11.6,13.1,.435,18.8,31.7,.261
Alabama-Birmingham,31,22,9,.710,8.55,2.78,12,4,13,2,8,5,2119,1940,63.1,105.7,.297,.405,.538,51.7,55.6,8.2,8.2,.508,16.4,33.4,.213
Alabama State,35,17,18,.486,-13.37,-10.31,11,7,10,3,4,14,2146,2234,66.5,91.5,.473,.317,.476,50.7,55.5,10.9,13.1,.440,19.6,35.7,.285
Alabama,37,25,12,.676,11.70,4.27,12,4,19,0,4,6,2473,2198,65.3,101.6,.316,.247,.520,52.0,48.8,14.4,14.2,.487,17.8,36.8,.223
Albany (NY),32,16,16,.500,-7.05,-5.96,9,7,7,6,7,8,2013,2048,61.0,101.1,.297,.369,.517,51.7,51.1,7.5,8.3,.494,17.4,35.1,.192
Alcorn State,28,4,24,.143,-23.02,-8.02,4,14,2,7,2,17,1838,2258,77.6,84.2,.469,.216,.452,43.5,41.5,10.0,8.3,.404,18.9,25.5,.297
American,31,22,9,.710,-3.13,-5.64,11,3,10,3,10,5,2051,1973,61.9,105.2,.375,.348,.543,52.4,60.1,6.5,7.6,.506,15.5,29.8,.269
Appalachian State,31,16,15,.516,-4.81,-2.95,10,8,9,3,6,8,2265,2269,68.9,105.6,.399,.335,.548,49.9,41.4,8.3,7.2,.511,16.3,30.4,.281
Arizona State,31,12,19,.387,4.30,7.20,4,14,8,7,2,10,1983,2073,64.4,99.0,.290,.409,.521,47.3,64.4,9.8,10.9,.501,16.6,27.7,.182
Arizona,38,30,8,.789,16.54,7.99,14,4,17,0,7,4,2905,2580,66.9,112.8,.436,.361,.583,53.1,55.3,7.7,6.5,.541,16.3,34.0,.325
Little Rock,36,19,17,.528,-4.32,-2.97,7,9,10,5,3,10,2457,2426,65.4,103.3,.423,.317,.528,48.9,52.5,8.9,7.4,.488,15.5,29.9,.292
Arkansas-Pine Bluff,31,7,24,.226,-20.00,-8.03,7,11,5,4,2,19,1850,2221,68.4,86.2,.401,.345,.483,46.7,56.9,10.9,6.4,.449,21.3,26.9,.252
Arkansas State,32,17,15,.531,-3.38,-3.31,11,5,13,0,4,10,2188,2066,65.6,103.8,.435,.294,.526,53.4,48.7,9.6,8.5,.481,16.7,35.9,.308
Arkansas,31,18,13,.581,6.28,2.34,7,9,15,3,2,7,2191,2069,67.7,102.8,.394,.325,.532,48.0,49.3,10.6,13.9,.495,16.6,30.7,.274
Army,30,11,19,.367,-10.71,-6.58,3,11,4,8,7,10,2038,2141,68.2,99.6,.298,.426,.525,48.8,57.0,8.3,5.1,.493,17.9,30.1,.212
Auburn,31,11,20,.355,-2.47,2.40,4,12,9,11,2,7,1933,2051,65.7,93.8,.391,.274,.481,49.4,51.7,11.7,10.8,.442,18.0,33.8,.257
Austin Peay,34,20,14,.588,-0.15,-3.77,13,5,10,3,8,9,2510,2279,68.6,105.4,.394,.264,.539,50.8,53.8,12.3,11.3,.506,17.2,35.6,.268
Ball State,32,19,13,.594,-0.70,-3.40,10,6,11,3,6,9,2164,2049,64.7,103.3,.504,.273,.538,50.3,60.2,9.2,5.5,.492,17.1,32.2,.349
Baylor,31,18,13,.581,10.00,4.80,7,9,15,3,2,6,2154,1984,66.5,104.0,.432,.293,.552,53.3,48.5,10.5,11.9,.515,20.0,36.6,.300
Belmont,35,30,5,.857,13.07,-4.42,19,1,12,0,12,4,2790,2178,69.2,114.3,.382,.422,.577,52.5,60.9,13.9,9.7,.542,16.6,37.4,.281
Bethune-Cookman,34,21,13,.618,-11.11,-8.04,13,3,11,3,9,7,2241,2240,63.5,101.6,.396,.244,.520,49.7,49.4,11.0,7.6,.477,16.1,32.4,.281
Binghamton,31,8,23,.258,-13.81,-5.35,4,12,3,10,4,12,1861,2123,61.6,96.7,.283,.402,.500,46.2,51.9,8.2,9.0,.468,17.1,30.0,.199
Boise State,35,22,13,.629,5.48,0.01,10,6,12,4,9,7,2594,2382,68.2,106.4,.419,.344,.540,50.4,51.3,12.4,8.0,.497,15.0,31.6,.302
Boston College,34,21,13,.618,9.78,7.31,9,7,12,5,5,6,2440,2356,64.1,111.9,.315,.433,.573,49.4,60.4,7.7,6.8,.545,15.0,30.4,.228
Boston University,35,21,14,.600,-2.48,-3.85,12,4,12,2,4,10,2270,2222,62.7,103.0,.373,.401,.517,50.2,46.1,8.6,10.5,.473,16.0,34.0,.272
Bowling Green State,33,14,19,.424,-5.94,-2.03,8,8,10,5,4,11,2116,2215,66.1,95.9,.305,.264,.497,48.1,56.0,12.8,9.6,.471,17.3,30.5,.196
Bradley,32,12,20,.375,-1.52,1.67,4,14,8,8,2,10,2076,2164,65.9,98.0,.333,.272,.512,48.3,50.0,9.5,7.4,.473,16.1,26.8,.240
Brigham Young,37,32,5,.865,18.65,5.76,14,2,13,1,10,1,3012,2512,71.1,113.4,.382,.382,.562,51.9,52.8,11.2,9.9,.518,13.1,31.2,.292
Brown,28,11,17,.393,-7.27,-4.12,4,10,8,5,3,12,2002,2054,69.5,102.5,.356,.389,.546,48.5,58.0,7.5,6.6,.506,15.8,23.3,.266
Bryant,30,9,21,.300,-12.98,-3.12,7,11,5,8,3,12,2001,2258,66.8,98.7,.319,.400,.516,47.0,56.8,8.2,7.6,.490,17.4,29.2,.208
Bucknell,34,25,9,.735,2.39,-3.87,13,1,14,1,10,6,2387,2174,66.1,105.9,.341,.315,.554,49.7,59.4,7.1,8.9,.509,15.0,25.2,.269
Buffalo,34,20,14,.588,2.93,-2.22,8,8,13,3,7,10,2399,2197,67.0,104.6,.359,.294,.550,52.5,54.4,11.7,14.3,.527,19.4,37.1,.233
Butler,38,28,10,.737,11.53,5.02,13,5,12,2,7,6,2707,2437,64.5,109.0,.377,.387,.541,52.3,49.2,9.1,4.7,.501,14.3,33.2,.273
Cal Poly,30,15,15,.500,-1.84,-2.39,10,6,7,5,8,9,1779,1766,61.4,96.1,.372,.393,.487,50.0,55.7,9.8,6.4,.450,16.3,32.7,.247
Cal State Bakersfield,28,9,19,.321,-11.44,-2.16,7,8,2,11,1907,2167,69.6,96.9,.360,.329,.490,46.5,50.1,10.4,7.7,.450,16.4,31.8,.248
Cal State Fullerton,31,11,20,.355,-7.68,-2.81,7,9,7,5,4,12,2208,2326,68.4,103.8,.420,.322,.549,49.7,52.3,7.6,4.3,.508,17.9,31.4,.302
Cal State Northridge,32,14,18,.438,-5.35,-1.55,9,7,7,5,5,10,2232,2280,70.0,99.6,.475,.314,.528,50.4,54.1,9.3,10.6,.487,19.2,33.0,.320
