School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Abilene Christian,31,11,20,.355,-19.60,-4.12,2,12,9,5,0,14,2214,2228,,67.7,104.2,.400,.360,.559,50.2,54.5,10.4,6.5,.515,18.6,30.4,.300,-23.35,94.0,117.3,63.2,-.045,-2.67,104.7,107.4,+13.38
Air Force,30,12,18,.400,-4.08,1.71,6,12,8,9,3,8,1980,2074,,65.4,100.1,.377,.418,.538,48.8,61.7,8.3,9.9,.504,17.9,26.7,.260,-7.00,99.6,106.6,63.6,+.056,+0.57,105.4,104.8,-9.12
Akron,34,21,13,.618,1.16,-0.48,12,6,13,2,6,8,2332,2276,,65.5,103.6,.404,.372,.527,51.0,47.6,10.0,10.5,.503,16.8,35.2,.252,+2.10,105.0,102.9,64.0,+.073,-0.80,103.7,104.5,+0.10
Alabama,32,13,19,.406,8.34,8.88,7,11,13,4,0,11,2170,2150,,64.4,104.0,.442,.328,.537,48.5,47.4,10.5,11.8,.499,15.8,30.4,.303,+8.54,107.8,99.2,62.0,-.091,+9.14,110.3,101.2,+5.93
Alabama A&M,30,14,16,.467,-13.86,-10.58,10,8,7,4,5,11,1936,2010,,66.5,95.9,.421,.350,.504,47.1,57.9,9.3,11.0,.467,17.1,28.1,.276,-13.83,92.0,105.8,64.3,+.025,-10.94,98.7,109.7,+4.90
Alabama State,32,19,13,.594,-12.84,-11.40,12,6,13,1,5,10,2265,2225,,68.1,102.3,.395,.323,.504,49.5,52.4,9.8,9.2,.465,14.4,33.6,.267,-13.22,97.3,110.5,65.9,+.096,-12.01,97.5,109.5,-4.44
Alabama-Birmingham,31,18,13,.581,0.78,-0.77,7,9,12,5,5,5,2266,2180,,69.4,104.0,.402,.274,.496,55.0,49.0,7.8,9.9,.458,15.0,40.1,.265,-1.04,102.9,103.9,61.6,+.002,-5.12,101.5,106.6,+0.91
Albany (NY),34,19,15,.559,-3.31,-5.22,9,7,10,3,7,11,2239,2174,,63.0,103.3,.420,.261,.539,52.5,49.2,8.5,8.6,.488,17.1,31.9,.315,-16.47,93.4,109.8,62.0,-.013,-9.32,99.5,108.9,+6.45
Alcorn State,31,12,19,.387,-15.95,-9.27,9,9,9,3,2,13,1985,2101,,64.8,96.8,.427,.271,.498,47.3,40.8,9.0,10.0,.459,15.1,29.3,.279,+4.57,103.4,98.9,59.7,+.007,-2.59,103.6,106.2,-0.10
American,33,20,13,.606,0.69,-3.25,13,5,11,3,9,9,2081,1951,,60.7,103.4,.350,.358,.584,50.6,65.8,9.8,9.9,.558,20.7,26.5,.248,-18.63,92.0,110.7,64.7,-.033,-7.65,102.0,109.7,+3.40
