School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Longwood,33,8,25,.242,-19.36,-5.10,4,12,4,9,2,14,2270,2687,72.4,94.7,.312,.276,.521,45.5,54.6,9.4,6.7,.487,20.1,29.8,.222
Louisiana,33,13,20,.394,-4.92,-2.23,8,12,10,5,2,14,2337,2413,71.0,98.6,.352,.343,.517,44.3,44.4,9.9,9.2,.486,17.1,29.1,.236
Louisiana-Monroe,27,4,23,.148,-13.97,-1.45,3,17,3,9,1,13,1621,1959,66.9,88.9,.315,.328,.500,43.2,61.0,10.6,3.9,.484,21.3,27.3,.182
Louisiana State,31,19,12,.613,5.82,4.01,9,9,14,3,4,8,2194,2138,69.0,100.9,.334,.358,.515,47.5,56.1,13.0,9.7,.492,17.3,34.4,.209
Louisiana Tech,34,27,7,.794,5.48,-2.06,16,2,14,0,11,6,2470,2151,70.6,103.0,.345,.376,.507,47.3,53.0,12.9,12.3,.470,14.7,34.5,.240
Louisville,40,35,5,.875,24.81,9.13,14,4,15,1,8,3,2978,2351,66.4,110.3,.400,.300,.544,51.1,55.7,15.9,12.1,.506,15.3,38.2,.283
Loyola (IL),31,15,16,.484,-1.03,-2.30,5,11,8,6,6,9,1995,1934,63.1,101.6,.347,.318,.540,49.0,60.7,8.0,7.4,.504,18.1,30.6,.249
Loyola Marymount,34,11,23,.324,-3.04,2.86,1,15,5,9,2,12,2202,2338,66.0,97.0,.346,.313,.494,47.9,47.7,10.8,7.1,.453,16.8,33.4,.243
Loyola (MD),35,23,12,.657,1.33,-2.10,12,6,13,3,7,8,2341,2221,63.9,103.2,.410,.256,.511,47.9,51.1,11.0,11.9,.469,15.4,37.0,.282
Maine,30,11,19,.367,-9.57,-4.12,6,10,8,4,3,15,1988,2091,69.1,95.9,.331,.314,.509,48.0,52.4,10.1,10.3,.480,18.7,30.6,.217
Manhattan,32,14,18,.438,-1.97,-0.38,9,9,7,4,5,11,1865,1916,62.5,92.5,.458,.357,.509,47.0,55.5,10.5,13.0,.468,22.0,31.8,.303
Marist,31,10,21,.323,-6.34,-1.63,6,12,6,7,3,11,2045,2191,67.8,96.1,.396,.341,.515,44.9,55.8,9.1,10.2,.484,18.3,27.0,.256
Marquette,35,26,9,.743,14.04,8.58,14,4,16,0,5,6,2382,2191,63.4,105.9,.409,.270,.541,50.8,57.4,10.3,10.0,.496,17.6,38.3,.299
Marshall,32,13,19,.406,-3.62,0.93,6,10,11,4,1,11,2208,2327,68.8,99.5,.443,.360,.508,48.5,58.4,9.3,11.0,.482,18.9,38.0,.265
Maryland-Baltimore County,31,8,23,.258,-12.50,-3.70,5,11,6,8,1,14,1970,2216,67.6,92.5,.295,.347,.490,45.1,51.3,10.5,6.4,.466,18.5,29.1,.186
Maryland-Eastern Shore,28,2,26,.071,-19.61,-5.11,2,14,2,6,0,15,1535,1941,64.6,84.2,.353,.300,.436,45.6,48.5,10.3,7.3,.398,19.6,34.9,.223
Maryland,38,25,13,.658,11.37,4.66,8,10,18,3,4,7,2688,2433,67.3,104.8,.345,.304,.544,54.0,55.9,7.6,11.2,.516,18.7,36.9,.234
Massachusetts,33,21,12,.636,5.82,4.55,9,7,10,5,8,4,2408,2366,70.9,102.6,.358,.362,.533,47.9,57.5,10.6,12.9,.495,17.4,32.4,.257
McNeese State,31,14,17,.452,-11.49,-4.63,7,11,9,5,4,11,2055,2172,66.0,98.0,.297,.263,.487,45.3,49.3,11.5,11.8,.461,15.0,32.2,.191
Memphis,36,31,5,.861,12.26,2.70,16,0,17,1,9,1,2681,2337,69.5,106.3,.372,.286,.550,50.8,62.0,12.7,16.3,.524,17.7,35.6,.246
Mercer,36,24,12,.667,0.69,-4.08,14,4,13,0,9,8,2371,2135,62.9,104.1,.352,.402,.547,47.3,63.9,10.5,12.8,.506,17.3,30.6,.265
Miami (FL),36,29,7,.806,16.99,7.88,15,3,14,1,10,3,2509,2181,64.0,108.5,.346,.356,.548,50.1,45.6,9.6,12.3,.519,14.1,30.6,.236
Miami (OH),31,9,22,.290,-6.62,-0.26,3,13,5,8,4,13,1954,2128,65.3,96.1,.370,.336,.520,43.7,55.2,12.7,7.5,.486,19.0,27.6,.252
Michigan State,36,27,9,.750,18.64,10.55,13,5,17,1,6,5,2448,2129,64.7,105.1,.370,.272,.542,53.3,53.7,12.4,10.9,.505,17.8,36.4,.264
Michigan,39,31,8,.795,21.28,10.05,12,6,17,1,5,5,2932,2467,64.1,116.1,.284,.340,.572,49.9,51.7,9.5,7.3,.549,12.5,32.7,.199
Middle Tennessee,34,28,6,.824,11.16,-1.52,19,1,15,0,11,3,2405,1974,65.6,107.1,.414,.262,.548,52.3,56.7,10.6,11.0,.511,17.4,36.5,.288
Milwaukee,32,8,24,.250,-10.33,-0.26,3,13,7,7,1,15,2007,2264,66.0,93.5,.363,.407,.492,43.4,51.9,8.0,8.8,.452,18.2,29.0,.248
Minnesota,34,21,13,.618,16.83,10.31,8,10,15,2,3,8,2337,2115,63.5,107.8,.416,.297,.531,53.1,61.7,11.7,15.8,.493,17.5,43.6,.285
Mississippi State,32,10,22,.313,-4.54,4.34,4,14,7,7,1,11,1940,2224,68.2,88.1,.408,.318,.486,44.6,47.9,11.7,10.3,.446,21.4,30.5,.269
Mississippi Valley State,28,5,23,.179,-19.13,-8.28,5,13,4,5,1,16,1765,2069,70.7,88.7,.395,.347,.463,43.3,45.7,10.0,6.2,.422,18.3,31.7,.256
Mississippi,36,27,9,.750,14.42,4.14,12,6,16,1,6,6,2779,2409,70.5,108.4,.388,.330,.526,48.1,46.1,11.6,13.7,.491,13.0,33.6,.263
Missouri-Kansas City,32,8,24,.250,-13.61,-2.74,5,11,3,11,4,11,1950,2252,65.2,93.5,.307,.351,.510,46.8,44.8,9.1,8.5,.481,20.1,29.8,.207
Missouri State,33,11,22,.333,-2.80,4.65,7,11,8,7,2,12,1966,2136,61.5,96.2,.339,.350,.492,44.6,47.9,7.6,4.3,.458,14.4,26.5,.227
Missouri,34,23,11,.676,15.41,6.00,11,7,17,0,2,8,2588,2268,68.2,110.7,.350,.315,.551,53.7,51.1,9.8,9.1,.512,15.8,38.7,.261
Monmouth,31,10,21,.323,-12.02,-4.19,5,13,5,8,3,13,2009,2252,70.8,91.5,.323,.303,.484,42.1,52.7,12.4,4.5,.444,18.1,29.8,.228
Montana State,30,13,17,.433,-10.90,-6.69,10,10,10,6,3,10,2118,2181,67.0,103.6,.365,.349,.526,46.1,46.2,11.6,5.0,.486,14.9,29.9,.262
Montana,32,25,7,.781,-1.11,-4.21,19,1,15,1,10,4,2238,2096,63.8,107.5,.398,.360,.576,46.4,53.3,9.0,8.3,.532,16.7,25.9,.305
Morehead State,33,15,18,.455,-5.36,-1.81,8,8,10,5,3,12,2396,2408,70.9,100.9,.382,.324,.524,51.9,58.1,12.4,8.9,.487,20.0,40.0,.264
Morgan State,32,17,15,.531,-5.39,-7.51,10,6,5,4,8,9,2162,2094,67.3,98.8,.392,.252,.504,48.4,50.9,9.4,13.6,.483,18.5,38.0,.231
Mount St. Mary's,32,18,14,.563,-5.85,-4.10,11,7,10,2,8,12,2233,2289,67.6,102.8,.319,.447,.535,43.5,50.0,12.4,5.3,.505,16.0,28.6,.222
Murray State,31,21,10,.677,1.21,-2.89,10,6,10,4,8,4,2257,2071,67.0,106.9,.390,.409,.555,49.3,51.2,9.9,8.6,.523,17.6,33.7,.269
Navy,31,8,23,.258,-11.31,-4.44,2,12,5,9,2,13,1709,1888,60.6,90.6,.279,.329,.470,42.4,58.0,9.7,7.4,.445,16.2,26.3,.175
Omaha,31,11,20,.355,-15.18,-3.90,6,10,7,6,3,13,2215,2548,71.6,99.8,.300,.296,.543,42.5,49.5,9.2,6.7,.515,18.2,25.2,.209
Nebraska,33,15,18,.455,4.40,9.59,5,13,11,7,2,9,1923,2094,61.8,94.3,.284,.308,.487,44.3,45.9,8.2,8.8,.454,15.1,26.1,.196
Nevada-Las Vegas,35,25,10,.714,12.92,5.71,10,6,17,2,6,6,2498,2206,68.9,103.2,.373,.344,.530,52.0,64.4,10.5,14.6,.492,17.1,33.8,.262
Nevada,31,12,19,.387,0.45,5.35,3,13,10,7,2,11,2092,2229,66.9,100.0,.413,.356,.523,45.5,49.9,8.2,8.8,.475,16.5,29.2,.301
New Hampshire,29,9,20,.310,-8.26,-4.19,5,11,6,6,3,13,1745,1819,64.5,92.5,.348,.371,.478,46.0,49.9,9.0,7.6,.446,16.1,27.9,.222
New Mexico State,35,24,11,.686,5.11,0.70,14,4,15,1,6,8,2355,2175,65.2,102.5,.462,.240,.528,53.1,48.2,8.6,14.1,.493,18.5,37.3,.303
New Mexico,35,29,6,.829,13.28,6.63,13,3,15,1,8,4,2355,2122,64.7,103.3,.457,.347,.533,49.4,65.8,9.6,11.3,.484,15.4,29.3,.329
New Orleans,26,8,18,.308,-21.26,-6.12,0,0,8,4,0,13,1791,1958,72.6,92.6,.368,.209,.504,45.3,53.9,11.6,7.1,.470,20.6,30.9,.243
Niagara,33,19,14,.576,0.58,-1.15,13,5,11,4,7,8,2436,2379,68.9,105.5,.380,.372,.520,45.6,50.7,11.4,7.7,.483,13.9,32.5,.263
Nicholls State,30,9,21,.300,-10.54,-4.97,8,10,5,5,4,13,2020,2187,67.3,98.8,.400,.320,.522,43.5,52.9,9.3,5.4,.487,17.6,30.1,.267
NJIT,29,16,13,.552,-8.33,-9.01,6,2,12,3,4,9,2042,1869,68.5,100.2,.407,.297,.513,49.5,53.3,12.4,13.5,.476,17.6,35.6,.273
Norfolk State,33,21,12,.636,-5.77,-6.56,16,0,11,0,10,9,2188,2162,68.7,96.2,.400,.286,.497,46.7,51.0,10.6,11.7,.462,17.9,33.7,.258
North Carolina-Asheville,32,16,16,.500,-3.67,-3.98,10,6,10,4,6,8,2296,2213,69.6,102.7,.377,.256,.532,49.1,55.5,11.7,13.2,.492,17.7,34.5,.269
North Carolina A&T,37,20,17,.541,-6.94,-6.30,8,8,9,3,5,12,2299,2291,67.1,92.3,.420,.367,.497,46.4,52.2,10.5,13.6,.458,19.6,30.0,.276
North Carolina Central,31,22,9,.710,-2.23,-7.05,15,1,12,2,9,5,2079,1758,64.9,103.3,.443,.314,.559,49.4,61.8,11.7,9.0,.514,19.3,31.3,.325
North Carolina-Greensboro,31,9,22,.290,-9.42,-5.31,6,12,6,9,2,12,2222,2286,71.7,100.0,.330,.353,.509,47.5,47.5,10.2,4.4,.478,15.3,29.2,.222
North Carolina State,35,24,11,.686,14.32,7.17,11,7,16,1,3,7,2708,2458,68.6,112.4,.409,.237,.571,50.2,51.9,9.4,10.1,.542,15.4,34.7,.279
North Carolina-Wilmington,30,10,20,.333,-10.09,-2.27,5,13,9,5,1,15,1899,2111,66.6,95.1,.364,.292,.497,47.4,49.8,9.2,10.8,.467,18.3,31.7,.234
North Carolina,36,25,11,.694,14.52,8.01,12,6,14,2,7,6,2762,2492,71.6,106.8,.282,.312,.525,48.6,60.2,11.7,8.1,.499,14.1,34.4,.190
North Dakota State,34,24,10,.706,5.21,-4.01,12,4,12,1,7,8,2282,1908,61.0,109.2,.288,.366,.561,52.2,50.8,9.4,12.7,.534,15.6,30.7,.208
North Dakota,33,16,17,.485,-8.53,-5.34,12,8,9,5,6,11,2222,2243,67.2,99.8,.355,.329,.519,46.1,49.6,11.6,9.6,.480,16.4,30.0,.253
North Florida,32,13,19,.406,-7.35,-3.22,8,10,7,4,4,14,2121,2235,66.7,99.4,.297,.416,.532,44.7,57.8,9.1,8.5,.509,19.1,30.7,.196
North Texas,32,12,20,.375,-6.39,-2.73,7,13,8,7,2,11,2117,2201,67.7,96.6,.413,.221,.494,47.9,43.9,9.0,11.9,.444,17.2,33.9,.292
Northeastern,33,20,13,.606,-1.35,-1.93,14,4,7,8,10,3,2273,2254,63.8,105.5,.388,.359,.554,44.9,59.0,12.0,6.9,.510,17.2,31.4,.292
Northern Arizona,32,11,21,.344,-12.02,-3.55,8,12,6,6,4,13,2140,2411,68.6,95.6,.314,.307,.516,44.6,55.1,10.2,6.5,.487,18.1,27.0,.212
Northern Colorado,31,13,18,.419,-7.64,-5.19,10,10,8,5,4,13,2184,2181,66.4,105.8,.329,.326,.550,49.5,50.9,10.0,6.6,.525,17.0,32.3,.222
Northern Illinois,30,5,25,.167,-12.00,-2.20,3,13,3,11,2,14,1619,1885,62.6,85.9,.353,.315,.443,47.3,45.3,11.3,6.5,.402,19.2,33.7,.231
Northern Iowa,36,21,15,.583,8.60,5.23,11,7,16,4,5,6,2400,2229,63.4,104.0,.328,.408,.556,47.8,53.4,9.7,7.0,.518,16.7,25.2,.248
Northern Kentucky,27,11,16,.407,-7.82,-5.42,9,9,5,4,6,9,1582,1647,60.4,97.0,.284,.453,.511,43.9,61.5,10.1,6.1,.481,16.6,25.3,.200
Northwestern State,32,23,9,.719,0.41,-3.77,15,3,13,1,8,7,2559,2285,74.4,107.5,.386,.300,.539,47.6,53.2,12.9,10.6,.505,15.9,35.3,.265
Northwestern,32,13,19,.406,5.36,8.30,4,14,8,11,3,7,1943,2037,61.5,98.4,.339,.431,.508,41.4,70.7,9.1,8.8,.475,15.2,25.9,.230
Notre Dame,35,25,10,.714,13.74,7.22,11,7,17,2,4,5,2450,2222,62.0,109.8,.320,.320,.551,50.6,65.8,7.8,9.3,.522,15.0,34.0,.227
Oakland,33,16,17,.485,-4.39,-1.61,10,6,10,2,5,14,2444,2485,68.9,106.7,.419,.357,.540,46.5,52.6,11.9,3.6,.500,15.0,31.3,.296
Ohio State,37,29,8,.784,20.19,9.32,13,5,16,2,5,5,2599,2197,64.3,108.9,.354,.310,.541,50.5,53.1,10.4,12.9,.506,13.6,31.1,.251
Ohio,34,24,10,.706,6.94,-1.06,14,2,16,2,7,7,2464,2192,67.7,106.3,.313,.400,.562,44.0,66.8,13.1,9.8,.536,16.4,27.4,.219
Oklahoma State,33,24,9,.727,15.57,6.73,13,5,15,2,5,5,2371,2079,67.3,104.8,.405,.313,.536,49.1,48.9,11.0,12.8,.488,15.7,31.3,.302
Oklahoma,32,20,12,.625,11.40,7.09,12,7,12,2,5,7,2260,2122,66.8,104.9,.354,.267,.524,48.7,49.1,9.6,7.4,.478,14.8,33.2,.268
Old Dominion,30,5,25,.167,-7.59,-1.55,3,15,2,15,2,10,1947,2128,65.9,98.0,.346,.293,.484,49.8,53.2,10.8,13.5,.449,17.0,38.8,.229
Oral Roberts,35,20,15,.571,-0.23,-3.00,13,5,10,4,9,8,2484,2341,66.5,105.9,.378,.242,.545,50.6,49.7,9.3,9.2,.504,17.5,36.4,.279
Oregon State,32,14,18,.438,6.04,4.29,4,14,9,8,3,7,2304,2248,68.6,104.5,.370,.275,.528,48.8,55.1,9.2,11.2,.497,16.5,34.4,.248
Oregon,37,28,9,.757,13.82,5.77,12,6,17,2,6,5,2650,2352,68.8,102.4,.383,.273,.531,52.5,51.3,12.1,10.2,.493,18.2,35.7,.270
Pacific,35,22,13,.629,1.96,1.05,13,5,13,2,4,9,2344,2238,63.3,105.4,.372,.321,.542,47.8,61.9,8.7,4.2,.509,15.3,29.5,.256
Penn State,31,10,21,.323,2.85,9.46,2,16,8,9,1,9,1910,2115,64.4,94.8,.371,.315,.486,48.1,46.1,8.1,10.4,.442,16.2,30.9,.258
Pennsylvania,31,9,22,.290,-6.97,-1.48,6,8,5,7,4,12,1947,2117,67.5,92.6,.344,.304,.516,44.3,60.7,9.6,7.3,.477,20.8,26.7,.247
Pepperdine,30,12,18,.400,-3.73,1.06,4,12,6,7,5,10,1883,2021,63.8,96.9,.341,.299,.522,48.1,53.5,8.7,6.0,.487,19.7,32.1,.240
Pittsburgh,33,24,9,.727,18.82,5.63,12,6,16,3,6,3,2282,1847,60.4,113.2,.375,.263,.546,53.1,64.2,10.8,12.7,.517,14.8,40.4,.251
Portland State,28,8,20,.286,-10.84,-5.54,5,15,8,6,0,14,1929,2037,65.3,105.1,.328,.260,.541,46.1,52.5,8.3,6.1,.504,15.8,31.0,.244
Portland,32,11,21,.344,-5.79,3.28,4,12,8,8,2,11,1951,2189,65.5,92.6,.353,.262,.489,49.6,55.1,8.9,10.7,.451,19.4,34.0,.239
Prairie View,34,15,19,.441,-15.61,-10.10,8,10,9,4,3,13,2182,2223,69.3,92.2,.322,.239,.458,49.7,45.0,11.0,9.3,.429,17.6,38.8,.198
Presbyterian,32,8,24,.250,-17.47,-4.71,4,12,7,6,1,15,1987,2248,63.1,97.7,.257,.338,.540,43.9,51.7,7.1,4.9,.509,18.5,23.2,.193
Princeton,28,17,11,.607,3.16,-1.65,10,4,9,4,8,6,1803,1635,60.4,106.1,.353,.348,.564,49.8,64.0,10.5,8.5,.531,17.7,30.8,.255
Providence,34,19,15,.559,9.28,6.55,9,9,14,4,4,8,2299,2206,65.8,101.7,.374,.308,.501,49.7,60.5,9.3,8.2,.459,15.8,37.4,.262
Purdue,34,16,18,.471,9.04,7.87,8,10,12,7,4,7,2252,2212,65.7,100.1,.335,.230,.494,50.7,55.8,7.5,11.4,.463,15.8,37.1,.219
Quinnipiac,31,15,16,.484,-4.75,-4.91,11,7,8,6,6,8,2225,2220,67.6,104.1,.411,.222,.505,54.9,49.3,6.0,9.7,.465,16.4,41.3,.277
Radford,32,13,19,.406,-10.87,-7.32,7,9,8,5,4,12,2136,2179,68.4,96.1,.361,.327,.483,47.1,50.9,12.3,9.1,.449,16.3,33.5,.234
Rhode Island,29,8,21,.276,-0.60,4.95,3,13,5,10,3,9,1786,1947,63.2,95.8,.359,.369,.496,43.1,51.3,8.6,11.2,.460,16.3,28.4,.241
Rice,31,5,26,.161,-11.12,0.01,1,15,5,11,0,11,1875,2199,63.8,94.5,.304,.430,.505,37.7,54.5,10.3,3.1,.468,15.7,19.9,.221
Richmond,34,19,15,.559,6.90,3.43,8,8,15,2,4,11,2380,2262,64.3,106.9,.432,.427,.565,43.8,56.2,11.1,10.3,.525,16.4,27.1,.312
Rider,34,19,15,.559,-1.22,-1.66,12,6,9,5,8,9,2166,2151,65.9,96.6,.394,.346,.526,47.8,46.0,10.1,12.2,.491,20.3,30.8,.267
Robert Morris,35,24,11,.686,0.24,-4.90,14,4,13,3,10,7,2480,2300,66.3,106.5,.370,.412,.552,45.2,59.5,13.4,8.1,.510,16.6,31.0,.277
Rutgers,31,15,16,.484,5.97,6.77,5,13,9,7,4,8,2027,2052,64.7,101.1,.324,.249,.520,48.1,52.2,10.8,10.6,.487,18.0,35.8,.227
Sacramento State,29,14,15,.483,-9.40,-6.77,8,12,10,4,4,11,1876,1904,63.7,101.5,.387,.307,.512,46.6,55.9,8.2,7.1,.466,15.1,30.5,.282
Sacred Heart,29,9,20,.310,-9.76,-3.69,7,11,5,7,3,13,2036,2212,68.9,101.1,.322,.332,.533,46.5,53.2,9.0,9.0,.498,18.8,33.2,.232
Saint Francis (PA),29,5,24,.172,-15.16,-4.37,5,13,3,10,2,14,1804,2117,64.4,94.9,.316,.389,.514,43.0,57.5,8.5,6.0,.482,19.3,27.6,.217
Saint Joseph's,32,18,14,.563,7.31,4.03,8,8,11,4,5,8,2150,2045,63.2,105.5,.362,.393,.539,47.7,60.3,8.1,14.5,.506,16.0,31.7,.252
Saint Louis,35,28,7,.800,14.33,4.28,13,3,17,2,6,3,2388,2036,64.5,105.0,.440,.341,.545,47.3,56.1,11.7,8.3,.504,14.9,27.4,.310
Saint Mary's (CA),35,28,7,.800,14.51,3.31,14,2,16,1,9,2,2610,2203,64.5,115.2,.368,.375,.573,54.5,55.2,9.4,7.6,.540,15.4,37.1,.267
Saint Peter's,30,9,21,.300,-9.05,-2.92,3,15,5,8,4,11,1788,1972,64.1,92.2,.303,.268,.479,44.7,50.4,10.8,10.5,.458,17.2,30.3,.179
Sam Houston State,34,17,17,.500,-6.45,-5.16,8,10,9,6,6,10,2168,2080,65.3,96.3,.369,.353,.481,50.4,63.8,10.6,6.7,.444,16.6,34.6,.242
Samford,32,11,21,.344,-10.05,-4.38,9,9,7,6,4,12,1957,2114,61.2,98.0,.314,.351,.532,43.6,56.5,10.3,7.4,.507,18.7,26.7,.207
San Diego State,34,23,11,.676,13.01,6.19,9,7,14,1,4,6,2356,2077,66.6,103.7,.364,.323,.524,50.4,50.7,10.3,12.0,.491,15.4,32.3,.248
San Diego,34,16,18,.471,-0.55,2.60,7,9,10,5,4,9,2215,2260,64.6,100.0,.369,.324,.525,46.6,50.1,9.3,10.2,.492,17.8,31.3,.249
San Francisco,31,15,16,.484,2.42,2.83,7,9,8,7,6,5,2161,2141,66.7,104.0,.359,.372,.553,45.8,50.5,8.1,5.4,.528,16.1,24.7,.240
San Jose State,29,9,20,.310,-9.39,-0.92,3,14,5,9,4,9,1802,1999,68.0,91.0,.362,.294,.461,47.4,50.4,8.8,8.5,.421,17.0,33.7,.238
Santa Clara,38,26,12,.684,6.58,1.72,9,7,15,5,10,6,2827,2577,68.1,108.6,.366,.383,.549,48.6,57.7,11.6,11.9,.511,15.4,33.6,.266
Savannah State,34,19,15,.559,-5.41,-4.73,11,5,11,3,7,11,1931,1887,63.2,88.5,.364,.263,.487,48.6,49.0,14.1,11.7,.459,22.8,35.2,.225
Seattle,30,8,22,.267,-4.53,-1.05,3,15,5,11,3,9,1966,2058,70.1,92.4,.290,.318,.494,51.5,57.2,10.9,8.2,.471,21.5,36.6,.181
Seton Hall,33,15,18,.455,5.54,5.96,3,15,10,7,2,9,2136,2150,65.0,98.9,.345,.417,.538,47.7,62.0,10.4,7.1,.513,20.6,31.0,.227
Siena,32,8,24,.250,-10.25,-1.87,4,14,4,10,2,12,1921,2189,64.2,92.8,.381,.337,.499,46.5,50.2,8.7,7.3,.461,20.3,33.0,.256
South Alabama,30,17,13,.567,-2.89,-2.96,14,6,10,3,7,7,2060,2040,69.0,98.6,.448,.319,.513,49.3,47.4,9.5,12.3,.462,19.1,36.4,.321
South Carolina State,30,6,24,.200,-18.17,-5.10,2,14,5,8,1,15,1808,2135,65.9,90.4,.281,.280,.461,46.6,53.5,9.0,10.3,.431,18.6,36.2,.182
South Carolina Upstate,33,16,17,.485,-3.59,-4.79,9,9,9,4,5,11,2315,2194,66.9,104.5,.338,.324,.526,51.0,60.9,10.5,11.5,.501,16.8,36.4,.219
South Carolina,32,14,18,.438,-0.71,2.11,4,14,10,8,1,9,2115,2205,66.4,98.1,.352,.332,.503,49.3,52.8,7.6,9.6,.466,18.9,38.3,.243
South Dakota State,35,25,10,.714,2.36,-3.27,13,3,13,0,7,9,2568,2300,64.0,113.1,.324,.358,.574,51.3,55.6,7.7,6.1,.539,14.0,29.8,.247
South Dakota,30,10,20,.333,-7.50,-2.92,5,11,5,7,4,11,2113,2208,67.2,104.9,.369,.348,.559,44.2,52.0,9.1,7.1,.513,16.1,24.7,.288
South Florida,31,12,19,.387,4.28,7.70,3,15,10,8,2,10,1822,1928,60.1,95.5,.292,.365,.480,44.9,54.3,10.1,9.5,.446,15.1,30.3,.203
Southeast Missouri State,33,17,16,.515,-5.51,-6.06,8,8,9,5,7,8,2446,2360,69.2,106.6,.327,.343,.564,47.8,59.3,7.5,11.5,.537,16.3,28.1,.229
Southeastern Louisiana,31,13,18,.419,-10.65,-3.76,10,8,9,3,3,14,1965,2113,66.4,95.1,.360,.304,.498,45.1,43.9,7.1,7.6,.464,16.8,27.2,.238
Southern California,32,14,18,.438,6.31,8.25,9,9,10,6,3,9,2101,2163,67.1,96.4,.300,.266,.504,47.5,51.8,8.3,13.1,.472,17.0,29.2,.208
SIU Edwardsville,27,9,18,.333,-11.19,-4.67,5,11,8,5,1,13,1699,1827,66.3,94.9,.337,.307,.513,45.7,55.8,8.3,5.9,.482,19.0,28.7,.225
Southern Illinois,31,14,17,.452,-0.82,2.28,6,12,9,4,4,11,1964,2019,63.2,99.8,.340,.264,.514,46.3,43.8,12.7,7.1,.488,16.5,31.8,.218
Southern Methodist,32,15,17,.469,-0.59,-1.33,5,11,7,7,6,7,2064,2007,63.8,100.7,.408,.202,.532,49.7,52.5,10.7,13.9,.484,19.2,34.8,.304
Southern Mississippi,37,27,10,.730,8.95,1.49,12,4,14,2,9,6,2733,2348,66.2,109.7,.362,.313,.566,51.8,55.9,14.3,9.9,.538,18.4,39.4,.252
Southern Utah,31,11,20,.355,-12.04,-5.00,8,12,9,5,2,12,2066,2230,69.2,95.6,.365,.285,.498,49.3,52.6,7.1,12.9,.452,18.5,32.6,.265
Southern,33,23,10,.697,-2.61,-10.31,15,3,12,0,8,8,2223,1890,65.4,103.0,.392,.352,.533,46.9,49.4,11.3,10.8,.497,14.7,26.4,.270
St. Bonaventure,29,14,15,.483,3.44,2.71,7,9,8,6,5,9,2109,2088,67.3,107.2,.399,.358,.561,46.1,58.6,9.6,8.4,.516,17.3,32.3,.305
St. Francis (NY),30,12,18,.400,-5.92,-4.75,8,10,6,6,6,10,2108,2143,67.6,103.5,.316,.351,.512,46.6,50.7,9.6,6.0,.484,15.2,34.4,.210
St. John's (NY),33,17,16,.515,5.80,7.16,8,10,11,5,5,8,2138,2183,67.4,95.1,.289,.223,.473,44.8,49.0,9.8,18.4,.445,14.3,30.5,.185
Stanford,34,19,15,.559,11.40,7.37,9,9,12,5,5,7,2397,2260,68.3,102.9,.334,.330,.517,48.9,49.6,8.6,9.6,.475,14.8,32.1,.248
Stephen F. Austin,32,27,5,.844,4.25,-6.64,16,2,15,0,11,4,2075,1639,62.7,103.3,.395,.250,.530,52.9,64.1,12.5,10.8,.509,17.1,35.2,.241
Stetson,31,15,16,.484,-6.45,-4.45,11,7,8,6,6,9,2180,2218,68.9,102.0,.349,.393,.556,48.7,65.4,7.7,6.4,.525,20.0,31.5,.246
Stony Brook,33,25,8,.758,5.60,-4.12,14,2,11,1,13,6,2245,1898,64.7,105.2,.377,.307,.535,51.2,51.5,9.9,11.6,.498,15.7,32.5,.265
Syracuse,40,30,10,.750,20.30,8.57,11,7,17,2,5,5,2816,2347,65.2,107.3,.368,.304,.523,49.7,55.8,13.7,19.3,.490,15.5,38.8,.248
Temple,34,24,10,.706,9.52,5.20,11,5,14,3,8,4,2456,2309,67.6,106.8,.356,.373,.529,46.5,58.4,11.6,9.5,.490,13.6,30.8,.257
Tennessee-Martin,30,9,21,.300,-16.58,-4.19,5,11,7,7,2,13,2008,2295,69.5,94.7,.369,.292,.493,46.8,54.3,9.7,7.0,.442,18.2,33.1,.274
Tennessee State,33,18,15,.545,-2.17,-1.30,11,5,11,2,5,11,2360,2308,68.8,103.2,.407,.335,.543,49.8,54.0,10.4,11.8,.496,18.9,35.7,.304
Tennessee Tech,29,12,17,.414,-9.68,-3.31,5,11,9,5,3,12,1878,1951,66.2,97.8,.371,.363,.523,48.8,52.3,9.6,10.8,.484,20.7,35.8,.263
Tennessee,33,20,13,.606,9.00,6.03,11,7,13,4,4,7,2189,2091,63.1,103.5,.422,.313,.521,51.9,47.0,6.6,10.1,.479,16.8,36.5,.291
Texas A&M-Corpus Christi,29,6,23,.207,-11.76,-3.65,5,13,4,9,2,14,1746,1962,63.3,95.0,.321,.297,.486,44.5,49.8,10.0,11.1,.451,16.3,30.2,.218
Texas A&M,33,18,15,.545,6.50,4.86,7,11,12,6,4,6,2103,2049,61.7,101.1,.329,.266,.522,48.2,49.5,10.2,9.0,.488,17.9,34.9,.232
Texas-Arlington,33,19,14,.576,0.58,-0.90,11,7,7,8,10,5,2121,2072,66.6,96.5,.364,.304,.497,49.9,54.8,11.4,11.9,.464,18.5,36.3,.237
Texas Christian,32,11,21,.344,-4.27,4.41,2,16,9,9,1,10,1761,2002,61.7,89.2,.404,.239,.470,46.9,51.0,8.7,7.6,.438,18.7,32.2,.243
