School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Butler,36,27,9,.750,10.99,6.08,11,5,14,2,7,4,2495,2299,64.9,106.4,.385,.356,.546,53.4,53.5,8.8,7.0,.512,17.2,36.3,.268
Cal Poly,32,18,14,.563,-0.46,-0.62,12,6,13,1,4,12,2074,2020,60.0,107.1,.333,.357,.528,48.2,61.3,9.5,5.4,.491,13.3,31.9,.241
Cal State Bakersfield,30,14,16,.467,-6.44,-2.17,0,0,9,4,3,11,2041,2070,67.7,98.9,.355,.348,.515,47.2,53.5,10.7,5.6,.477,17.6,31.6,.249
Cal State Fullerton,32,14,18,.438,-2.97,-3.03,6,12,6,7,6,10,2451,2381,70.2,109.1,.345,.387,.579,42.6,55.2,11.0,4.2,.543,15.9,25.9,.261
Cal State Northridge,31,14,17,.452,-3.89,-1.93,5,13,6,7,5,10,2333,2309,71.5,105.2,.389,.259,.525,50.0,57.9,11.8,8.2,.479,16.0,36.6,.285
UC-Davis,31,14,17,.452,-3.50,-2.57,9,9,6,7,6,9,2210,2239,67.3,105.5,.329,.385,.579,47.6,58.6,6.9,7.3,.551,18.5,26.4,.237
UC-Irvine,37,21,16,.568,0.17,-0.66,11,7,13,1,5,13,2558,2418,67.0,102.1,.311,.347,.518,48.9,62.2,7.2,10.5,.491,15.7,31.0,.207
UC-Riverside,31,6,25,.194,-11.49,-1.71,3,15,5,9,1,14,1829,2062,64.5,91.1,.319,.306,.481,49.6,55.5,9.6,9.0,.461,19.2,32.7,.186
UC-Santa Barbara,31,11,20,.355,-4.22,0.40,7,11,8,6,3,13,2003,2090,64.2,99.4,.302,.426,.523,48.5,65.0,8.2,12.7,.493,18.9,32.2,.209
University of California,33,21,12,.636,10.65,7.77,12,6,11,5,6,5,2218,2123,66.5,100.7,.312,.236,.515,50.0,56.2,8.7,11.4,.480,16.2,32.5,.223
Campbell,33,13,20,.394,-10.25,-5.55,7,9,8,8,4,9,2284,2395,67.7,100.0,.322,.229,.516,45.9,53.9,10.9,8.6,.480,17.1,32.9,.229
Canisius,34,20,14,.588,2.37,-0.99,11,7,12,4,8,9,2499,2385,66.8,109.2,.343,.422,.559,48.6,50.4,8.7,9.1,.527,16.8,34.8,.245
Central Arkansas,30,13,17,.433,-10.87,-6.12,7,11,8,7,5,8,2294,2359,73.2,102.0,.296,.309,.511,45.9,49.4,10.5,8.9,.490,16.1,33.8,.187
Central Connecticut State,30,13,17,.433,-8.24,-4.04,9,9,6,6,7,10,2186,2312,70.7,101.4,.301,.329,.522,42.6,48.2,10.4,10.7,.486,15.3,27.4,.221
Central Florida,31,20,11,.645,3.44,0.96,9,7,14,5,5,6,2194,2079,66.5,105.5,.401,.363,.544,48.8,56.1,11.2,11.4,.518,17.5,35.0,.258
Central Michigan,31,11,20,.355,-6.14,-1.21,4,12,6,6,2,13,2092,2226,65.5,102.2,.396,.453,.529,44.7,59.4,10.2,6.0,.484,16.9,30.6,.290
Charleston Southern,32,19,13,.594,-2.07,-5.62,12,4,11,3,6,9,2361,2144,68.1,107.5,.312,.426,.531,49.9,48.3,10.7,7.4,.499,15.0,35.0,.221
Charlotte,33,21,12,.636,2.69,2.75,8,8,12,3,5,7,2229,2231,68.2,98.3,.448,.236,.509,50.6,48.8,10.8,8.8,.471,18.8,36.5,.293
Chattanooga,32,13,19,.406,-10.47,-4.97,8,10,8,9,4,9,2218,2318,68.8,99.9,.435,.308,.504,50.6,50.0,9.9,6.4,.464,17.0,35.3,.289
Chicago State,33,11,22,.333,-11.77,-4.91,3,5,8,5,2,16,2151,2276,68.2,93.8,.256,.355,.492,45.1,52.2,13.6,8.3,.459,18.1,30.2,.186
Cincinnati,34,22,12,.647,14.46,6.93,9,9,13,5,4,5,2262,2006,64.9,101.4,.355,.371,.493,51.7,52.5,10.8,16.1,.462,15.8,38.7,.229
Citadel,30,8,22,.267,-16.99,-5.45,5,13,5,8,3,12,1931,2195,65.0,98.7,.372,.324,.546,45.3,66.4,10.8,6.4,.511,20.8,31.3,.261
Clemson,31,13,18,.419,5.82,4.44,5,13,8,7,3,9,1907,1864,62.2,98.9,.331,.302,.501,47.9,47.9,10.8,13.2,.472,15.7,32.0,.217
Cleveland State,32,14,18,.438,-7.34,-0.16,5,11,9,5,3,13,2051,2226,65.4,97.6,.309,.347,.516,45.9,53.1,11.1,8.8,.482,18.5,31.8,.219
