School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Abilene Christian,31,10,21,.323,-17.04,-6.18,4,14,9,7,1,14,1976,2186,,65.9,96.7,.289,.362,.516,44.6,56.7,9.9,3.5,.482,17.4,25.5,.210,.1163,92.8,110.8,63.6,-.003,.3799,100.8,105.2,.4689
Air Force,31,14,17,.452,-1.53,-0.39,6,12,13,6,1,11,2037,2017,,61.1,107.1,.311,.399,.567,49.4,65.1,10.3,6.9,.548,17.1,29.1,.205,.4159,106.1,109.2,61.9,-.065,.4539,100.4,102.0,.2344
Akron,35,21,14,.600,4.10,-0.02,9,9,19,5,2,9,2382,2203,,64.7,104.8,.311,.473,.523,50.5,52.8,10.1,14.8,.498,15.8,33.4,.205,.6589,102.7,97.0,63.8,-.041,.4788,102.4,103.1,.3194
Alabama,33,19,14,.576,11.11,8.39,8,10,15,7,4,7,2214,2107,,63.0,105.5,.441,.403,.550,49.9,46.3,10.1,12.5,.507,16.8,30.1,.317,.7788,109.4,98.1,62.2,-.023,.6855,105.8,98.9,.4917
Alabama A&M,29,9,20,.310,-16.94,-9.40,8,10,4,8,5,12,1797,1988,,64.5,95.6,.419,.376,.489,49.5,58.2,8.8,7.1,.451,18.5,35.8,.271,.1243,94.8,112.3,63.7,-.022,.2855,96.7,104.8,.6794
Alabama State,29,19,10,.655,-8.81,-12.55,14,4,11,5,8,5,2090,1937,,69.8,102.9,.350,.276,.515,53.5,51.6,9.1,9.7,.487,16.5,35.9,.228,.2979,95.9,103.3,67.5,+.030,.1965,94.6,106.9,.4868
Alabama-Birmingham,34,19,15,.559,1.82,1.00,12,6,16,7,3,8,2341,2301,,65.8,101.7,.364,.295,.523,51.1,59.8,9.8,13.1,.479,17.2,34.1,.270,.5951,103.7,100.3,64.9,+.011,.4990,101.5,101.5,.5953
Albany (NY),32,24,8,.750,-0.50,-5.78,15,1,12,3,12,5,2096,1927,,61.2,106.6,.399,.341,.549,53.8,47.3,9.2,4.9,.501,16.5,32.5,.303,.5658,104.0,101.6,61.3,+.060,.3464,98.5,104.1,.5189
Alcorn State,32,6,26,.188,-20.60,-9.80,4,14,5,11,1,15,2066,2377,,68.3,94.6,.378,.297,.470,46.4,39.4,8.7,6.6,.430,14.4,31.1,.248,.0727,92.5,115.4,67.1,-.059,.2810,96.7,104.9,.6482
American,33,17,16,.515,-3.38,-3.53,8,10,10,3,7,13,1938,1933,,57.1,101.4,.344,.386,.563,45.7,59.7,10.3,9.3,.534,17.8,21.3,.243,.4412,101.2,103.3,57.6,+.015,.4468,101.7,103.6,.5686
Appalachian State,29,12,17,.414,-9.83,-3.21,9,11,7,5,5,12,1841,2033,,66.5,95.4,.335,.367,.496,50.0,49.9,6.3,6.0,.456,17.8,31.2,.238,.2901,97.6,105.4,65.8,+.073,.4525,100.9,102.6,.5314
