School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Arizona,34,31,3,.912,24.77,6.95,16,2,23,0,8,3,2599,1993,,66.8,114.0,.471,.258,.572,56.7,53.2,10.7,8.9,.536,14.5,34.1,.329,.9675,116.0,86.4,66.7,-.028,.6473,105.1,99.7,.4992
Arizona State,32,17,15,.531,9.88,6.88,9,9,15,5,2,10,2222,2126,,66.0,103.6,.433,.368,.542,52.6,54.8,8.8,6.8,.509,18.0,31.9,.289,.7376,107.4,98.2,66.0,-.033,.6413,104.2,99.1,.4305
Arkansas,34,26,8,.765,14.85,6.96,13,5,19,3,7,5,2653,2385,,70.2,110.2,.373,.311,.541,50.3,58.9,11.0,11.3,.502,14.1,35.6,.270,.8462,113.1,97.5,70.0,+.047,.6521,105.3,99.7,.4469
Arkansas-Pine Bluff,32,12,20,.375,-15.46,-8.43,9,9,7,6,5,14,1915,2140,,64.7,92.2,.356,.374,.500,45.0,49.2,13.6,10.5,.463,20.5,30.5,.242,.1458,91.6,106.8,64.1,+.036,.3137,98.3,105.2,.6180
Army,30,15,15,.500,-6.32,-4.81,6,12,8,7,7,8,2164,2163,,69.0,103.2,.315,.394,.532,49.3,56.1,9.2,9.9,.505,16.4,30.4,.214,.2895,97.4,105.3,69.9,+.033,.3669,101.0,105.9,.3661
Auburn,35,15,20,.429,3.75,8.63,4,14,13,10,2,10,2378,2523,,67.9,99.0,.484,.386,.514,46.0,49.5,9.9,7.7,.471,16.5,28.0,.322,.5584,103.6,101.5,68.0,+.058,.7108,105.3,97.4,.5382
Austin Peay,30,8,22,.267,-12.47,-2.83,3,13,7,8,1,14,1937,2178,,68.2,94.6,.411,.308,.486,50.3,54.3,9.3,10.7,.444,17.9,33.0,.274,.1748,92.8,106.2,67.2,-.005,.4650,102.5,103.8,.5219
Ball State,30,7,23,.233,-4.61,0.50,2,16,6,9,1,14,1961,2070,,64.0,99.9,.355,.433,.531,50.2,57.2,8.1,7.9,.497,18.8,30.2,.246,.2919,98.2,106.0,63.7,-.130,.5357,103.0,101.7,.3979
Baylor,33,24,9,.727,19.00,10.19,11,7,18,4,6,5,2293,1991,,62.9,109.6,.388,.332,.529,55.7,60.8,12.5,10.7,.496,16.2,42.2,.260,.9039,114.8,94.5,62.2,-.018,.7358,106.5,97.4,.4995
Belmont,32,22,10,.688,0.06,-3.56,11,5,15,2,7,8,2383,2251,,67.6,110.1,.332,.482,.590,50.5,59.2,9.5,7.1,.568,18.0,29.3,.229,.5424,107.9,106.3,67.0,+.071,.4148,100.5,103.6,.4837
Bethune-Cookman,32,11,21,.344,-15.34,-10.27,7,9,7,10,4,11,1899,2003,,61.3,96.7,.429,.346,.503,51.1,42.1,8.9,8.2,.452,19.4,35.6,.308,.1223,90.6,107.6,60.5,-.033,.2528,97.8,107.4,.3339
Binghamton,32,6,26,.188,-13.27,-3.30,5,11,5,11,1,15,1845,2124,,63.4,90.7,.387,.347,.488,46.9,43.9,9.1,7.7,.450,18.8,26.5,.255,.1429,93.0,108.6,63.3,-.047,.4329,100.0,102.3,.5740
Boise State,33,25,8,.758,10.31,1.37,14,4,16,3,9,5,2335,1989,,62.6,110.9,.329,.417,.571,51.9,49.3,9.5,7.6,.540,14.3,28.2,.241,.8077,109.4,96.6,63.7,+.027,.5168,102.7,102.1,.5256
Boston College,32,13,19,.406,6.56,8.18,4,14,11,12,2,7,2105,2157,,63.9,101.4,.350,.382,.541,48.0,56.7,8.8,8.3,.507,16.8,26.1,.247,.6120,105.5,101.4,63.7,-.035,.6617,105.2,99.3,.3716
Boston University,30,13,17,.433,-5.44,-2.92,9,9,8,7,5,10,2037,2087,,63.7,105.7,.450,.421,.560,50.7,55.1,8.8,6.5,.523,17.1,28.5,.313,.3319,103.7,110.2,64.8,+.006,.4402,101.7,103.9,.5785
Bowling Green State,32,21,11,.656,4.10,-0.96,11,7,11,6,10,5,2137,1994,,63.7,104.3,.323,.356,.530,51.2,52.2,10.5,10.4,.495,15.8,31.5,.231,.6515,105.1,99.6,63.7,-.014,.4731,102.1,103.0,.3700
Bradley,33,9,24,.273,-4.37,1.44,3,15,8,13,1,11,1882,2026,,61.1,91.9,.377,.349,.469,50.5,48.2,11.1,8.4,.429,17.4,32.5,.250,.2726,91.0,99.2,62.4,-.044,.5329,103.0,101.8,.4124
Brigham Young,35,25,10,.714,14.07,5.56,13,5,17,7,8,3,2931,2561,,70.7,116.7,.424,.365,.584,53.2,60.9,10.2,7.8,.539,14.4,34.1,.325,.8329,116.5,101.3,70.8,-.055,.6159,105.1,100.9,.5908
Brown,31,13,18,.419,-7.04,-1.80,4,10,10,6,3,12,2048,2144,,67.6,97.3,.448,.338,.520,51.1,53.8,6.6,12.8,.477,19.1,30.6,.309,.3008,97.6,105.0,68.0,+.049,.4673,100.6,101.8,.4264
Bryant,31,16,15,.516,-6.10,-4.75,12,6,9,5,7,10,2058,2100,,63.8,102.9,.328,.388,.529,49.0,53.7,7.9,7.5,.488,16.0,29.5,.246,.3366,102.7,109.0,63.3,+.064,.4029,99.8,103.3,.5974
Bucknell,33,19,14,.576,-3.63,-2.88,13,5,13,4,6,10,2272,2273,,64.0,106.0,.403,.329,.543,51.4,55.5,6.4,8.0,.505,15.0,29.5,.282,.4156,103.9,107.0,64.7,+.087,.4233,102.2,105.0,.5747
Buffalo,32,23,9,.719,8.28,1.56,12,6,13,2,10,7,2400,2185,,68.9,108.9,.423,.302,.532,52.1,51.5,11.1,9.8,.486,13.9,34.7,.305,.7744,109.7,98.5,69.2,+.011,.5741,104.6,101.9,.5942
Butler,32,22,10,.688,16.71,8.33,12,6,15,6,7,4,2226,1958,,64.5,106.5,.405,.290,.527,54.8,47.4,9.8,7.5,.491,14.9,35.5,.276,.8625,107.5,91.7,63.8,-.014,.6832,107.0,100.0,.4920
Cal Poly,29,13,16,.448,-0.31,0.69,6,10,8,6,5,10,1752,1721,,59.3,101.0,.318,.335,.479,51.0,47.6,9.1,8.2,.442,12.3,32.6,.218,.5060,100.5,100.3,58.9,-.056,.5601,103.7,101.6,.6633
Cal State Bakersfield,33,14,19,.424,-6.45,-5.85,7,7,11,8,3,11,2100,2028,,61.2,102.1,.393,.325,.520,53.8,59.7,9.2,5.1,.474,17.0,34.2,.284,.3000,98.2,105.7,61.0,-.120,.3296,98.4,104.6,.4394
Cal State Fullerton,31,9,22,.290,-8.39,-0.88,1,15,8,9,1,13,1991,2155,,65.6,96.7,.368,.309,.500,50.7,43.7,7.6,5.3,.461,16.6,29.2,.253,.2213,96.9,108.1,66.3,-.009,.4881,101.2,101.6,.4390
Cal State Northridge,33,9,24,.273,-6.48,0.52,4,12,8,10,1,14,2148,2325,,65.9,98.0,.418,.193,.514,50.4,59.9,8.2,8.9,.456,17.4,29.7,.320,.2763,98.8,107.4,65.5,-.041,.5368,102.8,101.5,.5486
Campbell,32,10,22,.313,-11.08,-5.25,4,14,9,7,1,15,2045,2124,,63.3,100.6,.361,.445,.528,48.4,59.4,11.1,10.0,.505,17.4,28.5,.226,.2283,96.6,107.3,61.6,-.090,.4187,102.5,105.5,.5428
Canisius,30,16,14,.533,-0.97,-2.91,11,9,9,6,7,8,1926,1868,,63.8,99.8,.317,.361,.496,50.1,62.0,10.4,9.2,.458,15.8,34.1,.225,.4342,99.3,101.6,63.1,-.036,.4134,99.7,102.8,.5065
Central Arkansas,29,2,27,.069,-22.67,-5.78,2,16,2,11,0,16,1894,2384,,71.3,91.6,.393,.365,.524,45.8,55.9,8.8,11.8,.488,22.8,28.0,.266,.0568,90.3,115.3,69.4,+.004,.3746,100.6,105.2,.4745
Central Connecticut State,31,5,26,.161,-16.38,-5.44,3,15,4,12,1,14,1834,2173,,64.0,92.1,.286,.271,.482,48.9,50.4,7.7,8.9,.446,18.4,30.9,.203,.1026,91.6,110.6,63.5,-.012,.3588,99.1,104.2,.4073
Central Florida,30,12,18,.400,-5.50,1.02,5,13,10,9,2,9,1981,2153,,64.0,100.7,.356,.356,.523,47.5,52.4,7.9,12.3,.497,17.2,30.7,.229,.2653,100.5,109.8,64.7,+.075,.4795,101.2,101.9,.2815
Central Michigan,31,22,9,.710,5.98,-0.68,12,6,16,1,6,8,2398,2123,,66.1,116.5,.362,.479,.584,49.7,52.4,10.5,8.8,.553,13.3,29.9,.264,.6719,112.3,105.5,64.4,+.016,.4737,102.8,103.7,.2265
Charleston Southern,30,19,11,.633,-4.62,-5.73,13,5,13,3,6,8,2221,2065,,66.7,109.2,.343,.453,.532,52.6,50.8,10.4,6.9,.500,14.2,34.3,.236,.4426,105.5,107.7,65.7,+.064,.3834,101.0,105.3,.5718
Charlotte,32,14,18,.438,2.04,0.63,7,11,9,9,5,9,2362,2317,,67.2,106.5,.370,.288,.542,51.4,50.9,9.3,6.1,.517,16.8,33.8,.240,.5204,107.5,106.8,67.5,-.104,.5172,101.7,101.1,.5952
Chattanooga,32,22,10,.688,-1.51,-3.94,15,3,15,3,7,7,2325,2141,,66.2,107.7,.434,.354,.549,51.0,48.4,9.7,17.9,.514,16.7,33.9,.298,.5046,103.5,103.3,65.0,+.101,.3842,101.2,105.4,.5422
Chicago State,32,8,24,.250,-14.80,-2.53,4,10,7,8,1,16,1855,2115,,64.4,89.6,.294,.369,.466,49.0,44.8,12.9,8.4,.433,19.3,34.0,.196,.1121,88.7,106.2,63.1,-.013,.4576,102.1,103.6,.6744
Cincinnati,32,22,10,.688,10.68,3.59,13,5,16,5,6,5,1996,1769,,59.4,103.8,.378,.306,.535,53.9,53.1,10.9,15.8,.504,18.2,37.3,.255,.8239,106.6,93.2,60.0,-.027,.5703,102.3,99.9,.5516
Citadel,30,11,19,.367,-12.78,-4.56,6,12,8,8,3,11,1919,2058,,60.3,105.3,.380,.359,.566,49.8,60.9,7.7,7.2,.522,19.0,32.0,.292,.1247,101.7,120.4,59.4,+.077,.3762,100.3,104.8,.4449
Clemson,31,16,15,.516,7.96,7.41,8,10,13,8,3,7,1944,1927,,62.7,99.1,.344,.339,.496,51.5,47.9,8.6,13.3,.460,15.8,34.1,.234,.6679,101.4,95.4,62.3,+.010,.6489,105.7,100.2,.3942
Cleveland State,31,17,14,.548,2.72,-0.52,11,5,12,3,5,11,2047,1921,,61.8,105.5,.319,.352,.540,50.7,55.0,11.9,9.6,.511,16.4,32.9,.220,.6449,105.1,99.8,60.9,-.083,.5141,102.3,101.8,.5698
Coastal Carolina,33,24,9,.727,-1.43,-7.25,12,6,16,2,8,7,2366,2035,,65.2,109.9,.418,.337,.536,56.1,46.5,10.8,9.0,.499,15.3,37.9,.287,.5393,103.6,102.2,64.4,+.006,.3469,100.4,106.1,.4904
Colgate,32,15,17,.469,-2.70,-3.20,12,6,9,5,6,12,2089,2073,,60.2,106.4,.274,.385,.579,48.9,54.7,8.0,8.7,.559,17.1,23.6,.190,.4601,106.3,107.8,61.1,-.055,.4220,101.1,103.9,.5830
College of Charleston,33,9,24,.273,-6.89,-0.92,3,15,7,12,2,12,1934,2131,,61.7,94.2,.324,.337,.491,47.4,46.2,8.9,8.5,.459,16.9,27.6,.214,.2671,94.7,103.4,61.4,-.076,.4697,103.2,104.3,.5228
Colorado,32,15,17,.469,8.03,7.22,7,11,13,7,2,10,2193,2167,,65.5,103.1,.414,.287,.529,52.9,48.6,8.6,10.4,.484,17.1,33.5,.297,.6570,104.8,99.0,65.5,-.042,.6608,105.9,99.9,.4780
Colorado State,33,27,6,.818,8.83,0.86,13,5,18,2,9,4,2378,2095,,65.1,110.3,.414,.369,.541,54.3,59.9,8.5,9.4,.507,14.0,34.3,.281,.7389,108.9,99.5,66.9,+.098,.4946,101.7,101.9,.4570
Columbia,28,13,15,.464,-0.16,-1.27,5,9,9,8,4,7,1816,1737,,60.6,107.0,.286,.461,.550,51.9,52.3,8.1,12.8,.522,16.7,32.6,.205,.4710,105.5,106.6,60.9,-.090,.4768,100.8,101.6,.4672
Connecticut,34,20,14,.588,8.68,4.30,10,8,13,7,7,7,2182,2033,,61.8,103.5,.332,.351,.533,50.9,51.9,7.5,15.5,.500,16.2,30.4,.234,.7530,105.9,96.1,61.9,-.058,.5808,103.0,100.1,.5747
Coppin State,31,8,23,.258,-17.64,-4.57,6,10,4,8,4,15,2219,2558,,73.6,97.3,.310,.433,.507,42.8,51.5,9.1,9.2,.475,16.2,25.8,.214,.1563,99.0,114.7,74.2,-.008,.4377,100.8,103.0,.7388
Cornell,30,13,17,.433,-3.44,-1.78,5,9,8,8,5,9,1868,1838,,64.4,95.9,.392,.372,.505,47.3,50.7,9.6,14.5,.453,16.4,24.2,.293,.4078,94.6,97.7,64.7,-.032,.4720,100.9,101.9,.4510
Creighton,33,14,19,.424,7.83,7.40,4,14,11,10,3,9,2221,2207,,63.3,104.8,.363,.427,.533,51.5,60.2,6.9,7.6,.494,16.0,31.3,.263,.6814,108.3,101.4,62.7,-.082,.6631,105.0,99.0,.4014
Dartmouth,28,14,14,.500,-2.56,-3.31,7,7,8,4,6,10,1763,1742,,62.5,99.8,.363,.323,.520,50.8,54.6,12.0,10.1,.492,17.6,31.1,.234,.5016,100.2,100.2,63.6,-.025,.4467,100.4,102.3,.4126
Davidson,31,24,7,.774,13.16,3.06,14,4,15,3,9,4,2477,2138,,67.3,118.2,.292,.456,.584,50.6,60.9,8.1,8.8,.562,12.4,30.3,.207,.8342,118.7,103.1,67.0,+.037,.5752,103.0,100.3,.4528
Dayton,33,25,8,.758,10.84,3.54,13,5,19,1,6,7,2251,2010,,64.4,105.6,.487,.373,.564,49.2,60.8,10.8,8.3,.529,16.2,24.2,.332,.8083,107.2,94.6,63.9,+.022,.5685,102.9,100.5,.5079
DePaul,32,12,20,.375,3.59,7.78,6,12,9,9,3,11,2220,2354,,67.3,102.7,.365,.405,.544,45.9,52.2,9.8,11.8,.507,17.5,27.4,.263,.4986,105.0,105.1,67.0,-.001,.6751,105.8,99.3,.4156
Delaware,30,10,20,.333,-7.55,-1.49,9,9,5,10,5,10,1979,2161,,65.7,99.1,.381,.350,.509,48.7,55.7,6.4,10.1,.471,16.0,28.8,.261,.3293,100.0,106.4,65.9,+.023,.4785,102.5,103.3,.5465
Delaware State,35,18,17,.514,-10.22,-6.70,9,7,9,6,9,11,2476,2529,,69.0,102.1,.318,.379,.523,51.0,49.1,7.1,10.9,.488,16.7,32.2,.226,.3352,102.4,108.6,67.0,+.065,.4009,99.3,102.8,.6843
Denver,30,12,18,.400,-4.02,-3.19,6,10,9,8,3,10,1865,1890,,58.2,105.5,.312,.430,.593,45.5,69.6,10.1,7.1,.562,17.8,19.3,.239,.3753,103.7,108.4,57.6,-.068,.4200,101.1,104.0,.4711
Detroit Mercy,33,15,18,.455,-2.14,0.25,7,9,12,6,3,12,2334,2335,,68.2,102.5,.328,.319,.535,49.8,52.9,11.2,8.7,.506,16.8,30.1,.224,.4362,101.3,103.6,68.0,-.008,.5262,103.9,103.0,.6086
Drake,31,9,22,.290,-6.04,2.22,6,12,8,10,1,12,1844,2070,,58.9,100.2,.345,.351,.567,47.1,58.1,7.5,6.6,.528,20.3,23.4,.265,.2934,103.9,112.1,59.1,-.027,.5695,102.4,99.9,.5476
Drexel,30,11,19,.367,-5.42,-0.56,9,9,5,12,6,7,1787,1930,,61.4,96.5,.328,.344,.493,47.7,51.6,8.4,10.7,.447,14.8,28.0,.244,.3283,98.4,104.7,60.9,+.002,.4649,101.8,103.1,.5497
Duke,33,29,4,.879,24.08,9.05,15,3,19,2,10,2,2660,2164,,66.6,120.1,.402,.345,.594,54.5,54.2,10.7,10.1,.569,14.4,37.4,.278,.9385,121.9,96.2,66.2,+.067,.7036,107.0,99.3,.5494
Duquesne,31,12,19,.387,-2.64,1.69,6,12,10,9,2,10,2213,2303,,67.2,105.9,.323,.371,.537,50.0,58.0,7.6,9.2,.518,15.7,32.3,.202,.4226,107.5,110.5,67.5,-.016,.5295,101.7,100.6,.3162
East Carolina,33,14,19,.424,-2.59,1.25,6,12,12,8,2,11,2116,2176,,63.1,101.3,.317,.373,.518,47.6,59.1,10.0,5.7,.488,15.8,29.8,.216,.3791,102.0,106.4,61.8,-.003,.5112,101.5,101.1,.3540
East Tennessee State,30,16,14,.533,-4.70,-3.92,8,10,10,5,6,9,2201,2140,,68.7,105.8,.386,.446,.543,49.3,52.9,11.3,8.8,.504,16.0,30.8,.279,.3686,100.1,104.9,68.0,+.035,.4162,101.6,104.7,.6303
Eastern Illinois,32,18,14,.563,-5.39,-2.69,9,7,11,5,7,9,2029,2053,,62.8,100.1,.334,.379,.536,46.1,58.4,8.7,13.3,.512,17.0,24.5,.218,.3951,99.0,102.8,63.5,+.126,.4780,102.6,103.4,.5856
Eastern Kentucky,31,20,11,.645,0.14,-4.27,11,5,12,3,8,8,2238,1965,,65.7,109.0,.337,.469,.585,44.9,59.8,14.6,10.6,.547,15.8,23.2,.264,.6119,104.9,100.8,63.6,-.027,.4109,101.0,104.2,.5011
Eastern Michigan,34,21,13,.618,2.64,0.34,8,10,16,4,5,9,2362,2159,,66.7,103.0,.422,.377,.517,49.6,45.8,12.8,13.1,.470,15.1,31.7,.301,.5639,100.2,97.9,66.1,+.014,.5041,104.3,104.1,.4281
Eastern Washington,34,26,8,.765,0.57,-4.53,14,4,15,2,11,6,2746,2504,,68.3,117.4,.355,.420,.593,50.1,47.1,9.2,14.4,.565,13.8,30.0,.257,.5578,109.9,107.7,68.8,+.074,.4011,102.3,106.0,.5948
Elon,33,15,18,.455,-5.67,-2.44,6,12,10,8,5,10,2329,2329,,69.5,100.5,.365,.359,.521,48.4,48.8,9.2,3.7,.486,16.6,28.8,.249,.3082,96.9,104.0,68.2,+.053,.4379,102.6,104.8,.4388
Evansville,31,19,12,.613,2.76,0.29,9,9,13,7,6,5,2148,2003,,65.3,104.9,.448,.229,.564,50.5,64.3,8.5,9.4,.518,17.5,26.9,.334,.5681,102.4,100.0,66.0,+.017,.5006,101.8,101.8,.3724
Fairfield,31,7,24,.226,-8.73,-2.41,5,15,4,13,3,11,1845,2041,,62.1,93.9,.371,.389,.497,46.7,52.8,7.8,11.3,.452,17.7,27.3,.266,.2193,93.3,104.2,61.7,-.086,.4265,100.7,103.4,.4895
Fairleigh Dickinson,29,8,21,.276,-12.01,-4.33,3,15,4,9,4,12,1956,2130,,67.7,98.3,.336,.379,.509,43.1,47.7,12.7,9.1,.473,16.4,28.1,.233,.1575,96.0,111.1,67.7,+.052,.4130,100.8,104.0,.5917
Florida,33,16,17,.485,13.73,10.13,8,10,12,8,4,9,2101,1982,,62.8,100.6,.314,.382,.519,50.9,56.3,10.9,10.8,.496,16.9,31.7,.199,.8048,103.5,91.5,62.9,-.117,.7461,107.5,97.9,.6018
Florida A&M,29,2,27,.069,-25.78,-8.27,2,14,2,10,0,17,1607,2115,,65.7,84.3,.378,.281,.454,45.1,43.0,7.5,5.7,.413,19.2,26.8,.245,.0339,85.5,114.4,66.3,-.020,.3205,98.5,105.1,.4486
Florida Atlantic,29,9,20,.310,-7.59,-1.85,2,16,7,7,2,13,1815,1934,,64.2,97.1,.286,.391,.511,47.0,45.6,6.7,10.4,.485,17.3,26.9,.193,.2305,97.3,108.1,64.2,-.055,.4675,101.0,102.2,.4615
Florida Gulf Coast,32,22,10,.688,-1.15,-4.63,11,3,16,4,6,6,2155,2010,,64.8,103.5,.322,.308,.513,52.1,57.1,8.6,9.9,.483,15.4,34.6,.216,.4521,99.7,101.4,64.4,+.058,.3602,101.1,106.3,.5311
Florida International,33,16,17,.485,-7.54,-3.00,8,10,10,6,6,11,2060,2153,,65.4,94.3,.382,.287,.515,49.7,49.9,10.3,12.4,.487,19.9,29.0,.243,.2832,94.5,102.5,65.3,+.090,.4344,100.3,102.6,.3739
Florida State,33,17,16,.515,6.95,7.28,8,10,13,9,4,7,2199,2210,,65.7,100.6,.469,.282,.539,50.9,49.8,8.3,13.1,.501,19.2,31.8,.314,.6292,102.3,97.7,66.4,+.037,.6280,105.1,100.5,.3596
Fordham,31,10,21,.323,-1.87,2.99,4,14,9,10,1,11,2015,2144,,66.3,97.6,.326,.358,.509,52.2,54.9,10.1,10.8,.470,18.7,34.2,.237,.4092,100.5,103.7,65.7,-.060,.5671,101.9,99.6,.4040
Fresno State,32,15,17,.469,-1.92,1.61,10,8,11,4,4,13,2086,2123,,64.3,100.1,.391,.330,.520,47.6,46.3,12.0,10.1,.481,15.3,27.0,.270,.4289,100.6,103.2,65.5,+.067,.5349,101.5,100.3,.4891
Furman,33,11,22,.333,-10.46,-3.36,5,13,8,8,3,14,2098,2245,,63.1,100.0,.438,.403,.530,49.4,48.8,8.7,9.6,.494,18.3,29.8,.293,.2110,97.1,108.9,62.5,-.024,.4185,102.1,105.0,.5942
Gardner-Webb,34,20,14,.588,-5.36,-3.46,10,8,13,4,7,10,2541,2508,,68.4,107.7,.381,.402,.545,50.5,62.5,9.6,6.9,.517,15.4,31.6,.253,.4078,105.3,108.8,67.8,+.093,.4673,102.4,103.6,.6809
George Mason,31,9,22,.290,-1.08,4.95,4,14,7,11,2,11,1996,2147,,65.1,97.7,.406,.244,.503,52.2,44.5,9.2,9.5,.465,18.5,36.0,.271,.3986,100.9,104.6,64.4,-.033,.6384,103.9,98.9,.6102
George Washington,34,22,12,.647,8.77,2.95,10,8,14,3,8,9,2277,2079,,63.3,104.7,.397,.287,.523,53.0,49.5,8.8,10.1,.487,16.1,35.8,.268,.7338,104.8,95.9,62.1,+.016,.5663,103.5,101.1,.4333
Georgetown,31,21,10,.677,16.06,10.00,12,6,14,5,7,5,2192,2004,,64.7,107.6,.441,.316,.549,52.1,54.4,11.8,13.5,.509,16.6,34.3,.310,.8670,110.3,93.7,64.4,-.002,.7229,107.6,99.0,.5907
Georgia,32,21,11,.656,12.96,8.81,11,7,13,6,8,5,2187,2054,,64.7,103.2,.478,.313,.533,52.9,55.4,8.4,13.0,.489,16.8,32.3,.329,.8229,107.2,93.8,64.2,+.010,.7060,106.3,98.5,.5342
Georgia Southern,31,22,9,.710,-0.49,-4.81,14,6,14,3,8,6,2112,1865,,65.0,104.0,.349,.419,.513,51.3,49.2,11.1,9.7,.482,15.2,34.2,.233,.5482,97.9,96.2,63.3,+.022,.3887,99.4,103.3,.3109
Georgia State,33,24,9,.727,5.02,-3.17,15,5,14,1,10,8,2375,2053,,64.8,109.8,.390,.277,.564,49.5,52.7,13.9,10.7,.526,14.5,30.4,.283,.7401,108.5,99.1,63.3,-.008,.4522,100.1,101.8,.5970
Georgia Tech,31,12,19,.387,7.39,8.68,3,15,10,9,2,10,1962,2002,,63.9,97.4,.311,.273,.475,55.2,49.3,8.8,7.9,.444,16.1,38.7,.202,.6564,100.0,94.5,63.9,-.070,.6903,106.7,99.5,.4996
Gonzaga,34,32,2,.941,21.85,4.73,17,1,19,1,13,1,2690,2071,,65.1,121.1,.391,.320,.611,55.3,57.7,9.5,9.0,.589,14.2,34.2,.270,.9431,119.4,93.5,65.0,+.013,.5909,104.6,101.3,.6049
Grambling,29,2,27,.069,-30.42,-7.76,0,18,2,9,0,18,1509,2105,,65.7,79.2,.412,.258,.445,47.3,43.9,8.1,4.9,.398,22.5,29.9,.268,.0161,79.9,114.3,65.5,-.078,.3275,98.4,104.8,.7900
Grand Canyon,31,17,14,.548,-6.56,-5.52,8,6,13,7,4,7,2128,2113,,64.3,106.7,.411,.354,.551,47.4,51.0,8.2,9.2,.513,15.4,27.4,.292,.2797,105.2,114.2,64.8,+.034,.2957,97.9,105.6,.3593
Green Bay,32,24,8,.750,6.07,-0.66,12,4,14,1,10,7,2196,1937,,64.8,105.4,.396,.263,.529,52.1,55.7,11.4,12.4,.501,15.5,33.2,.256,.7329,102.2,93.6,65.2,+.036,.5009,103.4,103.4,.5661
Hampton,34,17,17,.500,-8.50,-7.97,8,8,10,5,7,12,2290,2308,,69.4,96.7,.440,.327,.498,50.5,47.5,9.5,10.8,.460,17.6,32.4,.285,.3432,95.6,101.2,69.7,+.029,.3228,98.2,104.8,.4871
Hartford,30,14,16,.467,-8.40,-4.99,7,9,7,8,7,8,1858,1924,,63.4,96.5,.299,.452,.510,47.2,56.1,9.7,5.5,.478,16.8,25.7,.209,.2382,95.7,105.8,63.8,+.076,.3785,98.7,103.1,.4876
Harvard,29,22,7,.759,4.17,-0.79,12,3,13,3,9,4,1861,1660,,61.2,103.0,.395,.267,.525,52.8,57.5,11.3,12.2,.483,16.3,32.7,.281,.7047,102.0,94.6,61.5,+.114,.4976,102.3,102.4,.5308
