School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,29,22,7,.759,9.12,0.08,12,2,13,0,8,5,1737,1475,.373,.532,.607,43.4,66.0,5.7,.582,18.2,.265
Akron,28,13,15,.464,-0.39,0.00,7,11,9,4,4,11,2009,2020,.461,.320,.552,48.6,60.8,4.3,.524,18.4,.298
Alabama A&M,30,13,17,.433,-15.88,-12.29,9,9,8,4,3,12,2113,2220,.400,.333,.504,48.8,52.4,4.5,.462,18.8,.275
Alabama-Birmingham,32,22,10,.688,11.76,5.63,12,4,14,1,5,5,2414,2218,.327,.322,.521,46.6,63.9,6.5,.493,15.7,.218
Alabama State,31,16,15,.516,-11.10,-10.78,11,7,7,4,5,9,1904,1913,.454,.339,.514,51.9,49.3,5.8,.476,22.5,.297
Alabama,33,20,13,.606,14.29,10.20,8,8,11,4,4,6,2380,2245,.408,.342,.553,50.4,48.6,5.9,.516,16.4,.289
Albany (NY),28,5,23,.179,-15.33,-7.47,3,15,3,10,2,12,1621,1841,.263,.305,.483,47.2,52.5,4.0,.446,20.8,.194
Alcorn State,29,11,18,.379,-20.17,-11.79,9,9,6,6,4,11,1855,2098,.389,.303,.515,49.7,50.9,3.7,.478,23.7,.264
American,31,18,13,.581,-4.59,-7.04,10,4,7,4,7,8,2092,2016,.391,.341,.537,52.1,56.6,4.4,.505,18.5,.264
Appalachian State,30,9,21,.300,-5.83,-1.18,4,12,4,8,4,11,2091,2170,.295,.334,.489,47.1,57.0,8.2,.463,18.8,.189
Arizona State,27,10,17,.370,2.83,5.35,4,14,7,8,2,9,2000,2068,.497,.319,.540,49.9,65.9,5.4,.485,18.1,.365
Arizona,30,20,10,.667,15.30,6.63,11,7,13,2,5,5,2614,2354,.335,.293,.582,52.7,59.4,6.9,.543,16.6,.264
Little Rock,29,17,12,.586,-1.00,-3.97,9,5,12,2,3,8,2081,1895,.470,.292,.541,53.5,49.9,6.0,.491,19.1,.339
Arkansas-Pine Bluff,27,1,26,.037,-30.69,-8.54,1,17,0,10,1,16,1410,2008,.266,.328,.421,44.3,52.6,4.1,.390,23.6,.170
Arkansas State,28,17,11,.607,-1.57,-4.42,7,7,10,4,6,5,2078,1957,.406,.348,.551,50.6,44.6,5.1,.509,18.7,.296
Arkansas,28,12,16,.429,6.53,6.28,4,12,10,6,1,8,1928,1921,.354,.352,.507,48.5,53.5,7.1,.471,16.9,.241
Army,27,6,21,.222,-22.76,-7.72,3,11,4,11,2,8,1363,1708,.363,.374,.462,43.6,59.3,3.7,.423,23.9,.238
Auburn,28,14,14,.500,10.32,5.89,5,11,12,5,1,8,1960,1836,.354,.340,.525,53.2,61.0,8.8,.496,19.3,.235
Austin Peay,32,22,10,.688,1.42,-1.38,16,0,13,0,8,8,2098,1935,.378,.332,.532,51.4,54.8,7.7,.496,18.2,.262
Ball State,29,14,15,.483,1.03,1.78,10,8,10,5,4,9,2046,2032,.406,.267,.518,48.8,51.9,3.9,.469,16.1,.296
Baylor,29,8,21,.276,-2.73,5.20,3,13,6,11,1,9,1847,2041,.345,.347,.515,48.3,53.5,4.6,.481,19.9,.238
Belmont,30,21,9,.700,1.70,-4.68,15,5,12,4,9,5,2171,1947,.346,.501,.570,48.5,66.3,4.3,.546,18.7,.237
Bethune-Cookman,29,8,21,.276,-18.49,-10.63,7,11,5,6,3,14,1711,1939,.298,.360,.484,47.9,50.5,4.0,.448,20.7,.209
Binghamton,30,14,16,.467,-9.09,-6.33,10,8,6,5,6,7,1802,1885,.385,.328,.492,51.3,49.8,9.9,.459,21.7,.246
Birmingham-Southern,27,20,7,.741,-3.27,-9.79,12,4,12,1,7,5,1998,1760,.402,.400,.594,54.4,62.6,6.0,.568,20.3,.280
