School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Abilene Christian,31,13,18,.419,-13.78,-7.38,8,10,10,5,2,12,2209,2272,,69.7,101.4,.383,.335,.548,49.0,54.7,10.7,6.6,.514,17.3,26.0,.269,.1755,96.9,110.8,68.5,+.024,.3356,101.4,107.6,.4687
Air Force,32,14,18,.438,-5.50,0.67,5,13,12,5,2,13,2189,2330,,69.0,97.7,.402,.339,.523,48.3,55.9,8.7,5.9,.485,16.9,24.7,.275,.3095,98.0,105.1,67.6,+.086,.5003,102.8,102.8,.3966
Akron,34,26,8,.765,5.89,-1.39,13,5,15,0,6,7,2619,2309,,69.3,111.2,.313,.503,.559,50.2,56.0,7.8,9.8,.533,13.7,29.0,.217,.6986,108.6,101.0,68.3,+.025,.4839,104.0,104.6,.4500
Alabama,32,18,14,.563,7.84,8.81,8,10,10,4,5,7,2139,2170,,66.2,100.2,.412,.433,.529,47.8,46.9,8.4,14.1,.501,17.6,28.2,.264,.6824,104.2,97.5,65.3,+.093,.7129,108.9,100.6,.6115
Alabama A&M,29,11,18,.379,-13.24,-10.52,6,12,6,5,4,12,1974,2042,,65.6,102.4,.393,.367,.510,49.4,53.7,8.5,5.7,.471,15.0,31.5,.269,.1822,99.3,113.1,65.9,-.046,.2834,97.5,105.7,.5091
Alabama State,31,14,17,.452,-12.81,-9.05,9,9,8,3,5,12,2217,2308,,69.5,101.2,.325,.337,.501,49.7,47.2,8.3,9.1,.467,14.5,31.5,.222,.2431,98.8,109.1,69.8,+.029,.3278,99.2,105.6,.6068
Alabama-Birmingham,32,26,6,.813,3.86,-3.50,16,2,16,0,10,3,2527,2226,,69.3,112.2,.334,.336,.571,52.7,64.4,9.2,15.5,.542,15.4,33.1,.239,.6211,107.3,102.8,69.3,+.079,.3789,101.9,106.4,.3858
Albany (NY),32,24,8,.750,1.18,-7.72,13,3,14,1,10,7,2405,2086,,67.6,110.4,.454,.317,.559,55.4,49.1,9.7,4.7,.510,16.0,35.5,.340,.6169,106.0,101.7,67.5,-.030,.3506,101.2,106.8,.4338
Alcorn State,30,15,15,.500,-15.78,-9.70,13,5,9,2,6,9,2014,2164,,66.4,99.0,.400,.335,.500,50.8,39.4,6.6,10.3,.460,17.7,35.0,.271,.2105,98.7,110.7,66.0,+.103,.3052,98.8,106.1,.5832
American,31,12,19,.387,-13.91,-5.82,9,9,5,7,7,12,1785,2036,,61.9,92.3,.317,.385,.522,46.8,55.2,9.1,6.3,.490,19.9,23.5,.221,.2055,93.4,105.1,62.4,+.111,.4191,102.4,105.3,.5360
Appalachian State,31,9,22,.290,-7.74,-0.94,7,13,6,7,2,12,2187,2398,,70.8,99.6,.391,.401,.514,49.7,49.7,5.8,7.5,.472,18.0,32.9,.275,.3105,102.5,109.9,71.2,-.016,.5233,103.6,102.7,.5923
Arizona,33,25,8,.758,19.48,7.27,12,6,17,1,5,5,2680,2277,,69.9,113.6,.441,.292,.576,56.5,51.6,6.9,11.4,.538,15.5,35.0,.319,.8923,116.0,96.5,69.2,-.033,.6301,106.2,101.4,.3888
