School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Boise State,31,20,11,.645,5.90,2.50,12,6,11,3,8,6,2348,2207,,70.5,107.4,.416,.401,.560,51.4,47.9,7.0,6.1,.523,15.8,28.3,.297,+6.50,109.7,103.2,68.9,+.024,+2.44,105.5,103.1,+1.64
Boston College,32,9,23,.281,2.28,8.15,2,16,8,10,0,9,2320,2508,,72.5,100.0,.296,.364,.541,50.2,56.1,7.7,7.2,.516,17.9,25.7,.201,+0.42,104.3,103.9,70.6,-.032,+9.15,110.6,101.4,-6.13
Boston University,32,18,14,.563,-2.34,-3.57,12,6,11,5,6,9,2339,2264,,70.0,102.8,.336,.419,.547,50.1,55.0,11.6,7.7,.517,17.7,28.1,.234,-2.08,101.4,103.4,69.2,+.003,-4.23,101.7,105.9,-0.54
Bowling Green State,32,13,19,.406,-5.82,-1.82,7,11,10,7,3,12,2355,2453,,72.7,100.1,.361,.329,.514,48.8,46.9,9.4,7.1,.481,15.1,28.1,.241,-7.21,100.0,107.2,69.5,+.010,-1.60,103.8,105.4,-5.99
Bradley,33,13,20,.394,-2.77,3.01,7,11,8,7,3,10,2163,2333,,68.7,95.0,.418,.354,.524,49.2,50.9,8.9,10.5,.488,19.5,26.0,.281,-4.30,98.5,102.8,67.1,+.018,+2.71,105.9,103.2,+0.64
Brigham Young,34,22,12,.647,8.23,1.88,12,6,14,4,5,4,2741,2525,,75.6,106.7,.422,.325,.555,53.5,57.0,8.7,11.7,.511,16.0,29.1,.310,+9.68,109.1,99.4,75.0,+.010,+0.33,104.2,103.9,-2.20
Brown,30,13,17,.433,-8.48,-4.02,4,10,9,7,4,8,2275,2338,,72.1,105.1,.445,.401,.566,47.8,54.3,10.5,5.3,.516,17.6,27.1,.338,-9.81,104.1,113.9,70.8,+.017,-5.23,101.3,106.5,-9.40
Bryant,32,12,20,.375,-9.62,-5.36,9,9,9,5,2,15,2373,2478,,70.0,103.2,.332,.366,.535,49.4,54.8,9.5,5.8,.499,16.2,29.5,.239,-10.37,101.7,112.0,68.7,-.014,-6.17,100.7,106.8,+3.35
Bucknell,35,26,9,.743,6.01,-2.36,15,3,14,2,9,6,2669,2376,,70.7,107.9,.372,.384,.578,50.6,54.1,10.2,9.7,.553,16.8,26.7,.253,+8.71,109.1,100.3,69.3,+.018,-4.37,100.9,105.3,+1.09
Buffalo,32,17,15,.531,1.11,-0.82,11,7,8,4,8,7,2486,2375,,73.1,105.8,.366,.374,.545,53.1,52.3,7.7,10.2,.513,16.9,33.6,.253,+3.11,105.3,102.2,70.9,-.053,-0.17,105.3,105.5,+2.76
Butler,33,25,8,.758,17.98,9.92,12,6,13,3,7,4,2515,2249,,67.1,112.7,.372,.374,.582,50.9,50.1,9.0,8.6,.548,13.5,27.3,.275,+20.91,118.0,97.1,64.9,-.001,+10.72,110.6,99.9,+5.29
Cal Poly,31,11,20,.355,-10.75,-4.27,6,10,6,6,5,11,2082,2242,,66.8,99.8,.297,.421,.507,46.5,44.4,7.8,9.2,.475,14.0,25.8,.207,-13.18,99.9,113.0,64.9,+.013,-4.18,100.7,104.9,+2.64
Cal State Bakersfield,32,23,9,.719,2.60,-2.85,12,2,12,1,9,6,2280,2020,,69.8,100.2,.368,.316,.519,52.6,56.3,11.8,12.5,.494,17.8,33.5,.232,+4.52,98.0,93.5,66.0,-.004,-3.53,101.9,105.5,-1.04
Cal State Fullerton,32,17,15,.531,-7.49,-6.79,10,6,12,4,4,8,2351,2280,,71.2,100.4,.404,.341,.533,52.2,47.1,9.5,9.9,.497,17.9,29.5,.277,-8.54,97.0,105.5,68.1,+.034,-8.82,99.7,108.5,-7.89
Cal State Northridge,30,11,19,.367,-8.28,-4.06,7,9,7,7,4,8,2341,2440,,74.6,104.6,.459,.238,.550,49.0,51.0,9.2,7.0,.503,15.8,27.9,.334,-10.60,104.0,114.6,72.3,-.032,-5.96,99.9,105.8,+0.71
Campbell,35,18,17,.514,-10.21,-7.93,7,11,10,7,6,9,2516,2470,,68.0,105.0,.375,.396,.570,49.3,47.4,9.7,11.3,.530,17.1,24.2,.282,-11.36,99.3,110.7,65.0,+.035,-7.53,101.3,108.8,-5.06
Canisius,34,18,16,.529,-2.84,-3.52,10,10,7,7,9,8,2665,2642,,71.5,108.9,.309,.403,.562,48.3,63.7,9.4,4.9,.531,15.9,30.2,.227,-1.63,108.3,109.9,69.2,+.016,-3.04,102.8,105.8,-0.82
Central Arkansas,32,8,24,.250,-13.20,-3.92,7,11,5,6,3,16,2395,2692,,72.2,102.4,.360,.321,.535,48.8,55.6,7.6,7.4,.498,16.6,28.7,.258,-13.51,104.0,117.5,70.6,-.014,-3.03,103.0,106.0,+6.91
Central Connecticut State,29,6,23,.207,-17.42,-7.59,4,14,3,9,3,14,1827,2112,,66.5,93.9,.333,.261,.492,48.5,50.5,8.5,6.9,.467,18.2,31.5,.207,-21.08,92.8,113.9,64.4,-.023,-8.06,99.3,107.4,-3.67
Central Florida,33,22,11,.667,9.52,2.98,11,7,14,3,5,6,2230,2014,,66.2,101.7,.405,.396,.538,55.8,49.0,5.8,10.9,.509,18.8,32.8,.265,+11.00,103.8,92.8,65.2,-.002,+2.06,104.9,102.9,-6.41
Central Michigan,32,16,16,.500,-5.60,-2.47,6,12,10,5,5,9,2826,2807,,77.8,112.2,.354,.518,.562,47.7,39.7,7.2,6.6,.516,12.6,27.7,.280,-6.03,111.5,117.6,74.8,+.053,-1.94,103.2,105.1,-5.19
Charleston Southern,31,12,19,.387,-12.32,-6.25,7,11,9,6,3,12,2304,2343,,69.7,105.3,.344,.358,.530,50.1,41.4,8.0,8.4,.502,14.1,29.0,.229,-13.40,103.2,116.6,67.7,+.007,-5.64,101.1,106.7,+4.73
Charlotte,30,13,17,.433,-5.14,-0.83,7,11,10,5,3,9,2295,2407,,74.4,102.4,.341,.349,.548,44.8,45.1,8.5,7.3,.509,14.9,20.6,.254,-6.29,103.2,109.4,72.3,+.033,-1.72,103.4,105.1,+2.25
Chattanooga,31,19,12,.613,1.34,-1.84,10,8,11,3,7,7,2314,2132,,68.2,108.9,.394,.388,.567,49.1,47.1,11.3,12.4,.533,16.8,30.6,.280,+4.59,106.7,102.1,65.0,-.010,-0.56,105.7,106.3,+2.64
Chicago State,32,6,26,.188,-16.70,-0.22,1,13,3,7,2,17,2089,2511,,70.3,91.4,.296,.354,.476,46.8,48.7,9.4,6.6,.439,16.7,26.8,.207,-19.38,91.9,111.3,66.6,-.009,+1.60,104.5,102.9,+5.89
Cincinnati,36,30,6,.833,18.50,5.55,16,2,18,0,8,3,2674,2208,,65.2,113.2,.325,.361,.547,53.3,57.5,11.0,13.9,.520,13.0,35.5,.223,+22.32,114.3,91.9,63.4,+.029,+3.56,106.5,103.0,-0.22
Citadel,33,12,21,.364,-12.62,-2.68,4,14,8,8,3,12,2964,3121,,82.7,107.4,.340,.494,.541,45.9,57.2,11.1,5.9,.500,14.7,30.0,.258,-10.74,105.6,116.4,79.3,+.023,-1.05,104.9,106.0,-2.00
Clemson,33,17,16,.515,13.27,10.03,6,12,11,6,3,7,2468,2361,,67.7,110.0,.343,.345,.547,49.3,47.5,10.5,10.7,.511,13.6,31.4,.251,+15.88,115.9,100.0,65.9,-.053,+11.52,111.2,99.7,+2.16
Cleveland State,31,9,22,.290,-6.61,-1.41,5,13,5,6,2,14,2083,2222,,68.8,96.1,.294,.386,.497,47.0,43.9,10.2,8.7,.465,16.2,28.8,.203,-6.81,96.4,103.2,64.9,-.090,-0.97,104.8,105.8,+5.16
