School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
North Carolina-Greensboro,33,11,22,.333,-7.85,-4.22,6,12,7,12,4,10,2290,2337,0,838,1895,.442,216,598,.361,398,613,.649,364,1138,400,206,109,414,711,67.1,102.7,.323,.316,.524,50.4,47.7,9.2,8.4,.499,16.1,31.4,.210,.2753,97.9,106.5,66.0,-.125,.3803,101.4,105.8,.4626
North Carolina-Wilmington,31,18,13,.581,-1.92,-1.82,12,6,10,3,8,10,2168,2113,0,785,1771,.443,156,448,.348,442,655,.675,349,1096,350,238,136,388,640,67.8,102.0,.370,.253,.521,50.0,44.6,11.2,10.3,.487,15.9,31.8,.250,.4947,99.1,99.3,67.7,+.062,.4699,102.8,103.8,.5829
North Dakota,30,8,22,.267,-12.26,-3.83,4,14,3,10,5,12,2032,2201,0,713,1637,.436,180,543,.331,426,628,.678,260,961,353,189,94,373,640,68.2,98.5,.384,.332,.525,47.4,49.5,9.2,8.6,.491,16.3,25.0,.260,.1750,95.3,109.1,68.1,-.031,.4347,103.1,105.4,.6496
North Dakota State,32,23,9,.719,-2.18,-4.48,12,4,16,0,7,9,2065,1971,0,714,1659,.430,220,579,.380,417,602,.693,271,1074,310,153,120,312,482,61.6,103.5,.363,.349,.531,51.6,43.4,7.7,11.1,.497,14.0,26.0,.251,.5254,101.0,100.1,61.2,+.117,.3855,100.6,104.8,.4008
North Florida,34,23,11,.676,-0.30,-5.72,12,2,12,2,11,9,2574,2304,0,872,1858,.469,308,788,.391,522,721,.724,326,1177,491,213,142,417,545,67.6,112.1,.388,.424,.585,50.5,56.3,9.3,13.3,.552,16.1,29.8,.281,.5779,105.6,102.8,67.1,-.007,.3619,100.4,105.4,.5704
North Texas,31,14,17,.452,-4.66,-0.42,8,10,11,7,3,10,2025,2113,0,726,1678,.433,147,489,.301,426,677,.629,338,1094,310,209,103,420,548,67.0,97.1,.403,.291,.506,49.5,42.7,10.0,8.7,.476,17.5,31.0,.254,.3340,97.5,103.6,65.8,+.046,.4779,102.3,103.1,.4614
Northeastern,34,23,11,.676,1.95,-1.64,12,6,10,3,13,8,2332,2210,0,811,1670,.486,200,515,.388,510,703,.725,284,1127,485,181,129,467,484,63.5,106.8,.421,.308,.582,53.9,59.8,8.3,11.2,.546,19.1,29.6,.305,.6016,106.1,102.3,63.7,+.037,.4635,102.2,103.5,.5521
Northern Arizona,33,19,14,.576,-4.06,-4.44,13,5,13,2,6,12,2246,2208,0,751,1856,.405,229,646,.354,515,692,.744,424,1244,400,158,128,394,626,64.9,104.0,.373,.348,.514,53.9,53.3,7.3,10.6,.466,15.4,35.3,.277,.4354,100.3,102.6,64.6,+.040,.4051,102.8,106.3,.6017
Northern Colorado,30,15,15,.500,-6.83,-6.22,10,8,12,3,3,12,2242,2203,0,804,1691,.475,204,535,.381,430,602,.714,342,978,370,196,59,313,594,64.0,114.8,.356,.316,.567,49.5,46.0,10.0,5.1,.536,13.8,33.9,.254,.2934,107.6,116.2,63.6,-.013,.3431,100.5,106.4,.4104
Northern Illinois,30,14,16,.467,-1.36,0.30,8,10,10,5,4,11,1971,1989,0,661,1543,.428,149,470,.317,500,735,.680,373,1039,294,226,73,426,573,64.0,101.4,.476,.305,.521,52.7,44.5,11.6,6.8,.477,18.6,36.7,.324,.4817,101.4,102.0,62.9,+.005,.5243,103.8,103.0,.4258
