Team_1,Team_2,Team_1_Score,Team_2_Score,Result
Arkansas-Pine Bluff,Duke,44,73,0
Louisville,California,62,77,0
Utah State,Texas A&M,53,69,0
Siena,Purdue,64,72,0
Old Dominion,Notre Dame,51,50,1
Sam Houston State,Baylor,59,68,0
Richmond,Saint Mary's,71,80,0
Robert Morris,Villanova,70,73,0
California,Duke,53,68,0
Texas A&M,Purdue,61,63,0
Old Dominion,Baylor,68,76,0
Villanova,Saint Mary's,68,75,0
Purdue,Duke,57,70,0
Saint Mary's,Baylor,49,72,0
Duke,Baylor,78,71,1
Kentucky,ETSU,100,71,1
Texas,Wake Forest,80,81,0
Cornell,Temple,78,65,1
Wofford,Wisconsin,49,53,0
Marquette,Washington,78,80,0
New Mexico,Montana,62,57,1
Missouri,Clemson,86,78,1
West Virginia,Morgan State,77,50,1
Kentucky,Wake Forest,90,60,1
Wisconsin,Cornell,69,87,0
Washington,New Mexico,82,64,1
West Virginia,Missouri,68,59,1
Kentucky,Cornell,62,45,1
West Virginia,Washington,69,56,1
West Virginia,Kentucky,73,66,1
Kansas,Lehigh,90,74,1
Northern Iowa,UNLV,69,66,1
Michigan State,New Mexico State,70,67,1
Maryland,Houston,89,77,1
San Diego State,Tennessee,59,62,0
Georgetown,Ohio,83,97,0
Oklahoma State,Georgia Tech,59,64,0
UCSB,Ohio State,51,68,0
Kansas,Northern Iowa,67,69,0
Maryland,Michigan State,83,85,0
Ohio,Tennessee,68,83,0
Ohio State,Georgia Tech,75,66,1
Northern Iowa,Michigan State,52,59,0
Ohio State,Tennessee,73,76,0
Michigan State,Tennessee,70,69,1
Syracuse,Vermont,79,56,1
Gonzaga,Florida State,67,60,1
Butler,UTEP,77,59,1
Murray State,Vanderbilt,66,65,1
Xavier,Minnesota,65,54,1
Pitt,Oakland,89,66,1
BYU,Florida,99,92,1
Kansas State,North Texas,82,62,1
Syracuse,Gonzaga,87,65,1
Butler,Murray State,54,52,1
Xavier,Pitt,71,68,1
BYU,Kansas State,72,84,0
Syracuse,Butler,59,63,0
Kansas State,Xavier,101,96,1
Butler,Kansas State,63,56,1
West Virginia,Duke,57,78,0
Butler,Michigan State,52,50,1
Butler,Duke,59,61,0
