Team1,Team2,Points1,Points2,Result,G1,W1,L1,W-L%1,SRS1,SOS1,ConfW1,ConfL1,HomeW1,HomeL1,AwayW1,AwayL1,Tm.1,Opp.1,MP1,FG1,FGA1,FG%1,3P1,3PA1,3P%1,FT1,FTA1,FT%1,ORB1,TRB1,AST1,STL1,BLK1,TOV1,PF1,Pace1,ORtg1,FTr1,3PAr1,TS%1,TRB%1,AST%1,STL%1,BLK%1,eFG%1,TOV%1,ORB%1,FT/FGA1,AdjEM1,AdjO1,AdjD1,AdjT1,Luck1,SOS AdjEM1,OppO1,OppD1,NCSOS AdjEM1,G2,W2,L2,W-L%2,SRS2,SOS2,ConfW2,ConfL2,HomeW2,HomeL2,AwayW2,AwayL2,Tm.2,Opp.2,MP2,FG2,FGA2,FG%2,3P2,3PA2,3P%2,FT2,FTA2,FT%2,ORB2,TRB2,AST2,STL2,BLK2,TOV2,PF2,Pace2,ORtg2,FTr2,3PAr2,TS%2,TRB%2,AST%2,STL%2,BLK%2,eFG%2,TOV%2,ORB%2,FT/FGA2,AdjEM2,AdjO2,AdjD2,AdjT2,Luck2,SOS AdjEM2,OppO2,OppD2,NCSOS AdjEM2
Northeastern,Notre Dame,65,69,0,34,23,11,.676,1.95,-1.64,12,6,10,3,13,8,2332,2210,0,811,1670,.486,200,515,.388,510,703,.725,284,1127,485,181,129,467,484,63.5,106.8,.421,.308,.582,53.9,59.8,8.3,11.2,.546,19.1,29.6,.305,.6016,106.1,102.3,63.7,+.037,.4635,102.2,103.5,.5521,34,29,5,.853,19.35,6.18,14,4,18,3,11,2,2680,2232,0,945,1853,.510,281,716,.392,509,688,.740,283,1114,514,234,121,319,483,64.1,121.3,.371,.386,.615,50.1,54.4,10.6,10.6,.586,12.9,28.1,.275,.9109,122.1,99.7,64.1,+.064,.5998,104.3,100.7,.2410
Indiana,Wichita State,76,81,0,33,20,13,.606,13.29,7.23,9,9,16,6,4,7,2557,2357,0,899,1930,.466,308,764,.403,451,631,.715,395,1187,463,167,105,379,580,66.9,115.4,.327,.396,.573,52.3,51.5,7.5,9.0,.546,14.7,35.3,.234,.7711,116.5,104.8,66.6,-.032,.6232,104.8,100.3,.3669,32,28,4,.875,15.19,2.39,17,1,15,0,13,4,2231,1786,0,784,1756,.446,224,619,.362,439,638,.688,380,1138,445,225,122,301,533,61.4,112.7,.363,.353,.542,54.0,56.8,11.4,10.7,.510,12.9,35.3,.250,.9048,113.0,92.9,62.1,+.018,.5452,102.0,100.4,.5977
New Mexico State,Kansas,56,75,0,33,23,10,.697,3.83,-4.40,13,1,16,2,7,8,2260,1958,0,788,1692,.466,160,435,.368,524,755,.694,414,1170,398,209,121,459,526,63.0,107.9,.446,.257,.551,55.3,50.5,10.0,9.6,.513,18.5,40.1,.310,.6651,104.0,98.0,63.7,-.051,.3454,99.3,105.0,.5270,34,26,8,.765,19.57,13.04,13,5,20,2,6,6,2421,2199,0,822,1869,.440,198,528,.375,579,804,.720,402,1290,451,222,171,435,599,66.8,106.2,.430,.283,.538,52.5,54.9,9.7,12.8,.493,16.4,34.9,.310,.9113,110.8,90.5,67.4,+.079,.7949,108.5,96.4,.7306
Kentucky,Cincinnati,64,51,1,34,34,0,1.000,29.57,8.62,18,0,20,0,14,0,2547,1835,0,883,1884,.469,185,529,.350,596,825,.722,439,1298,500,223,234,361,579,63.9,116.0,.438,.281,.560,55.4,56.6,10.2,17.3,.518,13.8,40.4,.316,.9795,119.9,85.7,63.4,+.055,.6742,105.5,99.0,.5652,32,22,10,.688,10.68,3.59,13,5,16,5,6,5,1996,1769,0,716,1581,.453,161,483,.333,403,598,.674,351,1095,380,210,174,409,469,59.4,103.8,.378,.306,.535,53.9,53.1,10.9,15.8,.504,18.2,37.3,.255,.8239,106.6,93.2,60.0,-.027,.5703,102.3,99.9,.5516
Maryland,West Virginia,59,69,0,33,27,6,.818,13.99,7.75,14,4,18,2,9,4,2293,2087,0,741,1693,.438,241,647,.372,570,753,.757,302,1157,360,160,139,397,546,64.8,106.5,.445,.382,.559,51.1,48.6,7.4,13.3,.509,16.4,29.2,.337,.8251,108.4,94.7,64.4,+.131,.6435,105.6,100.4,.4460,32,23,9,.719,16.39,9.29,11,7,12,3,11,6,2366,2139,0,813,1975,.412,213,669,.318,527,798,.660,539,1177,465,350,91,418,748,69.2,106.1,.404,.339,.503,52.5,57.2,15.7,7.0,.466,15.2,40.9,.267,.8539,111.3,95.4,68.7,+.050,.7071,106.3,98.4,.4355
Butler,Notre Dame,64,67,0,32,22,10,.688,16.71,8.33,12,6,15,6,7,4,2226,1958,0,777,1771,.439,184,514,.358,488,718,.680,390,1175,368,204,94,364,564,64.5,106.5,.405,.290,.527,54.8,47.4,9.8,7.5,.491,14.9,35.5,.276,.8625,107.5,91.7,63.8,-.014,.6832,107.0,100.0,.4920,34,29,5,.853,19.35,6.18,14,4,18,3,11,2,2680,2232,0,945,1853,.510,281,716,.392,509,688,.740,283,1114,514,234,121,319,483,64.1,121.3,.371,.386,.615,50.1,54.4,10.6,10.6,.586,12.9,28.1,.275,.9109,122.1,99.7,64.1,+.064,.5998,104.3,100.7,.2410
Kansas,Wichita State,65,78,0,34,26,8,.765,19.57,13.04,13,5,20,2,6,6,2421,2199,0,822,1869,.440,198,528,.375,579,804,.720,402,1290,451,222,171,435,599,66.8,106.2,.430,.283,.538,52.5,54.9,9.7,12.8,.493,16.4,34.9,.310,.9113,110.8,90.5,67.4,+.079,.7949,108.5,96.4,.7306,32,28,4,.875,15.19,2.39,17,1,15,0,13,4,2231,1786,0,784,1756,.446,224,619,.362,439,638,.688,380,1138,445,225,122,301,533,61.4,112.7,.363,.353,.542,54.0,56.8,11.4,10.7,.510,12.9,35.3,.250,.9048,113.0,92.9,62.1,+.018,.5452,102.0,100.4,.5977
Kentucky,West Virginia,78,39,1,34,34,0,1.000,29.57,8.62,18,0,20,0,14,0,2547,1835,0,883,1884,.469,185,529,.350,596,825,.722,439,1298,500,223,234,361,579,63.9,116.0,.438,.281,.560,55.4,56.6,10.2,17.3,.518,13.8,40.4,.316,.9795,119.9,85.7,63.4,+.055,.6742,105.5,99.0,.5652,32,23,9,.719,16.39,9.29,11,7,12,3,11,6,2366,2139,0,813,1975,.412,213,669,.318,527,798,.660,539,1177,465,350,91,418,748,69.2,106.1,.404,.339,.503,52.5,57.2,15.7,7.0,.466,15.2,40.9,.267,.8539,111.3,95.4,68.7,+.050,.7071,106.3,98.4,.4355
Wichita State,Notre Dame,70,81,0,32,28,4,.875,15.19,2.39,17,1,15,0,13,4,2231,1786,0,784,1756,.446,224,619,.362,439,638,.688,380,1138,445,225,122,301,533,61.4,112.7,.363,.353,.542,54.0,56.8,11.4,10.7,.510,12.9,35.3,.250,.9048,113.0,92.9,62.1,+.018,.5452,102.0,100.4,.5977,34,29,5,.853,19.35,6.18,14,4,18,3,11,2,2680,2232,0,945,1853,.510,281,716,.392,509,688,.740,283,1114,514,234,121,319,483,64.1,121.3,.371,.386,.615,50.1,54.4,10.6,10.6,.586,12.9,28.1,.275,.9109,122.1,99.7,64.1,+.064,.5998,104.3,100.7,.2410
Notre Dame,Kentucky,66,68,0,34,29,5,.853,19.35,6.18,14,4,18,3,11,2,2680,2232,0,945,1853,.510,281,716,.392,509,688,.740,283,1114,514,234,121,319,483,64.1,121.3,.371,.386,.615,50.1,54.4,10.6,10.6,.586,12.9,28.1,.275,.9109,122.1,99.7,64.1,+.064,.5998,104.3,100.7,.2410,34,34,0,1.000,29.57,8.62,18,0,20,0,14,0,2547,1835,0,883,1884,.469,185,529,.350,596,825,.722,439,1298,500,223,234,361,579,63.9,116.0,.438,.281,.560,55.4,56.6,10.2,17.3,.518,13.8,40.4,.316,.9795,119.9,85.7,63.4,+.055,.6742,105.5,99.0,.5652
