Team_1,Team_2,Team_1_Score,Team_2_Score,Result
Southern,Gonzaga,58,64,0
Wichita State,Pitt,73,55,1
Ole Miss,Wisconsin,57,46,1
La Salle,Kansas State,63,61,1
Arizona,Belmont,81,64,1
New Mexico,Harvard,62,68,0
Notre Dame,Iowa State,58,76,0
Ohio State,Iona,95,70,1
Wichita State,Gonzaga,76,70,1
La Salle,Ole Miss,76,74,1
Arizona,Harvard,74,51,1
Ohio State,Iowa State,78,75,1
La Salle,Wichita State,58,72,0
Arizona,Ohio State,70,73,0
Wichita State,Ohio State,70,66,1
Louisville,North Carolina A&T;,79,48,1
Missouri,Colorado State,72,84,0
Oregon,Oklahoma State,68,55,1
Saint Louis,New Mexico State,64,44,1
Saint Mary's,Memphis,52,54,0
Valparaiso,Michigan State,54,65,0
Cincinnati,Creighton,63,67,0
Albany (NY),Duke,61,73,0
Colorado State,Louisville,56,82,0
Oregon,Saint Louis,74,57,1
Memphis,Michigan State,48,70,0
Duke,Creighton,66,50,1
Oregon,Louisville,69,77,0
Michigan State,Duke,61,71,0
Louisville,Duke,85,63,1
Western Kentucky,Kansas,57,64,0
Villanova,UNC,71,78,0
VCU,Akron,88,42,1
Michigan,South Dakota State,71,56,1
UCLA,Minnesota,63,83,0
Florida,Northwestern State,79,47,1
San Diego State,Oklahoma,70,55,1
Florida Gulf Coast,Georgetown,78,68,1
Kansas,UNC,70,58,1
Michigan,VCU,78,53,1
Minnesota,Florida,64,78,0
Florida Gulf Coast,San Diego State,81,71,1
Michigan,Kansas,87,85,1
Florida Gulf Coast,Florida,50,62,0
Michigan,Florida,79,59,1
James Madison,Indiana,62,83,0
Temple,NC State,76,72,1
UNLV,California,61,64,0
Montana,Syracuse,34,81,0
Bucknell,Butler,56,68,0
Marquette,Davidson,59,58,1
Colorado,Illinois,49,57,0
Pacific,Miami (FL),49,78,0
Temple,Indiana,52,58,0
California,Syracuse,60,66,0
Butler,Marquette,72,74,0
Miami (FL),Illinois,63,59,1
Indiana,Syracuse,50,61,0
Miami (FL),Marquette,61,71,0
Marquette,Syracuse,39,55,0
Louisville,Wichita State,72,68,1
Syracuse,Michigan,56,61,0
Louisville,Michigan,82,76,1
