School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Abilene Christian,31,16,15,.516,-8.95,-6.80,8,10,9,6,6,8,2286,2199,1245,838,1787,.469,207,625,.331,403,576,.700,286,1038,467,249,120,445,648,71.4,102.9,.322,.350,.555,49.3,55.7,11.2,11.3,.527,17.8,27.4,.226,-8.74,98.4,107.2,68.6,+.014,-6.32,101.8,108.1,-2.93
Air Force,31,12,19,.387,-4.04,2.00,6,12,9,7,3,10,2124,2244,1245,733,1751,.419,250,755,.331,408,556,.734,302,1014,445,201,78,391,557,67.7,100.8,.318,.431,.527,48.7,60.7,9.5,8.1,.490,16.3,27.5,.233,-6.11,100.9,107.0,65.9,+.022,+2.12,106.3,104.2,-4.69
Akron,32,14,18,.438,-6.68,-1.78,6,12,12,4,2,10,2296,2411,1295,793,1823,.435,305,848,.360,405,582,.696,300,1066,417,189,81,440,637,69.1,102.6,.319,.465,.547,49.1,52.6,8.4,7.5,.519,17.3,27.1,.222,-8.24,102.1,110.3,67.7,+.068,-1.95,104.8,106.8,-5.06
Alabama,34,19,15,.559,12.95,10.56,8,10,12,4,2,8,2460,2379,1280,812,1767,.460,201,622,.323,491,733,.670,320,1156,407,211,183,455,603,70.3,102.9,.414,.356,.548,50.2,49.5,9.1,14.9,.516,17.6,29.2,.279,+13.86,108.5,94.6,68.7,+.000,+11.05,111.0,100.0,+3.06
Alabama A&M,31,3,28,.097,-23.88,-7.94,3,15,2,9,1,18,1873,2367,1245,673,1697,.397,182,601,.303,345,533,.647,328,1046,340,123,49,514,506,68.3,88.1,.314,.354,.480,48.2,50.5,5.8,3.9,.450,20.9,29.4,.203,-28.53,86.8,115.3,65.6,-.040,-8.03,100.7,108.7,+5.00
Alabama State,31,8,23,.258,-18.46,-8.52,8,10,4,8,4,13,2129,2437,1245,751,1838,.409,209,638,.328,418,647,.646,394,1131,314,169,130,437,648,70.5,97.0,.352,.347,.496,47.9,41.8,7.7,11.2,.465,16.9,31.9,.227,-20.07,96.0,116.1,68.7,-.018,-9.09,99.6,108.7,+4.88
Alabama-Birmingham,33,20,13,.606,4.61,-0.94,10,8,14,3,5,6,2536,2303,1330,945,1939,.487,223,647,.345,423,564,.750,334,1259,559,178,126,437,490,69.5,109.8,.291,.334,.575,54.9,59.2,7.7,11.5,.545,16.5,31.3,.218,+5.79,109.7,103.9,67.6,-.047,-1.23,104.6,105.9,-6.79
Albany (NY),32,22,10,.688,0.15,-5.28,10,6,14,3,8,7,2375,2182,1280,839,1836,.457,184,502,.367,513,680,.754,377,1191,405,150,91,371,528,67.3,110.3,.370,.273,.550,55.3,48.3,7.0,7.9,.507,14.7,34.9,.279,+1.12,107.1,106.0,66.1,+.007,-6.71,101.7,108.4,-5.01
Alcorn State,32,11,21,.344,-17.88,-8.41,7,11,9,5,2,16,2244,2388,1285,791,1826,.433,239,708,.338,423,598,.707,304,1104,419,200,85,459,613,70.5,99.1,.327,.388,.532,48.4,53.0,8.8,7.7,.499,17.9,27.1,.232,-19.58,95.2,114.8,67.9,-.055,-8.95,100.0,109.0,+10.33
American,30,6,24,.200,-14.45,-5.98,3,15,4,8,2,16,1961,2215,1205,698,1615,.432,239,709,.337,326,491,.664,238,869,367,217,98,413,550,67.4,96.6,.304,.439,.531,45.1,52.6,10.7,9.1,.506,18.3,23.4,.202,-16.34,95.8,112.2,66.4,-.061,-6.08,102.6,108.6,-2.78
