Team_1,Team_2,Team_1_Score,Team_2_Score,Result
Holy Cross,Oregon,52,91,1
Cincinnati,St. Joseph's,76,78,1
Baylor,Yale,75,79,0
UNC Wilmington,Duke,85,93,1
Northern Iowa,Texas,75,72,1
Texas A&M;,Green Bay,92,65,0
Oregon State,VCU,67,75,0
Cal State Bakersfield,Oklahoma,68,82,1
Oregon,St. Joseph's,69,64,0
Yale,Duke,64,71,0
Texas A&M;,Northern Iowa,92,88,1
VCU,Oklahoma,81,85,0
Duke,Oregon,68,82,1
Oklahoma,Texas A&M;,77,63,1
Oregon,Oklahoma,68,80,0
Virginia,Hampton,81,45,0
Texas Tech,Butler,61,71,0
Purdue,Little Rock,83,85,0
Iona,Iowa State,81,94,1
Seton Hall,Gonzaga,52,68,0
Utah,Fresno State,80,69,0
Dayton,Syracuse,51,70,0
Middle Tennessee,Michigan State,90,81,1
Butler,Virginia,69,77,1
Little Rock,Iowa State,61,78,0
Gonzaga,Utah,82,59,0
Syracuse,Middle Tennessee,75,50,0
Virginia,Iowa State,84,71,0
Syracuse,Gonzaga,63,60,1
Virginia,Syracuse,62,68,0
Austin Peay,Kansas,79,105,1
UConn,Colorado,74,67,1
Maryland,South Dakota State,79,74,0
California,Hawaii,66,77,0
Arizona,Wichita State,55,65,0
Miami (FL),Buffalo,79,72,0
Iowa,Temple,72,70,0
Villanova,UNC Asheville,86,56,0
UConn,Kansas,61,73,1
Maryland,Hawaii,73,60,0
Wichita State,Miami (FL),57,65,0
Villanova,Iowa,87,68,1
Kansas,Maryland,79,63,0
Villanova,Miami (FL),92,69,1
Kansas,Villanova,59,64,0
Florida Gulf Coast,UNC,67,83,1
Providence,USC,70,69,1
Chattanooga,Indiana,74,99,1
Kentucky,Stony Brook,85,57,0
Michigan,Notre Dame,63,70,1
Stephen F. Austin,West Virginia,70,56,1
Wisconsin,Pitt,47,43,0
Xavier,Weber State,71,53,0
Providence,UNC,66,85,1
Indiana,Kentucky,73,67,0
Notre Dame,Stephen F. Austin,76,75,0
Xavier,Wisconsin,63,66,1
Indiana,UNC,86,101,1
Wisconsin,Notre Dame,56,61,1
Notre Dame,UNC,74,88,1
Oklahoma,Villanova,51,95,1
Syracuse,UNC,66,83,0
Villanova,UNC,77,74,0
