Team_1,Team_2,Team_1_Score,Team_2_Score,Result
Arizona,Weber State,68,59,0
Oklahoma State,Gonzaga,77,85,1
North Dakota State,Oklahoma,80,75,1
San Diego State,New Mexico State,73,69,0
Baylor,Nebraska,74,60,0
Louisiana,Creighton,66,76,1
BYU,Oregon,68,87,1
Wisconsin,American,75,35,0
Gonzaga,Arizona,61,84,1
San Diego State,North Dakota State,63,44,1
Creighton,Baylor,55,85,1
Wisconsin,Oregon,85,77,1
San Diego State,Arizona,64,70,1
Wisconsin,Baylor,69,52,1
Wisconsin,Arizona,64,63,1
Cal Poly,Wichita State,37,64,1
Kansas State,Kentucky,49,56,1
NC State,Saint Louis,80,83,1
Manhattan,Louisville,64,71,1
UMass,Tennessee,67,86,0
Duke,Mercer,71,78,0
Arizona State,Texas,85,87,1
Wofford,Michigan,40,57,1
Wichita State,Kentucky,76,78,0
Saint Louis,Louisville,51,66,0
Mercer,Tennessee,63,83,1
Michigan,Texas,79,65,1
Kentucky,Louisville,74,69,0
Tennessee,Michigan,71,73,0
Kentucky,Michigan,75,72,0
Albany (NY),Florida,55,67,1
Pitt,Colorado,77,48,1
VCU,Stephen F. Austin,75,77,0
UCLA,Tulsa,76,59,0
Ohio State,Dayton,59,60,0
Western Michigan,Syracuse,53,77,1
New Mexico,Stanford,53,58,0
Kansas,Eastern Kentucky,80,69,0
Florida,Pitt,61,45,0
UCLA,Stephen F. Austin,77,60,1
Dayton,Syracuse,55,53,0
Stanford,Kansas,60,57,0
Florida,UCLA,79,68,0
Dayton,Stanford,82,72,0
Florida,Dayton,62,52,0
Coastal Carolina,Virginia,59,70,1
George Washington,Memphis,66,71,1
Cincinnati,Harvard,57,61,0
Delaware,Michigan State,78,93,1
UNC,Providence,79,77,0
North Carolina Central,Iowa State,75,93,1
UConn,St. Joseph's,89,81,0
Villanova,Milwaukee,73,53,0
Virginia,Memphis,78,60,0
Harvard,Michigan State,73,80,0
Iowa State,UNC,85,83,1
Villanova,UConn,65,77,1
Michigan State,Virginia,61,59,1
Iowa State,UConn,76,81,0
Michigan State,UConn,54,60,0
Florida,UConn,53,63,1
Wisconsin,Kentucky,73,74,0
UConn,Kentucky,60,54,0
