Team_1,Team_2,Team_1_Score,Team_2_Score,Result
Monmouth,Villanova,45,58,0
Wisconsin,Arizona,75,94,0
Montana,Nevada,87,79,1
Boston College,Pacific,88,76,1
Oklahoma,Milwaukee,74,82,0
Florida,South Alabama,76,50,1
Georgetown,Northern Iowa,54,49,1
Davidson,Ohio State,62,70,0
Arizona,Villanova,78,82,0
Montana,Boston College,56,69,0
Milwaukee,Florida,60,82,0
Ohio State,Georgetown,52,70,0
Villanova,Boston College,60,59,1
Florida,Georgetown,57,53,1
Florida,Villanova,75,62,1
Southern,Duke,54,70,0
George Washington,UNC Wilmington,88,85,1
Texas A&M,Syracuse,66,58,1
LSU,Iona,80,64,1
West Virginia,Southern Illinois,64,46,1
Northwestern State,Iowa,64,63,1
NC State,California,58,52,1
Penn,Texas,52,60,0
Duke,George Washington,74,61,1
Texas A&M,LSU,57,58,0
Northwestern State,West Virginia,54,67,0
NC State,Texas,54,75,0
Duke,LSU,54,62,0
Texas,West Virginia,74,71,1
Texas,LSU,60,70,0
Oral Roberts,Memphis,78,94,0
Arkansas,Bucknell,55,59,0
Pitt,Kent State,79,64,1
Bradley,Kansas,77,73,1
Indiana,San Diego State,87,83,1
Gonzaga,Xavier,79,75,1
Marquette,Alabama,85,90,0
UCLA,Belmont,78,44,1
Memphis,Bucknell,72,56,1
Pitt,Bradley,66,72,0
Gonzaga,Indiana,90,80,1
Alabama,UCLA,59,62,0
Memphis,Bradley,80,64,1
Gonzaga,UCLA,71,73,0
Memphis,UCLA,45,50,0
Albany (NY),UConn,59,72,0
Alabama-Birmingham,Kentucky,64,69,0
Utah State,Washington,61,75,0
Air Force,Illinois,69,78,0
Michigan State,George Mason,65,75,0
UNC,Murray State,69,65,1
Wichita State,Seton Hall,86,66,1
Tennessee,Winthrop,63,61,1
Kentucky,UConn,83,87,0
Illinois,Washington,64,67,0
George Mason,UNC,65,60,1
Tennessee,Wichita State,73,80,0
Washington,UConn,92,98,0
Wichita State,George Mason,55,63,0
George Mason,UConn,86,84,1
Florida,George Mason,73,58,1
LSU,UCLA,45,59,0
UCLA,Florida,57,73,0
