Team_1,Team_2,Team_1_Score,Team_2_Score,Result
Morehead State,Louisville,54,74,0
Siena,Ohio State,74,72,1
Utah,Arizona,71,84,0
Wake Forest,Cleveland State,69,84,0
Dayton,West Virginia,68,60,1
North Dakota State,Kansas,74,84,0
Boston College,USC,55,72,0
Robert Morris,Michigan State,62,77,0
Siena,Louisville,72,79,0
Cleveland State,Arizona,57,71,0
Dayton,Kansas,43,60,0
USC,Michigan State,69,74,0
Arizona,Louisville,64,103,0
Kansas,Michigan State,62,67,0
Louisville,Michigan State,52,64,0
Pitt,ETSU,72,62,1
Oklahoma State,Tennessee,77,75,1
Florida State,Wisconsin,59,61,0
Portland State,Xavier,59,77,0
UCLA,VCU,65,64,1
American,Villanova,67,80,0
Minnesota,Texas,62,76,0
Binghamton,Duke,62,86,0
Oklahoma State,Pitt,76,84,0
Wisconsin,Xavier,49,60,0
Villanova,UCLA,89,69,1
Texas,Duke,69,74,0
Pitt,Xavier,60,55,1
Duke,Villanova,54,77,0
Villanova,Pitt,78,76,1
UNC,Radford,101,58,1
LSU,Butler,75,71,1
Western Kentucky,Illinois,76,72,1
Akron,Gonzaga,64,77,0
Arizona State,Temple,66,57,1
Syracuse,Stephen F. Austin,59,44,1
Michigan,Clemson,62,59,1
Morgan State,Oklahoma,54,82,0
UNC,LSU,84,70,1
Gonzaga,Western Kentucky,83,81,1
Syracuse,Arizona State,78,67,1
Michigan,Oklahoma,63,73,0
Gonzaga,UNC,77,98,0
Oklahoma,Syracuse,84,71,1
UNC,Oklahoma,72,60,1
UConn,Chattanooga,103,47,1
Texas A&M,BYU,79,66,1
Northern Iowa,Purdue,56,61,0
Mississippi State,Washington,58,71,0
Marquette,Utah State,58,57,1
Missouri,Cornell,78,59,1
Maryland,California,84,71,1
Memphis,Cal State Northridge,81,70,1
Texas A&M,UConn,66,92,0
Purdue,Washington,76,74,1
Marquette,Missouri,79,83,0
Memphis,Maryland,89,70,1
UConn,Purdue,72,60,1
Missouri,Memphis,102,91,1
UConn,Missouri,82,75,1
UNC,Villanova,83,69,1
Michigan State,UConn,82,73,1
UNC,Michigan State,89,72,1
