Team1,Team2,Points1,Points2,Result,G1,W1,L1,W-L%1,SRS1,SOS1,ConfW1,ConfL1,HomeW1,HomeL1,AwayW1,AwayL1,Tm.1,Opp.1,MP1,FG1,FGA1,FG%1,3P1,3PA1,3P%1,FT1,FTA1,FT%1,ORB1,TRB1,AST1,STL1,BLK1,TOV1,PF1,Pace1,ORtg1,FTr1,3PAr1,TS%1,TRB%1,AST%1,STL%1,BLK%1,eFG%1,TOV%1,ORB%1,FT/FGA1,AdjEM1,AdjO1,AdjD1,AdjT1,Luck1,SOS AdjEM1,OppO1,OppD1,NCSOS AdjEM1,G2,W2,L2,W-L%2,SRS2,SOS2,ConfW2,ConfL2,HomeW2,HomeL2,AwayW2,AwayL2,Tm.2,Opp.2,MP2,FG2,FGA2,FG%2,3P2,3PA2,3P%2,FT2,FTA2,FT%2,ORB2,TRB2,AST2,STL2,BLK2,TOV2,PF2,Pace2,ORtg2,FTr2,3PAr2,TS%2,TRB%2,AST%2,STL%2,BLK%2,eFG%2,TOV%2,ORB%2,FT/FGA2,AdjEM2,AdjO2,AdjD2,AdjT2,Luck2,SOS AdjEM2,OppO2,OppD2,NCSOS AdjEM2
Oregon,Holy Cross,91,52,1,34,28,6,.824,18.14,8.99,14,4,18,0,5,5,2680,2350,1365,933,1997,.467,234,670,.349,580,812,.714,398,1229,464,259,201,392,608,69.7,112.7,.407,.336,.562,52.3,49.7,10.9,15.5,.526,14.3,34.8,.290,.9120,119.3,97.4,68.7,+.035,.7016,107.1,99.4,.5166,33,14,19,.424,-10.86,-6.52,5,13,8,6,5,13,2156,2299,1345,737,1784,.413,236,721,.327,446,644,.693,269,995,459,213,83,359,555,64.6,99.2,.361,.404,.516,45.8,62.3,9.8,8.0,.479,14.8,23.6,.250,.2833,97.0,105.1,64.3,+.059,.3766,101.6,106.2,.4140
Saint Joseph's,Cincinnati,78,76,1,34,27,7,.794,11.93,4.25,13,5,12,4,10,2,2638,2377,1365,926,2038,.454,238,728,.327,548,769,.713,345,1312,514,175,115,341,545,70.4,109.7,.377,.357,.549,52.0,55.5,7.3,9.3,.513,12.5,28.3,.269,.8103,112.6,99.3,71.2,+.034,.5678,104.8,102.3,.5254,32,22,10,.688,15.58,5.27,12,6,14,3,6,6,2342,2012,1315,823,1925,.428,242,701,.345,454,645,.704,427,1260,495,254,186,353,498,65.7,108.5,.335,.364,.525,53.2,60.1,11.8,15.5,.490,13.8,36.5,.236,.8415,107.7,93.1,65.8,-.053,.6068,105.6,101.7,.4663
Yale,Baylor,79,75,1,28,22,6,.786,8.62,-2.34,13,1,12,0,9,6,2105,1768,1125,744,1579,.471,181,484,.374,436,657,.664,378,1130,425,162,128,375,497,67.1,111.6,.416,.307,.557,57.9,57.1,8.6,12.7,.528,16.7,39.3,.276,.8164,108.1,95.0,66.7,+.031,.4722,104.1,105.1,.5131,33,22,11,.667,17.05,10.37,10,8,15,5,6,5,2546,2287,1335,903,1935,.467,204,556,.367,536,737,.727,453,1235,587,260,133,425,636,67.6,112.9,.381,.287,.557,55.9,65.0,11.5,11.3,.519,15.8,40.4,.277,.8707,116.8,99.0,67.3,+.002,.7441,108.2,98.7,.4582
North Carolina-Wilmington,Duke,85,93,0,32,25,7,.781,6.37,0.00,14,4,12,2,8,5,2535,2286,1295,898,1971,.456,219,651,.336,520,741,.702,384,1203,428,241,140,366,760,71.3,109.8,.376,.330,.546,50.7,47.7,10.4,11.3,.511,13.7,32.2,.264,.7290,109.4,100.4,70.7,+.041,.5202,104.4,103.7,.4176,33,23,10,.697,20.06,10.67,11,7,15,3,5,4,2688,2378,1330,905,1973,.459,306,791,.387,572,792,.722,404,1198,443,212,136,323,548,68.3,118.4,.401,.401,.572,49.9,49.0,9.3,9.4,.536,12.2,34.0,.290,.8751,119.3,100.7,68.5,-.039,.7251,109.8,100.9,.5736
Texas,Northern Iowa,72,75,0,32,20,12,.625,15.76,12.48,11,7,14,3,5,5,2283,2178,1290,789,1828,.432,223,658,.339,482,725,.665,351,1107,367,165,140,332,664,66.9,105.8,.397,.360,.525,49.0,46.5,7.6,11.5,.493,13.4,30.7,.264,.8486,111.5,96.0,66.3,+.037,.7728,110.0,98.9,.6055,34,22,12,.647,8.22,3.58,11,7,11,3,6,8,2312,2139,1365,801,1752,.457,278,742,.375,432,574,.753,185,1022,406,193,88,330,515,63.7,106.3,.328,.424,.571,46.9,50.7,8.9,7.7,.537,14.1,17.9,.247,.7317,106.0,97.1,62.9,+.017,.5886,104.1,100.9,.6636
Green Bay,Texas A&M,65,92,0,35,23,12,.657,1.43,-1.27,11,7,11,3,8,9,2948,2788,1415,1027,2294,.448,246,703,.350,648,984,.659,451,1360,487,344,161,421,701,77.3,107.8,.429,.306,.534,49.0,47.4,12.6,11.1,.501,13.4,31.3,.282,.6165,107.6,103.2,76.6,+.046,.4944,103.3,103.5,.5581,34,26,8,.765,19.09,8.71,13,5,17,1,5,5,2581,2228,1370,906,2016,.449,261,745,.350,508,755,.673,436,1323,573,235,128,400,614,68.2,110.5,.375,.370,.543,52.6,63.2,10.1,11.0,.514,14.6,35.0,.252,.8909,112.6,93.8,67.4,+.002,.6724,107.7,101.1,.5559
Oregon State,Virginia Commonwealth,67,75,0,31,19,12,.613,10.99,9.55,9,9,12,3,4,7,2234,2169,1240,786,1783,.441,211,570,.370,451,672,.671,330,1074,418,231,104,352,623,68.4,105.3,.377,.320,.531,48.5,53.2,10.9,9.8,.500,14.5,29.6,.253,.7679,109.2,98.4,68.2,+.052,.7231,108.5,99.8,.5378,34,24,10,.706,13.74,3.83,14,4,15,2,7,4,2625,2288,1370,953,2116,.450,247,694,.356,472,684,.690,425,1270,486,299,130,385,665,69.8,109.9,.323,.328,.538,51.9,51.0,12.5,10.0,.509,13.7,33.3,.223,.8213,108.7,95.2,69.9,-.065,.5498,105.4,103.6,.4976
Oklahoma,Cal State Bakersfield,82,68,1,32,25,7,.781,20.91,10.94,12,6,14,1,7,5,2573,2254,1295,884,1928,.459,334,784,.426,471,647,.728,342,1242,465,221,167,413,538,71.3,111.5,.336,.407,.576,51.6,52.6,9.6,12.7,.545,15.7,30.5,.244,.9203,115.4,93.3,70.8,+.008,.7598,109.7,99.3,.5412,32,24,8,.750,2.69,-5.79,11,3,14,1,7,7,2337,2022,1290,849,1881,.451,174,506,.344,465,712,.653,400,1228,501,257,162,390,686,68.4,106.0,.379,.269,.527,52.8,59.0,11.7,14.4,.498,15.1,34.5,.247,.6902,102.4,95.5,68.6,-.001,.3304,99.7,106.0,.4464
Saint Joseph's,Oregon,64,69,0,34,27,7,.794,11.93,4.25,13,5,12,4,10,2,2638,2377,1365,926,2038,.454,238,728,.327,548,769,.713,345,1312,514,175,115,341,545,70.4,109.7,.377,.357,.549,52.0,55.5,7.3,9.3,.513,12.5,28.3,.269,.8103,112.6,99.3,71.2,+.034,.5678,104.8,102.3,.5254,34,28,6,.824,18.14,8.99,14,4,18,0,5,5,2680,2350,1365,933,1997,.467,234,670,.349,580,812,.714,398,1229,464,259,201,392,608,69.7,112.7,.407,.336,.562,52.3,49.7,10.9,15.5,.526,14.3,34.8,.290,.9120,119.3,97.4,68.7,+.035,.7016,107.1,99.4,.5166
Duke,Yale,71,64,1,33,23,10,.697,20.06,10.67,11,7,15,3,5,4,2688,2378,1330,905,1973,.459,306,791,.387,572,792,.722,404,1198,443,212,136,323,548,68.3,118.4,.401,.401,.572,49.9,49.0,9.3,9.4,.536,12.2,34.0,.290,.8751,119.3,100.7,68.5,-.039,.7251,109.8,100.9,.5736,28,22,6,.786,8.62,-2.34,13,1,12,0,9,6,2105,1768,1125,744,1579,.471,181,484,.374,436,657,.664,378,1130,425,162,128,375,497,67.1,111.6,.416,.307,.557,57.9,57.1,8.6,12.7,.528,16.7,39.3,.276,.8164,108.1,95.0,66.7,+.031,.4722,104.1,105.1,.5131
