Team1,Team2,Points1,Points2,Result,G1,W1,L1,W-L%1,SRS1,SOS1,ConfW1,ConfL1,HomeW1,HomeL1,AwayW1,AwayL1,Tm.1,Opp.1,MP1,FG1,FGA1,FG%1,3P1,3PA1,3P%1,FT1,FTA1,FT%1,ORB1,TRB1,AST1,STL1,BLK1,TOV1,PF1,Pace1,ORtg1,FTr1,3PAr1,TS%1,TRB%1,AST%1,STL%1,BLK%1,eFG%1,TOV%1,ORB%1,FT/FGA1,AdjEM1,AdjO1,AdjD1,AdjT1,Luck1,SOS AdjEM1,OppO1,OppD1,NCSOS AdjEM1,G2,W2,L2,W-L%2,SRS2,SOS2,ConfW2,ConfL2,HomeW2,HomeL2,AwayW2,AwayL2,Tm.2,Opp.2,MP2,FG2,FGA2,FG%2,3P2,3PA2,3P%2,FT2,FTA2,FT%2,ORB2,TRB2,AST2,STL2,BLK2,TOV2,PF2,Pace2,ORtg2,FTr2,3PAr2,TS%2,TRB%2,AST%2,STL%2,BLK%2,eFG%2,TOV%2,ORB%2,FT/FGA2,AdjEM2,AdjO2,AdjD2,AdjT2,Luck2,SOS AdjEM2,OppO2,OppD2,NCSOS AdjEM2
Texas Southern,Xavier,83,102,0,34,15,19,.441,-7.93,-5.84,12,6,8,2,5,17,2640,2711,1290,822,1883,.437,244,686,.356,580,811,.715,335,1157,380,177,123,402,559,72.5,106.2,.432,.368,.551,48.7,47.5,7.6,9.1,.508,15.1,28.5,.311,-7.62,105.3,112.9,71.5,-.009,-6.72,101.0,107.7,+17.51,33,28,5,.848,19.63,9.84,15,3,17,1,9,2,2781,2458,1290,928,1874,.495,253,677,.374,600,763,.786,310,1222,537,187,95,400,538,72.1,115.6,.402,.360,.601,55.1,57.6,8.0,8.0,.557,15.1,30.0,.318,+21.67,120.7,99.1,70.4,+.109,+9.58,110.3,100.7,+2.09
Missouri,Florida State,54,67,0,32,20,12,.625,14.55,9.35,10,8,13,3,5,6,2345,2179,1290,778,1716,.453,298,775,.385,491,667,.736,327,1189,435,165,136,453,573,67.3,108.1,.389,.452,.577,53.2,55.9,7.6,11.2,.540,18.2,31.7,.286,+15.47,113.3,97.8,65.6,-.021,+9.59,110.1,100.5,+1.23,31,20,11,.645,14.97,7.68,9,9,13,2,4,7,2535,2309,1260,906,1912,.474,248,706,.351,473,691,.685,363,1179,473,208,160,403,566,72.5,110.9,.361,.369,.566,52.1,52.2,9.1,13.3,.539,15.2,33.2,.247,+15.71,115.9,100.2,71.5,-.032,+7.85,109.0,101.2,-6.68
South Dakota State,Ohio State,73,81,0,34,28,6,.824,7.14,-0.59,13,1,15,0,8,5,2885,2518,1375,979,2084,.470,361,896,.403,566,745,.760,302,1321,459,169,78,340,547,72.2,116.2,.357,.430,.592,52.5,46.9,6.8,5.9,.556,12.2,25.0,.272,+10.48,114.5,104.1,70.2,+.111,-0.23,106.1,106.3,+3.88,32,24,8,.750,18.10,8.97,15,3,16,2,6,2,2426,2134,1295,894,1842,.485,216,612,.353,422,581,.726,309,1174,472,193,127,378,556,67.5,111.0,.315,.332,.573,54.0,52.8,8.8,11.5,.544,15.1,30.1,.229,+21.10,116.2,95.1,66.3,+.027,+8.13,109.7,101.6,+0.41
Gonzaga,North Carolina-Greensboro,68,64,1,34,30,4,.882,19.43,2.05,17,1,15,1,10,1,2873,2282,1380,1049,2085,.503,309,826,.374,466,645,.722,376,1357,535,219,126,384,579,69.5,119.9,.309,.396,.601,56.4,51.0,9.1,9.9,.577,13.8,33.0,.224,+24.97,119.9,94.9,68.9,-.006,+1.15,106.7,105.5,+3.21,34,27,7,.794,4.48,-4.32,15,3,16,1,8,6,2498,2121,1390,896,2006,.447,328,914,.359,378,539,.701,404,1262,480,263,131,468,628,66.8,107.7,.269,.456,.552,55.0,53.6,11.3,12.7,.528,17.1,34.3,.188,+9.14,105.7,96.6,64.9,-.011,-4.90,103.7,108.6,-3.04
San Diego State,Houston,65,67,0,32,22,10,.688,12.49,3.84,11,7,13,2,5,7,2480,2173,1200,826,1803,.458,222,655,.339,434,604,.719,336,1132,448,191,97,356,509,70.3,110.2,.349,.362,.556,53.8,54.1,9.0,9.3,.522,14.6,32.3,.251,+14.18,111.3,97.1,68.6,-.015,+3.38,107.6,104.2,-0.14,33,26,7,.788,16.38,3.87,14,4,15,0,6,5,2555,2142,1200,835,1786,.468,266,680,.391,403,565,.713,366,1174,461,192,92,374,629,68.4,113.2,.322,.377,.567,54.9,54.1,9.4,9.3,.539,15.1,34.6,.230,+20.53,115.8,95.3,68.2,-.009,+3.36,106.7,103.3,-2.73
Montana,Michigan,47,61,0,33,26,7,.788,6.56,-2.70,16,2,14,0,8,6,2578,2268,1255,862,1843,.468,173,510,.339,508,720,.706,372,1158,400,242,106,395,660,70.1,109.8,.391,.272,.553,53.5,45.5,10.9,9.3,.518,15.0,33.6,.276,+10.73,110.1,99.4,67.9,-.005,-2.28,104.2,106.5,+2.46,35,28,7,.800,18.90,8.78,13,5,15,1,6,5,2606,2224,1415,943,2003,.471,320,868,.369,400,607,.659,300,1167,518,219,111,320,545,65.5,112.5,.303,.433,.569,50.6,54.9,9.5,8.4,.551,12.3,26.0,.200,+23.17,115.9,92.7,64.3,+.037,+8.74,111.1,102.3,-4.56
Texas A&M,Providence,73,69,1,32,20,12,.625,15.71,10.52,9,9,13,3,4,7,2400,2234,1280,887,1942,.457,211,645,.327,415,622,.667,402,1323,495,180,188,434,536,70.7,106.1,.320,.332,.536,53.9,55.8,8.0,15.2,.511,16.2,34.4,.214,+16.92,111.2,94.3,69.0,-.007,+11.33,112.1,100.7,+5.27,34,21,13,.618,11.22,10.19,10,8,13,4,4,7,2506,2471,1295,821,1850,.444,208,609,.342,515,740,.696,339,1147,439,223,120,406,570,69.6,104.0,.392,.330,.535,50.0,53.7,9.7,10.1,.496,15.3,29.0,.276,+11.85,108.9,97.0,67.0,+.088,+10.35,112.0,101.7,-1.17
Lipscomb,North Carolina,66,84,0,32,23,9,.719,-2.03,-4.41,10,4,13,2,10,7,2642,2480,1300,901,1976,.456,260,785,.331,580,811,.715,340,1247,503,207,100,480,638,77.0,105.6,.410,.397,.559,52.6,55.8,8.3,8.1,.522,16.9,28.8,.294,+0.41,103.9,103.5,74.8,+.114,-4.91,103.1,108.0,+6.12,35,25,10,.714,21.29,12.44,11,7,12,3,6,5,2869,2559,1325,1000,2159,.463,273,747,.365,459,620,.740,466,1417,598,184,145,400,517,71.4,114.4,.286,.349,.554,56.6,60.8,7.9,11.4,.523,14.0,38.4,.212,+24.94,121.9,97.0,70.9,-.019,+13.94,112.4,98.4,+7.96
Xavier,Florida State,70,75,0,33,28,5,.848,19.63,9.84,15,3,17,1,9,2,2781,2458,1290,928,1874,.495,253,677,.374,600,763,.786,310,1222,537,187,95,400,538,72.1,115.6,.402,.360,.601,55.1,57.6,8.0,8.0,.557,15.1,30.0,.318,+21.67,120.7,99.1,70.4,+.109,+9.58,110.3,100.7,+2.09,31,20,11,.645,14.97,7.68,9,9,13,2,4,7,2535,2309,1260,906,1912,.474,248,706,.351,473,691,.685,363,1179,473,208,160,403,566,72.5,110.9,.361,.369,.566,52.1,52.2,9.1,13.3,.539,15.2,33.2,.247,+15.71,115.9,100.2,71.5,-.032,+7.85,109.0,101.2,-6.68
Ohio State,Gonzaga,84,90,0,32,24,8,.750,18.10,8.97,15,3,16,2,6,2,2426,2134,1295,894,1842,.485,216,612,.353,422,581,.726,309,1174,472,193,127,378,556,67.5,111.0,.315,.332,.573,54.0,52.8,8.8,11.5,.544,15.1,30.1,.229,+21.10,116.2,95.1,66.3,+.027,+8.13,109.7,101.6,+0.41,34,30,4,.882,19.43,2.05,17,1,15,1,10,1,2873,2282,1380,1049,2085,.503,309,826,.374,466,645,.722,376,1357,535,219,126,384,579,69.5,119.9,.309,.396,.601,56.4,51.0,9.1,9.9,.577,13.8,33.0,.224,+24.97,119.9,94.9,68.9,-.006,+1.15,106.7,105.5,+3.21
Houston,Michigan,63,64,0,33,26,7,.788,16.38,3.87,14,4,15,0,6,5,2555,2142,1200,835,1786,.468,266,680,.391,403,565,.713,366,1174,461,192,92,374,629,68.4,113.2,.322,.377,.567,54.9,54.1,9.4,9.3,.539,15.1,34.6,.230,+20.53,115.8,95.3,68.2,-.009,+3.36,106.7,103.3,-2.73,35,28,7,.800,18.90,8.78,13,5,15,1,6,5,2606,2224,1415,943,2003,.471,320,868,.369,400,607,.659,300,1167,518,219,111,320,545,65.5,112.5,.303,.433,.569,50.6,54.9,9.5,8.4,.551,12.3,26.0,.200,+23.17,115.9,92.7,64.3,+.037,+8.74,111.1,102.3,-4.56
North Carolina,Texas A&M,65,86,0,35,25,10,.714,21.29,12.44,11,7,12,3,6,5,2869,2559,1325,1000,2159,.463,273,747,.365,459,620,.740,466,1417,598,184,145,400,517,71.4,114.4,.286,.349,.554,56.6,60.8,7.9,11.4,.523,14.0,38.4,.212,+24.94,121.9,97.0,70.9,-.019,+13.94,112.4,98.4,+7.96,32,20,12,.625,15.71,10.52,9,9,13,3,4,7,2400,2234,1280,887,1942,.457,211,645,.327,415,622,.667,402,1323,495,180,188,434,536,70.7,106.1,.320,.332,.536,53.9,55.8,8.0,15.2,.511,16.2,34.4,.214,+16.92,111.2,94.3,69.0,-.007,+11.33,112.1,100.7,+5.27
Gonzaga,Florida State,60,75,0,34,30,4,.882,19.43,2.05,17,1,15,1,10,1,2873,2282,1380,1049,2085,.503,309,826,.374,466,645,.722,376,1357,535,219,126,384,579,69.5,119.9,.309,.396,.601,56.4,51.0,9.1,9.9,.577,13.8,33.0,.224,+24.97,119.9,94.9,68.9,-.006,+1.15,106.7,105.5,+3.21,31,20,11,.645,14.97,7.68,9,9,13,2,4,7,2535,2309,1260,906,1912,.474,248,706,.351,473,691,.685,363,1179,473,208,160,403,566,72.5,110.9,.361,.369,.566,52.1,52.2,9.1,13.3,.539,15.2,33.2,.247,+15.71,115.9,100.2,71.5,-.032,+7.85,109.0,101.2,-6.68
Michigan,Texas A&M,99,72,1,35,28,7,.800,18.90,8.78,13,5,15,1,6,5,2606,2224,1415,943,2003,.471,320,868,.369,400,607,.659,300,1167,518,219,111,320,545,65.5,112.5,.303,.433,.569,50.6,54.9,9.5,8.4,.551,12.3,26.0,.200,+23.17,115.9,92.7,64.3,+.037,+8.74,111.1,102.3,-4.56,32,20,12,.625,15.71,10.52,9,9,13,3,4,7,2400,2234,1280,887,1942,.457,211,645,.327,415,622,.667,402,1323,495,180,188,434,536,70.7,106.1,.320,.332,.536,53.9,55.8,8.0,15.2,.511,16.2,34.4,.214,+16.92,111.2,94.3,69.0,-.007,+11.33,112.1,100.7,+5.27
Michigan,Florida State,58,54,1,35,28,7,.800,18.90,8.78,13,5,15,1,6,5,2606,2224,1415,943,2003,.471,320,868,.369,400,607,.659,300,1167,518,219,111,320,545,65.5,112.5,.303,.433,.569,50.6,54.9,9.5,8.4,.551,12.3,26.0,.200,+23.17,115.9,92.7,64.3,+.037,+8.74,111.1,102.3,-4.56,31,20,11,.645,14.97,7.68,9,9,13,2,4,7,2535,2309,1260,906,1912,.474,248,706,.351,473,691,.685,363,1179,473,208,160,403,566,72.5,110.9,.361,.369,.566,52.1,52.2,9.1,13.3,.539,15.2,33.2,.247,+15.71,115.9,100.2,71.5,-.032,+7.85,109.0,101.2,-6.68
Kansas,Pennsylvania,76,60,1,34,27,7,.794,22.01,11.45,13,5,14,3,8,3,2771,2412,1280,964,1943,.496,319,802,.398,360,514,.700,310,1133,545,211,137,374,494,70.1,116.2,.262,.416,.599,50.0,56.4,9.4,11.0,.581,14.6,29.1,.184,+23.26,121.0,97.7,68.3,+.060,+11.49,111.7,100.2,+3.64,32,24,8,.750,2.25,-3.84,12,2,11,3,9,4,2446,2198,1235,818,1786,.458,265,762,.348,397,605,.656,268,1131,468,182,84,355,524,70.2,105.9,.337,.424,.557,51.2,56.5,8.2,7.0,.534,14.7,24.0,.224,+3.64,103.5,99.9,68.8,+.078,-4.70,103.7,108.4,-2.79
North Carolina State,Seton Hall,83,94,0,32,21,11,.656,13.49,6.74,11,7,16,3,4,5,2599,2383,1285,937,1993,.470,252,677,.372,473,675,.701,390,1142,517,240,122,390,579,72.0,112.3,.339,.340,.562,50.4,55.2,10.4,9.5,.533,14.4,33.6,.237,+15.01,116.4,101.4,71.3,+.007,+7.49,108.8,101.3,-9.41,32,21,11,.656,15.49,9.81,10,8,14,3,5,6,2528,2346,1290,914,1950,.469,233,640,.364,467,674,.693,385,1223,506,201,112,410,567,71.1,110.2,.346,.328,.557,53.0,55.4,8.8,9.2,.528,15.3,33.7,.239,+17.29,116.3,99.1,69.3,-.020,+9.52,110.4,100.9,+0.33
Clemson,New Mexico State,79,68,1,32,23,9,.719,16.51,9.04,11,7,15,1,4,6,2345,2106,1250,792,1737,.456,261,701,.372,442,586,.754,278,1104,414,177,153,374,496,67.2,108.2,.341,.406,.565,51.5,52.2,8.4,13.3,.527,15.7,27.3,.258,+20.17,113.8,93.6,65.6,+.004,+9.65,110.8,101.2,-1.76,33,28,5,.848,9.48,-1.39,12,2,14,1,8,3,2504,2104,1245,892,1925,.463,231,705,.328,333,522,.638,394,1284,450,172,93,401,555,70.1,107.9,.287,.366,.540,56.0,49.7,8.0,8.7,.521,15.3,34.5,.185,+13.74,108.6,94.8,68.1,+.032,-1.35,104.3,105.7,+4.27
Auburn,College of Charleston,62,58,1,32,25,7,.781,17.53,7.47,13,5,15,1,7,4,2668,2346,1240,848,1915,.443,304,819,.371,605,767,.789,378,1189,455,231,169,383,610,73.5,113.4,.399,.431,.567,52.2,53.2,10.1,15.5,.518,14.3,32.9,.314,+20.71,118.2,97.5,72.2,-.012,+7.60,109.1,101.5,-1.62,33,26,7,.788,1.62,-3.80,14,4,14,0,7,6,2478,2269,1345,852,1854,.460,254,699,.363,520,685,.759,280,1089,377,171,119,318,540,65.7,112.2,.369,.377,.569,49.5,44.2,7.7,10.1,.528,12.7,25.9,.280,+4.75,109.9,105.1,64.6,+.049,-4.60,104.9,109.5,-7.40
Syracuse,Texas Christian,57,52,1,33,20,13,.606,12.25,9.25,8,10,14,5,4,6,2229,2130,1340,751,1796,.418,193,601,.321,534,722,.740,399,1233,362,239,183,414,538,64.6,103.0,.402,.335,.521,53.2,48.2,11.0,17.8,.472,16.2,35.1,.297,+13.49,107.7,94.2,63.3,+.007,+8.61,110.8,102.2,-0.22,32,21,11,.656,17.03,9.97,9,9,15,3,3,7,2656,2430,1305,960,1925,.499,271,677,.400,465,657,.708,357,1166,601,211,115,406,537,70.3,115.8,.341,.352,.594,54.7,62.6,9.2,9.4,.569,15.4,34.3,.242,+18.97,120.7,101.7,68.6,-.058,+9.86,111.4,101.6,-0.42
