School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Abilene Christian,31,11,20,.355,-19.36,-3.89,2,12,11,6,0,14,2214,2228,0,737,1664,.443,241,599,.402,499,666,.749,307,1011,402,221,72,453,641,67.7,104.2,.400,.360,.559,50.2,54.5,10.4,6.8,.515,18.8,30.5,.300,.0830,94.9,116.9,64.9,-.045,.4642,105.1,106.4,.7990
Air Force,30,12,18,.400,-3.71,2.08,6,12,9,10,3,8,1980,2074,0,679,1561,.435,216,653,.331,406,588,.690,263,970,419,164,94,400,563,65.4,100.1,.377,.418,.538,48.8,61.7,8.3,10.4,.504,18.0,26.7,.260,.2991,98.1,105.6,65.3,+.055,.5116,104.9,104.4,.2920
Akron,33,21,12,.636,1.81,-0.07,12,6,15,5,6,7,2241,2179,0,777,1799,.432,234,673,.348,453,733,.618,406,1154,368,218,139,436,588,65.5,102.6,.407,.374,.522,51.1,47.4,10.0,12.3,.497,17.0,35.2,.252,.5627,103.0,100.8,65.2,+.086,.4778,103.1,103.9,.4905
Alabama,32,13,19,.406,8.50,9.04,7,11,13,8,0,11,2170,2150,0,741,1669,.444,183,548,.334,505,737,.685,320,1050,351,218,137,380,607,64.4,104.0,.442,.328,.537,48.5,47.4,10.5,12.2,.499,16.0,30.4,.303,.6619,106.1,100.1,63.5,-.092,.7073,109.4,101.3,.6498
Alabama A&M,30,14,16,.467,-13.48,-10.19,10,8,9,5,5,11,1936,2010,0,656,1601,.410,182,561,.324,442,674,.656,300,1015,380,187,125,396,643,66.5,95.9,.421,.350,.504,47.1,57.9,9.3,12.0,.467,17.3,28.1,.276,.2039,92.6,104.2,65.8,+.024,.2859,99.6,107.9,.6337
Alabama State,31,19,12,.613,-11.99,-11.27,12,6,14,3,5,9,2216,2154,0,777,1834,.424,170,589,.289,492,728,.676,415,1125,402,208,113,381,561,68.1,103.4,.397,.321,.508,49.8,51.7,9.7,9.1,.470,15.0,35.0,.268,.2092,97.3,109.2,67.7,+.095,.2520,98.1,107.8,.4069
Alabama-Birmingham,31,18,13,.581,0.95,-0.61,7,9,13,8,5,5,2266,2180,0,800,1919,.417,158,525,.301,508,772,.658,508,1381,392,169,128,403,543,69.4,104.0,.402,.274,.496,55.0,49.0,7.8,9.2,.458,15.1,40.1,.265,.5106,103.5,103.1,68.5,-.009,.4539,102.4,104.0,.4333
Albany (NY),32,18,14,.563,-3.71,-5.90,9,7,11,3,7,11,2113,2043,0,718,1635,.439,157,431,.364,520,695,.748,331,1106,354,177,98,404,552,63.0,103.5,.425,.264,.538,52.3,49.3,8.7,8.1,.487,17.2,32.4,.318,.4700,102.0,103.1,63.1,+.006,.3678,101.3,106.1,.5346
Alcorn State,31,12,19,.387,-15.53,-8.85,9,9,10,5,2,14,1985,2101,0,693,1658,.418,136,449,.303,463,708,.654,301,959,283,185,116,362,577,65.0,96.6,.427,.271,.498,47.3,40.8,9.0,9.6,.459,15.5,29.2,.279,.1650,94.4,108.7,63.8,-.014,.3193,100.4,107.2,.6686
American,32,20,12,.625,1.62,-3.69,13,5,11,3,9,9,2046,1876,0,737,1490,.495,203,531,.382,369,520,.710,228,962,484,194,110,446,551,60.8,104.8,.349,.356,.589,50.8,65.7,9.9,11.5,.563,20.6,27.0,.248,.6662,103.3,97.2,61.4,-.032,.4406,103.2,105.4,.5086
