Team_1,Team_2,Team_1_Score,Team_2_Score,Result
Florida A&M,Kentucky,76,96,0
Alabama-Birmingham,Washington,102,100,1
Pacific,Providence,66,58,1
UIC,Kansas,53,78,0
Boston College,Utah,58,51,1
Northern Iowa,Georgia Tech,60,65,0
Michigan State,Nevada,66,72,0
Gonzaga,Valparaiso,76,49,1
Alabama-Birmingham,Kentucky,76,75,1
Kansas,Pacific,78,63,1
Georgia Tech,Boston College,57,54,1
Gonzaga,Nevada,72,91,0
Kansas,Alabama-Birmingham,100,74,1
Nevada,Georgia Tech,67,72,0
Georgia Tech,Kansas,79,71,1
Alabama State,Duke,61,96,0
Arizona,Seton Hall,76,80,0
Murray State,Illinois,53,72,0
Cincinnati,ETSU,80,77,1
UNC,Air Force,63,52,1
Princeton,Texas,49,66,0
Xavier,Louisville,80,70,1
Mississippi State,Monmouth,85,52,1
Seton Hall,Duke,62,90,0
Cincinnati,Illinois,68,92,0
Texas,UNC,78,75,1
Mississippi State,Xavier,74,89,0
Illinois,Duke,62,72,0
Xavier,Texas,79,71,1
Duke,Xavier,66,63,1
St. Joseph's,Liberty,82,63,1
Texas Tech,Charlotte,76,73,1
Manhattan,Florida,75,60,1
VCU,Wake Forest,78,79,0
Richmond,Wisconsin,64,76,0
UCF,Pitt,44,53,0
Memphis,South Carolina,59,43,1
Eastern Washington,Oklahoma State,56,75,0
Texas Tech,St. Joseph's,65,70,0
Wake Forest,Manhattan,84,80,1
Wisconsin,Pitt,55,59,0
Oklahoma State,Memphis,70,53,1
Wake Forest,St. Joseph's,80,84,0
Pitt,Oklahoma State,51,63,0
Oklahoma State,St. Joseph's,64,62,1
UTSA,Stanford,45,71,0
Alabama,Southern Illinois,65,64,1
Syracuse,BYU,80,75,1
Maryland,UTEP,86,83,1
Western Michigan,Vanderbilt,58,71,0
NC State,Louisiana,61,52,1
Dayton,DePaul,69,76,0
UConn,Vermont,70,53,1
Alabama,Stanford,70,67,1
Syracuse,Maryland,72,70,1
NC State,Vanderbilt,73,75,0
UConn,DePaul,72,55,1
Alabama,Syracuse,80,71,1
UConn,Vanderbilt,73,53,1
Alabama,UConn,71,87,0
UConn,Duke,79,78,1
Oklahoma State,Georgia Tech,65,67,0
Georgia Tech,UConn,73,82,0
