Team_1,Team_2,Team_1_Score,Team_2_Score,Result
Mount St. Mary's,UNC,74,113,0
Indiana,Arkansas,72,86,0
Notre Dame,George Mason,68,50,1
Washington State,Winthrop,71,40,1
St. Joseph's,Oklahoma,64,72,0
Louisville,Boise State,79,61,1
Butler,South Alabama,81,61,1
Tennessee,American,72,57,1
Arkansas,UNC,77,108,0
Washington State,Notre Dame,61,41,1
Louisville,Oklahoma,78,48,1
Tennessee,Butler,76,71,1
Washington State,UNC,47,68,0
Tennessee,Louisville,60,79,0
Louisville,UNC,73,83,0
Portland State,Kansas,61,85,0
UNLV,Kent State,71,58,1
Villanova,Clemson,75,69,1
Siena,Vanderbilt,83,62,1
USC,Kansas State,67,80,0
Wisconsin,Cal State Fullerton,71,56,1
Davidson,Gonzaga,82,76,1
Georgetown,UMBC,66,47,1
UNLV,Kansas,56,75,0
Villanova,Siena,84,72,1
Wisconsin,Kansas State,72,55,1
Davidson,Georgetown,74,70,1
Villanova,Kansas,57,72,0
Wisconsin,Davidson,56,73,0
Kansas,Davidson,59,57,1
Texas-Arlington,Memphis,63,87,0
Mississippi State,Oregon,76,69,1
Michigan State,Temple,72,61,1
Pitt,Oral Roberts,82,63,1
Kentucky,Marquette,66,74,0
Cornell,Stanford,53,77,0
Miami (FL),Saint Mary's,78,64,1
Texas,Austin Peay,74,54,1
Mississippi State,Memphis,74,77,0
Michigan State,Pitt,65,54,1
Stanford,Marquette,82,81,1
Texas,Miami (FL),75,72,1
Michigan State,Memphis,74,92,0
Texas,Stanford,82,62,1
Memphis,Texas,85,67,1
Mississippi Valley State,UCLA,29,70,0
BYU,Texas A&M,62,67,0
Drake,Western Kentucky,99,101,0
UConn,San Diego,69,70,0
Purdue,Baylor,90,79,1
Georgia,Xavier,61,73,0
Arizona,West Virginia,65,75,0
Duke,Belmont,71,70,1
Texas A&M,UCLA,49,51,0
Western Kentucky,San Diego,72,63,1
Purdue,Xavier,78,85,0
Duke,West Virginia,67,73,0
Western Kentucky,UCLA,78,88,0
West Virginia,Xavier,75,79,0
UCLA,Xavier,76,57,1
UNC,Kansas,66,84,0
Memphis,UCLA,78,63,1
Memphis,Kansas,68,75,0
