Team_1,Team_2,Team_1_Score,Team_2_Score,Result
Maryland,Siena,85,70,1
Wisconsin,St. John's (NY),80,70,1
Marquette,Tulsa,69,71,0
Valparaiso,Kentucky,68,83,0
Texas Tech,Southern Illinois,68,76,0
Murray State,Georgia,68,85,0
NC State,Michigan State,69,58,1
UConn,Hampton,78,67,1
Maryland,Wisconsin,87,57,1
Kentucky,Tulsa,87,82,1
Georgia,Southern Illinois,75,77,0
UConn,NC State,77,74,1
Maryland,Kentucky,78,68,1
Southern Illinois,UConn,59,71,0
Maryland,UConn,90,82,1
Kansas,Holy Cross,70,59,1
Stanford,Western Kentucky,84,68,1
Florida,Creighton,82,83,0
Illinois,San Diego State,93,64,1
Texas,Boston College,70,57,1
Mississippi State,McNeese State,70,58,1
Pepperdine,Wake Forest,74,83,0
Montana,Oregon,62,81,0
Kansas,Stanford,86,63,1
Creighton,Illinois,60,72,0
Mississippi State,Texas,64,68,0
Oregon,Wake Forest,92,87,1
Kansas,Illinois,73,69,1
Texas,Oregon,70,72,0
Kansas,Oregon,104,86,1
Winthrop,Duke,37,84,0
Charlotte,Notre Dame,63,82,0
Utah,Indiana,56,75,0
UNC Wilmington,USC,93,89,1
Penn,California,75,82,0
Central Connecticut,Pitt,54,71,0
Kent State,Oklahoma State,69,61,1
Alabama,Florida Atlantic,86,78,1
Notre Dame,Duke,77,84,0
UNC Wilmington,Indiana,67,76,0
California,Pitt,50,63,0
Alabama,Kent State,58,71,0
Indiana,Duke,74,73,1
Kent State,Pitt,78,73,1
Kent State,Indiana,69,81,0
Cincinnati,Boston University,90,52,1
UCLA,Ole Miss,80,58,1
Missouri,Miami (FL),93,80,1
Davidson,Ohio State,64,69,0
Wyoming,Gonzaga,73,66,1
UCSB,Arizona,81,86,0
Xavier,Hawaii,70,58,1
UIC,Oklahoma,63,71,0
UCLA,Cincinnati,105,101,1
Missouri,Ohio State,83,67,1
Arizona,Wyoming,68,60,1
Xavier,Oklahoma,65,78,0
Missouri,UCLA,82,73,1
Oklahoma,Arizona,88,67,1
Oklahoma,Missouri,81,75,1
Maryland,Kansas,97,88,1
Indiana,Oklahoma,73,64,1
Indiana,Maryland,52,64,0
