Team1,Team2,Points1,Points2,Result,G1,W1,L1,W-L%1,SRS1,SOS1,ConfW1,ConfL1,HomeW1,HomeL1,AwayW1,AwayL1,Tm.1,Opp.1,MP1,FG1,FGA1,FG%1,3P1,3PA1,3P%1,FT1,FTA1,FT%1,ORB1,TRB1,AST1,STL1,BLK1,TOV1,PF1,Pace1,ORtg1,FTr1,3PAr1,TS%1,TRB%1,AST%1,STL%1,BLK%1,eFG%1,TOV%1,ORB%1,FT/FGA1,AdjEM1,AdjO1,AdjD1,AdjT1,Luck1,SOS AdjEM1,OppO1,OppD1,NCSOS AdjEM1,G2,W2,L2,W-L%2,SRS2,SOS2,ConfW2,ConfL2,HomeW2,HomeL2,AwayW2,AwayL2,Tm.2,Opp.2,MP2,FG2,FGA2,FG%2,3P2,3PA2,3P%2,FT2,FTA2,FT%2,ORB2,TRB2,AST2,STL2,BLK2,TOV2,PF2,Pace2,ORtg2,FTr2,3PAr2,TS%2,TRB%2,AST%2,STL%2,BLK%2,eFG%2,TOV%2,ORB%2,FT/FGA2,AdjEM2,AdjO2,AdjD2,AdjT2,Luck2,SOS AdjEM2,OppO2,OppD2,NCSOS AdjEM2
Weber State,Arizona,59,68,0,30,19,11,.633,-0.81,-4.56,14,6,13,2,6,9,2195,1993,0,716,1488,.481,215,549,.392,548,744,.737,252,1033,400,123,120,372,541,64.4,111.7,.500,.369,.596,52.6,55.9,6.3,12.8,.553,17.0,28.6,.368,.4743,105.6,106.5,64.4,-.001,.3414,103.4,109.4,.6475,34,30,4,.882,24.14,9.23,15,3,22,1,8,3,2484,1977,0,892,1904,.468,180,505,.356,520,794,.655,428,1322,513,200,144,355,559,64.5,112.1,.417,.265,.544,56.1,57.5,9.0,10.3,.516,13.6,37.2,.273,.9531,113.0,87.0,64.4,+.024,.6952,108.5,101.0,.5653
Gonzaga,Oklahoma State,85,77,1,34,28,6,.824,16.06,4.78,15,3,18,1,10,5,2615,2211,0,925,1859,.498,240,609,.394,525,739,.710,325,1215,499,227,136,383,617,67.7,115.2,.398,.328,.592,52.3,53.9,10.0,10.9,.562,14.9,30.7,.282,.8806,111.5,93.7,66.1,-.006,.5883,107.9,104.6,.5401,33,21,12,.636,19.83,8.59,8,10,15,3,6,9,2651,2280,0,872,1876,.465,236,641,.368,671,927,.724,315,1163,450,250,158,344,647,69.3,113.2,.494,.342,.572,48.7,51.6,10.7,12.8,.528,13.1,27.7,.358,.8747,113.8,96.1,68.5,-.101,.6730,108.2,101.7,.4332
Oklahoma,North Dakota State,75,80,0,32,23,9,.719,15.73,9.45,12,6,16,3,7,6,2629,2428,0,884,1962,.451,273,722,.378,588,784,.750,380,1205,469,219,105,366,609,72.0,113.2,.400,.368,.563,51.0,53.1,9.4,8.5,.520,13.7,32.3,.300,.8496,116.7,100.4,71.3,-.012,.6933,108.8,101.3,.5056,31,25,6,.806,6.63,-0.66,12,2,13,1,12,5,2368,2026,0,846,1661,.509,168,458,.367,508,680,.747,294,1016,365,200,137,304,551,64.2,118.9,.409,.276,.597,53.7,43.1,10.0,11.4,.560,13.4,32.5,.306,.7719,114.7,103.2,64.3,+.071,.5162,105.9,105.3,.6480
New Mexico State,San Diego State,69,73,0,35,26,9,.743,6.40,-2.75,12,4,16,2,10,7,2703,2342,0,910,1853,.491,189,507,.373,694,1008,.688,414,1305,460,165,220,444,592,67.0,114.5,.544,.274,.580,53.6,50.5,7.0,16.3,.542,16.2,37.7,.375,.7318,112.1,102.7,66.5,-.017,.4283,103.2,105.9,.5748,33,29,4,.879,15.20,4.68,16,2,16,1,13,3,2330,1869,0,810,1852,.437,169,472,.358,541,828,.653,434,1249,335,260,170,328,546,64.4,109.2,.447,.255,.519,53.6,41.4,12.2,12.3,.483,12.9,36.8,.292,.8773,107.9,91.0,64.1,+.078,.5842,106.5,103.4,.5559
Nebraska,Baylor,60,74,0,31,19,12,.613,10.80,8.67,11,7,15,2,4,10,2077,2011,0,696,1630,.427,184,543,.339,501,697,.719,273,1034,297,213,92,338,629,65.3,102.6,.428,.333,.530,48.8,42.7,10.5,8.5,.483,14.9,26.1,.307,.7924,108.0,96.2,66.2,+.052,.6812,106.7,99.9,.4664,35,24,11,.686,15.44,10.05,9,9,19,6,5,5,2632,2393,0,894,1962,.456,265,679,.390,579,862,.672,500,1354,525,183,194,414,605,64.3,115.3,.439,.346,.555,54.9,58.7,8.0,15.1,.523,15.0,41.6,.295,.8452,118.4,102.2,62.6,+.012,.7047,108.9,101.0,.5015
Creighton,Louisiana,76,66,1,33,26,7,.788,19.84,7.72,14,4,18,3,8,4,2625,2225,0,907,1818,.499,342,812,.421,469,623,.753,279,1134,585,135,46,328,582,65.5,121.5,.343,.447,.621,52.1,64.5,6.2,4.6,.593,13.6,28.1,.258,.9025,125.1,103.1,65.1,-.009,.6616,106.9,100.9,.5208,34,23,11,.676,2.93,-0.68,11,7,16,2,7,9,2769,2557,0,963,2061,.467,242,654,.370,601,896,.671,468,1293,464,247,139,463,716,71.3,111.8,.435,.317,.557,52.3,48.2,10.0,9.9,.526,15.9,37.4,.292,.6066,109.7,105.7,69.9,+.046,.4931,104.5,104.7,.6419
Oregon,Brigham Young,87,68,1,32,23,9,.719,16.01,8.16,10,8,16,4,7,5,2619,2368,0,877,1874,.468,249,635,.392,616,804,.766,344,1096,462,254,108,373,680,70.0,114.7,.429,.339,.580,50.9,52.7,11.1,8.7,.534,14.3,32.8,.329,.8498,117.0,100.7,68.8,-.032,.6568,107.6,101.7,.4656,34,23,11,.676,12.51,5.84,13,5,18,4,5,7,2863,2619,0,992,2125,.467,172,480,.358,707,1025,.690,451,1400,530,247,103,385,665,73.6,112.5,.482,.226,.548,53.5,53.4,9.7,6.3,.507,13.0,34.9,.333,.7918,113.7,101.2,72.2,-.007,.6482,108.4,102.7,.6770
Wisconsin,American,75,35,1,33,26,7,.788,18.93,9.96,12,6,14,3,12,4,2427,2131,0,799,1745,.458,256,686,.373,573,770,.744,290,1095,400,165,116,266,493,63.8,115.2,.441,.393,.575,50.9,50.1,7.8,11.0,.531,11.3,27.9,.328,.8954,119.1,98.8,64.3,+.020,.7157,108.3,99.9,.5880,32,20,12,.625,1.62,-3.69,13,5,11,3,9,9,2046,1876,0,737,1490,.495,203,531,.382,369,520,.710,228,962,484,194,110,446,551,60.8,104.8,.349,.356,.589,50.8,65.7,9.9,11.5,.563,20.6,27.0,.248,.6662,103.3,97.2,61.4,-.032,.4406,103.2,105.4,.5086
Gonzaga,Arizona,61,84,0,34,28,6,.824,16.06,4.78,15,3,18,1,10,5,2615,2211,0,925,1859,.498,240,609,.394,525,739,.710,325,1215,499,227,136,383,617,67.7,115.2,.398,.328,.592,52.3,53.9,10.0,10.9,.562,14.9,30.7,.282,.8806,111.5,93.7,66.1,-.006,.5883,107.9,104.6,.5401,34,30,4,.882,24.14,9.23,15,3,22,1,8,3,2484,1977,0,892,1904,.468,180,505,.356,520,794,.655,428,1322,513,200,144,355,559,64.5,112.1,.417,.265,.544,56.1,57.5,9.0,10.3,.516,13.6,37.2,.273,.9531,113.0,87.0,64.4,+.024,.6952,108.5,101.0,.5653
San Diego State,North Dakota State,63,44,1,33,29,4,.879,15.20,4.68,16,2,16,1,13,3,2330,1869,0,810,1852,.437,169,472,.358,541,828,.653,434,1249,335,260,170,328,546,64.4,109.2,.447,.255,.519,53.6,41.4,12.2,12.3,.483,12.9,36.8,.292,.8773,107.9,91.0,64.1,+.078,.5842,106.5,103.4,.5559,31,25,6,.806,6.63,-0.66,12,2,13,1,12,5,2368,2026,0,846,1661,.509,168,458,.367,508,680,.747,294,1016,365,200,137,304,551,64.2,118.9,.409,.276,.597,53.7,43.1,10.0,11.4,.560,13.4,32.5,.306,.7719,114.7,103.2,64.3,+.071,.5162,105.9,105.3,.6480
Baylor,Creighton,85,55,1,35,24,11,.686,15.44,10.05,9,9,19,6,5,5,2632,2393,0,894,1962,.456,265,679,.390,579,862,.672,500,1354,525,183,194,414,605,64.3,115.3,.439,.346,.555,54.9,58.7,8.0,15.1,.523,15.0,41.6,.295,.8452,118.4,102.2,62.6,+.012,.7047,108.9,101.0,.5015,33,26,7,.788,19.84,7.72,14,4,18,3,8,4,2625,2225,0,907,1818,.499,342,812,.421,469,623,.753,279,1134,585,135,46,328,582,65.5,121.5,.343,.447,.621,52.1,64.5,6.2,4.6,.593,13.6,28.1,.258,.9025,125.1,103.1,65.1,-.009,.6616,106.9,100.9,.5208
Wisconsin,Oregon,85,77,1,33,26,7,.788,18.93,9.96,12,6,14,3,12,4,2427,2131,0,799,1745,.458,256,686,.373,573,770,.744,290,1095,400,165,116,266,493,63.8,115.2,.441,.393,.575,50.9,50.1,7.8,11.0,.531,11.3,27.9,.328,.8954,119.1,98.8,64.3,+.020,.7157,108.3,99.9,.5880,32,23,9,.719,16.01,8.16,10,8,16,4,7,5,2619,2368,0,877,1874,.468,249,635,.392,616,804,.766,344,1096,462,254,108,373,680,70.0,114.7,.429,.339,.580,50.9,52.7,11.1,8.7,.534,14.3,32.8,.329,.8498,117.0,100.7,68.8,-.032,.6568,107.6,101.7,.4656
Arizona,San Diego State,70,64,1,34,30,4,.882,24.14,9.23,15,3,22,1,8,3,2484,1977,0,892,1904,.468,180,505,.356,520,794,.655,428,1322,513,200,144,355,559,64.5,112.1,.417,.265,.544,56.1,57.5,9.0,10.3,.516,13.6,37.2,.273,.9531,113.0,87.0,64.4,+.024,.6952,108.5,101.0,.5653,33,29,4,.879,15.20,4.68,16,2,16,1,13,3,2330,1869,0,810,1852,.437,169,472,.358,541,828,.653,434,1249,335,260,170,328,546,64.4,109.2,.447,.255,.519,53.6,41.4,12.2,12.3,.483,12.9,36.8,.292,.8773,107.9,91.0,64.1,+.078,.5842,106.5,103.4,.5559
Baylor,Wisconsin,52,69,0,35,24,11,.686,15.44,10.05,9,9,19,6,5,5,2632,2393,0,894,1962,.456,265,679,.390,579,862,.672,500,1354,525,183,194,414,605,64.3,115.3,.439,.346,.555,54.9,58.7,8.0,15.1,.523,15.0,41.6,.295,.8452,118.4,102.2,62.6,+.012,.7047,108.9,101.0,.5015,33,26,7,.788,18.93,9.96,12,6,14,3,12,4,2427,2131,0,799,1745,.458,256,686,.373,573,770,.744,290,1095,400,165,116,266,493,63.8,115.2,.441,.393,.575,50.9,50.1,7.8,11.0,.531,11.3,27.9,.328,.8954,119.1,98.8,64.3,+.020,.7157,108.3,99.9,.5880
