Team1,Team2,Points1,Points2,Result,G1,W1,L1,W-L%1,SRS1,SOS1,ConfW1,ConfL1,HomeW1,HomeL1,AwayW1,AwayL1,Tm.1,Opp.1,MP1,FG1,FGA1,FG%1,3P1,3PA1,3P%1,FT1,FTA1,FT%1,ORB1,TRB1,AST1,STL1,BLK1,TOV1,PF1,Pace1,ORtg1,FTr1,3PAr1,TS%1,TRB%1,AST%1,STL%1,BLK%1,eFG%1,TOV%1,ORB%1,FT/FGA1,AdjEM1,AdjO1,AdjD1,AdjT1,Luck1,SOS AdjEM1,OppO1,OppD1,NCSOS AdjEM1,G2,W2,L2,W-L%2,SRS2,SOS2,ConfW2,ConfL2,HomeW2,HomeL2,AwayW2,AwayL2,Tm.2,Opp.2,MP2,FG2,FGA2,FG%2,3P2,3PA2,3P%2,FT2,FTA2,FT%2,ORB2,TRB2,AST2,STL2,BLK2,TOV2,PF2,Pace2,ORtg2,FTr2,3PAr2,TS%2,TRB%2,AST%2,STL%2,BLK%2,eFG%2,TOV%2,ORB%2,FT/FGA2,AdjEM2,AdjO2,AdjD2,AdjT2,Luck2,SOS AdjEM2,OppO2,OppD2,NCSOS AdjEM2
Maryland,Siena,85,70,1,36,32,4,.889,23.50,9.38,15,1,15,0,7,2,3060,2552,1440,1083,2248,.482,217,580,.374,677,933,.726,473,1479,714,302,216,495,,,,.415,.258,.569,52.4,65.9,,9.4,.530,15.5,,.301,+29.25,119.2,89.9,73.7,+.025,+9.88,109.4,99.5,+1.62,36,17,19,.472,-2.74,-3.71,9,9,12,5,3,11,2517,2482,1480,853,2044,.417,250,722,.346,561,754,.744,402,1361,465,199,149,550,,,,.369,.353,.524,50.4,54.5,,7.2,.478,18.6,,.274,-1.21,100.8,102.0,66.5,-.070,-4.14,100.3,104.4,-0.42
Wisconsin,St. John's (NY),80,70,1,32,19,13,.594,10.09,9.22,11,5,12,1,6,8,2144,2101,,731,1675,.436,211,593,.356,471,655,.719,328,1032,407,188,60,414,,,,.391,.354,.540,49.9,55.7,,3.5,.499,17.2,,.281,+13.22,110.7,97.5,63.3,+.049,+10.57,109.1,98.6,+8.49,32,20,12,.625,7.80,6.30,9,7,14,2,3,7,2250,2202,1295,784,1953,.401,139,484,.287,543,811,.670,498,1206,368,323,120,484,,,,.415,.248,.481,50.0,46.9,,6.8,.437,17.1,,.278,+9.06,102.7,93.6,69.1,+.089,+6.40,106.7,100.3,-0.79
Marquette,Tulsa,69,71,0,33,26,7,.788,17.16,4.77,13,3,16,0,5,6,2413,2004,1320,871,1841,.473,173,456,.379,498,720,.692,420,1170,462,279,113,455,,,,.391,.248,.553,53.4,53.0,,6.4,.520,17.2,,.271,+21.47,113.4,91.9,64.6,+.006,+5.41,105.7,100.3,-2.87,34,27,7,.794,12.66,2.30,15,3,13,3,10,2,2726,2363,1365,961,2016,.477,259,639,.405,545,724,.753,373,1214,586,269,153,436,,,,.359,.317,.578,50.9,61.0,,7.7,.541,15.6,,.270,+15.59,116.0,100.4,69.5,+.001,+2.03,103.9,101.9,-1.44
Valparaiso,Kentucky,68,83,0,33,25,8,.758,9.38,-1.24,12,2,11,1,8,5,2564,2180,1325,893,1989,.449,275,785,.350,503,754,.667,448,1242,570,334,136,437,,,,.379,.395,.546,50.8,63.8,,7.3,.518,15.7,,.253,+13.63,111.5,97.8,68.7,-.032,-1.66,103.2,104.8,+2.06,32,22,10,.688,19.15,11.99,10,6,12,3,5,4,2460,2183,,905,2021,.448,219,692,.316,431,638,.676,492,1283,471,252,153,460,,,,.316,.342,.529,53.7,52.0,,8.1,.502,16.5,,.213,+22.21,113.4,91.2,68.0,-.029,+12.97,110.3,97.4,+6.75
Texas Tech,Southern Illinois,68,76,0,32,23,9,.719,14.72,7.22,10,6,15,2,6,5,2532,2292,,931,1999,.466,146,388,.376,524,768,.682,419,1230,588,243,134,397,,,,.384,.194,.536,49.2,63.2,,6.5,.502,14.4,,.262,+17.24,114.6,97.4,69.8,+.061,+6.69,107.1,100.4,-0.13,36,28,8,.778,9.79,1.67,14,4,13,0,9,5,2717,2425,,976,2115,.461,220,601,.366,545,880,.619,483,1396,547,262,171,493,,,,.416,.284,.536,52.2,56.0,,8.5,.513,16.3,,.258,+13.45,109.2,95.7,70.6,+.034,+2.12,105.4,103.3,+3.16
Murray State,Georgia,68,85,0,32,19,13,.594,0.65,-1.94,10,6,11,4,5,8,2514,2349,,941,2093,.450,210,652,.322,422,584,.723,510,1281,465,258,158,456,,,,.279,.312,.530,53.9,49.4,,8.6,.500,16.1,,.202,+1.35,106.8,105.5,69.2,+.017,-1.74,103.4,105.1,+3.98,32,22,10,.688,14.68,9.24,10,6,12,2,6,6,2444,2271,1290,871,1947,.447,189,588,.321,513,696,.737,468,1226,495,281,114,455,,,,.357,.302,.537,51.5,56.8,,5.8,.496,16.7,,.263,+18.44,116.7,98.3,69.2,-.021,+9.88,108.3,98.4,+3.30
North Carolina State,Michigan State,69,58,1,34,23,11,.676,15.85,8.17,9,7,14,4,6,5,2565,2304,1360,863,1910,.452,278,773,.360,561,743,.755,354,1119,547,269,72,452,,,,.389,.405,.567,49.8,63.4,,4.0,.525,16.6,,.294,+19.15,113.2,94.0,67.5,+.012,+8.28,108.8,100.6,-5.56,31,19,12,.613,14.90,9.60,10,6,15,2,4,5,2150,1978,1240,764,1654,.462,180,458,.393,442,573,.771,377,1163,438,155,93,461,,,,.346,.277,.558,55.9,57.3,,5.4,.516,19.3,,.267,+16.86,113.0,96.2,63.3,-.026,+9.76,108.7,99.0,+1.50
Connecticut,Hampton,78,67,1,34,27,7,.794,16.02,7.43,13,3,13,1,7,3,2646,2354,,972,2012,.483,154,391,.394,548,787,.696,464,1381,494,256,236,545,,,,.391,.194,.555,53.0,50.8,,10.8,.521,18.6,,.272,+19.36,112.2,92.8,68.7,+.063,+8.19,107.5,99.3,+1.73,33,26,7,.788,-0.40,-8.90,17,1,10,0,11,4,2623,2344,,933,1940,.481,218,615,.354,539,805,.670,457,1241,470,265,115,489,,,,.415,.317,.565,52.0,50.4,,5.8,.537,17.4,,.278,+3.99,109.9,105.9,69.1,+.013,-8.67,98.5,107.2,+0.87
Maryland,Wisconsin,87,57,1,36,32,4,.889,23.50,9.38,15,1,15,0,7,2,3060,2552,1440,1083,2248,.482,217,580,.374,677,933,.726,473,1479,714,302,216,495,,,,.415,.258,.569,52.4,65.9,,9.4,.530,15.5,,.301,+29.25,119.2,89.9,73.7,+.025,+9.88,109.4,99.5,+1.62,32,19,13,.594,10.09,9.22,11,5,12,1,6,8,2144,2101,,731,1675,.436,211,593,.356,471,655,.719,328,1032,407,188,60,414,,,,.391,.354,.540,49.9,55.7,,3.5,.499,17.2,,.281,+13.22,110.7,97.5,63.3,+.049,+10.57,109.1,98.6,+8.49
Kentucky,Tulsa,87,82,1,32,22,10,.688,19.15,11.99,10,6,12,3,5,4,2460,2183,,905,2021,.448,219,692,.316,431,638,.676,492,1283,471,252,153,460,,,,.316,.342,.529,53.7,52.0,,8.1,.502,16.5,,.213,+22.21,113.4,91.2,68.0,-.029,+12.97,110.3,97.4,+6.75,34,27,7,.794,12.66,2.30,15,3,13,3,10,2,2726,2363,1365,961,2016,.477,259,639,.405,545,724,.753,373,1214,586,269,153,436,,,,.359,.317,.578,50.9,61.0,,7.7,.541,15.6,,.270,+15.59,116.0,100.4,69.5,+.001,+2.03,103.9,101.9,-1.44
Georgia,Southern Illinois,75,77,0,32,22,10,.688,14.68,9.24,10,6,12,2,6,6,2444,2271,1290,871,1947,.447,189,588,.321,513,696,.737,468,1226,495,281,114,455,,,,.357,.302,.537,51.5,56.8,,5.8,.496,16.7,,.263,+18.44,116.7,98.3,69.2,-.021,+9.88,108.3,98.4,+3.30,36,28,8,.778,9.79,1.67,14,4,13,0,9,5,2717,2425,,976,2115,.461,220,601,.366,545,880,.619,483,1396,547,262,171,493,,,,.416,.284,.536,52.2,56.0,,8.5,.513,16.3,,.258,+13.45,109.2,95.7,70.6,+.034,+2.12,105.4,103.3,+3.16
Connecticut,North Carolina State,77,74,1,34,27,7,.794,16.02,7.43,13,3,13,1,7,3,2646,2354,,972,2012,.483,154,391,.394,548,787,.696,464,1381,494,256,236,545,,,,.391,.194,.555,53.0,50.8,,10.8,.521,18.6,,.272,+19.36,112.2,92.8,68.7,+.063,+8.19,107.5,99.3,+1.73,34,23,11,.676,15.85,8.17,9,7,14,4,6,5,2565,2304,1360,863,1910,.452,278,773,.360,561,743,.755,354,1119,547,269,72,452,,,,.389,.405,.567,49.8,63.4,,4.0,.525,16.6,,.294,+19.15,113.2,94.0,67.5,+.012,+8.28,108.8,100.6,-5.56
