Team1,Team2,Points1,Points2,Result,G1,W1,L1,W-L%1,SRS1,SOS1,ConfW1,ConfL1,HomeW1,HomeL1,AwayW1,AwayL1,Tm.1,Opp.1,MP1,FG1,FGA1,FG%1,3P1,3PA1,3P%1,FT1,FTA1,FT%1,ORB1,TRB1,AST1,STL1,BLK1,TOV1,PF1,Pace1,ORtg1,FTr1,3PAr1,TS%1,TRB%1,AST%1,STL%1,BLK%1,eFG%1,TOV%1,ORB%1,FT/FGA1,AdjEM1,AdjO1,AdjD1,AdjT1,Luck1,SOS AdjEM1,OppO1,OppD1,NCSOS AdjEM1,G2,W2,L2,W-L%2,SRS2,SOS2,ConfW2,ConfL2,HomeW2,HomeL2,AwayW2,AwayL2,Tm.2,Opp.2,MP2,FG2,FGA2,FG%2,3P2,3PA2,3P%2,FT2,FTA2,FT%2,ORB2,TRB2,AST2,STL2,BLK2,TOV2,PF2,Pace2,ORtg2,FTr2,3PAr2,TS%2,TRB%2,AST%2,STL%2,BLK%2,eFG%2,TOV%2,ORB%2,FT/FGA2,AdjEM2,AdjO2,AdjD2,AdjT2,Luck2,SOS AdjEM2,OppO2,OppD2,NCSOS AdjEM2
Niagara,Kansas,67,107,0,35,23,12,.657,-3.41,-4.70,13,5,9,6,9,4,2654,2609,1415,889,2125,.418,274,799,.343,602,824,.731,517,1342,467,224,55,473,611,,,.388,.376,.527,52.6,52.5,,2.6,.483,15.8,,.283,-2.76,107.2,110.0,68.3,+.118,-6.17,101.3,107.5,-5.19,38,33,5,.868,22.62,6.86,14,2,16,2,8,2,2978,2344,1535,1106,2241,.494,231,584,.396,535,811,.660,486,1507,651,350,246,539,718,,,.362,.261,.567,54.6,58.9,,11.5,.545,17.0,,.239,+27.81,115.3,87.5,68.7,+.031,+6.86,108.1,101.2,-0.93
Villanova,Kentucky,58,67,0,33,22,11,.667,16.13,9.16,9,7,10,4,9,4,2392,2132,1320,775,1827,.424,248,704,.352,594,761,.781,438,1196,419,267,107,450,645,,,.417,.385,.546,53.3,54.1,,6.3,.492,17.1,,.325,+20.11,113.4,93.3,65.8,-.036,+11.02,110.5,99.5,+2.82,34,22,12,.647,17.12,11.41,9,7,14,2,4,6,2496,2302,,890,1868,.476,231,650,.355,485,690,.703,370,1235,537,201,161,493,547,,,.369,.348,.568,52.3,60.3,,7.9,.538,18.3,,.260,+21.73,117.0,95.3,65.8,-.029,+13.23,111.0,97.8,+8.21
Virginia Tech,Illinois,54,52,1,34,22,12,.647,14.35,8.26,10,6,13,2,5,6,2428,2181,1375,886,1894,.468,163,449,.363,493,747,.660,366,1131,449,285,159,371,619,,,.394,.237,.540,49.6,50.7,,8.7,.511,14.2,,.260,+17.38,112.4,95.0,63.7,-.004,+9.85,109.9,100.1,+0.79,35,23,12,.657,14.18,7.09,9,7,14,3,3,6,2245,1997,,790,1830,.432,241,691,.349,424,680,.624,437,1231,488,205,99,491,604,,,.372,.378,.521,54.0,61.8,,5.7,.498,18.6,,.232,+17.50,107.3,89.8,62.0,-.017,+8.06,108.4,100.4,-0.20
Holy Cross,Southern Illinois,51,61,0,34,25,9,.735,3.32,-3.06,13,1,14,1,10,6,2171,1954,,738,1695,.435,191,544,.351,504,687,.734,386,1091,463,324,123,521,621,,,.405,.321,.537,53.6,62.7,,7.8,.492,20.5,,.297,+7.40,103.0,95.6,62.5,+.025,-3.70,101.5,105.2,+0.98,36,29,7,.806,13.59,7.53,15,3,13,0,10,4,2266,2023,,762,1702,.448,224,612,.366,518,748,.693,346,1076,414,237,116,504,728,,,.439,.360,.551,51.4,54.3,,7.4,.514,19.7,,.304,+21.03,109.8,88.8,61.0,+.017,+10.19,110.2,100.0,+7.30
Virginia Commonwealth,Duke,79,77,1,35,28,7,.800,9.50,0.20,16,2,15,2,11,2,2626,2298,,901,1971,.457,244,609,.401,580,797,.728,427,1165,475,268,106,394,643,,,.404,.309,.559,50.9,52.7,,5.9,.519,14.4,,.294,+14.55,116.6,102.0,65.5,+.002,+0.20,104.2,104.0,+0.25,33,22,11,.667,18.85,10.49,8,8,15,4,5,4,2323,2047,1335,822,1754,.469,198,520,.381,481,698,.689,379,1165,433,241,157,509,577,,,.398,.296,.557,53.7,52.7,,8.7,.525,19.6,,.274,+23.30,113.2,89.9,64.5,-.074,+11.30,110.7,99.4,+3.88
Wright State,Pittsburgh,58,79,0,33,23,10,.697,1.94,-0.31,13,3,14,1,7,8,2125,2051,1335,766,1750,.438,180,519,.347,413,564,.732,334,1060,402,196,50,400,574,,,.322,.297,.527,49.5,52.5,,2.9,.489,16.5,,.236,+6.66,104.5,97.8,63.0,+.137,+0.23,105.7,105.5,-2.57,37,29,8,.784,16.99,8.53,12,4,16,2,8,3,2637,2324,,961,2035,.472,229,599,.382,486,735,.661,445,1320,647,194,133,441,613,,,.361,.294,.553,53.5,67.3,,6.6,.529,15.6,,.239,+22.90,118.1,95.2,62.2,+.033,+9.54,109.6,100.1,+0.72
Gonzaga,Indiana,57,70,0,34,23,11,.676,12.15,3.77,11,3,12,2,6,5,2668,2383,1380,933,1932,.483,230,583,.395,572,762,.751,353,1271,492,212,123,473,654,,,.394,.302,.582,52.7,52.7,,6.1,.542,17.1,,.296,+15.31,115.3,100.0,67.1,-.032,+4.15,106.7,102.5,+9.52,32,21,11,.656,16.78,8.35,10,6,15,0,3,8,2246,1976,,783,1755,.446,252,661,.381,428,603,.710,375,1082,424,206,140,396,657,,,.344,.377,.550,51.9,54.2,,8.9,.518,16.2,,.244,+21.58,115.4,93.8,64.9,-.058,+9.96,108.5,98.5,+1.51
UCLA,Weber State,70,42,1,36,30,6,.833,20.90,9.84,15,3,16,0,6,4,2503,2081,,923,1922,.480,240,638,.376,417,630,.662,386,1158,507,263,116,440,569,,,.328,.332,.563,52.4,54.9,,6.4,.543,16.5,,.217,+27.15,115.4,88.3,63.7,+.019,+11.08,111.0,99.9,+5.93,32,20,12,.625,-4.03,-3.33,11,5,13,2,6,8,2266,2214,,772,1579,.489,180,456,.395,542,807,.672,307,1050,437,212,78,515,611,,,.511,.289,.577,50.7,56.6,,4.3,.546,20.8,,.343,-2.71,102.1,104.8,65.2,+.098,-3.46,104.8,108.3,+1.83
Kentucky,Kansas,76,88,0,34,22,12,.647,17.12,11.41,9,7,14,2,4,6,2496,2302,,890,1868,.476,231,650,.355,485,690,.703,370,1235,537,201,161,493,547,,,.369,.348,.568,52.3,60.3,,7.9,.538,18.3,,.260,+21.73,117.0,95.3,65.8,-.029,+13.23,111.0,97.8,+8.21,38,33,5,.868,22.62,6.86,14,2,16,2,8,2,2978,2344,1535,1106,2241,.494,231,584,.396,535,811,.660,486,1507,651,350,246,539,718,,,.362,.261,.567,54.6,58.9,,11.5,.545,17.0,,.239,+27.81,115.3,87.5,68.7,+.031,+6.86,108.1,101.2,-0.93
Southern Illinois,Virginia Tech,63,48,1,36,29,7,.806,13.59,7.53,15,3,13,0,10,4,2266,2023,,762,1702,.448,224,612,.366,518,748,.693,346,1076,414,237,116,504,728,,,.439,.360,.551,51.4,54.3,,7.4,.514,19.7,,.304,+21.03,109.8,88.8,61.0,+.017,+10.19,110.2,100.0,+7.30,34,22,12,.647,14.35,8.26,10,6,13,2,5,6,2428,2181,1375,886,1894,.468,163,449,.363,493,747,.660,366,1131,449,285,159,371,619,,,.394,.237,.540,49.6,50.7,,8.7,.511,14.2,,.260,+17.38,112.4,95.0,63.7,-.004,+9.85,109.9,100.1,+0.79
Virginia Commonwealth,Pittsburgh,79,84,0,35,28,7,.800,9.50,0.20,16,2,15,2,11,2,2626,2298,,901,1971,.457,244,609,.401,580,797,.728,427,1165,475,268,106,394,643,,,.404,.309,.559,50.9,52.7,,5.9,.519,14.4,,.294,+14.55,116.6,102.0,65.5,+.002,+0.20,104.2,104.0,+0.25,37,29,8,.784,16.99,8.53,12,4,16,2,8,3,2637,2324,,961,2035,.472,229,599,.382,486,735,.661,445,1320,647,194,133,441,613,,,.361,.294,.553,53.5,67.3,,6.6,.529,15.6,,.239,+22.90,118.1,95.2,62.2,+.033,+9.54,109.6,100.1,+0.72
UCLA,Indiana,54,49,1,36,30,6,.833,20.90,9.84,15,3,16,0,6,4,2503,2081,,923,1922,.480,240,638,.376,417,630,.662,386,1158,507,263,116,440,569,,,.328,.332,.563,52.4,54.9,,6.4,.543,16.5,,.217,+27.15,115.4,88.3,63.7,+.019,+11.08,111.0,99.9,+5.93,32,21,11,.656,16.78,8.35,10,6,15,0,3,8,2246,1976,,783,1755,.446,252,661,.381,428,603,.710,375,1082,424,206,140,396,657,,,.344,.377,.550,51.9,54.2,,8.9,.518,16.2,,.244,+21.58,115.4,93.8,64.9,-.058,+9.96,108.5,98.5,+1.51
Southern Illinois,Kansas,58,61,0,36,29,7,.806,13.59,7.53,15,3,13,0,10,4,2266,2023,,762,1702,.448,224,612,.366,518,748,.693,346,1076,414,237,116,504,728,,,.439,.360,.551,51.4,54.3,,7.4,.514,19.7,,.304,+21.03,109.8,88.8,61.0,+.017,+10.19,110.2,100.0,+7.30,38,33,5,.868,22.62,6.86,14,2,16,2,8,2,2978,2344,1535,1106,2241,.494,231,584,.396,535,811,.660,486,1507,651,350,246,539,718,,,.362,.261,.567,54.6,58.9,,11.5,.545,17.0,,.239,+27.81,115.3,87.5,68.7,+.031,+6.86,108.1,101.2,-0.93
Pittsburgh,UCLA,55,64,0,37,29,8,.784,16.99,8.53,12,4,16,2,8,3,2637,2324,,961,2035,.472,229,599,.382,486,735,.661,445,1320,647,194,133,441,613,,,.361,.294,.553,53.5,67.3,,6.6,.529,15.6,,.239,+22.90,118.1,95.2,62.2,+.033,+9.54,109.6,100.1,+0.72,36,30,6,.833,20.90,9.84,15,3,16,0,6,4,2503,2081,,923,1922,.480,240,638,.376,417,630,.662,386,1158,507,263,116,440,569,,,.328,.332,.563,52.4,54.9,,6.4,.543,16.5,,.217,+27.15,115.4,88.3,63.7,+.019,+11.08,111.0,99.9,+5.93
Kansas,UCLA,55,68,0,38,33,5,.868,22.62,6.86,14,2,16,2,8,2,2978,2344,1535,1106,2241,.494,231,584,.396,535,811,.660,486,1507,651,350,246,539,718,,,.362,.261,.567,54.6,58.9,,11.5,.545,17.0,,.239,+27.81,115.3,87.5,68.7,+.031,+6.86,108.1,101.2,-0.93,36,30,6,.833,20.90,9.84,15,3,16,0,6,4,2503,2081,,923,1922,.480,240,638,.376,417,630,.662,386,1158,507,263,116,440,569,,,.328,.332,.563,52.4,54.9,,6.4,.543,16.5,,.217,+27.15,115.4,88.3,63.7,+.019,+11.08,111.0,99.9,+5.93
Eastern Kentucky,North Carolina,65,86,0,33,21,12,.636,-4.19,-5.28,13,7,11,3,8,8,2151,2089,,782,1691,.462,264,758,.348,323,475,.680,280,930,477,263,84,446,449,,,.281,.448,.561,46.7,61.0,,4.9,.541,18.9,,.191,-2.58,102.7,105.3,61.3,+.078,-6.17,101.8,107.9,+6.66,38,31,7,.816,26.41,9.30,11,5,16,1,7,4,3258,2608,,1187,2379,.499,215,600,.358,669,940,.712,522,1551,696,309,173,524,647,,,.395,.252,.577,55.8,58.6,,7.5,.544,15.6,,.281,+31.37,121.0,89.6,72.4,-.046,+10.95,111.0,100.1,+3.10
Marquette,Michigan State,49,61,0,34,24,10,.706,14.14,6.95,10,6,16,4,6,4,2443,2207,,851,1951,.436,217,651,.333,524,783,.669,488,1251,475,295,115,496,691,,,.401,.334,.526,52.4,55.8,,6.4,.492,17.6,,.269,+17.18,111.8,94.6,67.6,+.009,+7.59,108.3,100.7,-4.27,35,23,12,.657,16.30,8.45,8,8,18,1,2,8,2276,2001,,806,1718,.469,182,486,.374,482,671,.718,394,1217,560,180,162,521,652,,,.391,.283,.559,55.6,69.5,,9.3,.522,20.4,,.281,+20.97,112.8,91.8,60.3,-.036,+9.07,109.2,100.2,-1.63
Arkansas,Southern California,60,77,0,35,21,14,.600,13.77,8.75,7,9,13,3,2,8,2487,2311,1405,881,1910,.461,212,613,.346,513,730,.703,392,1233,521,240,221,532,612,,,.382,.321,.551,51.8,59.1,,11.0,.517,19.1,,.269,+16.62,110.6,93.9,66.1,-.021,+10.10,110.3,100.2,+1.28,37,25,12,.676,13.78,7.87,11,7,15,3,4,6,2656,2413,,946,1988,.476,207,523,.396,557,779,.715,349,1277,472,206,148,540,660,,,.392,.263,.563,50.0,49.9,,6.8,.528,18.6,,.280,+16.86,111.0,94.2,67.1,+.016,+8.26,108.3,100.0,-6.62
New Mexico State,Texas,67,79,0,34,25,9,.735,5.04,0.01,11,5,19,1,6,7,2652,2462,1365,906,1890,.479,199,513,.388,641,975,.657,459,1285,472,242,94,573,698,,,.516,.271,.564,53.4,52.1,,4.8,.532,19.6,,.339,+7.27,108.3,101.1,69.7,+.035,-0.30,104.2,104.5,-3.75,35,25,10,.714,15.60,6.12,12,4,15,1,6,5,2860,2528,1440,963,2164,.445,308,792,.389,626,850,.736,482,1391,479,262,197,434,611,,,.393,.366,.557,51.4,49.7,,9.0,.516,14.5,,.289,+19.24,119.5,100.3,67.6,-.008,+7.56,108.1,100.6,-2.00
George Washington,Vanderbilt,44,77,0,32,23,9,.719,5.61,0.64,11,5,13,1,6,5,2247,2067,1280,824,1799,.458,171,465,.368,428,611,.700,389,1090,462,292,142,444,603,,,.340,.258,.538,50.6,56.1,,8.5,.506,17.5,,.238,+7.28,105.0,97.7,66.9,+.089,-0.57,104.7,105.3,-5.16,34,22,12,.647,12.76,7.79,10,6,14,3,5,6,2594,2387,,904,1984,.456,317,843,.376,469,643,.729,346,1146,578,257,93,422,584,,,.324,.425,.567,48.4,63.9,,4.8,.536,15.6,,.236,+16.23,115.7,99.4,66.6,+.008,+9.34,109.5,100.2,-2.74
Oral Roberts,Washington State,54,70,0,34,23,11,.676,4.54,-1.04,12,2,12,2,6,8,2440,2206,1370,824,1767,.466,204,565,.361,588,827,.711,372,1204,459,212,154,513,601,,,.468,.320,.565,53.3,55.7,,8.1,.524,19.2,,.333,+8.36,107.1,98.7,66.5,-.007,-0.93,104.9,105.8,+4.23,34,26,8,.765,13.33,6.00,13,5,12,2,8,4,2273,2024,,826,1777,.465,196,527,.372,425,593,.717,271,1043,472,226,155,355,549,,,.334,.297,.552,48.2,57.1,,8.8,.520,14.7,,.239,+18.87,111.7,92.8,60.0,+.004,+6.79,107.6,100.9,-4.96
Boston College,Texas Tech,84,75,1,33,21,12,.636,13.76,9.21,10,6,14,4,5,6,2453,2303,1330,842,1763,.478,196,562,.349,573,791,.724,394,1142,483,188,191,455,505,,,.449,.319,.573,51.2,57.4,,9.6,.533,17.5,,.325,+16.18,117.3,101.1,64.3,+.026,+10.36,110.7,100.4,-2.41,34,21,13,.618,9.71,7.16,9,7,13,3,6,5,2437,2349,1370,842,1858,.453,208,505,.412,545,737,.739,321,1042,452,231,62,396,592,,,.397,.272,.552,46.5,53.7,,3.3,.509,15.2,,.293,+10.98,112.2,101.3,64.9,+.056,+7.79,108.3,100.5,+2.29
Belmont,Georgetown,55,80,0,33,23,10,.697,-0.39,-4.71,14,4,9,2,10,6,2390,2128,1330,848,1836,.462,288,811,.355,406,587,.692,373,1228,513,201,105,528,605,,,.320,.442,.565,51.9,60.5,,5.5,.540,20.0,,.221,+4.38,106.6,102.2,66.1,+.022,-6.74,100.0,106.8,+2.22,37,30,7,.811,19.62,9.48,13,3,14,3,9,3,2555,2146,1485,923,1826,.505,235,635,.370,474,667,.711,409,1250,545,192,189,497,609,,,.365,.348,.596,54.3,59.0,,9.8,.570,18.8,,.260,+28.48,122.0,93.5,59.4,+.006,+10.41,109.7,99.3,-1.02
