Team1,Team2,Points1,Points2,Result,G1,W1,L1,W-L%1,SRS1,SOS1,W1,L1,W1,L1,W1,L1,Tm.1,Opp.1,1,Pace1,ORtg1,FTr1,3PAr1,TS%1,TRB%1,AST%1,STL%1,BLK%1,eFG%1,TOV%1,ORB%1,FT/FGA1,AdjEM1,AdjO1,AdjD1,AdjT1,Luck1,SOS AdjEM1,OppO1,OppD1,NCSOS AdjEM1,G2,W2,L2,W-L%2,SRS2,SOS2,W2,L2,W2,L2,W2,L2,Tm.2,Opp.2,2,Pace2,ORtg2,FTr2,3PAr2,TS%2,TRB%2,AST%2,STL%2,BLK%2,eFG%2,TOV%2,ORB%2,FT/FGA2,AdjEM2,AdjO2,AdjD2,AdjT2,Luck2,SOS AdjEM2,OppO2,OppD2,NCSOS AdjEM2
Gonzaga,South Dakota State,66,46,1,39,37,2,.949,25.26,4.13,17,1,15,1,10,0,3222,2398,,70.9,116.4,.390,.329,.596,54.7,51.8,9.6,11.2,.567,14.2,29.8,.280,+32.05,118.4,86.3,70.1,+.020,+2.99,106.2,103.3,+1.01,35,18,17,.514,-2.30,-0.66,8,8,11,3,3,12,2683,2697,,69.2,109.6,.404,.456,.581,50.7,52.1,7.4,7.2,.537,16.4,27.4,.311,-1.19,110.2,111.4,67.2,+.029,-0.59,104.9,105.5,+1.66
Vanderbilt,Northwestern,66,68,0,35,19,16,.543,13.69,10.72,10,8,11,5,5,6,2489,2385,,67.1,105.6,.348,.486,.563,50.0,55.2,6.2,9.8,.521,16.3,24.7,.271,+16.53,112.4,95.9,65.8,-.048,+11.43,110.1,98.7,+6.30,36,24,12,.667,14.02,8.43,10,8,14,4,5,5,2558,2357,,66.6,106.8,.304,.357,.534,50.6,59.1,7.9,13.2,.497,13.8,30.7,.227,+15.81,111.3,95.5,65.6,+.019,+8.32,109.0,100.7,-3.23
Notre Dame,Princeton,60,58,1,36,26,10,.722,17.81,9.78,12,6,16,2,5,4,2783,2494,,67.7,113.8,.286,.406,.573,48.7,57.8,10.4,9.7,.536,12.3,27.3,.229,+19.74,118.1,98.4,67.0,+.024,+10.24,110.1,99.8,-3.85,30,23,7,.767,6.57,-1.84,14,0,10,1,10,4,2149,1843,,65.2,109.5,.242,.460,.562,50.0,55.2,10.2,9.5,.537,13.5,24.4,.179,+12.61,109.0,96.4,63.2,+.007,-1.08,103.9,105.0,+2.17
Bucknell,West Virginia,80,86,0,35,26,9,.743,5.89,-2.48,15,3,14,2,9,6,2669,2376,,70.7,107.9,.372,.384,.578,50.6,54.1,10.2,9.7,.553,16.8,26.7,.253,+9.38,109.7,100.3,70.0,+.006,-3.62,101.4,105.0,+0.89,37,28,9,.757,24.45,9.67,12,6,16,2,6,4,3014,2467,,71.4,112.2,.389,.325,.545,52.1,57.3,13.8,14.2,.513,14.1,37.7,.266,+27.17,116.5,89.4,69.9,-.043,+10.84,110.1,99.2,-7.97
Xavier,Maryland,76,65,1,38,24,14,.632,14.80,11.51,9,9,12,4,4,8,2836,2711,,68.3,109.0,.410,.361,.553,54.4,57.0,8.8,7.7,.519,15.7,34.4,.283,+16.70,115.7,99.0,67.2,+.044,+11.73,111.2,99.5,+5.32,33,24,9,.727,12.79,8.29,12,6,13,5,8,2,2438,2246,,68.1,108.1,.398,.411,.557,50.3,57.1,8.0,11.9,.523,16.3,31.1,.278,+14.34,113.1,98.7,67.2,+.061,+7.74,108.3,100.6,-1.10
Florida State,Florida Gulf Coast,86,80,1,35,26,9,.743,18.87,8.87,12,6,18,0,3,6,2873,2523,,72.6,113.1,.384,.313,.566,52.7,49.3,10.2,13.7,.537,14.1,33.6,.265,+20.06,115.5,95.5,71.3,+.039,+8.82,110.6,101.8,-3.95,34,26,8,.765,2.26,-3.42,12,2,16,3,10,3,2701,2356,,69.3,113.8,.329,.315,.579,53.9,52.3,8.7,9.7,.554,15.3,33.9,.231,+5.07,109.4,104.4,65.9,+.037,-4.80,103.7,108.5,+2.14
Saint Mary's (CA),Virginia Commonwealth,85,77,1,34,29,5,.853,16.75,2.19,16,2,15,2,10,1,2449,1954,,61.3,117.6,.278,.414,.602,57.2,63.1,6.9,8.5,.578,15.2,33.0,.207,+23.67,118.7,95.0,60.2,+.030,+0.41,104.3,103.9,-4.13,35,26,9,.743,11.57,3.77,14,4,15,1,7,4,2616,2343,,69.0,106.8,.364,.294,.544,51.8,55.6,10.7,10.6,.510,15.3,31.2,.257,+14.07,110.1,96.0,68.8,+.026,+3.65,105.8,102.2,+0.91
Arizona,North Dakota,100,82,1,37,32,5,.865,18.25,7.63,16,2,15,1,9,1,2833,2440,,67.3,113.8,.405,.305,.580,55.1,51.3,8.1,8.8,.537,14.5,33.1,.310,+23.31,118.4,95.1,66.0,+.046,+7.13,108.7,101.5,+1.69,32,22,10,.688,-1.83,-5.45,14,4,11,2,7,6,2578,2357,,72.9,108.8,.364,.305,.573,50.5,52.6,10.6,7.5,.542,15.7,26.8,.260,+0.04,103.6,103.5,71.5,+.048,-5.66,103.0,108.6,+3.24
Gonzaga,Northwestern,79,73,1,39,37,2,.949,25.26,4.13,17,1,15,1,10,0,3222,2398,,70.9,116.4,.390,.329,.596,54.7,51.8,9.6,11.2,.567,14.2,29.8,.280,+32.05,118.4,86.3,70.1,+.020,+2.99,106.2,103.3,+1.01,36,24,12,.667,14.02,8.43,10,8,14,4,5,5,2558,2357,,66.6,106.8,.304,.357,.534,50.6,59.1,7.9,13.2,.497,13.8,30.7,.227,+15.81,111.3,95.5,65.6,+.019,+8.32,109.0,100.7,-3.23
Notre Dame,West Virginia,71,83,0,36,26,10,.722,17.81,9.78,12,6,16,2,5,4,2783,2494,,67.7,113.8,.286,.406,.573,48.7,57.8,10.4,9.7,.536,12.3,27.3,.229,+19.74,118.1,98.4,67.0,+.024,+10.24,110.1,99.8,-3.85,37,28,9,.757,24.45,9.67,12,6,16,2,6,4,3014,2467,,71.4,112.2,.389,.325,.545,52.1,57.3,13.8,14.2,.513,14.1,37.7,.266,+27.17,116.5,89.4,69.9,-.043,+10.84,110.1,99.2,-7.97
Xavier,Florida State,91,66,1,38,24,14,.632,14.80,11.51,9,9,12,4,4,8,2836,2711,,68.3,109.0,.410,.361,.553,54.4,57.0,8.8,7.7,.519,15.7,34.4,.283,+16.70,115.7,99.0,67.2,+.044,+11.73,111.2,99.5,+5.32,35,26,9,.743,18.87,8.87,12,6,18,0,3,6,2873,2523,,72.6,113.1,.384,.313,.566,52.7,49.3,10.2,13.7,.537,14.1,33.6,.265,+20.06,115.5,95.5,71.3,+.039,+8.82,110.6,101.8,-3.95
Arizona,Saint Mary's (CA),69,60,1,37,32,5,.865,18.25,7.63,16,2,15,1,9,1,2833,2440,,67.3,113.8,.405,.305,.580,55.1,51.3,8.1,8.8,.537,14.5,33.1,.310,+23.31,118.4,95.1,66.0,+.046,+7.13,108.7,101.5,+1.69,34,29,5,.853,16.75,2.19,16,2,15,2,10,1,2449,1954,,61.3,117.6,.278,.414,.602,57.2,63.1,6.9,8.5,.578,15.2,33.0,.207,+23.67,118.7,95.0,60.2,+.030,+0.41,104.3,103.9,-4.13
