Team1,Team2,Points1,Points2,Result,G1,W1,L1,W-L%1,SRS1,SOS1,ConfW1,ConfL1,HomeW1,HomeL1,AwayW1,AwayL1,Tm.1,Opp.1,MP1,FG1,FGA1,FG%1,3P1,3PA1,3P%1,FT1,FTA1,FT%1,ORB1,TRB1,AST1,STL1,BLK1,TOV1,PF1,Pace1,ORtg1,FTr1,3PAr1,TS%1,TRB%1,AST%1,STL%1,BLK%1,eFG%1,TOV%1,ORB%1,FT/FGA1,AdjEM1,AdjO1,AdjD1,AdjT1,Luck1,SOS AdjEM1,OppO1,OppD1,NCSOS AdjEM1,G2,W2,L2,W-L%2,SRS2,SOS2,ConfW2,ConfL2,HomeW2,HomeL2,AwayW2,AwayL2,Tm.2,Opp.2,MP2,FG2,FGA2,FG%2,3P2,3PA2,3P%2,FT2,FTA2,FT%2,ORB2,TRB2,AST2,STL2,BLK2,TOV2,PF2,Pace2,ORtg2,FTr2,3PAr2,TS%2,TRB%2,AST%2,STL%2,BLK%2,eFG%2,TOV%2,ORB%2,FT/FGA2,AdjEM2,AdjO2,AdjD2,AdjT2,Luck2,SOS AdjEM2,OppO2,OppD2,NCSOS AdjEM2
Morehead State,Louisville,54,74,0,36,20,16,.556,-3.14,-3.61,12,6,12,1,4,12,2511,2411,,865,1978,.437,188,565,.333,593,823,.721,498,1400,464,239,139,557,657,,,.416,.286,.530,55.9,53.6,,8.1,.485,19.0,,.300,+0.76,102.0,101.3,65.3,+.015,-1.90,103.6,105.5,+3.49,37,31,6,.838,20.87,8.41,16,2,16,2,8,1,2748,2287,,1001,2189,.457,305,827,.369,441,687,.642,464,1395,625,335,223,508,625,,,.314,.378,.546,51.8,62.4,,11.7,.527,16.8,,.201,+26.06,111.2,85.2,66.9,+.068,+9.57,108.6,99.0,-0.19
Siena,Ohio State,74,72,1,35,27,8,.771,8.05,0.99,16,2,17,0,9,4,2709,2462,1415,1007,2157,.467,184,558,.330,511,769,.664,438,1273,534,309,159,462,521,,,.357,.259,.537,49.7,53.0,,8.3,.510,15.5,,.237,+11.93,110.3,98.4,70.7,+.031,+0.91,102.4,101.5,+7.27,33,22,11,.667,12.48,8.23,10,8,15,3,4,7,2206,2046,1335,778,1618,.481,216,576,.375,434,619,.701,266,1024,440,194,175,439,501,,,.383,.356,.577,48.9,56.6,,11.2,.548,18.7,,.268,+16.34,113.3,96.9,62.5,+.042,+9.46,107.7,98.2,-3.41
Utah,Arizona,71,84,0,34,24,10,.706,12.59,5.72,12,4,13,2,6,7,2421,2195,1370,819,1727,.474,242,655,.369,541,693,.781,279,1193,458,171,166,469,632,,,.401,.379,.589,53.7,55.9,,9.8,.544,18.6,,.313,+17.80,110.8,92.9,65.0,+.013,+7.29,107.9,100.6,+6.96,35,21,14,.600,11.88,8.80,9,9,14,3,2,9,2529,2421,1405,897,1892,.474,212,548,.387,523,709,.738,387,1183,500,217,104,442,548,,,.375,.290,.567,51.7,55.7,,6.0,.530,16.5,,.276,+15.96,117.7,101.8,64.9,+.018,+11.33,109.0,97.7,+2.34
Wake Forest,Cleveland State,69,84,0,31,24,7,.774,15.63,7.36,11,5,14,1,7,4,2510,2193,,906,1849,.490,126,394,.320,572,804,.711,390,1262,405,258,176,492,584,,,.435,.213,.563,53.9,44.7,,10.2,.524,18.1,,.309,+18.88,111.6,92.7,72.8,+.051,+7.66,107.5,99.9,-4.35,37,26,11,.703,6.97,2.12,12,6,13,2,8,8,2455,2203,1480,882,2043,.432,180,578,.311,511,729,.701,441,1267,512,320,118,454,680,,,.357,.283,.514,50.4,58.0,,7.0,.476,16.0,,.250,+11.96,105.3,93.3,63.7,+.009,+3.76,104.6,100.9,+7.07
Dayton,West Virginia,68,60,1,35,27,8,.771,7.16,1.76,11,5,18,0,5,5,2339,2150,1410,831,1972,.421,190,579,.328,487,752,.648,484,1328,485,227,124,475,672,,,.381,.294,.502,53.2,58.4,,7.6,.470,16.9,,.247,+10.23,103.3,93.0,64.5,+.107,+2.34,104.9,102.6,-4.57,35,23,12,.657,18.57,8.34,10,8,11,3,7,5,2521,2163,1405,886,2067,.429,231,703,.329,518,742,.698,532,1340,530,233,159,420,661,,,.359,.340,.521,54.1,59.8,,9.6,.485,14.8,,.251,+24.21,115.1,90.9,63.7,-.067,+10.95,108.9,98.0,+2.11
North Dakota State,Kansas,74,84,0,33,26,7,.788,6.18,-2.72,16,2,12,1,10,4,2659,2279,1345,943,1936,.487,238,578,.412,535,724,.739,363,1171,486,230,108,370,539,,,.374,.299,.583,53.1,51.5,,6.3,.549,14.0,,.276,+12.29,114.3,102.0,67.5,-.009,-1.60,103.1,104.7,+2.21,35,27,8,.771,18.02,7.90,14,2,18,0,6,4,2674,2290,1405,945,1979,.478,217,585,.371,567,782,.725,421,1371,555,239,155,508,664,,,.395,.296,.569,55.1,58.7,,8.7,.532,17.8,,.287,+23.83,114.5,90.7,67.2,-.013,+8.83,107.9,99.1,+1.55
Boston College,Southern California,55,72,0,34,22,12,.647,10.36,7.23,9,7,15,4,5,5,2528,2397,1370,885,2000,.443,217,649,.334,541,733,.738,485,1259,503,208,147,457,614,,,.367,.325,.538,51.9,56.8,,8.1,.497,16.3,,.271,+11.20,113.2,102.0,65.3,+.038,+6.40,106.6,100.2,-5.57,35,22,13,.629,14.09,9.15,9,9,15,2,2,8,2397,2224,,872,1843,.473,129,396,.326,524,778,.674,409,1247,438,224,165,487,584,,,.422,.215,.542,53.9,50.2,,9.7,.508,18.0,,.284,+18.26,110.0,91.8,63.7,-.032,+10.81,110.5,99.7,+0.74
Robert Morris,Michigan State,62,77,0,35,24,11,.686,-0.70,-5.23,15,3,14,3,9,7,2467,2288,,880,1859,.473,226,573,.394,481,683,.704,353,1161,536,301,121,530,693,,,.367,.308,.565,50.8,60.9,,7.5,.534,19.5,,.259,+1.49,102.0,100.6,66.0,+.055,-7.27,99.3,106.5,+0.44,38,31,7,.816,17.71,9.37,15,3,12,2,9,1,2737,2420,1520,962,2135,.451,201,567,.354,612,877,.698,533,1482,611,248,107,532,734,,,.411,.266,.536,56.8,63.5,,6.0,.498,17.3,,.287,+24.37,114.3,89.9,66.5,+.091,+12.33,109.4,97.1,+5.81
Siena,Louisville,72,79,0,35,27,8,.771,8.05,0.99,16,2,17,0,9,4,2709,2462,1415,1007,2157,.467,184,558,.330,511,769,.664,438,1273,534,309,159,462,521,,,.357,.259,.537,49.7,53.0,,8.3,.510,15.5,,.237,+11.93,110.3,98.4,70.7,+.031,+0.91,102.4,101.5,+7.27,37,31,6,.838,20.87,8.41,16,2,16,2,8,1,2748,2287,,1001,2189,.457,305,827,.369,441,687,.642,464,1395,625,335,223,508,625,,,.314,.378,.546,51.8,62.4,,11.7,.527,16.8,,.201,+26.06,111.2,85.2,66.9,+.068,+9.57,108.6,99.0,-0.19
Cleveland State,Arizona,57,71,0,37,26,11,.703,6.97,2.12,12,6,13,2,8,8,2455,2203,1480,882,2043,.432,180,578,.311,511,729,.701,441,1267,512,320,118,454,680,,,.357,.283,.514,50.4,58.0,,7.0,.476,16.0,,.250,+11.96,105.3,93.3,63.7,+.009,+3.76,104.6,100.9,+7.07,35,21,14,.600,11.88,8.80,9,9,14,3,2,9,2529,2421,1405,897,1892,.474,212,548,.387,523,709,.738,387,1183,500,217,104,442,548,,,.375,.290,.567,51.7,55.7,,6.0,.530,16.5,,.276,+15.96,117.7,101.8,64.9,+.018,+11.33,109.0,97.7,+2.34
