School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Oklahoma State,32,12,20,.375,8.03,11.47,5,13,8,7,2,10,2178,2288,1285,760,1796,.423,280,753,.372,378,549,.689,295,1092,422,183,139,386,516,67.1,101.0,.306,.419,.529,48.6,55.5,8.5,13.1,.501,15.8,26.4,.210,+7.59,108.9,101.3,65.8,-.010,+12.83,110.0,97.2,+5.73
Old Dominion,34,26,8,.765,3.95,-1.49,13,5,14,2,8,4,2252,2067,1360,806,1960,.411,258,731,.353,382,579,.660,408,1324,435,190,155,399,560,65.5,101.2,.295,.373,.504,53.4,54.0,8.5,14.1,.477,15.1,32.3,.195,+5.58,102.0,96.4,64.3,+.055,-2.38,101.9,104.3,-5.69
Omaha,32,21,11,.656,-2.21,-3.28,13,3,10,2,9,8,2523,2454,1290,950,1998,.475,282,719,.392,341,473,.721,273,1047,409,180,61,304,486,70.0,111.7,.237,.360,.568,49.2,43.1,8.0,5.7,.546,12.0,24.9,.171,-0.36,109.9,110.3,67.7,+.109,-3.47,103.7,107.2,+2.60
Oral Roberts,32,11,21,.344,-9.25,-1.82,7,9,7,6,3,13,2314,2483,1285,854,1874,.456,266,734,.362,340,492,.691,335,1147,434,152,106,447,575,69.1,104.2,.263,.392,.549,52.1,50.8,6.8,9.3,.527,17.5,30.3,.181,-10.72,103.3,114.1,66.7,+.013,-1.21,105.3,106.5,+4.00
Oregon,35,23,12,.657,12.80,5.26,10,8,13,4,5,7,2467,2203,1410,886,1970,.450,266,775,.343,429,597,.719,340,1211,467,272,149,412,622,65.9,106.2,.303,.393,.547,51.4,52.7,11.7,14.6,.517,15.5,29.6,.218,+15.14,107.7,92.6,64.0,-.039,+4.09,106.9,102.9,+0.24
Oregon State,31,18,13,.581,7.91,4.36,10,8,10,5,6,5,2275,2165,1250,800,1728,.463,203,633,.321,472,636,.742,310,1091,465,185,164,384,536,67.2,108.3,.368,.366,.560,51.7,58.1,8.8,14.9,.522,15.9,30.6,.273,+7.89,111.2,103.3,65.5,-.040,+3.20,105.2,102.0,-3.10
Pacific,32,14,18,.438,-2.15,2.28,4,12,9,7,5,10,2138,2241,1290,710,1680,.423,198,564,.351,520,696,.747,285,1041,322,196,46,423,630,66.7,99.4,.414,.336,.532,51.2,45.4,9.1,5.0,.482,17.4,27.0,.310,-4.50,99.8,104.3,64.9,+.045,+1.74,105.9,104.2,-3.38
Penn State,32,14,18,.438,13.09,12.06,7,13,9,6,3,9,2229,2196,1295,791,1898,.417,222,693,.320,425,613,.693,382,1174,389,245,122,399,597,68.2,101.0,.323,.365,.509,51.6,49.2,11.1,10.4,.475,15.4,31.6,.224,+15.39,109.5,94.1,67.5,-.102,+13.22,110.2,97.0,+4.50
Pennsylvania,31,19,12,.613,2.30,-0.50,7,7,10,4,8,5,2250,2117,1265,821,1810,.454,282,803,.351,326,510,.639,270,1102,463,210,77,395,500,69.1,102.9,.282,.444,.548,49.8,56.4,9.6,6.2,.531,16.1,24.7,.180,+4.29,104.0,99.7,66.7,+.020,+0.40,103.4,103.0,+0.85
Pepperdine,34,16,18,.471,1.16,0.88,6,10,9,5,2,11,2572,2529,1370,865,1949,.444,313,819,.382,529,696,.760,290,1085,479,229,95,432,639,70.7,106.3,.357,.420,.564,47.4,55.4,9.5,8.2,.524,15.9,24.9,.271,+1.40,106.7,105.3,70.1,-.057,+0.08,104.2,104.1,-6.76
