Team1,Team2,Points1,Points2,Result,G1,W1,L1,W-L%1,SRS1,SOS1,ConfW1,ConfL1,HomeW1,HomeL1,AwayW1,AwayL1,Tm.1,Opp.1,MP1,FG1,FGA1,FG%1,3P1,3PA1,3P%1,FT1,FTA1,FT%1,ORB1,TRB1,AST1,STL1,BLK1,TOV1,PF1,Pace1,ORtg1,FTr1,3PAr1,TS%1,TRB%1,AST%1,STL%1,BLK%1,eFG%1,TOV%1,ORB%1,FT/FGA1,AdjEM1,AdjO1,AdjD1,AdjT1,Luck1,SOS AdjEM1,OppO1,OppD1,NCSOS AdjEM1,G2,W2,L2,W-L%2,SRS2,SOS2,ConfW2,ConfL2,HomeW2,HomeL2,AwayW2,AwayL2,Tm.2,Opp.2,MP2,FG2,FGA2,FG%2,3P2,3PA2,3P%2,FT2,FTA2,FT%2,ORB2,TRB2,AST2,STL2,BLK2,TOV2,PF2,Pace2,ORtg2,FTr2,3PAr2,TS%2,TRB%2,AST%2,STL%2,BLK%2,eFG%2,TOV%2,ORB%2,FT/FGA2,AdjEM2,AdjO2,AdjD2,AdjT2,Luck2,SOS AdjEM2,OppO2,OppD2,NCSOS AdjEM2
Monmouth,Villanova,45,58,0,34,19,15,.559,-2.99,-4.05,12,6,8,4,9,8,2191,2155,,787,1785,.441,217,644,.337,400,597,.670,296,1114,502,254,123,510,570,,,.334,.361,.530,47.0,63.8,,6.4,.502,19.8,,.224,-0.68,95.8,96.4,64.6,+.018,-3.55,101.2,104.7,+4.12,33,28,5,.848,19.51,9.23,14,2,12,1,10,2,2449,2107,1330,809,1942,.417,288,769,.375,543,717,.757,459,1198,403,256,159,370,615,,,.369,.396,.536,50.7,49.8,,9.0,.491,13.9,,.280,+24.59,116.3,91.7,65.6,+.080,+10.79,108.4,97.6,+3.17
Wisconsin,Arizona,75,94,0,31,19,12,.613,13.14,7.24,9,7,14,2,2,8,2205,2035,1250,776,1796,.432,199,573,.347,454,684,.664,400,1124,421,165,104,359,534,,,.381,.319,.520,51.2,54.3,,6.0,.487,14.5,,.253,+14.94,111.5,96.6,65.2,-.024,+7.96,106.6,98.6,+0.91,33,20,13,.606,15.12,10.09,11,7,12,2,4,7,2433,2267,1345,909,2037,.446,142,445,.319,473,667,.709,453,1140,492,322,125,437,549,,,.327,.218,.517,49.8,54.1,,6.9,.481,15.7,,.232,+17.23,112.2,95.0,67.7,-.037,+10.53,108.0,97.5,+9.27
Montana,Nevada,87,79,1,31,24,7,.774,4.86,-0.96,10,4,13,1,8,5,2449,2202,1255,876,1781,.492,228,590,.386,469,653,.718,348,1096,565,229,95,431,563,,,.367,.331,.586,52.4,64.5,,5.4,.556,17.1,,.263,+8.95,111.6,102.7,66.2,+.056,-0.62,103.6,104.2,-0.71,33,27,6,.818,10.16,2.26,13,3,17,1,10,3,2401,2103,1330,866,1901,.456,179,497,.360,490,682,.718,420,1268,514,179,160,426,537,,,.359,.261,.540,53.0,59.4,,8.3,.503,16.1,,.258,+15.22,110.0,94.8,65.8,+.024,+1.90,103.6,101.7,+3.89
Boston College,Pacific,88,76,1,36,28,8,.778,13.79,6.10,11,5,14,2,9,3,2671,2383,,949,1958,.485,211,585,.361,562,833,.675,466,1277,639,222,161,472,586,,,.425,.299,.567,52.8,67.3,,7.9,.539,16.7,,.287,+18.65,117.8,99.2,61.5,+.024,+7.43,107.1,99.7,-5.69,32,24,8,.750,6.93,-1.57,12,2,11,3,9,4,2377,2047,,858,1763,.487,215,553,.389,446,598,.746,320,1135,514,188,67,419,501,,,.339,.314,.581,52.8,59.9,,3.7,.548,17.0,,.253,+10.87,109.8,99.0,62.8,+.010,-1.99,102.7,104.7,+0.54
Oklahoma,Milwaukee,74,82,0,29,20,9,.690,11.89,6.79,11,5,14,1,6,5,1995,1847,1160,716,1586,.451,174,485,.359,389,545,.714,420,1060,423,207,100,411,499,,,.344,.306,.541,56.9,59.1,,6.8,.506,18.2,,.245,+13.99,113.0,99.0,62.4,+.049,+6.16,105.5,99.3,-0.61,31,22,9,.710,7.65,1.47,12,4,13,2,8,6,2294,2061,1250,797,1832,.435,204,609,.335,496,719,.690,452,1185,389,216,91,421,595,,,.392,.332,.528,54.1,48.8,,5.4,.491,16.2,,.271,+11.86,108.3,96.5,67.7,+.017,+1.54,104.9,103.4,+4.95
Florida,South Alabama,76,50,1,39,33,6,.846,20.21,5.49,10,6,16,2,6,4,3052,2478,1565,1061,2120,.500,289,738,.392,641,862,.744,421,1402,650,297,207,561,623,,,.407,.348,.603,52.7,61.3,,9.1,.569,18.2,,.302,+28.28,117.9,89.7,66.9,-.011,+8.35,107.7,99.3,-8.46,31,24,7,.774,4.88,-2.18,12,3,12,2,9,4,2283,2033,1245,797,1760,.453,267,728,.367,422,600,.703,346,1049,436,264,43,415,578,,,.341,.414,.558,50.2,54.7,,2.6,.529,16.9,,.240,+9.28,109.1,99.9,65.7,+.056,-2.51,100.8,103.3,-3.47
Georgetown,Northern Iowa,54,49,1,33,23,10,.697,13.98,6.92,10,6,11,2,7,6,2177,1944,1330,787,1682,.468,223,628,.355,380,538,.706,354,1079,514,199,119,381,486,,,.320,.373,.562,53.1,65.3,,7.0,.534,16.4,,.226,+21.29,116.5,95.2,57.8,-.026,+9.58,108.1,98.5,-1.83,33,23,10,.697,11.55,5.13,11,7,12,3,7,5,2165,1907,1355,754,1662,.454,219,642,.341,438,608,.720,279,1100,439,179,124,401,480,,,.366,.386,.555,51.1,58.2,,6.9,.520,17.1,,.264,+15.84,109.0,93.1,59.6,-.025,+6.18,104.4,98.2,+0.24
Davidson,Ohio State,62,70,0,31,20,11,.645,1.89,-3.04,10,5,14,1,3,9,2403,2137,,855,1885,.454,277,751,.369,416,547,.761,393,1215,567,151,51,399,570,,,.290,.398,.560,54.1,66.3,,2.8,.527,15.7,,.221,+4.86,109.9,105.0,66.0,-.025,-3.30,101.4,104.7,+9.24,32,26,6,.813,16.08,5.90,12,4,16,1,6,3,2363,2037,1295,833,1791,.465,262,718,.365,435,606,.718,321,1088,491,216,89,379,489,,,.338,.401,.568,49.5,58.9,,4.7,.538,15.4,,.243,+20.68,113.0,92.3,65.2,+.028,+6.74,107.0,100.3,-3.33
Arizona,Villanova,78,82,0,33,20,13,.606,15.12,10.09,11,7,12,2,4,7,2433,2267,1345,909,2037,.446,142,445,.319,473,667,.709,453,1140,492,322,125,437,549,,,.327,.218,.517,49.8,54.1,,6.9,.481,15.7,,.232,+17.23,112.2,95.0,67.7,-.037,+10.53,108.0,97.5,+9.27,33,28,5,.848,19.51,9.23,14,2,12,1,10,2,2449,2107,1330,809,1942,.417,288,769,.375,543,717,.757,459,1198,403,256,159,370,615,,,.369,.396,.536,50.7,49.8,,9.0,.491,13.9,,.280,+24.59,116.3,91.7,65.6,+.080,+10.79,108.4,97.6,+3.17
Montana,Boston College,56,69,0,31,24,7,.774,4.86,-0.96,10,4,13,1,8,5,2449,2202,1255,876,1781,.492,228,590,.386,469,653,.718,348,1096,565,229,95,431,563,,,.367,.331,.586,52.4,64.5,,5.4,.556,17.1,,.263,+8.95,111.6,102.7,66.2,+.056,-0.62,103.6,104.2,-0.71,36,28,8,.778,13.79,6.10,11,5,14,2,9,3,2671,2383,,949,1958,.485,211,585,.361,562,833,.675,466,1277,639,222,161,472,586,,,.425,.299,.567,52.8,67.3,,7.9,.539,16.7,,.287,+18.65,117.8,99.2,61.5,+.024,+7.43,107.1,99.7,-5.69
