Team1,Team2,Points1,Points2,Result,G1,W1,L1,W-L%1,SRS1,SOS1,W1,L1,W1,L1,W1,L1,Tm.1,Opp.1,1,Pace1,ORtg1,FTr1,3PAr1,TS%1,TRB%1,AST%1,STL%1,BLK%1,eFG%1,TOV%1,ORB%1,FT/FGA1,AdjEM1,AdjO1,AdjD1,AdjT1,Luck1,SOS AdjEM1,OppO1,OppD1,NCSOS AdjEM1,G2,W2,L2,W-L%2,SRS2,SOS2,W2,L2,W2,L2,W2,L2,Tm.2,Opp.2,2,Pace2,ORtg2,FTr2,3PAr2,TS%2,TRB%2,AST%2,STL%2,BLK%2,eFG%2,TOV%2,ORB%2,FT/FGA2,AdjEM2,AdjO2,AdjD2,AdjT2,Luck2,SOS AdjEM2,OppO2,OppD2,NCSOS AdjEM2
Xavier,Georgia State,75,67,1,37,23,14,.622,15.42,9.48,9,9,13,3,5,7,2712,2492,,65.6,109.8,.385,.331,.570,52.8,62.3,9.0,8.3,.534,15.8,31.3,.281,+19.49,116.6,97.1,65.0,-.062,+10.29,109.5,99.2,+2.07,35,25,10,.714,5.47,-2.03,15,5,12,1,8,8,2499,2184,,64.3,109.8,.383,.278,.563,48.9,53.1,14.1,13.5,.527,14.2,30.0,.277,+10.32,111.6,101.3,62.4,-.003,-1.47,102.4,103.9,+3.63
Ohio State,Arizona,58,73,0,35,24,11,.686,19.68,7.37,11,7,18,2,4,6,2635,2204,,66.0,113.2,.347,.319,.567,51.5,55.4,11.4,14.6,.542,14.6,33.5,.236,+20.75,115.6,94.8,65.2,-.043,+6.76,108.1,101.4,-7.41,38,34,4,.895,24.33,7.41,16,2,17,0,8,3,2911,2268,,66.5,114.7,.471,.259,.575,56.8,52.3,10.8,9.8,.535,14.2,34.5,.338,+32.36,119.9,87.5,65.8,-.033,+7.37,108.3,100.9,+0.09
Wisconsin,North Carolina,79,72,1,40,36,4,.900,24.61,10.29,16,2,15,1,10,2,2900,2327,,59.5,121.1,.362,.374,.585,54.7,49.7,7.3,8.2,.548,10.7,32.1,.276,+33.72,129.0,95.2,58.7,+.015,+11.03,109.8,98.8,+5.30,38,26,12,.684,20.63,11.76,11,7,10,5,7,4,2953,2616,,69.2,111.6,.353,.223,.548,55.2,60.1,9.5,11.3,.516,15.1,40.0,.247,+23.85,119.1,95.3,69.2,-.026,+12.76,111.1,98.3,+7.64
Xavier,Arizona,60,68,0,37,23,14,.622,15.42,9.48,9,9,13,3,5,7,2712,2492,,65.6,109.8,.385,.331,.570,52.8,62.3,9.0,8.3,.534,15.8,31.3,.281,+19.49,116.6,97.1,65.0,-.062,+10.29,109.5,99.2,+2.07,38,34,4,.895,24.33,7.41,16,2,17,0,8,3,2911,2268,,66.5,114.7,.471,.259,.575,56.8,52.3,10.8,9.8,.535,14.2,34.5,.338,+32.36,119.9,87.5,65.8,-.033,+7.37,108.3,100.9,+0.09
Wisconsin,Arizona,85,78,1,40,36,4,.900,24.61,10.29,16,2,15,1,10,2,2900,2327,,59.5,121.1,.362,.374,.585,54.7,49.7,7.3,8.2,.548,10.7,32.1,.276,+33.72,129.0,95.2,58.7,+.015,+11.03,109.8,98.8,+5.30,38,34,4,.895,24.33,7.41,16,2,17,0,8,3,2911,2268,,66.5,114.7,.471,.259,.575,56.8,52.3,10.8,9.8,.535,14.2,34.5,.338,+32.36,119.9,87.5,65.8,-.033,+7.37,108.3,100.9,+0.09
Kentucky,Hampton,79,56,1,39,38,1,.974,28.72,8.67,18,0,19,0,10,0,2900,2118,,63.8,115.5,.439,.271,.558,54.9,55.0,10.1,18.2,.515,13.6,39.5,.319,+36.91,121.3,84.4,62.4,+.048,+8.58,108.7,100.1,+3.13,35,17,18,.486,-8.25,-7.08,8,8,6,5,5,12,2346,2387,,69.5,96.1,.438,.326,.496,50.1,46.7,9.6,10.5,.456,17.3,31.8,.286,-7.40,96.6,104.0,69.2,+.031,-7.48,99.5,106.9,-0.55
Cincinnati,Purdue,66,65,1,34,23,11,.676,10.72,4.40,13,5,15,3,6,5,2113,1898,,59.6,102.8,.371,.297,.527,53.5,51.8,10.8,15.4,.495,17.7,37.3,.249,+14.15,108.2,94.0,59.8,-.016,+3.39,104.9,101.5,+1.69,34,21,13,.618,12.93,7.64,12,6,14,3,4,6,2375,2195,,64.9,106.4,.417,.324,.539,53.5,61.1,8.3,13.6,.502,16.8,36.5,.285,+13.96,110.9,97.0,64.3,-.006,+7.45,109.0,101.6,-2.75
West Virginia,Buffalo,68,62,1,35,25,10,.714,15.12,9.29,11,7,12,3,5,5,2542,2338,,68.7,104.9,.404,.336,.499,52.1,56.7,15.5,8.7,.461,15.1,40.2,.267,+17.64,112.6,94.9,67.9,+.087,+9.56,108.9,99.3,-2.65,33,23,10,.697,7.93,1.60,12,6,11,2,9,7,2462,2253,,68.7,108.5,.426,.303,.533,52.0,51.7,10.9,11.3,.487,14.1,34.5,.306,+11.87,111.3,99.4,68.3,+.001,+1.83,106.0,104.2,+0.81
Valparaiso,Maryland,62,65,0,34,28,6,.824,6.29,-2.00,13,3,15,1,8,4,2366,2021,,63.8,108.6,.368,.338,.548,55.1,52.9,9.3,14.1,.520,16.4,35.6,.248,+11.13,107.4,96.3,62.3,+.053,-2.06,104.2,106.3,-3.69,35,28,7,.800,13.32,7.63,14,4,18,1,6,4,2417,2218,,64.7,106.1,.445,.387,.562,51.1,48.1,7.4,11.9,.512,16.7,28.9,.336,+15.68,111.3,95.7,63.9,+.127,+7.15,108.3,101.1,-3.33
Texas,Butler,48,56,0,34,20,14,.588,16.16,9.07,8,10,13,5,4,7,2290,2049,,62.9,105.9,.365,.341,.531,56.0,55.5,5.9,20.0,.491,16.8,37.9,.265,+18.94,112.4,93.4,62.0,-.079,+9.52,108.3,98.8,-2.47,34,23,11,.676,16.64,8.62,12,6,13,3,7,4,2346,2073,,64.2,105.9,.408,.287,.522,54.2,47.5,9.8,8.8,.484,14.3,34.7,.279,+20.09,110.2,90.1,63.2,-.023,+9.72,110.6,100.9,+0.69
