Team1,Team2,Points1,Points2,Result,G1,W1,L1,W-L%1,SRS1,SOS1,W1,L1,W1,L1,W1,L1,Tm.1,Opp.1,1,Pace1,ORtg1,FTr1,3PAr1,TS%1,TRB%1,AST%1,STL%1,BLK%1,eFG%1,TOV%1,ORB%1,FT/FGA1,AdjEM1,AdjO1,AdjD1,AdjT1,Luck1,SOS AdjEM1,OppO1,OppD1,NCSOS AdjEM1,G2,W2,L2,W-L%2,SRS2,SOS2,W2,L2,W2,L2,W2,L2,Tm.2,Opp.2,2,Pace2,ORtg2,FTr2,3PAr2,TS%2,TRB%2,AST%2,STL%2,BLK%2,eFG%2,TOV%2,ORB%2,FT/FGA2,AdjEM2,AdjO2,AdjD2,AdjT2,Luck2,SOS AdjEM2,OppO2,OppD2,NCSOS AdjEM2
Murray State,Marquette,53,62,0,33,31,2,.939,8.74,-2.60,15,1,13,1,13,0,2412,2001,,66.1,109.8,.439,.349,.576,49.2,51.5,12.6,11.0,.537,18.0,34.9,.318,+15.34,108.5,93.2,65.0,+.031,-2.34,102.9,105.2,+3.63,35,27,8,.771,16.92,7.50,14,4,15,1,6,5,2638,2308,,70.7,106.6,.409,.293,.543,47.4,63.1,12.3,8.8,.501,16.0,33.9,.295,+20.22,111.5,91.3,70.0,+.042,+8.24,106.6,98.3,-0.95
Norfolk State,Florida,50,84,0,36,26,10,.722,-3.68,-5.39,13,3,10,4,10,4,2482,2416,,68.4,99.8,.419,.321,.523,48.9,49.5,9.6,12.3,.490,18.5,34.2,.275,-1.82,100.9,102.7,66.6,+.189,-6.31,100.3,106.6,+1.39,37,26,11,.703,18.25,7.33,10,6,14,2,4,7,2808,2404,,65.1,115.4,.332,.446,.576,49.2,56.5,9.6,8.8,.548,14.4,33.5,.237,+22.47,120.4,98.0,64.2,-.043,+7.18,105.4,98.2,-1.67
Michigan State,Louisville,44,57,0,37,29,8,.784,21.32,9.82,13,5,17,1,7,4,2651,2195,,65.1,109.7,.377,.276,.559,54.1,59.0,11.0,12.4,.527,16.7,36.1,.264,+27.87,114.7,86.9,64.3,-.027,+10.21,108.6,98.4,-1.07,40,30,10,.750,16.19,9.02,10,8,16,4,6,5,2727,2440,,67.0,100.5,.362,.321,.510,49.7,55.2,13.0,12.8,.473,17.4,35.7,.249,+20.67,106.2,85.5,66.1,+.031,+10.06,108.6,98.6,+0.11
Marquette,Florida,58,68,0,35,27,8,.771,16.92,7.50,14,4,15,1,6,5,2638,2308,,70.7,106.6,.409,.293,.543,47.4,63.1,12.3,8.8,.501,16.0,33.9,.295,+20.22,111.5,91.3,70.0,+.042,+8.24,106.6,98.3,-0.95,37,26,11,.703,18.25,7.33,10,6,14,2,4,7,2808,2404,,65.1,115.4,.332,.446,.576,49.2,56.5,9.6,8.8,.548,14.4,33.5,.237,+22.47,120.4,98.0,64.2,-.043,+7.18,105.4,98.2,-1.67
Louisville,Florida,72,68,1,40,30,10,.750,16.19,9.02,10,8,16,4,6,5,2727,2440,,67.0,100.5,.362,.321,.510,49.7,55.2,13.0,12.8,.473,17.4,35.7,.249,+20.67,106.2,85.5,66.1,+.031,+10.06,108.6,98.6,+0.11,37,26,11,.703,18.25,7.33,10,6,14,2,4,7,2808,2404,,65.1,115.4,.332,.446,.576,49.2,56.5,9.6,8.8,.548,14.4,33.5,.237,+22.47,120.4,98.0,64.2,-.043,+7.18,105.4,98.2,-1.67
Vermont,North Carolina,58,77,0,36,24,12,.667,0.98,-5.19,13,3,10,4,10,6,2415,2193,,63.2,105.0,.373,.293,.536,50.2,56.0,9.6,6.5,.493,16.5,34.3,.276,+5.17,105.3,100.1,61.9,-.024,-5.44,99.1,104.6,-1.55,38,32,6,.842,21.34,7.07,14,2,17,1,8,2,3091,2549,,72.8,111.3,.373,.235,.531,54.8,58.1,9.3,14.0,.498,13.3,39.1,.254,+25.44,116.1,90.7,70.9,+.016,+7.41,107.2,99.8,+1.89
Alabama,Creighton,57,58,0,33,21,12,.636,13.76,7.18,9,7,12,3,4,6,2135,1918,,62.9,102.2,.362,.273,.529,49.9,51.7,11.4,12.0,.491,17.3,33.5,.257,+16.69,106.1,89.5,61.9,-.067,+7.07,107.4,100.3,+3.98,35,29,6,.829,12.92,3.41,14,4,14,2,10,3,2772,2439,,67.3,116.9,.381,.350,.607,52.1,63.2,7.1,5.8,.578,15.6,30.8,.276,+16.47,119.2,102.7,65.9,+.079,+3.79,104.9,101.1,-0.47
Temple,South Florida,44,58,0,32,24,8,.750,10.44,4.94,13,3,10,1,10,4,2401,2225,,67.6,108.8,.342,.313,.563,48.4,57.3,10.4,10.1,.531,15.8,31.5,.246,+14.49,113.3,98.9,65.9,+.055,+6.10,106.5,100.4,+6.20,36,22,14,.611,9.20,7.29,12,6,14,2,5,8,2134,2037,,59.7,98.6,.338,.303,.521,50.5,54.8,9.2,10.8,.485,19.1,34.2,.239,+13.13,103.9,90.8,58.5,+.040,+8.17,107.2,99.0,+1.27
Ohio,Michigan,65,60,1,37,29,8,.784,7.17,0.17,11,5,16,1,8,6,2597,2311,,66.8,104.4,.355,.384,.527,46.7,54.2,14.0,8.5,.494,16.3,33.9,.245,+11.88,106.6,94.7,66.0,+.022,+0.80,103.6,102.8,-2.97,34,24,10,.706,13.19,8.98,13,5,15,1,5,6,2255,2090,,61.2,107.2,.283,.443,.559,47.3,53.3,8.0,6.1,.532,15.5,28.0,.204,+17.52,114.3,96.8,60.1,+.058,+10.65,109.0,98.3,-0.11
San Diego State,North Carolina State,65,79,0,34,26,8,.765,9.04,3.79,10,4,17,2,7,4,2416,2166,,66.6,105.1,.369,.304,.540,51.1,48.3,8.2,6.4,.505,16.0,31.5,.259,+11.16,107.0,95.8,65.8,+.059,+3.33,104.8,101.5,-3.76,37,24,13,.649,12.10,6.80,9,7,13,6,5,4,2697,2501,,67.7,107.3,.363,.261,.539,51.0,59.1,9.9,10.5,.504,15.8,35.8,.255,+14.22,112.1,97.9,67.0,-.004,+6.22,105.9,99.7,+1.18
Georgetown,Belmont,74,59,1,33,24,9,.727,16.81,7.69,12,6,15,1,6,5,2278,1959,,63.3,107.4,.386,.308,.552,52.1,55.6,9.4,13.2,.519,16.8,35.8,.270,+21.05,111.2,90.1,62.1,-.014,+8.32,107.3,99.0,-1.04,35,27,8,.771,11.81,-1.22,16,2,13,1,10,6,2831,2363,,68.7,117.0,.385,.403,.591,49.7,62.2,10.5,5.7,.558,15.2,34.5,.282,+16.96,117.1,100.1,67.2,-.017,-0.32,103.4,103.7,+4.69
Saint Mary's (CA),Purdue,69,72,0,33,27,6,.818,11.26,0.78,14,2,16,1,8,3,2467,2068,,64.8,115.0,.385,.394,.576,54.2,60.7,10.6,7.8,.541,15.2,35.9,.281,+15.48,114.3,98.8,63.4,+.036,+0.17,104.1,103.9,-2.17,35,22,13,.629,13.88,8.05,10,8,13,4,5,5,2514,2310,,64.6,111.2,.341,.373,.536,46.6,52.9,10.0,8.9,.511,11.5,31.8,.224,+16.25,116.2,99.9,64.3,-.003,+8.81,108.4,99.6,-2.64
Detroit Mercy,Kansas,50,65,0,36,22,14,.611,2.40,-0.01,11,7,13,4,6,8,2597,2432,,67.1,107.1,.427,.275,.538,49.2,51.3,11.2,13.2,.491,15.7,35.8,.312,+5.48,108.1,102.6,67.1,-.008,+0.35,102.2,101.8,+1.14,39,32,7,.821,21.72,9.93,16,2,16,0,8,2,2867,2407,,67.3,108.8,.398,.296,.556,52.1,57.4,10.8,15.0,.523,16.4,34.9,.275,+26.91,114.0,87.1,66.3,+.027,+11.15,108.8,97.6,+5.21
Creighton,North Carolina,73,87,0,35,29,6,.829,12.92,3.41,14,4,14,2,10,3,2772,2439,,67.3,116.9,.381,.350,.607,52.1,63.2,7.1,5.8,.578,15.6,30.8,.276,+16.47,119.2,102.7,65.9,+.079,+3.79,104.9,101.1,-0.47,38,32,6,.842,21.34,7.07,14,2,17,1,8,2,3091,2549,,72.8,111.3,.373,.235,.531,54.8,58.1,9.3,14.0,.498,13.3,39.1,.254,+25.44,116.1,90.7,70.9,+.016,+7.41,107.2,99.8,+1.89
South Florida,Ohio,56,62,0,36,22,14,.611,9.20,7.29,12,6,14,2,5,8,2134,2037,,59.7,98.6,.338,.303,.521,50.5,54.8,9.2,10.8,.485,19.1,34.2,.239,+13.13,103.9,90.8,58.5,+.040,+8.17,107.2,99.0,+1.27,37,29,8,.784,7.17,0.17,11,5,16,1,8,6,2597,2311,,66.8,104.4,.355,.384,.527,46.7,54.2,14.0,8.5,.494,16.3,33.9,.245,+11.88,106.6,94.7,66.0,+.022,+0.80,103.6,102.8,-2.97
North Carolina State,Georgetown,66,63,1,37,24,13,.649,12.10,6.80,9,7,13,6,5,4,2697,2501,,67.7,107.3,.363,.261,.539,51.0,59.1,9.9,10.5,.504,15.8,35.8,.255,+14.22,112.1,97.9,67.0,-.004,+6.22,105.9,99.7,+1.18,33,24,9,.727,16.81,7.69,12,6,15,1,6,5,2278,1959,,63.3,107.4,.386,.308,.552,52.1,55.6,9.4,13.2,.519,16.8,35.8,.270,+21.05,111.2,90.1,62.1,-.014,+8.32,107.3,99.0,-1.04
Purdue,Kansas,60,63,0,35,22,13,.629,13.88,8.05,10,8,13,4,5,5,2514,2310,,64.6,111.2,.341,.373,.536,46.6,52.9,10.0,8.9,.511,11.5,31.8,.224,+16.25,116.2,99.9,64.3,-.003,+8.81,108.4,99.6,-2.64,39,32,7,.821,21.72,9.93,16,2,16,0,8,2,2867,2407,,67.3,108.8,.398,.296,.556,52.1,57.4,10.8,15.0,.523,16.4,34.9,.275,+26.91,114.0,87.1,66.3,+.027,+11.15,108.8,97.6,+5.21
North Carolina,Ohio,73,65,1,38,32,6,.842,21.34,7.07,14,2,17,1,8,2,3091,2549,,72.8,111.3,.373,.235,.531,54.8,58.1,9.3,14.0,.498,13.3,39.1,.254,+25.44,116.1,90.7,70.9,+.016,+7.41,107.2,99.8,+1.89,37,29,8,.784,7.17,0.17,11,5,16,1,8,6,2597,2311,,66.8,104.4,.355,.384,.527,46.7,54.2,14.0,8.5,.494,16.3,33.9,.245,+11.88,106.6,94.7,66.0,+.022,+0.80,103.6,102.8,-2.97
Kansas,North Carolina State,60,57,1,39,32,7,.821,21.72,9.93,16,2,16,0,8,2,2867,2407,,67.3,108.8,.398,.296,.556,52.1,57.4,10.8,15.0,.523,16.4,34.9,.275,+26.91,114.0,87.1,66.3,+.027,+11.15,108.8,97.6,+5.21,37,24,13,.649,12.10,6.80,9,7,13,6,5,4,2697,2501,,67.7,107.3,.363,.261,.539,51.0,59.1,9.9,10.5,.504,15.8,35.8,.255,+14.22,112.1,97.9,67.0,-.004,+6.22,105.9,99.7,+1.18
Kansas,North Carolina,80,67,1,39,32,7,.821,21.72,9.93,16,2,16,0,8,2,2867,2407,,67.3,108.8,.398,.296,.556,52.1,57.4,10.8,15.0,.523,16.4,34.9,.275,+26.91,114.0,87.1,66.3,+.027,+11.15,108.8,97.6,+5.21,38,32,6,.842,21.34,7.07,14,2,17,1,8,2,3091,2549,,72.8,111.3,.373,.235,.531,54.8,58.1,9.3,14.0,.498,13.3,39.1,.254,+25.44,116.1,90.7,70.9,+.016,+7.41,107.2,99.8,+1.89
Kentucky,Western Kentucky,81,66,1,40,38,2,.950,24.73,7.93,16,0,18,0,8,1,3095,2423,,66.4,116.5,.417,.265,.575,52.9,48.4,9.1,20.4,.538,14.2,37.1,.302,+32.59,122.2,89.6,65.4,+.032,+7.99,106.8,98.8,-1.06,35,16,19,.457,-2.66,0.51,7,9,8,7,3,8,2272,2383,,68.4,94.2,.402,.327,.489,48.1,50.1,8.1,10.1,.444,18.7,34.1,.276,-2.67,97.8,100.5,67.9,+.083,-0.00,102.3,102.3,+2.63
Iowa State,Connecticut,77,64,1,34,23,11,.676,13.32,7.32,12,6,16,2,4,7,2490,2286,,67.5,108.5,.387,.416,.557,51.8,57.1,8.5,7.1,.526,15.8,32.3,.266,+16.69,113.9,97.2,65.8,-.004,+7.22,107.0,99.8,-4.08,34,20,14,.588,12.27,8.07,8,10,13,4,3,7,2336,2193,,64.1,106.0,.346,.293,.528,49.3,53.3,9.0,17.6,.500,15.9,36.3,.229,+14.53,111.3,96.8,63.0,-.032,+8.25,107.3,99.1,-0.46
Virginia Commonwealth,Wichita State,62,59,1,36,29,7,.806,8.79,0.63,15,3,13,1,10,3,2448,2154,,65.2,103.6,.363,.392,.512,46.8,51.7,16.0,10.4,.476,14.7,33.4,.249,+13.45,106.9,93.5,65.0,+.024,+0.53,101.9,101.4,+1.90,33,27,6,.818,17.42,3.80,16,2,14,1,10,1,2545,2060,,67.0,113.3,.347,.328,.577,52.8,53.2,9.3,10.4,.543,15.5,33.5,.260,+22.36,116.1,93.8,65.7,-.017,+3.97,105.1,101.2,+3.50
New Mexico State,Indiana,66,79,0,36,26,10,.722,8.73,0.08,10,4,14,3,7,5,2812,2459,,70.7,110.1,.517,.247,.552,54.6,51.3,9.5,10.8,.515,17.3,41.1,.346,+11.22,109.3,98.1,69.4,-.041,-0.88,103.4,104.3,-0.87,36,27,9,.750,18.63,7.80,11,7,18,1,5,6,2782,2392,,66.9,115.5,.445,.275,.596,50.8,51.3,9.7,8.5,.552,16.5,35.3,.340,+22.55,120.2,97.6,66.7,+.007,+8.41,107.4,99.0,-4.96
Nevada-Las Vegas,Colorado,64,68,0,35,26,9,.743,13.55,4.37,9,5,17,0,5,7,2671,2307,,69.3,108.2,.356,.387,.554,50.2,65.4,12.1,12.5,.527,16.2,32.8,.241,+14.97,109.2,94.2,68.7,+.006,+3.54,104.5,100.9,-0.24,36,24,12,.667,7.91,5.73,11,7,14,2,4,7,2429,2269,,66.0,101.9,.432,.305,.538,50.2,50.5,8.8,9.0,.499,17.2,30.1,.299,+8.89,104.8,95.9,65.1,+.081,+5.35,105.7,100.4,+0.06
Baylor,South Dakota State,68,60,1,38,30,8,.789,16.54,8.03,12,6,14,3,8,3,2839,2483,,67.1,111.0,.353,.315,.566,52.0,56.8,11.2,12.5,.528,17.2,38.4,.266,+21.29,116.0,94.7,65.6,+.059,+9.61,108.1,98.5,-2.70,35,27,8,.771,7.34,-1.87,15,3,14,0,8,7,2689,2329,,66.1,114.9,.399,.371,.576,48.9,54.5,10.1,4.9,.540,13.7,31.2,.290,+11.62,113.7,102.1,64.8,+.030,-1.92,103.2,105.1,+2.04
Xavier,Notre Dame,67,63,1,36,23,13,.639,9.59,6.22,10,6,13,3,5,6,2543,2422,,67.5,103.6,.412,.252,.535,49.1,52.4,8.8,10.2,.497,15.9,31.3,.287,+12.59,108.7,96.1,66.4,+.031,+7.24,107.4,100.1,+4.56,34,22,12,.647,11.18,6.47,13,5,16,1,5,5,2257,2097,,61.6,106.3,.374,.369,.532,47.4,63.6,8.3,8.3,.495,13.9,30.5,.263,+14.22,110.9,96.7,60.2,+.032,+6.94,106.4,99.4,-4.28
Duke,Lehigh,70,75,0,34,27,7,.794,17.05,8.40,13,3,13,3,8,1,2628,2334,,68.3,112.3,.451,.386,.565,49.8,48.4,9.0,9.0,.528,15.1,34.7,.316,+19.70,117.7,98.0,66.4,+.057,+8.18,107.3,99.1,+7.68,35,27,8,.771,4.27,-5.14,11,3,12,1,12,6,2648,2288,,68.1,110.3,.378,.358,.553,47.9,50.6,11.2,8.0,.507,14.0,31.7,.291,+9.29,108.6,99.3,67.6,-.026,-5.57,100.3,105.8,-5.17
Iowa State,Kentucky,71,87,0,34,23,11,.676,13.32,7.32,12,6,16,2,4,7,2490,2286,,67.5,108.5,.387,.416,.557,51.8,57.1,8.5,7.1,.526,15.8,32.3,.266,+16.69,113.9,97.2,65.8,-.004,+7.22,107.0,99.8,-4.08,40,38,2,.950,24.73,7.93,16,0,18,0,8,1,3095,2423,,66.4,116.5,.417,.265,.575,52.9,48.4,9.1,20.4,.538,14.2,37.1,.302,+32.59,122.2,89.6,65.4,+.032,+7.99,106.8,98.8,-1.06
Indiana,Virginia Commonwealth,63,61,1,36,27,9,.750,18.63,7.80,11,7,18,1,5,6,2782,2392,,66.9,115.5,.445,.275,.596,50.8,51.3,9.7,8.5,.552,16.5,35.3,.340,+22.55,120.2,97.6,66.7,+.007,+8.41,107.4,99.0,-4.96,36,29,7,.806,8.79,0.63,15,3,13,1,10,3,2448,2154,,65.2,103.6,.363,.392,.512,46.8,51.7,16.0,10.4,.476,14.7,33.4,.249,+13.45,106.9,93.5,65.0,+.024,+0.53,101.9,101.4,+1.90
Baylor,Colorado,80,63,1,38,30,8,.789,16.54,8.03,12,6,14,3,8,3,2839,2483,,67.1,111.0,.353,.315,.566,52.0,56.8,11.2,12.5,.528,17.2,38.4,.266,+21.29,116.0,94.7,65.6,+.059,+9.61,108.1,98.5,-2.70,36,24,12,.667,7.91,5.73,11,7,14,2,4,7,2429,2269,,66.0,101.9,.432,.305,.538,50.2,50.5,8.8,9.0,.499,17.2,30.1,.299,+8.89,104.8,95.9,65.1,+.081,+5.35,105.7,100.4,+0.06
Lehigh,Xavier,58,70,0,35,27,8,.771,4.27,-5.14,11,3,12,1,12,6,2648,2288,,68.1,110.3,.378,.358,.553,47.9,50.6,11.2,8.0,.507,14.0,31.7,.291,+9.29,108.6,99.3,67.6,-.026,-5.57,100.3,105.8,-5.17,36,23,13,.639,9.59,6.22,10,6,13,3,5,6,2543,2422,,67.5,103.6,.412,.252,.535,49.1,52.4,8.8,10.2,.497,15.9,31.3,.287,+12.59,108.7,96.1,66.4,+.031,+7.24,107.4,100.1,+4.56
Indiana,Kentucky,90,102,0,36,27,9,.750,18.63,7.80,11,7,18,1,5,6,2782,2392,,66.9,115.5,.445,.275,.596,50.8,51.3,9.7,8.5,.552,16.5,35.3,.340,+22.55,120.2,97.6,66.7,+.007,+8.41,107.4,99.0,-4.96,40,38,2,.950,24.73,7.93,16,0,18,0,8,1,3095,2423,,66.4,116.5,.417,.265,.575,52.9,48.4,9.1,20.4,.538,14.2,37.1,.302,+32.59,122.2,89.6,65.4,+.032,+7.99,106.8,98.8,-1.06
Xavier,Baylor,70,75,0,36,23,13,.639,9.59,6.22,10,6,13,3,5,6,2543,2422,,67.5,103.6,.412,.252,.535,49.1,52.4,8.8,10.2,.497,15.9,31.3,.287,+12.59,108.7,96.1,66.4,+.031,+7.24,107.4,100.1,+4.56,38,30,8,.789,16.54,8.03,12,6,14,3,8,3,2839,2483,,67.1,111.0,.353,.315,.566,52.0,56.8,11.2,12.5,.528,17.2,38.4,.266,+21.29,116.0,94.7,65.6,+.059,+9.61,108.1,98.5,-2.70
Baylor,Kentucky,70,82,0,38,30,8,.789,16.54,8.03,12,6,14,3,8,3,2839,2483,,67.1,111.0,.353,.315,.566,52.0,56.8,11.2,12.5,.528,17.2,38.4,.266,+21.29,116.0,94.7,65.6,+.059,+9.61,108.1,98.5,-2.70,40,38,2,.950,24.73,7.93,16,0,18,0,8,1,3095,2423,,66.4,116.5,.417,.265,.575,52.9,48.4,9.1,20.4,.538,14.2,37.1,.302,+32.59,122.2,89.6,65.4,+.032,+7.99,106.8,98.8,-1.06
Syracuse,North Carolina-Asheville,72,65,1,37,34,3,.919,21.12,8.02,17,1,19,0,9,1,2742,2257,,65.2,113.3,.329,.310,.550,46.7,56.1,14.0,19.4,.521,13.5,36.3,.230,+26.04,117.7,91.7,64.4,+.060,+7.98,107.0,99.0,-2.11,34,24,10,.706,3.06,-2.72,16,2,15,2,8,5,2745,2426,,70.5,114.0,.468,.330,.589,49.1,61.5,11.8,6.9,.541,16.4,34.4,.358,+5.50,110.4,104.9,68.2,-.001,-4.12,101.8,105.9,+7.91
Kansas State,Southern Mississippi,70,64,1,33,22,11,.667,14.47,7.53,10,8,11,4,6,4,2343,2114,,67.0,104.8,.432,.295,.526,51.3,57.6,8.9,13.0,.489,17.5,40.7,.290,+17.52,109.8,92.3,66.5,-.024,+7.98,107.0,99.1,-3.29,34,25,9,.735,7.79,3.61,11,5,15,0,7,6,2426,2212,,64.5,107.9,.394,.304,.517,50.9,45.7,9.1,8.1,.469,13.8,37.2,.290,+10.83,111.2,100.4,63.8,+.041,+4.41,104.7,100.3,+2.32
Vanderbilt,Harvard,79,70,1,36,25,11,.694,15.71,8.04,10,6,13,5,6,5,2615,2339,,65.5,109.7,.401,.412,.572,48.6,51.8,9.0,10.4,.541,16.9,31.6,.280,+20.90,115.6,94.7,64.7,-.048,+8.48,107.7,99.2,+3.03,31,26,5,.839,7.84,-1.56,12,2,11,1,12,3,2033,1724,,60.9,107.3,.411,.348,.571,51.3,57.7,9.7,12.1,.529,17.5,30.3,.307,+14.34,108.8,94.4,60.7,+.027,-0.87,101.4,102.2,+0.65
Montana,Wisconsin,49,73,0,32,25,7,.781,4.55,-3.39,15,1,16,2,9,4,2239,1985,,66.1,105.4,.398,.310,.557,47.0,55.8,10.8,9.7,.520,16.6,28.3,.285,+6.76,103.7,96.9,64.2,+.064,-5.30,102.5,107.8,-0.72,36,26,10,.722,19.04,8.24,12,6,14,4,7,4,2304,1915,,58.6,108.4,.307,.413,.536,49.8,53.7,8.5,9.1,.501,13.0,30.6,.227,+24.09,113.7,89.6,57.5,-.018,+8.80,107.6,98.8,-3.88
Texas,Cincinnati,59,65,0,34,20,14,.588,14.00,8.12,9,9,15,3,4,7,2470,2270,,66.7,108.1,.426,.312,.533,49.6,50.1,10.1,9.7,.485,15.5,38.5,.312,+15.90,112.9,97.0,64.9,-.065,+8.45,107.8,99.4,-1.52,37,26,11,.703,12.93,6.28,12,6,14,4,7,5,2522,2276,,64.1,104.9,.293,.348,.505,48.1,51.8,12.4,12.0,.480,13.9,35.7,.189,+16.03,109.5,93.5,62.9,+.023,+6.90,105.7,98.8,-9.17
