Team1,Team2,Points1,Points2,Result,G1,W1,L1,W-L%1,SRS1,SOS1,W1,L1,W1,L1,W1,L1,Tm.1,Opp.1,1,Pace1,ORtg1,FTr1,3PAr1,TS%1,TRB%1,AST%1,STL%1,BLK%1,eFG%1,TOV%1,ORB%1,FT/FGA1,AdjEM1,AdjO1,AdjD1,AdjT1,Luck1,SOS AdjEM1,OppO1,OppD1,NCSOS AdjEM1,G2,W2,L2,W-L%2,SRS2,SOS2,W2,L2,W2,L2,W2,L2,Tm.2,Opp.2,2,Pace2,ORtg2,FTr2,3PAr2,TS%2,TRB%2,AST%2,STL%2,BLK%2,eFG%2,TOV%2,ORB%2,FT/FGA2,AdjEM2,AdjO2,AdjD2,AdjT2,Luck2,SOS AdjEM2,OppO2,OppD2,NCSOS AdjEM2
Long Island University,Michigan State,67,89,0,34,25,9,.735,-1.34,-5.10,16,2,15,0,7,8,2769,2641,,74.8,108.5,.497,.312,.577,48.6,54.3,8.1,6.7,.532,18.5,34.2,.363,+0.75,108.7,107.9,73.4,+.117,-5.25,99.8,105.0,-2.27,37,29,8,.784,21.32,9.82,13,5,17,1,7,4,2651,2195,,65.1,109.7,.377,.276,.559,54.1,59.0,11.0,12.4,.527,16.7,36.1,.264,+27.87,114.7,86.9,64.3,-.027,+10.21,108.6,98.4,-1.07
Memphis,Saint Louis,54,61,0,35,26,9,.743,16.86,5.26,13,3,18,2,7,4,2614,2208,,67.1,110.1,.413,.269,.575,48.7,54.1,11.7,14.6,.540,16.3,31.3,.296,+21.90,114.2,92.3,67.5,-.064,+5.10,104.9,99.8,+6.96,34,26,8,.765,15.15,4.06,12,4,15,1,6,5,2336,1960,,63.2,108.3,.360,.366,.550,48.4,56.4,10.9,8.0,.515,15.2,31.6,.259,+21.20,111.9,90.7,61.9,-.056,+4.36,105.0,100.6,-2.55
Long Beach State,New Mexico,68,75,0,34,25,9,.735,9.52,0.87,15,1,12,0,8,7,2510,2175,,67.2,109.1,.420,.329,.556,50.7,54.1,10.5,7.1,.527,16.3,34.7,.281,+15.27,111.7,96.4,66.4,-.047,+1.25,104.0,102.8,+14.84,35,28,7,.800,15.60,3.34,10,4,14,2,7,3,2545,2076,,66.3,109.3,.394,.368,.565,52.7,65.4,10.3,9.6,.531,17.2,34.7,.279,+19.45,110.8,91.4,65.5,+.003,+2.65,103.9,101.3,-4.16
Louisville,Davidson,69,62,1,40,30,10,.750,16.19,9.02,10,8,16,4,6,5,2727,2440,,67.0,100.5,.362,.321,.510,49.7,55.2,13.0,12.8,.473,17.4,35.7,.249,+20.67,106.2,85.5,66.1,+.031,+10.06,108.6,98.6,+0.11,33,25,8,.758,7.26,-1.68,16,2,13,2,8,5,2571,2238,,68.8,112.4,.371,.386,.555,52.1,51.8,8.0,8.7,.511,14.3,35.4,.283,+10.65,112.0,101.4,67.4,+.008,-3.00,101.5,104.5,+8.78
Murray State,Colorado State,58,41,1,33,31,2,.939,8.74,-2.60,15,1,13,1,13,0,2412,2001,,66.1,109.8,.439,.349,.576,49.2,51.5,12.6,11.0,.537,18.0,34.9,.318,+15.34,108.5,93.2,65.0,+.031,-2.34,102.9,105.2,+3.63,32,20,12,.625,6.58,5.23,8,6,14,1,3,9,2243,2177,,64.5,107.4,.423,.292,.576,49.2,50.9,8.2,5.7,.530,17.3,28.7,.324,+8.17,111.9,103.7,63.6,+.075,+4.39,104.7,100.3,+0.85
Brigham Young,Marquette,68,88,0,35,26,9,.743,11.25,1.55,12,4,13,3,8,3,2727,2358,,73.0,106.7,.367,.323,.553,50.2,61.3,11.6,11.9,.521,16.1,30.6,.257,+12.79,106.3,93.5,72.6,+.020,+1.31,105.1,103.8,+0.38,35,27,8,.771,16.92,7.50,14,4,15,1,6,5,2638,2308,,70.7,106.6,.409,.293,.543,47.4,63.1,12.3,8.8,.501,16.0,33.9,.295,+20.22,111.5,91.3,70.0,+.042,+8.24,106.6,98.3,-0.95
Florida,Virginia,71,45,1,37,26,11,.703,18.25,7.33,10,6,14,2,4,7,2808,2404,,65.1,115.4,.332,.446,.576,49.2,56.5,9.6,8.8,.548,14.4,33.5,.237,+22.47,120.4,98.0,64.2,-.043,+7.18,105.4,98.2,-1.67,32,22,10,.688,12.51,4.23,9,7,13,3,7,4,2000,1735,,61.1,101.9,.354,.298,.543,49.9,54.6,10.5,8.2,.507,16.6,27.1,.256,+15.85,105.2,89.3,59.3,-.024,+4.05,105.0,101.0,-5.70
Missouri,Norfolk State,84,86,0,35,30,5,.857,19.77,5.68,14,4,16,1,7,3,2814,2321,,66.4,120.7,.375,.379,.614,48.0,57.7,12.2,7.2,.580,13.5,30.4,.287,+25.28,125.1,99.8,65.4,+.017,+5.80,105.7,99.9,-6.18,36,26,10,.722,-3.68,-5.39,13,3,10,4,10,4,2482,2416,,68.4,99.8,.419,.321,.523,48.9,49.5,9.6,12.3,.490,18.5,34.2,.275,-1.82,100.9,102.7,66.6,+.189,-6.31,100.3,106.6,+1.39
Michigan State,Saint Louis,65,61,1,37,29,8,.784,21.32,9.82,13,5,17,1,7,4,2651,2195,,65.1,109.7,.377,.276,.559,54.1,59.0,11.0,12.4,.527,16.7,36.1,.264,+27.87,114.7,86.9,64.3,-.027,+10.21,108.6,98.4,-1.07,34,26,8,.765,15.15,4.06,12,4,15,1,6,5,2336,1960,,63.2,108.3,.360,.366,.550,48.4,56.4,10.9,8.0,.515,15.2,31.6,.259,+21.20,111.9,90.7,61.9,-.056,+4.36,105.0,100.6,-2.55
New Mexico,Louisville,56,59,0,35,28,7,.800,15.60,3.34,10,4,14,2,7,3,2545,2076,,66.3,109.3,.394,.368,.565,52.7,65.4,10.3,9.6,.531,17.2,34.7,.279,+19.45,110.8,91.4,65.5,+.003,+2.65,103.9,101.3,-4.16,40,30,10,.750,16.19,9.02,10,8,16,4,6,5,2727,2440,,67.0,100.5,.362,.321,.510,49.7,55.2,13.0,12.8,.473,17.4,35.7,.249,+20.67,106.2,85.5,66.1,+.031,+10.06,108.6,98.6,+0.11
