Team1,Team2,Points1,Points2,Result,G1,W1,L1,W-L%1,SRS1,SOS1,ConfW1,ConfL1,HomeW1,HomeL1,AwayW1,AwayL1,Tm.1,Opp.1,MP1,FG1,FGA1,FG%1,3P1,3PA1,3P%1,FT1,FTA1,FT%1,ORB1,TRB1,AST1,STL1,BLK1,TOV1,PF1,Pace1,ORtg1,FTr1,3PAr1,TS%1,TRB%1,AST%1,STL%1,BLK%1,eFG%1,TOV%1,ORB%1,FT/FGA1,AdjEM1,AdjO1,AdjD1,AdjT1,Luck1,SOS AdjEM1,OppO1,OppD1,NCSOS AdjEM1,G2,W2,L2,W-L%2,SRS2,SOS2,ConfW2,ConfL2,HomeW2,HomeL2,AwayW2,AwayL2,Tm.2,Opp.2,MP2,FG2,FGA2,FG%2,3P2,3PA2,3P%2,FT2,FTA2,FT%2,ORB2,TRB2,AST2,STL2,BLK2,TOV2,PF2,Pace2,ORtg2,FTr2,3PAr2,TS%2,TRB%2,AST%2,STL%2,BLK%2,eFG%2,TOV%2,ORB%2,FT/FGA2,AdjEM2,AdjO2,AdjD2,AdjT2,Luck2,SOS AdjEM2,OppO2,OppD2,NCSOS AdjEM2
Oregon,Holy Cross,91,52,1,38,31,7,.816,18.05,8.64,14,4,18,0,5,5,2990,2614,1525,1041,2230,.467,260,758,.343,648,906,.715,442,1382,517,275,221,431,675,69.5,112.8,.406,.340,.562,52.4,49.7,10.4,15.3,.525,13.9,34.2,.291,+22.68,119.1,96.4,68.1,+.041,+9.06,109.0,100.0,+1.04,35,15,20,.429,-11.20,-6.11,5,13,8,6,5,13,2267,2445,1425,775,1879,.412,251,769,.326,466,678,.687,279,1052,480,219,86,386,585,64.6,98.4,.361,.409,.515,45.6,61.9,9.5,7.8,.479,14.9,23.1,.248,-11.39,97.1,108.5,63.6,+.065,-6.09,101.9,108.0,-6.27
Saint Joseph's,Cincinnati,78,76,1,36,28,8,.778,12.10,4.93,13,5,12,4,10,2,2780,2522,1445,976,2153,.453,251,767,.327,577,806,.716,359,1378,534,184,119,355,583,70.2,109.6,.374,.356,.548,51.9,54.7,7.3,9.2,.512,12.3,27.9,.268,+15.37,114.3,98.9,70.2,+.030,+4.66,107.0,102.3,+1.97,33,22,11,.667,15.19,5.25,12,6,14,3,6,6,2418,2090,1355,851,1980,.430,252,725,.348,464,658,.705,441,1291,508,257,192,363,513,65.5,108.9,.332,.366,.527,53.2,59.7,11.6,15.5,.493,13.7,36.6,.234,+17.06,111.2,94.1,64.0,-.067,+5.20,107.3,102.1,-1.21
Yale,Baylor,79,75,1,30,23,7,.767,9.08,-1.03,13,1,12,0,9,6,2248,1914,1205,795,1693,.470,190,523,.363,468,699,.670,407,1208,452,170,137,398,530,66.9,111.5,.413,.309,.555,57.8,56.9,8.4,12.6,.526,16.4,39.4,.276,+14.33,110.4,96.0,66.0,+.026,-0.85,105.5,106.4,-1.00,34,22,12,.647,16.13,9.76,10,8,15,5,6,5,2621,2366,1375,933,2003,.466,210,572,.367,545,752,.725,467,1267,603,269,135,432,660,67.6,112.8,.375,.286,.555,55.6,64.6,11.6,11.2,.518,15.5,40.1,.272,+19.06,118.9,99.8,66.6,-.012,+11.21,109.7,98.4,-3.12
North Carolina-Wilmington,Duke,85,93,0,33,25,8,.758,6.25,0.35,14,4,12,2,8,5,2620,2379,1335,928,2039,.455,230,677,.340,534,760,.703,397,1237,438,246,143,374,793,71.3,110.0,.373,.332,.546,50.6,47.2,10.3,11.2,.512,13.5,32.2,.262,+9.21,110.7,101.5,70.3,+.033,+0.85,105.7,104.9,-3.90,36,25,11,.694,19.23,10.59,11,7,15,3,5,4,2920,2609,1450,983,2136,.460,328,851,.385,626,866,.723,426,1296,478,226,154,354,603,68.4,117.7,.405,.398,.573,49.5,48.6,9.1,9.8,.537,12.2,33.0,.293,+21.87,121.9,100.0,67.7,-.026,+11.23,112.0,100.7,+3.52
Texas,Northern Iowa,72,75,0,33,20,13,.606,14.80,11.71,11,7,14,3,5,5,2355,2253,1330,814,1884,.432,232,681,.341,495,743,.666,363,1139,377,167,144,341,688,66.8,106.1,.394,.361,.526,49.1,46.3,7.5,11.6,.494,13.2,30.7,.263,+16.19,113.0,96.8,65.3,+.022,+12.54,111.5,99.0,+5.55,36,23,13,.639,8.78,4.44,11,7,11,3,6,8,2475,2303,1455,849,1864,.455,298,796,.374,479,633,.757,195,1091,429,204,94,357,560,64.1,106.2,.340,.427,.572,46.8,50.5,8.8,7.7,.535,14.2,17.6,.257,+11.13,109.6,98.5,62.9,+.013,+4.80,106.1,101.3,+7.57
Green Bay,Texas A&M,65,92,0,36,23,13,.639,1.16,-0.67,11,7,11,3,8,9,3013,2880,1455,1048,2350,.446,255,730,.349,662,1007,.657,458,1385,501,358,166,441,724,77.3,107.1,.429,.311,.533,48.7,47.8,12.7,11.1,.500,13.5,30.9,.282,+3.74,108.3,104.6,76.2,+.057,+0.11,104.4,104.3,+1.92,37,28,9,.757,18.45,8.45,13,5,17,1,5,5,2828,2458,1500,991,2208,.449,281,824,.341,565,841,.672,460,1461,612,260,133,434,668,68.8,109.6,.381,.373,.542,53.0,61.8,10.1,10.5,.512,14.3,33.8,.256,+21.26,113.8,92.5,67.1,+.006,+8.48,109.6,101.1,+3.15
Oregon State,Virginia Commonwealth,67,75,0,32,19,13,.594,10.39,9.26,9,9,12,3,4,7,2301,2244,1280,811,1843,.440,218,587,.371,461,687,.671,337,1102,432,236,106,361,642,68.4,105.1,.373,.319,.530,48.3,53.3,10.8,9.7,.499,14.3,29.2,.250,+11.65,110.7,99.1,67.1,+.043,+9.61,109.8,100.2,+0.46,36,25,11,.694,13.83,4.35,14,4,15,2,7,4,2781,2440,1450,1010,2238,.451,262,745,.352,499,721,.692,435,1347,515,309,135,405,706,69.9,109.7,.322,.333,.539,52.0,51.0,12.2,9.8,.510,13.6,32.6,.223,+17.07,112.1,95.0,69.6,-.070,+3.82,107.3,103.5,+0.95
Oklahoma,Cal State Bakersfield,82,68,1,37,29,8,.784,19.76,11.14,12,6,14,1,7,5,2948,2629,1495,1018,2225,.458,382,906,.422,530,734,.722,407,1418,537,247,188,484,630,71.0,111.0,.330,.407,.573,51.4,52.8,9.3,12.6,.543,15.8,31.0,.238,+23.78,117.9,94.1,69.8,+.082,+13.05,111.5,98.5,+2.70,33,24,9,.727,2.58,-5.15,11,3,14,1,7,7,2405,2104,1330,875,1939,.451,179,524,.342,476,726,.656,414,1263,516,263,165,405,707,68.4,105.8,.374,.270,.527,52.8,59.0,11.6,14.2,.497,15.1,34.6,.245,+6.26,104.0,97.8,67.6,-.003,-6.50,100.6,107.1,-2.99
Saint Joseph's,Oregon,64,69,0,36,28,8,.778,12.10,4.93,13,5,12,4,10,2,2780,2522,1445,976,2153,.453,251,767,.327,577,806,.716,359,1378,534,184,119,355,583,70.2,109.6,.374,.356,.548,51.9,54.7,7.3,9.2,.512,12.3,27.9,.268,+15.37,114.3,98.9,70.2,+.030,+4.66,107.0,102.3,+1.97,38,31,7,.816,18.05,8.64,14,4,18,0,5,5,2990,2614,1525,1041,2230,.467,260,758,.343,648,906,.715,442,1382,517,275,221,431,675,69.5,112.8,.406,.340,.562,52.4,49.7,10.4,15.3,.525,13.9,34.2,.291,+22.68,119.1,96.4,68.1,+.041,+9.06,109.0,100.0,+1.04
Duke,Yale,71,64,1,36,25,11,.694,19.23,10.59,11,7,15,3,5,4,2920,2609,1450,983,2136,.460,328,851,.385,626,866,.723,426,1296,478,226,154,354,603,68.4,117.7,.405,.398,.573,49.5,48.6,9.1,9.8,.537,12.2,33.0,.293,+21.87,121.9,100.0,67.7,-.026,+11.23,112.0,100.7,+3.52,30,23,7,.767,9.08,-1.03,13,1,12,0,9,6,2248,1914,1205,795,1693,.470,190,523,.363,468,699,.670,407,1208,452,170,137,398,530,66.9,111.5,.413,.309,.555,57.8,56.9,8.4,12.6,.526,16.4,39.4,.276,+14.33,110.4,96.0,66.0,+.026,-0.85,105.5,106.4,-1.00
