School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,31,24,7,.774,10.20,2.49,12,4,16,0,6,5,1990,1695,.331,.484,.609,45.7,65.2,4.7,.581,17.0,.246
Akron,33,23,10,.697,5.00,0.13,14,4,13,0,7,8,2407,2180,.374,.395,.560,50.7,64.8,5.8,.525,16.1,.269
Alabama A&M,26,13,13,.500,-9.12,-10.43,11,7,9,3,4,9,1917,1872,.407,.316,.500,48.3,48.4,9.8,.466,18.1,.262
Alabama-Birmingham,31,24,7,.774,9.64,1.57,12,2,14,1,7,5,2306,2035,.374,.356,.539,44.2,58.6,6.6,.514,15.6,.242
Alabama State,30,12,18,.400,-12.98,-8.58,10,8,7,4,4,12,1985,2117,.409,.332,.493,50.2,44.7,5.2,.460,19.1,.257
Alabama,31,18,13,.581,10.79,8.08,10,6,14,4,3,7,2178,2094,.415,.304,.547,53.2,50.0,8.3,.508,17.5,.294
Albany (NY),32,21,11,.656,-0.44,-4.25,13,3,10,3,8,7,2194,2065,.411,.355,.553,51.7,54.2,4.8,.515,18.5,.292
Alcorn State,28,8,20,.286,-15.11,-8.03,8,10,5,4,3,15,1848,2046,.369,.341,.509,49.0,51.7,5.3,.477,22.0,.242
American,29,12,17,.414,-8.49,-4.32,7,7,7,4,4,12,1850,1971,.345,.309,.505,50.9,57.9,5.7,.469,19.8,.238
Appalachian State,30,14,16,.467,-7.61,-4.79,6,8,8,4,4,10,2100,2113,.323,.413,.535,48.5,58.4,6.6,.502,18.8,.228
Arizona State,28,11,17,.393,4.36,7.18,5,13,8,9,3,7,1878,1958,.374,.275,.525,50.1,61.5,6.0,.483,19.1,.270
Arizona,33,20,13,.606,15.12,10.09,11,7,12,2,4,7,2433,2267,.327,.218,.517,49.8,54.1,6.9,.481,15.7,.232
Little Rock,29,14,15,.483,-4.67,-3.14,5,9,9,6,3,7,1861,1899,.440,.254,.499,52.7,64.8,5.1,.454,19.4,.300
Arkansas-Pine Bluff,29,13,16,.448,-12.48,-10.81,8,10,5,5,6,10,1829,1851,.316,.280,.487,47.3,49.4,7.6,.452,20.1,.215
Arkansas State,30,12,18,.400,-5.49,-1.45,7,7,8,5,2,12,2189,2259,.395,.285,.545,49.6,51.5,4.4,.518,18.7,.260
Arkansas,32,22,10,.688,15.01,6.17,10,6,15,1,3,5,2359,2076,.392,.290,.541,50.2,58.9,10.7,.507,16.4,.271
Army,27,5,22,.185,-19.89,-5.69,1,13,2,11,3,11,1491,1790,.314,.329,.491,47.0,56.1,3.3,.456,21.9,.216
Auburn,28,12,16,.429,4.92,7.06,4,12,11,5,1,10,1836,1896,.351,.361,.522,49.1,57.8,8.0,.498,20.2,.221
Austin Peay,31,17,14,.548,-5.68,-6.29,11,9,11,2,4,12,2228,2209,.421,.302,.553,48.9,56.9,5.3,.506,18.1,.314
Ball State,28,10,18,.357,-3.53,-0.60,6,12,6,8,4,10,1779,1821,.375,.290,.509,50.8,51.9,7.7,.476,18.5,.248
Baylor,17,4,13,.235,2.30,11.65,4,12,4,4,0,8,1074,1233,.323,.390,.504,44.8,50.7,7.5,.470,19.6,.223
Belmont,31,20,11,.645,-3.53,-6.72,15,5,10,2,7,8,2499,2356,.353,.380,.588,50.3,57.7,5.9,.565,19.1,.244
Bethune-Cookman,30,15,15,.500,-13.66,-10.49,11,7,8,3,5,11,1962,2057,.367,.315,.499,47.0,52.3,3.7,.473,18.9,.226
Binghamton,29,16,13,.552,-4.73,-5.52,12,4,8,6,7,7,1812,1783,.336,.366,.485,48.3,47.6,3.3,.438,15.6,.249
Birmingham-Southern,28,19,9,.679,-5.81,-8.12,12,4,11,2,6,7,1922,1794,.427,.409,.567,53.4,56.0,3.6,.537,17.1,.291
Boise State,29,14,15,.483,0.83,1.09,6,10,10,5,3,9,2095,2049,.315,.374,.541,49.2,55.5,3.4,.510,18.7,.224
Boston College,36,28,8,.778,13.79,6.10,11,5,14,2,9,3,2671,2383,.425,.299,.567,52.8,67.3,7.9,.539,16.7,.287
Boston University,28,12,16,.429,-4.45,-3.77,9,7,6,5,5,9,1650,1669,.327,.310,.493,51.6,63.6,6.0,.461,18.3,.217
Bowling Green State,30,9,21,.300,-7.83,0.38,5,13,5,8,4,10,1978,2142,.392,.366,.545,45.1,61.7,3.3,.505,21.5,.282
Bradley,33,22,11,.667,11.78,5.38,11,7,13,1,5,8,2359,2148,.345,.285,.524,52.0,62.9,8.2,.487,18.1,.247
Brigham Young,29,20,9,.690,7.19,3.19,12,4,14,1,4,7,2209,2078,.366,.308,.556,51.3,59.1,6.7,.522,17.6,.262
Brown,27,10,17,.370,-11.37,-6.66,6,8,4,8,6,7,1613,1740,.449,.359,.505,49.5,62.0,5.6,.464,21.4,.296
Bucknell,32,27,5,.844,7.29,-2.29,14,0,14,1,11,3,2114,1785,.429,.322,.563,52.4,62.9,3.6,.528,20.2,.299
Buffalo,32,19,13,.594,-0.10,-1.22,8,10,12,3,5,9,2317,2247,.439,.325,.548,51.7,53.5,4.1,.498,19.8,.330
Butler,33,20,13,.606,6.22,0.44,11,5,12,1,5,10,2254,2032,.317,.456,.567,43.6,55.6,4.6,.541,12.8,.224
Cal Poly,29,10,19,.345,-6.00,-0.56,7,7,6,7,3,11,1907,2052,.336,.401,.522,51.2,50.4,3.7,.489,19.3,.233
Cal State Fullerton,29,16,13,.552,-2.24,-3.07,5,9,7,5,7,6,2293,2183,.325,.318,.549,53.0,51.5,3.8,.526,17.3,.217
Cal State Northridge,28,11,17,.393,-8.67,-1.46,4,10,6,6,4,9,1986,2072,.437,.288,.534,49.5,58.2,5.6,.484,20.9,.321
UC-Davis,28,8,20,.286,5,8,2,11,1843,2052,.381,.327,.526,44.6,53.6,3.4,.487,18.2,27.3,.269
UC-Irvine,29,16,13,.552,2.45,-1.87,10,4,7,6,8,4,2068,1967,.324,.388,.586,51.5,60.6,4.8,.556,18.5,.240
UC-Riverside,28,5,23,.179,-13.83,-0.75,3,11,3,10,2,11,1885,2215,.296,.301,.479,48.4,46.7,4.8,.444,20.2,.204
UC-Santa Barbara,29,15,14,.517,-2.07,-1.34,6,8,9,4,5,9,1930,1915,.375,.313,.533,49.7,52.9,5.9,.495,17.7,.266
University of California,31,20,11,.645,12.31,8.84,12,6,12,3,7,4,2128,2000,.448,.283,.549,51.2,56.1,5.0,.502,16.5,.329
Campbell,28,10,18,.357,-12.28,-8.11,9,11,5,8,5,9,2319,2408,.365,.428,.538,52.2,59.0,4.2,.514,19.1,.234
Canisius,29,9,20,.310,-6.04,-1.80,6,12,4,9,4,10,2050,2173,.301,.336,.543,48.1,52.6,4.9,.511,17.3,.218
Centenary (LA),27,4,23,.148,-15.59,-3.78,2,14,3,10,1,13,1796,2092,.335,.317,.530,47.1,62.7,4.5,.496,22.0,.237
Central Connecticut State,29,18,11,.621,-2.14,-6.76,13,5,11,4,7,7,2102,1968,.367,.368,.551,52.1,59.4,4.3,.515,16.3,.265
Central Florida,29,14,15,.483,-2.25,-0.69,7,7,10,5,3,7,1836,1839,.330,.374,.526,51.5,64.1,7.1,.502,20.7,.212
Central Michigan,28,4,24,.143,-12.38,-1.01,1,17,3,10,1,14,1681,1941,.375,.338,.497,47.7,49.4,8.2,.460,24.0,.251
Charleston Southern,29,13,16,.448,-10.72,-6.60,7,9,7,6,6,9,2027,2059,.360,.364,.519,48.7,53.0,5.5,.489,17.1,.239
Charlotte,32,19,13,.594,4.72,1.97,11,5,9,6,9,6,2234,2146,.354,.393,.504,52.9,59.3,5.1,.473,15.6,.231
Chattanooga,32,19,13,.594,-7.55,-5.22,8,6,12,3,4,8,2320,2245,.452,.337,.532,51.4,55.0,4.1,.501,17.3,.290
Chicago State,30,11,19,.367,-7.20,-2.13,8,8,6,2,3,14,2060,2212,.368,.325,.512,47.0,52.0,6.2,.475,16.9,.254
Cincinnati,34,21,13,.618,12.95,8.41,8,8,16,5,3,7,2530,2359,.319,.303,.519,49.3,50.6,9.3,.478,14.1,.239
Citadel,31,10,21,.323,-20.84,-7.76,1,14,6,9,3,10,2088,2249,.375,.363,.491,48.6,52.1,6.3,.461,17.8,.237
Clemson,32,19,13,.594,10.30,4.97,7,9,12,4,5,8,2378,2172,.360,.379,.519,50.7,53.5,8.1,.497,17.8,.222
Cleveland State,28,10,18,.357,-8.20,-0.08,5,11,6,10,4,8,1803,1941,.340,.294,.482,48.6,56.7,5.2,.450,19.4,.220
Coastal Carolina,30,20,10,.667,-5.78,-7.09,12,4,14,1,5,9,2144,2006,.310,.398,.566,51.3,60.4,4.1,.534,17.7,.231
Colgate,29,10,19,.345,-10.72,-5.61,4,10,6,6,2,11,1690,1790,.314,.374,.501,49.8,52.1,5.7,.469,21.4,.213
College of Charleston,28,17,11,.607,-4.12,-5.83,9,6,11,4,5,6,2052,1861,.368,.299,.517,56.0,50.3,4.6,.487,18.7,.241
Colorado State,31,16,15,.516,3.97,4.27,4,12,9,6,5,7,2294,2219,.432,.290,.584,51.4,59.8,11.3,.548,21.2,.311
Colorado,30,20,10,.667,11.17,4.57,9,7,15,2,4,7,2305,2107,.320,.365,.521,52.6,59.6,9.9,.497,16.0,.207
Columbia,27,11,16,.407,-11.32,-6.32,4,10,7,6,4,9,1729,1819,.359,.321,.541,53.5,56.1,3.6,.501,22.2,.264
Connecticut,34,30,4,.882,21.22,6.57,14,2,16,0,8,2,2781,2283,.419,.246,.556,56.1,54.8,13.5,.518,16.3,.295
Coppin State,30,12,18,.400,-10.90,-6.07,12,6,7,2,5,12,1919,2064,.359,.314,.491,44.4,43.9,3.3,.452,16.7,.247
Cornell,28,13,15,.464,-6.67,-5.19,8,6,7,5,5,10,1762,1776,.324,.372,.528,48.5,58.1,4.9,.494,19.0,.231
Creighton,30,20,10,.667,10.11,4.88,12,6,15,2,5,7,1982,1825,.415,.381,.526,49.9,60.4,5.8,.487,17.5,.286
Dartmouth,27,6,21,.222,-12.66,-5.43,4,10,4,6,2,13,1632,1815,.242,.314,.498,48.1,54.2,7.1,.471,18.3,.168
Davidson,31,20,11,.645,1.89,-3.04,10,5,14,1,3,9,2403,2137,.290,.398,.560,54.1,66.3,2.8,.527,15.7,.221
Dayton,31,14,17,.452,3.07,2.04,6,10,12,5,2,9,1964,1916,.312,.297,.513,52.6,57.5,5.4,.484,18.5,.208
Delaware State,35,21,14,.600,-6.13,-6.22,16,2,9,1,10,10,2014,2011,.398,.371,.530,46.9,54.1,5.8,.497,19.2,.267
Delaware,30,9,21,.300,-5.31,-0.54,4,14,4,8,2,12,1983,2126,.359,.370,.504,48.7,56.5,6.4,.474,19.8,.233
Denver,31,16,15,.516,-1.19,-1.42,7,8,10,2,3,12,2060,2045,.358,.301,.540,50.2,57.0,6.9,.498,19.5,.268
DePaul,27,12,15,.444,6.52,8.74,5,11,7,7,4,8,1752,1812,.319,.313,.521,48.9,53.2,6.9,.489,16.3,.223
Detroit Mercy,32,16,16,.500,-2.37,0.07,8,8,13,1,2,13,2034,2083,.308,.246,.520,53.2,50.3,6.3,.489,18.2,.214
Drake,31,12,19,.387,2.45,5.48,5,13,8,8,3,9,2139,2134,.399,.266,.522,53.6,54.0,4.8,.478,19.3,.286
Drexel,31,15,16,.484,3.72,1.17,8,10,11,3,4,9,1930,1851,.338,.301,.477,52.4,53.8,10.0,.440,17.1,.226
Duke,36,32,4,.889,21.77,8.77,14,2,14,1,8,2,2921,2453,.450,.353,.598,48.1,55.8,9.1,.555,16.9,.343
Duquesne,27,3,24,.111,-10.21,1.09,1,15,2,13,1,11,1786,2091,.285,.314,.512,46.5,60.9,5.8,.477,18.0,.208
East Carolina,28,8,20,.286,-7.66,-1.27,2,12,7,8,1,11,1747,1874,.423,.386,.491,50.0,64.2,3.2,.453,19.6,.271
East Tennessee State,28,15,13,.536,-7.26,-9.14,12,8,9,5,6,8,2284,2185,.337,.271,.539,50.6,39.6,4.3,.516,18.1,.217
Eastern Illinois,27,6,21,.222,-14.55,-5.85,5,15,3,9,3,12,1599,1834,.278,.267,.504,48.9,60.5,4.8,.469,20.3,.204
Eastern Kentucky,30,14,16,.467,-8.80,-4.97,11,9,8,6,5,8,2105,2174,.335,.386,.562,46.9,54.1,3.9,.537,17.4,.230
Eastern Michigan,28,7,21,.250,-7.32,-1.43,3,15,4,9,3,12,1835,2016,.412,.359,.551,49.9,57.9,3.4,.511,22.6,.294
Eastern Washington,30,15,15,.500,-0.84,-0.02,9,5,10,2,5,9,2223,2221,.415,.277,.567,50.3,59.9,7.5,.537,19.6,.283
Elon,29,15,14,.517,-7.48,-3.45,10,4,10,4,4,9,1946,1977,.388,.359,.525,51.3,58.5,5.1,.489,19.5,.265
Evansville,29,10,19,.345,-2.08,3.54,5,13,7,7,2,11,1895,2058,.389,.384,.527,48.0,59.1,4.7,.484,21.1,.281
Fairfield,28,9,19,.321,-6.23,-0.05,7,11,4,8,4,10,2018,2191,.303,.370,.532,46.5,51.2,4.4,.495,14.6,.227
Fairleigh Dickinson,32,20,12,.625,-3.15,-5.28,14,4,11,3,8,8,2377,2265,.347,.307,.535,49.0,58.1,10.2,.511,17.4,.224
Florida A&M,31,14,17,.452,-13.56,-8.06,10,8,7,4,6,11,2072,2230,.438,.274,.523,50.7,44.7,2.8,.479,22.0,.305
Florida Atlantic,28,15,13,.536,-9.68,-8.43,14,6,10,2,5,8,2055,2037,.322,.344,.567,50.5,59.1,3.6,.543,18.9,.221
Florida International,28,8,20,.286,-9.49,-0.07,4,10,6,7,2,12,1727,1940,.397,.330,.491,48.9,55.1,6.3,.465,22.3,.239
Florida State,30,20,10,.667,12.36,4.86,9,7,14,3,4,7,2302,2077,.428,.291,.569,51.3,50.7,4.3,.534,19.2,.301
Florida,39,33,6,.846,20.21,5.49,10,6,16,2,6,4,3052,2478,.407,.348,.603,52.7,61.3,9.1,.569,18.2,.302
