School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,31,11,20,.355,-19.60,-4.12,2,12,9,5,0,14,2214,2228,67.7,104.2,.400,.360,.559,50.2,54.5,10.4,6.5,.515,18.6,30.4,.300
Air Force,30,12,18,.400,-4.08,1.71,6,12,8,9,3,8,1980,2074,65.4,100.1,.377,.418,.538,48.8,61.7,8.3,9.9,.504,17.9,26.7,.260
Akron,34,21,13,.618,1.16,-0.48,12,6,13,2,6,8,2332,2276,65.5,103.6,.404,.372,.527,51.0,47.6,10.0,10.5,.503,16.8,35.2,.252
Alabama A&M,30,14,16,.467,-13.86,-10.58,10,8,7,4,5,11,1936,2010,66.5,95.9,.421,.350,.504,47.1,57.9,9.3,11.0,.467,17.1,28.1,.276
Alabama-Birmingham,31,18,13,.581,0.78,-0.77,7,9,12,5,5,5,2266,2180,69.4,104.0,.402,.274,.496,55.0,49.0,7.8,9.9,.458,15.0,40.1,.265
Alabama State,32,19,13,.594,-12.84,-11.40,12,6,13,1,5,10,2265,2225,68.1,102.3,.395,.323,.504,49.5,52.4,9.8,9.2,.465,14.4,33.6,.267
Alabama,32,13,19,.406,8.34,8.88,7,11,13,4,0,11,2170,2150,64.4,104.0,.442,.328,.537,48.5,47.4,10.5,11.8,.499,15.8,30.4,.303
Albany (NY),34,19,15,.559,-3.31,-5.22,9,7,10,3,7,11,2239,2174,63.0,103.3,.420,.261,.539,52.5,49.2,8.5,8.6,.488,17.1,31.9,.315
Alcorn State,31,12,19,.387,-15.95,-9.27,9,9,9,3,2,13,1985,2101,64.8,96.8,.427,.271,.498,47.3,40.8,9.0,10.0,.459,15.1,29.3,.279
American,33,20,13,.606,0.69,-3.25,13,5,11,3,9,9,2081,1951,60.7,103.4,.350,.358,.584,50.6,65.8,9.8,9.9,.558,20.7,26.5,.248
Appalachian State,30,9,21,.300,-15.32,-7.13,5,11,7,7,2,13,2034,2152,67.4,99.8,.403,.289,.493,50.6,45.5,9.2,7.2,.459,14.9,34.0,.257
Arizona State,33,21,12,.636,13.32,7.41,10,8,16,1,4,7,2486,2291,69.0,107.2,.425,.371,.558,48.4,56.3,7.2,12.8,.524,14.5,24.5,.295
Arizona,38,33,5,.868,23.36,9.04,15,3,18,0,8,3,2769,2225,64.1,112.3,.410,.264,.546,55.1,57.6,9.0,11.5,.517,13.2,36.4,.270
Little Rock,32,15,17,.469,-5.39,-1.09,9,9,7,6,6,9,2288,2371,68.4,101.4,.409,.274,.519,50.8,48.0,8.4,11.8,.470,16.1,31.9,.302
Arkansas-Pine Bluff,31,13,18,.419,-15.39,-6.90,11,7,6,3,6,12,1957,2188,67.9,92.9,.421,.350,.508,46.6,53.1,14.0,7.3,.471,19.9,28.9,.278
Arkansas State,32,19,13,.594,-0.44,-3.18,10,8,11,4,7,8,2432,2299,68.6,107.9,.427,.411,.563,48.5,53.3,9.6,7.0,.523,15.3,27.1,.310
Arkansas,34,22,12,.647,14.34,5.57,10,8,17,2,3,7,2723,2425,72.5,109.2,.402,.332,.543,47.7,56.1,11.5,13.8,.501,13.5,31.8,.292
Army,31,15,16,.484,-6.16,-4.66,10,8,7,7,7,8,2244,2269,68.1,105.4,.322,.386,.540,48.9,54.4,8.8,10.9,.509,16.2,32.1,.225
Auburn,30,14,16,.467,5.11,5.47,6,12,12,6,2,8,2144,2155,67.6,105.6,.441,.335,.535,49.3,48.3,9.0,12.8,.489,15.3,31.7,.318
Austin Peay,30,12,18,.400,-10.50,-5.78,6,10,8,6,3,11,2287,2368,71.9,104.8,.493,.281,.568,48.7,55.7,9.4,13.4,.537,19.0,30.2,.328
Ball State,30,5,25,.167,-10.17,0.65,2,16,5,9,0,16,1967,2214,67.0,95.9,.424,.390,.511,52.7,57.6,6.6,5.9,.468,20.8,35.6,.293
Baylor,38,26,12,.684,15.80,10.11,9,9,13,4,5,5,2843,2577,64.2,115.1,.450,.344,.556,54.8,58.7,8.0,14.0,.521,14.7,40.6,.306
Belmont,36,26,10,.722,3.29,-1.88,14,2,13,1,10,8,2876,2661,69.5,114.9,.402,.417,.612,48.8,58.1,9.9,6.9,.580,16.5,28.7,.298
Bethune-Cookman,32,7,25,.219,-16.86,-7.53,5,11,5,6,2,18,2032,2252,63.4,99.4,.359,.358,.507,47.2,46.1,9.7,7.6,.464,16.9,32.9,.258
Binghamton,30,7,23,.233,-16.15,-6.15,4,12,3,10,4,12,1840,2140,65.6,92.3,.442,.366,.489,47.5,47.7,9.2,6.2,.439,18.5,29.1,.306
Boise State,34,21,13,.618,8.83,3.86,9,9,12,4,5,7,2591,2347,65.9,113.9,.374,.364,.564,53.3,45.7,8.9,6.0,.524,12.9,33.2,.280
Boston College,32,8,24,.250,3.01,8.62,4,14,4,9,3,11,2197,2354,62.7,107.4,.435,.437,.567,47.1,55.4,6.8,6.7,.523,15.6,27.2,.323
Boston University,35,24,11,.686,1.77,-2.40,15,3,11,6,11,4,2492,2346,65.9,106.6,.299,.392,.552,49.1,54.9,10.5,4.9,.523,15.4,28.1,.213
Bowling Green State,32,12,20,.375,-3.45,-0.20,6,12,7,8,4,11,2007,2055,67.0,92.9,.361,.239,.491,49.8,52.1,11.4,15.1,.460,18.7,30.2,.230
