School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Buffalo,28,4,24,.143,-9.02,0.70,2,16,3,10,0,13,1873,2145,95.9,.391,.342,.510,48.5,51.3,9.5,6.0,.478,19.5,31.9,.255
Butler,32,24,8,.750,12.55,3.98,11,3,13,1,7,6,2228,1946,109.8,.397,.376,.570,47.8,51.4,10.9,7.5,.536,16.2,31.9,.284
Cal Poly,28,9,19,.321,-8.24,-1.33,3,13,6,9,3,9,2241,2273,106.3,.413,.324,.531,52.8,43.2,8.4,8.6,.494,16.7,37.3,.282
Cal State Fullerton,28,5,23,.179,-13.24,-0.20,3,13,3,11,2,11,1657,1964,90.4,.438,.353,.513,46.0,58.8,8.2,5.7,.470,22.4,28.4,.300
Cal State Northridge,32,22,10,.688,5.94,0.24,13,3,13,1,8,6,2650,2409,111.3,.470,.297,.588,50.7,66.8,11.2,6.1,.553,17.8,33.9,.333
UC-Irvine,30,25,5,.833,2.12,-2.58,15,1,14,1,10,3,2108,1928,102.0,.450,.299,.560,51.5,52.5,9.4,8.4,.513,19.7,29.1,.334
UC-Santa Barbara,28,13,15,.464,-2.87,-0.75,9,7,9,5,4,9,1933,1972,97.3,.438,.291,.529,50.6,60.2,8.4,6.2,.481,19.7,30.7,.317
University of California,31,20,11,.645,14.76,9.08,11,7,14,3,5,7,2304,2128,105.5,.431,.296,.563,49.3,62.5,10.3,6.1,.530,17.2,27.9,.295
Campbell,28,7,21,.250,-16.75,-7.36,5,13,4,7,3,13,1819,2082,96.7,.290,.270,.500,48.0,49.6,8.2,7.9,.472,18.1,34.1,.193
Canisius,31,20,11,.645,-2.11,-4.62,9,9,12,3,7,8,2395,2317,107.0,.382,.325,.548,49.7,58.8,8.9,7.6,.515,15.9,32.7,.264
Centenary (LA),27,8,19,.296,-13.08,-1.53,8,3,0,15,1854,2036,.429,.274,.515,50.9,47.2,5.5,.459,17.9,.323
Central Connecticut State,28,14,14,.500,-8.79,-10.18,11,9,8,5,6,7,2050,2011,103.6,.423,.266,.530,54.7,47.5,10.6,9.2,.489,19.4,41.0,.295
Central Florida,31,8,23,.258,-9.46,-5.26,3,15,4,9,3,11,2182,2302,99.0,.315,.329,.514,49.2,52.8,10.9,9.5,.483,18.1,34.1,.216
Central Michigan,28,20,8,.714,0.98,0.02,14,4,13,1,7,6,1998,1901,106.1,.528,.272,.583,51.9,55.9,8.9,7.0,.536,19.9,31.4,.387
Charleston Southern,29,10,19,.345,-16.14,-7.06,6,8,7,6,2,10,1860,2086,90.8,.366,.265,.500,49.3,51.0,13.8,8.7,.470,22.2,34.4,.234
Charlotte,33,22,11,.667,14.24,7.91,10,6,10,2,7,7,2583,2374,108.4,.389,.424,.546,50.1,54.0,9.7,7.3,.513,15.0,33.0,.266
Chattanooga,30,17,13,.567,-2.13,-3.81,9,7,12,2,3,9,2195,2094,106.5,.443,.339,.548,52.7,55.4,9.8,5.7,.508,18.7,39.0,.311
Chicago State,28,5,23,.179,-15.14,-1.29,2,14,3,9,2,13,1776,2120,91.3,.288,.254,.493,50.3,55.9,8.8,9.2,.471,21.6,35.0,.177
Cincinnati,35,25,10,.714,16.19,7.84,11,5,11,3,7,5,2586,2294,110.0,.366,.289,.531,49.5,49.0,8.3,8.9,.495,13.5,36.9,.255
Citadel,28,16,12,.571,-6.91,-6.00,9,7,12,2,2,9,1927,1856,101.6,.457,.349,.506,51.7,52.2,11.5,10.4,.471,17.8,37.7,.289
Clemson,31,12,19,.387,2.73,8.31,2,14,9,7,1,9,2298,2471,99.1,.346,.368,.525,49.5,54.5,8.1,5.8,.490,18.5,32.7,.243
Cleveland State,32,19,13,.594,2.06,1.56,9,5,11,2,6,8,2192,2167,101.7,.463,.309,.523,52.2,44.7,9.7,10.9,.479,18.9,38.4,.318
Coastal Carolina,28,8,20,.286,-13.37,-6.62,6,8,6,7,2,12,1984,2173,96.5,.382,.314,.531,47.2,56.2,11.8,4.7,.493,21.7,34.7,.269
Colgate,28,13,15,.464,-10.85,-8.13,6,6,9,3,4,10,1979,2004,98.7,.499,.244,.533,49.4,54.3,10.1,6.3,.482,20.6,34.7,.355
College of Charleston,29,22,7,.759,1.62,-4.56,12,4,13,0,6,4,1942,1739,105.5,.412,.238,.544,50.7,63.6,11.2,13.8,.494,17.0,34.8,.313
Colorado State,28,15,13,.536,5.49,2.33,6,8,10,3,2,8,1932,1774,106.3,.449,.326,.572,53.4,64.9,8.9,4.6,.545,20.1,34.9,.300
