School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Abilene Christian,31,13,18,.419,-13.93,-7.53,8,10,10,5,2,12,2209,2272,1250,771,1704,.452,209,570,.367,458,653,.701,269,991,422,233,78,418,681,69.7,101.4,.383,.335,.548,49.0,54.7,10.7,6.6,.514,17.2,26.0,.269,.1767,96.9,110.7,68.5,+.024,.3371,101.4,107.5,.4627
Air Force,32,14,18,.438,-5.51,0.66,5,13,12,5,2,13,2189,2330,1300,752,1758,.428,202,596,.339,483,707,.683,283,1107,420,196,58,423,617,69.0,97.6,.402,.339,.523,48.3,55.9,8.7,5.9,.485,16.8,24.7,.275,.3053,97.9,105.1,67.5,+.086,.4956,102.8,102.9,.3944
Akron,35,26,9,.743,5.55,-1.24,13,5,15,0,6,8,2682,2381,1405,911,2111,.432,409,1069,.383,451,659,.684,373,1310,507,190,137,381,618,69.2,110.4,.312,.506,.553,49.9,55.7,7.8,9.8,.528,13.6,29.0,.214,.7081,109.3,101.2,68.5,+.032,.4752,103.9,104.8,.4520
Alabama,33,18,15,.545,7.14,8.62,8,10,10,4,5,8,2193,2242,1330,738,1750,.422,259,763,.339,458,712,.643,327,1141,347,192,175,438,631,66.1,99.7,.407,.436,.525,47.5,47.0,8.7,14.2,.496,17.3,28.3,.262,.6976,104.7,97.3,65.4,+.094,.7063,108.8,100.8,.6101
Alabama A&M,29,11,18,.379,-13.47,-10.75,6,12,6,5,4,12,1974,2042,1175,681,1632,.417,175,599,.292,439,642,.684,330,1000,366,163,61,340,561,65.7,102.3,.393,.367,.510,49.4,53.7,8.4,5.7,.471,14.9,31.5,.269,.1796,99.3,113.3,65.9,-.046,.2798,97.4,105.8,.5062
Alabama State,31,14,17,.452,-13.11,-9.35,9,9,8,3,5,12,2217,2308,1260,788,1918,.411,215,647,.332,426,623,.684,389,1153,372,181,107,371,646,69.5,101.2,.325,.337,.501,49.6,47.2,8.3,9.1,.467,14.4,31.5,.222,.2410,98.7,109.1,69.8,+.029,.3254,99.2,105.7,.6071
Alabama-Birmingham,33,26,7,.788,3.50,-3.07,16,2,16,0,10,4,2606,2323,1340,942,1970,.478,250,671,.373,472,654,.722,366,1259,607,213,201,414,579,69.4,112.0,.332,.341,.571,52.4,64.4,9.2,15.4,.542,15.4,32.7,.240,.6207,107.3,102.8,69.3,+.079,.3784,101.9,106.4,.3842
Albany (NY),33,24,9,.727,0.93,-7.57,13,3,14,1,10,8,2495,2180,1335,848,1850,.458,188,587,.320,611,814,.751,387,1276,410,216,52,413,581,67.8,110.3,.440,.317,.558,55.4,48.3,9.5,4.5,.509,15.6,35.1,.330,.6092,105.7,101.7,67.3,-.016,.3320,100.7,107.0,.4347
Alcorn State,30,15,15,.500,-16.01,-9.94,13,5,9,2,6,9,2014,2164,1225,691,1692,.408,174,566,.307,458,676,.678,384,1072,272,134,111,429,548,66.5,99.0,.400,.335,.500,50.8,39.4,6.6,10.3,.460,17.6,35.0,.271,.2081,98.6,110.8,66.1,+.103,.3029,98.7,106.2,.5850
American,31,12,19,.387,-14.18,-6.08,9,9,5,7,7,12,1785,2036,1250,631,1487,.424,195,572,.341,328,471,.696,218,874,348,176,69,428,566,62.0,92.2,.317,.385,.522,46.8,55.2,9.1,6.3,.490,20.0,23.5,.221,.1999,93.3,105.2,62.4,+.111,.4128,102.2,105.4,.5339
Appalachian State,31,9,22,.290,-7.91,-1.10,7,13,6,7,2,12,2187,2398,1240,719,1795,.401,256,720,.356,493,701,.703,393,1142,357,127,103,462,666,70.8,99.6,.391,.401,.514,49.7,49.7,5.8,7.5,.472,17.8,32.9,.275,.3082,102.4,109.9,71.2,-.016,.5215,103.6,102.8,.5939
Arizona,34,25,9,.735,18.79,7.23,12,6,17,1,5,5,2735,2342,1390,946,1970,.480,221,580,.381,622,863,.721,394,1368,485,164,161,442,621,69.8,112.8,.438,.294,.575,56.5,51.3,6.8,11.3,.536,15.7,34.9,.316,.8928,116.1,96.5,69.2,-.033,.6306,106.1,101.3,.3872
Arizona State,32,15,17,.469,8.28,8.96,5,13,11,6,3,9,2345,2367,1290,796,1919,.415,254,757,.336,499,726,.687,394,1177,405,170,86,384,649,69.8,104.2,.378,.394,.518,50.4,50.9,7.6,7.3,.481,14.5,31.5,.260,.6863,107.9,100.8,68.8,-.015,.7109,108.6,100.4,.5967
Arkansas,32,16,16,.500,10.23,6.76,9,9,13,4,3,8,2501,2390,1305,883,1992,.443,216,544,.397,519,748,.694,374,1187,518,233,165,357,687,71.3,107.5,.376,.273,.533,50.0,58.7,10.0,13.8,.497,13.2,30.9,.261,.7085,108.2,100.1,70.5,-.080,.6315,106.9,102.0,.4550
Arkansas-Pine Bluff,33,8,25,.242,-19.31,-5.52,6,12,3,6,4,17,1867,2322,1325,674,1722,.391,202,666,.303,317,519,.611,322,1004,317,235,123,516,723,65.3,86.3,.301,.387,.474,44.6,47.0,10.9,10.8,.450,20.8,27.7,.184,.0970,89.1,108.2,65.2,+.050,.4409,102.1,104.2,.7630
Army,33,19,14,.576,-7.32,-8.13,9,9,7,8,11,6,2539,2474,1350,895,2084,.429,294,877,.335,455,656,.694,408,1338,501,163,123,448,628,72.2,104.2,.315,.421,.530,52.1,56.0,6.7,8.3,.500,15.8,31.5,.218,.3128,98.0,104.9,72.8,+.043,.3165,100.4,107.3,.3514
Auburn,31,11,20,.355,0.15,7.54,5,13,8,7,2,11,2192,2421,1245,724,1820,.398,272,799,.340,472,746,.633,346,1134,352,166,126,428,658,72.5,97.1,.410,.439,.504,47.2,48.6,7.4,10.4,.473,16.4,27.9,.259,.3893,99.2,103.2,72.4,+.049,.6801,107.4,100.6,.5450
Austin Peay,36,18,18,.500,-6.04,-2.98,7,9,7,7,7,9,2740,2765,1460,945,2049,.461,223,645,.346,627,936,.670,422,1326,479,250,101,502,633,70.5,106.4,.457,.315,.549,51.8,50.7,9.7,7.7,.516,16.8,33.0,.306,.3824,104.4,108.9,70.4,+.058,.4294,104.2,106.8,.5433
Ball State,35,21,14,.600,0.11,-2.98,10,8,13,6,6,8,2479,2338,1430,855,1919,.446,305,818,.373,464,670,.693,330,1275,512,191,126,465,665,66.2,104.8,.349,.426,.554,51.7,59.9,8.1,10.0,.525,17.2,27.9,.242,.5183,102.2,101.6,66.2,-.025,.3960,101.8,105.6,.2598
Baylor,34,22,12,.647,16.13,9.76,10,8,15,5,6,5,2621,2366,1375,933,2003,.466,210,572,.367,545,752,.725,467,1267,603,269,135,432,660,67.6,112.8,.375,.286,.555,55.6,64.6,11.6,11.2,.518,15.5,40.1,.272,.8708,116.9,99.0,67.3,+.002,.7443,108.2,98.6,.4599
Belmont,32,20,12,.625,1.19,-2.10,12,4,11,1,8,10,2638,2510,1285,914,1849,.494,338,931,.363,472,650,.726,271,1105,544,145,81,450,639,72.8,112.8,.352,.504,.611,49.3,59.5,6.2,6.3,.586,17.3,26.1,.255,.5500,111.5,109.5,72.5,-.003,.4597,103.0,104.4,.6049
Bethune-Cookman,32,14,18,.438,-14.35,-9.18,10,6,9,2,5,13,2258,2330,1295,799,1932,.414,249,787,.316,411,597,.688,407,1186,371,197,191,415,601,68.2,102.3,.309,.407,.510,48.5,46.4,8.9,15.3,.478,15.8,32.9,.213,.2087,97.7,109.7,67.4,+.010,.3237,100.2,106.9,.5736
Binghamton,30,8,22,.267,-14.08,-6.35,5,11,5,9,3,13,1827,2059,1205,629,1614,.390,171,599,.285,398,584,.682,273,1023,333,161,68,419,558,67.4,90.0,.362,.371,.483,48.0,52.9,7.9,6.4,.443,18.1,25.2,.247,.1625,88.5,102.0,66.0,-.021,.3759,102.7,107.3,.4339
Boise State,32,20,12,.625,7.23,3.13,11,7,14,2,5,7,2480,2246,1290,842,1859,.453,261,788,.331,535,755,.709,315,1110,430,209,64,372,622,70.5,109.1,.406,.424,.559,51.3,51.1,9.2,5.8,.523,14.4,28.5,.288,.6713,106.8,100.4,70.3,-.050,.5528,104.5,102.5,.5867
Boston College,32,7,25,.219,-1.61,7.67,0,18,6,11,0,10,1959,2256,1285,717,1752,.409,230,708,.325,295,453,.651,243,993,410,181,93,431,576,67.0,91.0,.259,.404,.498,45.8,57.2,8.4,8.1,.475,18.0,21.8,.168,.2998,93.3,100.5,67.6,-.059,.6689,108.1,101.7,.3413
Boston University,34,19,15,.559,-6.79,-6.37,11,7,9,6,10,9,2483,2464,1375,859,1893,.454,272,748,.364,493,688,.717,311,1216,456,204,129,468,641,69.4,104.1,.363,.395,.559,50.7,53.1,8.6,10.2,.526,17.4,27.1,.260,.3597,102.2,107.4,70.7,+.047,.3631,100.6,105.6,.4818
