School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Air Force,30,18,12,.600,8.61,2.61,9,5,12,1,4,10,1835,1629,,642,1426,.450,266,729,.365,285,396,.720,231,694,405,262,51,295,484,,,.278,.511,.568,44.3,63.1,,4.3,.543,15.5,,.200,+13.40,112.2,98.9,54.3,-.084,+2.63,104.4,101.8,-1.50
Akron,29,19,10,.655,7.03,1.67,11,7,14,1,5,8,2082,1902,1175,727,1633,.445,230,616,.373,398,590,.675,308,984,469,198,111,388,546,,,.361,.377,.544,48.3,64.5,,6.8,.516,16.9,,.244,+10.10,106.0,95.9,66.2,-.014,+2.55,105.7,103.2,-1.97
Alabama,32,24,8,.750,16.74,6.81,12,4,14,1,8,4,2426,2083,1295,819,1694,.483,249,632,.394,539,732,.736,334,1179,453,164,143,410,471,,,.432,.373,.594,53.9,55.3,,7.5,.557,16.7,,.318,+20.51,118.8,98.3,62.8,+.033,+6.84,106.5,99.6,-1.28
Alabama A&M,32,18,14,.563,-11.96,-12.86,12,6,9,3,6,8,2229,2169,,762,1899,.401,198,656,.302,507,827,.613,423,1210,426,338,124,488,619,,,.435,.345,.486,47.0,55.9,,6.5,.453,17.6,,.267,-12.49,90.5,102.9,72.8,-.023,-14.52,92.4,106.9,+1.14
Alabama State,30,15,15,.500,-14.99,-11.66,11,7,9,4,4,8,1739,1839,,583,1530,.381,136,453,.300,437,673,.649,338,1010,311,201,60,473,524,,,.440,.296,.470,51.2,53.3,,3.9,.425,20.4,,.286,-15.76,87.1,102.8,61.8,+.083,-12.85,93.7,106.6,+1.14
Alabama-Birmingham,33,22,11,.667,10.42,4.78,10,6,11,3,7,5,2557,2371,1330,900,1996,.451,217,625,.347,540,776,.696,390,1090,516,382,99,444,646,,,.389,.313,.541,46.6,57.3,,5.4,.505,15.8,,.271,+12.51,109.2,96.7,71.0,-.001,+4.75,105.5,100.7,+1.33
Albany (NY),28,13,15,.464,-2.63,-5.31,9,9,7,4,6,10,1886,1811,1130,644,1472,.438,174,459,.379,424,587,.722,310,944,366,225,68,414,484,,,.399,.312,.539,50.6,56.8,,4.5,.497,19.1,,.288,+0.22,103.6,103.4,65.1,-.121,-4.63,98.5,103.1,-5.52
Alcorn State,29,7,22,.241,-23.59,-11.31,6,12,5,7,2,13,1677,2016,,583,1538,.379,140,492,.285,371,618,.600,316,960,327,222,103,572,668,,,.402,.320,.458,47.3,56.1,,6.5,.425,23.8,,.241,-27.05,79.0,106.1,68.9,+.027,-12.69,94.4,107.1,-0.69
American,28,16,12,.571,-3.19,-4.30,8,6,9,3,6,9,1881,1850,1140,680,1505,.452,178,486,.366,343,481,.713,281,987,361,184,78,420,502,,,.320,.323,.543,51.7,53.1,,5.0,.511,19.5,,.228,-1.95,101.8,103.7,63.9,+.041,-3.66,100.0,103.7,+0.70
Appalachian State,30,18,12,.600,-3.76,-4.04,9,7,13,1,3,11,2192,2070,1200,797,1801,.443,258,724,.356,340,521,.653,365,1050,485,296,138,447,518,,,.289,.402,.535,48.5,60.9,,8.1,.514,17.9,,.189,-1.84,102.0,103.8,67.1,+.007,-5.70,98.6,104.3,-1.49
