School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Air Force,28,12,16,.429,1.71,1.46,3,11,9,4,3,10,1603,1596,1120,536,1114,.481,219,583,.376,312,479,.651,117,588,364,167,50,320,525,,,.430,.523,.597,41.4,67.9,,4.2,.579,19.3,,.280,+1.27,105.2,104.0,52.9,-.073,+1.98,104.1,102.1,-6.09
Akron,28,14,14,.500,-0.80,-1.43,9,9,10,5,4,9,2201,2155,1160,761,1562,.487,152,447,.340,527,722,.730,274,830,428,209,69,349,552,,,.462,.286,.578,46.7,56.2,,4.3,.536,15.5,,.337,-0.92,110.0,110.9,67.0,-.025,-1.77,102.3,104.1,-6.51
Alabama,29,17,12,.586,13.36,9.40,7,9,13,2,1,8,2002,1887,1165,695,1653,.420,183,568,.322,429,602,.713,389,1079,352,187,112,380,527,,,.364,.344,.516,52.6,50.6,,7.0,.476,16.4,,.260,+14.60,110.3,95.7,65.3,-.015,+9.55,106.6,97.1,+2.31
Alabama A&M,27,8,19,.296,-16.71,-11.83,4,14,6,7,2,12,1962,2072,1100,670,1680,.399,207,563,.368,415,587,.707,367,995,403,254,59,505,547,,,.349,.335,.501,48.2,60.1,,3.7,.460,20.5,,.247,-18.25,90.0,108.2,72.3,-.087,-13.35,92.9,106.3,-8.38
Alabama State,29,14,15,.483,-10.33,-10.00,11,7,9,4,5,9,1860,1846,,685,1602,.428,179,511,.350,311,479,.649,353,1043,340,239,92,486,527,,,.299,.319,.508,51.6,49.6,,6.0,.483,21.0,,.194,-9.95,90.9,100.9,64.2,-.025,-10.38,96.2,106.5,+1.53
Alabama-Birmingham,34,21,13,.618,7.60,3.89,8,8,12,4,4,9,2640,2477,,969,2179,.445,219,664,.330,483,708,.682,460,1189,510,394,99,493,718,,,.325,.305,.525,46.4,52.6,,5.2,.495,16.4,,.222,+9.45,105.2,95.8,73.9,-.008,+3.90,103.8,99.9,-7.02
Albany (NY),28,7,21,.250,-14.87,-5.09,3,13,5,9,2,11,1846,2120,,673,1609,.418,222,621,.357,278,379,.734,231,800,334,192,57,352,445,,,.236,.386,.516,41.3,49.6,,3.4,.487,16.4,,.173,-18.51,94.8,113.3,65.9,+.050,-6.11,98.6,104.7,-7.64
Alcorn State,33,14,19,.424,-12.39,-8.36,10,8,7,3,5,12,2280,2413,,823,1939,.424,172,542,.317,462,690,.670,432,1197,457,270,116,609,650,,,.356,.280,.503,50.0,55.5,,6.0,.469,21.2,,.238,-11.79,92.5,104.3,70.5,+.026,-8.22,96.7,104.9,+3.48
American,30,16,14,.533,-1.38,-5.85,9,5,11,1,3,13,1991,1857,,695,1606,.433,263,693,.380,338,496,.681,300,989,422,192,51,393,545,,,.309,.432,.541,49.1,60.7,,3.2,.515,17.6,,.210,+1.95,103.6,101.6,62.9,-.101,-5.66,98.0,103.7,-2.26
Appalachian State,29,19,10,.655,-1.92,-3.46,11,5,12,2,6,7,2434,2309,,844,1885,.448,207,641,.323,539,753,.716,394,1137,457,299,134,475,536,,,.399,.340,.543,50.4,54.1,,7.2,.503,17.5,,.286,-0.69,103.5,104.2,76.1,+.081,-3.51,100.7,104.2,+3.37
Arizona,32,28,4,.875,23.42,8.95,17,1,14,1,11,1,2725,2262,1300,973,2111,.461,228,645,.353,551,777,.709,479,1374,569,274,136,468,559,,,.368,.306,.549,54.0,58.5,,6.5,.515,15.9,,.261,+26.80,115.6,88.8,72.7,-.007,+8.69,107.2,98.5,+8.19
Arizona State,32,20,12,.625,15.01,9.27,11,7,12,3,4,6,2464,2257,,886,1838,.482,131,404,.324,561,832,.674,434,1162,506,173,139,437,626,,,.453,.220,.552,53.0,57.1,,7.7,.518,16.4,,.305,+16.49,113.9,97.4,66.9,-.014,+8.74,106.4,97.7,+5.44
Arkansas,28,9,19,.321,4.67,9.57,4,12,8,8,1,9,1726,1863,1120,611,1556,.393,170,548,.310,334,548,.609,407,1063,275,181,99,467,588,,,.352,.352,.475,53.8,45.0,,6.7,.447,20.5,,.215,+2.95,98.0,95.1,65.8,-.038,+10.25,107.4,97.2,+0.58
Arkansas State,28,13,15,.464,-0.06,-1.37,6,8,9,5,3,9,2072,1918,1125,688,1549,.444,241,611,.394,455,612,.743,312,888,355,214,47,370,597,,,.395,.394,.563,47.6,51.6,,3.3,.522,16.7,,.294,+0.48,107.7,107.2,66.5,-.101,-0.48,101.6,102.1,-4.54
Arkansas-Pine Bluff,28,4,24,.143,-24.22,-4.54,4,14,2,8,2,16,1526,2077,,539,1518,.355,133,472,.282,315,492,.640,279,867,282,222,75,533,563,,,.324,.311,.436,41.6,52.3,,4.6,.399,23.3,,.208,-25.62,77.2,102.9,67.7,+.014,-4.44,99.4,103.9,+16.45
Army,27,5,22,.185,-19.72,-5.92,0,14,4,9,1,12,1482,1769,1080,539,1290,.418,164,452,.363,240,352,.682,211,808,322,163,47,463,510,,,.273,.350,.509,47.9,59.7,,3.4,.481,24.1,,.186,-25.67,85.6,111.3,62.2,+.026,-6.28,97.8,104.1,-9.59
Auburn,34,22,12,.647,12.68,8.34,8,8,13,4,4,5,2408,2235,,879,1890,.465,198,573,.346,452,685,.660,417,1200,457,269,176,541,561,,,.362,.303,.543,51.5,52.0,,9.1,.517,19.6,,.239,+13.63,107.7,94.1,66.6,+.051,+8.22,106.0,97.8,-4.71
Austin Peay,31,23,8,.742,-0.84,-1.98,13,3,14,0,6,7,2204,2101,1260,758,1648,.460,192,553,.347,496,719,.690,339,1084,424,225,143,476,567,,,.436,.336,.554,50.9,55.9,,8.1,.518,19.3,,.301,+2.65,100.7,98.0,64.4,+.171,-0.97,104.2,105.2,+7.41
Ball State,30,13,17,.433,-0.57,2.17,8,10,9,5,2,11,2199,2281,,778,1814,.429,161,500,.322,482,664,.726,395,1047,315,156,66,385,687,,,.366,.276,.516,49.3,40.5,,4.1,.473,15.3,,.266,-0.35,106.5,106.8,70.1,+.012,+2.41,104.2,101.8,+5.76
Baylor,28,14,14,.500,6.04,5.44,5,11,10,6,2,7,1932,1915,1125,661,1624,.407,254,743,.342,356,491,.725,328,977,398,233,83,372,441,,,.302,.458,.520,48.1,60.2,,5.0,.485,16.7,,.219,+5.97,106.6,100.7,65.6,-.006,+5.20,103.5,98.3,-12.74
Belmont,29,17,12,.586,-2.30,-4.05,12,4,8,3,7,8,2108,2029,,747,1596,.468,237,647,.366,377,542,.696,310,1000,493,267,52,491,526,,,.340,.405,.569,51.1,66.0,,3.2,.542,20.9,,.236,+0.18,103.2,103.0,67.2,+.020,-3.18,101.2,104.4,+5.99
