School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Abilene Christian,31,11,20,.355,-19.60,-4.12,2,12,9,5,0,14,2214,2228,1255,737,1664,.443,241,599,.402,499,666,.749,306,1011,402,221,72,453,641,67.7,104.2,.400,.360,.559,50.2,54.5,10.4,6.5,.515,18.6,30.4,.300,-23.35,94.0,117.3,63.2,-.045,-2.67,104.7,107.4,+13.38
Air Force,30,12,18,.400,-4.08,1.71,6,12,8,9,3,8,1980,2074,1210,679,1561,.435,216,653,.331,406,588,.690,263,970,419,164,94,400,563,65.4,100.1,.377,.418,.538,48.8,61.7,8.3,9.9,.504,17.9,26.7,.260,-7.00,99.6,106.6,63.6,+.056,+0.57,105.4,104.8,-9.12
Akron,34,21,13,.618,1.16,-0.48,12,6,13,2,6,8,2332,2276,1375,813,1855,.438,239,690,.346,467,750,.623,412,1175,387,225,142,446,606,65.5,103.6,.404,.372,.527,51.0,47.6,10.0,10.5,.503,16.8,35.2,.252,+2.10,105.0,102.9,64.0,+.073,-0.80,103.7,104.5,+0.10
Alabama,32,13,19,.406,8.34,8.88,7,11,13,4,0,11,2170,2150,1295,741,1669,.444,183,548,.334,505,737,.685,320,1050,351,218,137,380,607,64.4,104.0,.442,.328,.537,48.5,47.4,10.5,11.8,.499,15.8,30.4,.303,+8.54,107.8,99.2,62.0,-.091,+9.14,110.3,101.2,+5.93
Alabama A&M,30,14,16,.467,-13.86,-10.58,10,8,7,4,5,11,1936,2010,1215,656,1601,.410,182,561,.324,442,674,.656,300,1015,380,187,125,396,643,66.5,95.9,.421,.350,.504,47.1,57.9,9.3,11.0,.467,17.1,28.1,.276,-13.83,92.0,105.8,64.3,+.025,-10.94,98.7,109.7,+4.90
Alabama State,32,19,13,.594,-12.84,-11.40,12,6,13,1,5,10,2265,2225,1300,792,1892,.419,175,612,.286,506,748,.676,407,1158,415,217,115,377,578,68.1,102.3,.395,.323,.504,49.5,52.4,9.8,9.2,.465,14.4,33.6,.267,-13.22,97.3,110.5,65.9,+.096,-12.01,97.5,109.5,-4.44
Alabama-Birmingham,31,18,13,.581,0.78,-0.77,7,9,12,5,5,5,2266,2180,1255,800,1919,.417,158,525,.301,508,772,.658,508,1381,392,169,128,403,543,69.4,104.0,.402,.274,.496,55.0,49.0,7.8,9.9,.458,15.0,40.1,.265,+1.02,104.1,103.1,66.8,-.009,-1.94,102.8,104.7,-3.02
Albany (NY),34,19,15,.559,-3.31,-5.22,9,7,10,3,7,11,2239,2174,1375,765,1733,.441,163,453,.360,546,728,.750,343,1175,376,184,101,428,580,63.0,103.3,.420,.261,.539,52.5,49.2,8.5,8.6,.488,17.1,31.9,.315,-1.04,102.9,103.9,61.6,+.002,-5.12,101.5,106.6,+0.91
Alcorn State,31,12,19,.387,-15.95,-9.27,9,9,9,3,2,13,1985,2101,1265,693,1658,.418,136,449,.303,463,708,.654,302,959,283,185,116,356,577,64.8,96.8,.427,.271,.498,47.3,40.8,9.0,10.0,.459,15.1,29.3,.279,-16.47,93.4,109.8,62.0,-.013,-9.32,99.5,108.9,+6.45
American,33,20,13,.606,0.69,-3.25,13,5,11,3,9,9,2081,1951,1325,748,1527,.490,207,546,.379,378,535,.707,232,986,492,198,110,464,567,60.7,103.4,.350,.358,.584,50.6,65.8,9.8,9.9,.558,20.7,26.5,.248,+4.57,103.4,98.9,59.7,+.007,-2.59,103.6,106.2,-0.10
Appalachian State,30,9,21,.300,-15.32,-7.13,5,11,7,7,2,13,2034,2152,1210,719,1730,.416,151,500,.302,445,697,.638,392,1091,327,187,83,362,597,67.4,99.8,.403,.289,.493,50.6,45.5,9.2,7.2,.459,14.9,34.0,.257,-18.63,92.0,110.7,64.7,-.033,-7.65,102.0,109.7,+3.40
Arizona,38,33,5,.868,23.36,9.04,15,3,18,0,8,3,2769,2225,1540,996,2123,.469,204,561,.364,573,870,.659,465,1449,574,223,173,387,630,64.1,112.3,.410,.264,.546,55.1,57.6,9.0,11.5,.517,13.2,36.4,.270,+30.11,116.5,86.4,62.8,+.014,+9.30,109.9,100.6,+1.62
Arizona State,33,21,12,.636,13.32,7.41,10,8,16,1,4,7,2486,2291,1345,836,1852,.451,268,688,.390,546,787,.694,281,1172,471,167,182,377,635,69.0,107.2,.425,.371,.558,48.4,56.3,7.2,12.8,.524,14.5,24.5,.295,+14.82,111.2,96.4,67.4,+.003,+7.50,108.6,101.1,-2.60
Arkansas,34,22,12,.647,14.34,5.57,10,8,17,2,3,7,2723,2425,1376,928,2105,.441,253,698,.362,614,846,.726,404,1222,521,287,189,392,706,72.5,109.2,.402,.332,.543,47.7,56.1,11.5,13.8,.501,13.5,31.8,.292,+14.14,111.1,96.9,70.7,-.033,+5.04,107.5,102.5,-5.18
Arkansas State,32,19,13,.594,-0.44,-3.18,10,8,11,4,7,8,2432,2299,1315,797,1795,.444,282,737,.383,556,766,.726,301,1104,425,216,89,390,570,68.6,107.9,.427,.411,.563,48.5,53.3,9.6,7.0,.523,15.3,27.1,.310,+0.59,106.6,106.0,66.6,+.003,-3.49,103.0,106.5,-4.87
