School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Abilene Christian,31,10,21,.323,-17.20,-6.34,4,14,7,6,1,14,1976,2186,1240,695,1684,.413,232,610,.380,354,487,.727,274,897,394,203,38,399,661,65.9,96.7,.289,.362,.516,44.6,56.7,9.9,3.6,.482,17.2,25.5,.210,-20.63,93.2,113.8,63.8,-.003,-5.96,102.0,108.0,-1.93
Air Force,31,14,17,.452,-1.85,-0.71,6,12,11,5,1,11,2037,2017,1245,742,1565,.474,232,625,.371,321,487,.659,265,930,483,195,65,366,552,61.1,107.1,.311,.399,.567,49.4,65.1,10.3,7.4,.548,16.9,29.1,.205,-3.01,108.1,111.2,61.7,-.065,-1.17,102.6,103.8,-11.14
Akron,35,21,14,.600,3.65,-0.47,9,9,15,3,2,9,2382,2203,1406,824,1982,.416,328,937,.350,406,617,.658,420,1249,435,230,155,422,654,64.7,104.8,.311,.473,.523,50.5,52.8,10.1,12.1,.498,15.6,33.4,.205,+5.77,105.1,99.4,63.6,-.042,-0.98,104.0,105.0,-7.63
Alabama,34,19,15,.559,10.52,8.09,8,10,14,5,4,8,2280,2180,1371,760,1724,.441,221,697,.317,539,752,.717,325,1122,350,219,125,407,654,63.1,105.4,.436,.404,.548,49.7,46.1,10.1,11.1,.505,16.4,30.0,.313,+12.28,111.6,99.3,62.2,-.032,+7.98,108.2,100.3,-1.61
Alabama A&M,29,9,20,.310,-17.15,-9.62,8,10,4,7,5,12,1797,1988,1165,608,1533,.397,166,577,.288,415,643,.645,367,998,354,165,68,413,573,64.5,95.6,.419,.376,.489,49.5,58.2,8.8,6.1,.451,18.3,35.8,.271,-19.09,95.0,114.1,63.5,-.021,-9.62,97.8,107.4,+7.67
Alabama State,29,19,10,.655,-8.97,-12.71,14,4,9,3,8,5,2090,1937,1165,761,1738,.438,172,480,.358,396,609,.650,389,1151,393,184,122,397,520,69.8,102.9,.350,.276,.515,53.5,51.6,9.1,10.6,.487,16.4,35.9,.228,-8.31,97.8,106.1,67.5,+.030,-15.38,94.7,110.1,-2.60
Alabama-Birmingham,36,20,16,.556,1.94,1.62,12,6,13,4,3,8,2476,2452,1480,873,2042,.428,202,607,.333,528,715,.738,434,1322,516,237,184,482,630,65.9,101.5,.350,.297,.520,51.0,59.1,9.7,13.0,.477,16.8,34.2,.259,+3.06,104.9,101.9,64.7,+.025,+0.29,103.9,103.6,+3.40
Albany (NY),33,24,9,.727,-0.34,-5.18,15,1,12,3,12,5,2156,1996,1325,729,1666,.438,205,572,.358,493,650,.758,334,1111,349,187,53,381,544,61.2,106.4,.390,.343,.546,53.5,47.9,9.2,5.5,.499,16.2,32.6,.296,+3.29,107.2,103.9,60.8,+.054,-5.50,100.4,105.9,+0.18
Alcorn State,32,6,26,.188,-20.75,-9.95,4,14,4,7,1,15,2066,2377,1280,724,1864,.388,155,553,.280,463,704,.658,376,1038,285,191,86,367,571,68.2,94.6,.378,.297,.470,46.4,39.4,8.7,6.7,.430,14.3,31.2,.248,-24.34,92.9,117.3,66.8,-.059,-10.18,97.5,107.7,+5.37
American,33,17,16,.515,-3.56,-3.71,8,10,8,3,7,13,1938,1933,1339,683,1479,.462,213,571,.373,359,509,.705,188,827,408,196,84,370,484,57.1,101.5,.344,.386,.563,45.7,59.7,10.3,8.0,.534,17.7,21.4,.243,-1.77,102.5,104.2,56.8,+.015,-2.32,103.7,106.0,+2.69
