School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Air Force,30,16,14,.533,0.44,0.19,8,8,12,4,3,7,1760,1715,1210,570,1285,.444,214,567,.377,406,583,.696,157,796,365,193,54,380,510,,,.454,.441,.563,46.0,64.0,,3.8,.527,19.6,,.316,+1.18,100.9,99.7,56.3,-.007,+0.17,102.8,102.6,-10.09
Akron,35,24,11,.686,6.24,0.33,11,5,13,3,7,6,2479,2233,1415,832,1885,.441,294,762,.386,521,741,.703,391,1096,466,251,96,448,681,,,.393,.404,.554,49.2,56.0,,5.4,.519,16.7,,.276,+10.48,110.9,100.4,62.8,-.009,+0.39,103.0,102.6,-4.22
Alabama,33,17,16,.515,8.12,5.70,5,11,13,5,1,9,2484,2404,,917,2010,.456,232,640,.363,418,674,.620,448,1261,515,246,148,429,554,,,.335,.318,.533,52.1,56.2,,7.7,.514,15.5,,.208,+9.20,110.9,101.7,66.7,-.055,+5.70,107.2,101.5,-2.55
Alabama A&M,29,14,15,.483,-16.14,-12.97,11,7,9,3,5,9,1910,1952,,631,1645,.384,173,521,.332,475,694,.684,377,1061,287,214,170,481,550,,,.422,.317,.484,48.9,45.5,,10.6,.436,19.6,,.289,-16.72,89.4,106.2,68.2,+.012,-14.24,94.6,108.9,+4.87
Alabama State,31,20,11,.645,-7.73,-12.70,15,3,11,2,8,8,2202,2016,,815,1784,.457,192,548,.350,380,594,.640,385,1192,457,176,126,412,601,,,.333,.307,.533,53.6,56.1,,7.2,.511,16.6,,.213,-4.55,102.0,106.5,64.3,-.034,-13.98,94.8,108.8,+5.71
Alabama-Birmingham,34,23,11,.676,8.35,2.09,12,4,14,1,8,6,2501,2288,1380,862,1896,.455,254,678,.375,523,740,.707,370,1252,475,195,115,482,630,,,.390,.358,.556,51.7,55.1,,5.9,.522,17.7,,.276,+12.07,110.7,98.6,66.8,+.017,+2.74,104.3,101.6,-1.59
Albany (NY),30,15,15,.500,-4.05,-5.92,10,6,8,5,7,9,2048,1992,,722,1650,.438,172,498,.345,432,595,.726,373,1124,370,160,73,428,614,,,.361,.302,.530,55.4,51.2,,4.7,.490,18.1,,.262,-1.82,103.1,104.9,63.4,-.063,-5.85,100.2,106.1,-2.33
Alcorn State,31,7,24,.226,-23.12,-11.47,6,12,5,6,2,14,2100,2445,,736,1783,.413,183,530,.345,445,646,.689,361,1021,299,205,47,532,680,,,.362,.297,.502,48.1,40.6,,2.7,.464,20.3,,.250,-24.83,93.5,118.3,67.8,+.018,-11.56,96.2,107.7,+1.39
American,33,21,12,.636,-1.87,-4.00,10,4,11,4,10,7,2140,2049,,698,1586,.440,260,638,.408,484,655,.739,321,1064,390,152,87,458,587,,,.413,.402,.564,52.2,55.9,,5.3,.522,19.4,,.305,+1.67,107.9,106.3,60.4,+.045,-4.23,99.9,104.1,-2.17
Appalachian State,31,18,13,.581,-0.71,-2.77,13,7,9,4,7,7,2214,2147,1245,780,1644,.474,232,603,.385,422,608,.694,304,1089,420,189,145,470,532,,,.370,.367,.573,50.7,53.8,,7.8,.545,19.6,,.257,+2.41,105.8,103.4,65.3,+.003,-0.75,103.6,104.4,+1.15
