School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Air Force,35,26,9,.743,15.19,3.34,10,6,17,1,6,5,2414,1960,,,,.373,.475,.617,48.5,65.4,,3.4,.585,15.5,,.282,+20.20,116.5,96.3,57.5,-.021,+3.24,106.5,103.2,-1.91
Akron,33,26,7,.788,10.90,-1.90,13,3,13,1,10,4,2485,2014,,,,.354,.336,.573,51.7,55.9,,7.9,.551,16.0,,.237,+16.15,115.2,99.1,63.8,-.056,-1.65,102.8,104.5,-4.55
Alabama,32,20,12,.625,10.81,6.24,7,9,14,2,2,9,2369,2223,,,,.361,.304,.547,52.7,49.8,,8.6,.513,16.9,,.255,+13.04,114.7,101.6,65.3,+.019,+8.15,108.3,100.2,-4.84
Alabama A&M,30,10,20,.333,-23.55,-12.38,4,14,9,5,0,13,1856,2052,,,,.375,.328,.466,44.7,49.6,,13.0,.431,21.3,,.237,-22.96,83.9,106.9,70.8,-.041,-13.39,94.4,107.8,+2.89
Alabama State,30,10,20,.333,-17.90,-11.54,8,10,7,5,3,11,1826,2007,,,,.418,.352,.462,47.9,47.1,,5.2,.418,17.6,,.271,-17.83,91.1,109.0,63.9,-.009,-11.32,95.6,106.9,+4.68
Alabama-Birmingham,31,15,16,.484,3.97,3.83,7,9,9,4,5,9,2051,2016,,,,.428,.368,.513,49.8,49.2,,6.2,.486,17.6,,.260,+4.92,102.6,97.7,64.0,-.042,+3.20,105.0,101.8,+4.65
Albany (NY),33,23,10,.697,-1.60,-4.75,13,3,11,2,11,7,2241,2147,,,,.329,.344,.550,52.2,54.6,,4.8,.517,17.7,,.237,+2.25,107.4,105.2,63.7,+.109,-3.47,102.4,105.9,+0.94
Alcorn State,30,11,19,.367,-22.48,-13.23,10,8,8,3,3,12,2012,2265,,,,.397,.298,.496,49.3,40.1,,4.8,.456,21.7,,.267,-21.49,91.9,113.4,69.4,+.067,-12.86,95.0,107.9,-1.81
American,30,16,14,.533,-2.68,-4.38,7,7,10,3,6,11,1945,1865,,,,.361,.317,.524,51.7,59.6,,4.5,.482,18.2,,.263,-1.52,100.3,101.8,64.1,-.051,-6.96,98.9,105.9,-6.69
Appalachian State,33,25,8,.758,4.68,-1.19,15,3,12,1,9,6,2508,2239,,,,.326,.363,.569,51.0,56.5,,6.6,.545,18.1,,.224,+10.37,111.2,100.8,66.7,+.074,+0.67,104.7,104.0,+13.51
