School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Saint Louis,32,19,13,.594,7.74,5.03,9,7,13,3,4,9,2005,1918,,692,1615,.428,192,561,.342,429,610,.703,264,994,427,227,49,404,556,,,.378,.347,.526,47.9,61.7,,3.0,.488,17.5,,.266,+8.21,103.5,95.3,61.3,+.031,+5.49,105.9,100.4,-1.49
Saint Mary's (CA),31,19,12,.613,8.04,1.79,9,5,10,3,6,7,2377,2082,1245,807,1733,.466,222,594,.374,541,750,.721,397,1184,394,204,99,507,594,,,.433,.343,.569,53.5,48.8,,5.5,.530,19.5,,.312,+10.92,110.5,99.6,66.3,-.083,+1.47,105.5,104.0,+1.19
Saint Peter's,29,17,12,.586,-2.43,-2.81,12,6,9,2,6,8,2196,2185,,730,1764,.414,259,727,.356,477,680,.701,381,1025,370,203,100,377,604,,,.385,.412,.526,47.1,50.7,,5.9,.487,15.3,,.270,-0.51,108.1,108.6,67.8,+.069,-2.35,102.3,104.6,+0.21
Sam Houston State,28,13,15,.464,-12.48,-6.81,8,8,10,3,3,11,2100,2133,1120,737,1650,.447,155,484,.320,471,676,.697,347,1030,530,239,119,493,563,,,.410,.293,.533,48.5,71.9,,6.8,.494,20.0,,.285,-11.53,97.4,108.9,70.6,-.004,-6.99,98.6,105.6,-0.13
Samford,28,12,16,.429,-8.68,-2.55,7,9,9,3,3,12,1838,1828,1140,644,1318,.489,264,673,.392,286,399,.717,159,792,459,157,56,410,443,,,.303,.511,.610,48.8,71.3,,3.7,.589,21.4,,.217,-9.45,98.9,108.3,58.8,+.030,-0.58,104.8,105.4,+11.40
San Diego,30,4,26,.133,-10.28,2.51,1,13,4,7,0,16,2042,2398,1200,724,1600,.453,209,514,.407,385,571,.674,265,971,474,186,42,553,532,,,.357,.321,.546,48.5,65.5,,2.4,.518,22.8,,.241,-12.41,100.0,112.4,69.9,-.047,+3.31,105.7,102.4,+2.86
San Diego State,30,14,16,.467,4.92,5.81,5,9,11,4,1,10,2125,2117,,786,1841,.427,181,565,.320,372,533,.698,407,1077,423,246,82,399,559,,,.290,.307,.507,50.6,53.8,,5.0,.476,16.0,,.202,+4.49,105.0,100.6,66.9,-.035,+5.88,108.0,102.2,+2.26
San Francisco,31,17,14,.548,-1.95,1.85,7,7,10,3,5,9,2016,2102,,745,1712,.435,156,503,.310,370,569,.650,375,1038,417,235,73,491,622,,,.332,.294,.509,50.6,56.0,,4.6,.481,19.9,,.216,-1.61,100.1,101.7,65.1,+.138,+2.10,105.3,103.2,+1.79
San Jose State,29,6,23,.207,-4.34,3.59,1,17,4,10,0,12,1779,1957,1175,652,1527,.427,170,453,.375,305,462,.660,268,856,361,170,47,385,585,,,.303,.297,.509,47.6,55.4,,3.3,.483,18.1,,.200,-7.14,99.2,106.3,60.9,-.062,+3.89,105.1,101.2,-6.68
Santa Clara,32,16,16,.500,0.80,2.61,6,8,12,6,3,8,2103,2131,,729,1755,.415,224,662,.338,421,611,.689,371,1100,398,216,89,445,596,,,.348,.377,.514,50.9,54.6,,5.2,.479,17.9,,.240,-0.13,101.8,102.0,61.4,+.035,+2.02,105.8,103.7,+3.18
Savannah State,28,4,24,.143,-22.30,-3.52,,,3,6,1,16,1691,2217,,643,1744,.369,129,433,.298,276,482,.573,432,1057,272,193,107,494,663,,,.276,.248,.429,47.1,42.3,,6.7,.406,20.0,,.158,-23.73,85.3,109.0,70.9,+.015,-2.04,102.9,104.9,-1.56
Seton Hall,31,21,10,.677,14.28,7.78,10,6,13,2,6,5,2228,2028,1250,806,1759,.458,181,521,.347,435,609,.714,359,1134,406,207,95,403,573,,,.346,.296,.544,51.7,50.4,,5.3,.510,16.4,,.247,+17.35,112.3,95.0,65.4,-.004,+7.85,107.2,99.4,-1.14
Siena,30,14,16,.467,-4.66,-2.32,9,9,9,7,5,9,2071,2141,,741,1828,.405,152,471,.323,437,643,.680,476,1228,436,202,96,448,624,,,.352,.258,.485,54.0,58.8,,5.7,.447,17.4,,.239,-5.03,100.7,105.7,67.1,+.034,-2.61,101.9,104.5,+2.24
South Alabama,28,12,16,.429,-4.37,-1.21,6,9,8,5,3,10,1845,1886,1125,666,1592,.418,216,638,.339,297,456,.651,342,900,313,204,53,385,560,,,.286,.401,.510,47.3,47.0,,3.7,.486,17.6,,.187,-3.39,103.1,106.4,63.0,-.039,-0.35,102.4,102.7,+1.36
