School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Abilene Christian,29,13,16,.448,-11.86,-7.10,7,11,9,5,4,11,2009,2073,1180,721,1555,.464,207,550,.376,360,543,.663,222,904,408,210,83,412,631,68.0,100.1,.349,.354,.554,47.1,56.6,10.5,8.5,.530,18.5,23.5,.232,-12.05,96.7,108.8,65.4,+.049,-5.87,101.7,107.6,+1.48
Air Force,33,12,21,.364,-3.06,1.00,4,14,11,7,0,11,2411,2477,1335,817,1876,.436,264,728,.363,513,715,.717,304,1149,494,197,57,390,594,69.0,104.6,.381,.388,.544,50.3,60.5,8.6,5.7,.506,15.0,26.1,.273,-5.44,104.2,109.6,66.6,-.065,+0.28,104.3,104.0,-5.92
Akron,36,27,9,.750,3.59,-1.21,14,4,13,2,7,6,2772,2550,1440,949,2035,.466,366,984,.372,508,744,.683,357,1246,517,198,118,422,653,68.0,113.1,.366,.484,.580,51.2,54.5,8.1,8.6,.556,15.0,29.8,.250,+5.92,112.9,107.0,65.2,+.078,-2.19,103.7,105.9,-4.72
Alabama,34,19,15,.559,11.29,7.47,10,8,11,6,5,6,2330,2200,1380,809,1909,.424,225,710,.317,487,746,.653,418,1327,390,200,141,474,664,67.4,100.3,.391,.372,.515,53.8,48.2,8.6,11.6,.483,17.3,34.1,.255,+13.49,105.4,91.9,64.6,-.048,+7.35,108.0,100.7,-0.98
Alabama A&M,29,2,27,.069,-26.99,-11.09,2,16,1,9,1,18,1794,2255,1175,628,1549,.405,125,447,.280,411,614,.669,299,914,326,100,50,384,526,65.4,93.4,.396,.289,.487,46.4,51.9,5.2,4.4,.446,17.3,30.0,.265,-30.22,91.6,121.8,63.7,-.075,-9.74,98.9,108.6,+1.49
Alabama State,31,8,23,.258,-19.75,-10.75,6,12,6,5,1,17,2042,2305,1260,719,1834,.392,200,674,.297,404,634,.637,427,1188,300,150,98,488,629,69.6,93.2,.346,.368,.478,50.4,41.7,6.8,8.0,.447,18.6,34.6,.220,-21.56,91.1,112.7,68.0,-.007,-9.57,99.1,108.7,+2.88
Alabama-Birmingham,33,17,16,.515,-1.17,-1.83,9,9,11,5,4,8,2369,2316,1330,835,1809,.462,203,583,.348,496,674,.736,321,1188,503,157,160,444,527,67.8,105.1,.373,.322,.556,52.4,60.2,7.0,13.2,.518,17.3,30.2,.274,-2.48,103.8,106.3,65.6,-.008,-2.14,103.6,105.7,+0.56
Albany (NY),35,21,14,.600,-0.16,-4.69,10,6,11,5,9,8,2496,2301,1400,907,1941,.467,192,516,.372,490,647,.757,379,1257,444,178,60,416,617,65.3,109.2,.333,.266,.555,55.5,49.0,7.8,5.6,.517,15.6,33.7,.252,+3.12,107.7,104.6,63.7,-.026,-4.98,101.9,106.9,-1.87
Alcorn State,32,18,14,.563,-12.33,-10.95,13,5,11,2,6,11,2221,2175,1285,800,1866,.429,222,669,.332,399,612,.652,387,1243,425,209,115,452,610,69.2,100.0,.328,.359,.515,51.4,53.1,9.4,9.2,.488,17.3,32.5,.214,-10.37,95.5,105.8,67.3,+.048,-10.66,98.2,108.8,+11.44
American,30,8,22,.267,-10.30,-3.50,5,13,4,11,4,11,1845,2049,1205,692,1542,.449,168,529,.318,293,474,.618,204,868,339,209,73,396,548,65.2,94.0,.307,.343,.522,46.6,49.0,10.6,6.9,.503,18.3,21.7,.190,-13.29,94.8,108.1,63.9,-.017,-4.31,101.5,105.8,-4.22
Appalachian State,30,9,21,.300,-8.67,-1.60,4,14,8,6,1,14,2208,2279,1205,749,1781,.421,251,742,.338,459,674,.681,339,1126,414,167,91,414,641,72.1,101.7,.378,.417,.525,50.7,55.3,7.7,7.6,.491,16.5,29.4,.258,-9.12,99.6,108.7,70.1,-.039,+0.01,104.3,104.3,+0.01
Arizona,37,32,5,.865,18.25,7.63,16,2,15,1,9,1,2833,2440,1480,977,2048,.477,244,625,.390,635,830,.765,380,1358,501,201,119,413,625,67.3,113.8,.405,.305,.580,55.1,51.3,8.1,8.8,.537,14.5,33.1,.310,+22.74,117.6,94.8,65.3,+.064,+6.60,108.1,101.5,+1.53
Arizona State,33,15,18,.455,4.02,7.11,7,11,9,7,4,6,2593,2695,1325,888,2047,.434,328,896,.366,489,653,.749,304,1075,430,194,106,344,556,72.5,108.0,.319,.438,.550,45.1,48.4,8.1,8.8,.514,12.7,24.4,.239,+2.60,111.8,109.2,69.5,+.035,+6.59,108.4,101.8,-0.81
Arkansas,36,26,10,.722,14.04,8.60,12,6,15,3,6,5,2855,2659,1440,997,2165,.461,233,638,.365,628,825,.761,401,1298,497,278,170,428,739,71.7,110.7,.381,.295,.558,49.5,49.8,10.8,12.4,.514,14.3,31.7,.290,+15.60,116.7,101.1,69.0,+.093,+7.54,107.9,100.4,-1.20
Arkansas-Pine Bluff,32,7,25,.219,-22.81,-10.28,6,12,6,6,1,19,1977,2320,1305,695,1725,.403,208,621,.335,379,581,.652,335,1013,334,279,93,578,718,68.7,88.2,.337,.360,.494,46.8,48.1,12.4,9.5,.463,22.4,29.8,.220,-25.20,85.6,110.8,67.1,-.010,-8.99,100.4,109.4,+3.01
Army,32,13,19,.406,-5.84,-4.10,6,12,9,8,4,10,2324,2340,1295,842,1906,.442,291,825,.353,349,533,.655,317,1213,520,178,61,483,620,72.0,99.7,.280,.433,.538,51.8,61.8,7.6,4.9,.518,18.3,27.1,.183,-6.43,98.4,104.8,70.9,-.063,-4.66,101.3,105.9,-3.72
