School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Air Force,29,13,16,.448,-0.45,2.14,3,11,9,7,2,7,1786,1798,1170,616,1383,.445,192,569,.337,362,537,.674,178,767,403,194,90,371,491,62.9,97.1,.388,.411,.545,43.6,65.4,10.5,10.5,.515,18.5,20.4,.262,-2.20,100.0,102.2,61.1,-.017,+1.28,102.5,101.2,-11.06
Akron,34,22,12,.647,6.33,0.72,13,3,13,2,8,8,2456,2241,1370,868,1879,.462,207,560,.370,513,741,.692,398,1098,475,247,141,480,616,67.5,106.2,.394,.298,.550,49.2,54.7,10.7,10.4,.517,17.7,35.2,.273,+10.66,108.3,97.7,66.4,-.021,+2.81,104.6,101.8,+3.86
Alabama,33,21,12,.636,13.76,7.18,9,7,12,3,4,6,2135,1918,1330,778,1722,.452,136,470,.289,443,623,.711,352,1066,402,239,137,423,607,62.9,102.2,.362,.273,.529,49.9,51.7,11.4,12.0,.491,17.3,33.5,.257,+16.69,106.1,89.5,61.9,-.067,+7.07,107.4,100.3,+3.98
Alabama A&M,28,7,21,.250,-19.33,-10.79,5,13,6,5,1,15,1764,1964,1130,629,1538,.409,147,469,.313,359,555,.647,316,849,314,178,119,463,617,68.8,90.8,.361,.305,.490,45.5,49.9,9.2,10.7,.457,20.4,31.1,.233,-21.42,90.0,111.4,66.8,-.063,-11.19,93.6,104.8,+9.08
Alabama State,31,12,19,.387,-15.79,-9.96,9,9,7,4,4,14,1840,1995,1265,648,1714,.378,190,621,.306,354,606,.584,400,982,357,236,95,470,614,65.6,88.7,.354,.362,.460,46.0,55.1,11.4,8.4,.433,19.0,33.1,.207,-16.87,87.8,104.7,63.5,+.026,-9.96,95.4,105.4,+9.52
Alabama-Birmingham,31,15,16,.484,2.61,3.64,9,7,8,7,5,7,1875,1907,1245,654,1559,.419,179,520,.344,388,566,.686,350,997,352,136,110,439,494,62.0,97.2,.363,.334,.513,50.2,53.8,7.1,9.4,.477,19.4,34.8,.249,+3.89,101.2,97.3,61.1,+.020,+4.69,105.8,101.1,+3.25
Albany (NY),34,19,15,.559,-3.92,-6.92,9,7,10,4,6,10,2453,2351,1365,842,1889,.446,245,673,.364,524,694,.755,400,1072,424,193,95,429,578,65.7,109.4,.367,.356,.553,49.2,50.4,8.6,7.5,.511,16.2,35.2,.277,-2.80,108.8,111.6,64.7,-.019,-8.11,97.4,105.5,-5.75
Alcorn State,32,10,22,.313,-19.57,-10.61,6,12,7,5,2,14,1926,2148,1250,689,1669,.413,128,421,.304,420,606,.693,291,872,290,199,104,482,606,68.7,89.7,.363,.252,.492,43.2,42.1,9.3,8.5,.451,19.8,28.1,.252,-20.18,88.4,108.6,67.4,-.046,-11.22,94.2,105.4,+7.42
American,32,20,12,.625,-3.12,-5.24,10,4,13,2,7,10,2059,1991,1285,713,1678,.425,227,576,.394,406,567,.716,281,948,404,146,92,355,544,62.9,102.0,.338,.343,.529,46.5,56.7,7.2,8.0,.493,15.4,27.1,.242,-0.91,101.3,102.2,61.7,+.056,-5.45,100.1,105.5,-4.69
Appalachian State,31,13,18,.419,-6.93,-3.28,7,11,9,5,3,11,2121,2175,1245,746,1693,.441,203,591,.343,426,656,.649,333,1009,379,187,125,444,609,68.0,100.2,.387,.349,.529,47.9,50.8,8.8,9.7,.501,18.1,31.0,.252,-8.40,99.6,108.0,65.5,+.005,-4.14,101.0,105.2,+4.97
Arizona,35,23,12,.657,10.91,4.62,12,6,14,4,6,4,2416,2196,1410,795,1812,.439,258,683,.378,568,806,.705,365,1130,473,195,122,446,588,65.0,105.4,.445,.377,.550,49.1,59.5,8.5,8.9,.510,16.9,31.5,.313,+12.77,107.6,94.9,64.3,-.051,+3.71,105.2,101.5,+1.30
Arizona State,31,10,21,.323,-1.01,4.31,6,12,7,10,2,7,1891,2056,1240,654,1439,.454,181,497,.364,402,594,.677,262,898,377,173,123,505,548,63.4,96.3,.413,.345,.549,49.2,57.6,8.8,11.7,.517,22.7,29.6,.279,-5.55,100.6,106.1,62.5,+.006,+2.84,103.7,100.8,-3.67
Arkansas,32,18,14,.563,5.76,3.63,6,10,17,3,1,9,2299,2231,1280,808,1860,.434,205,580,.353,478,692,.691,363,971,433,265,159,415,618,70.2,102.4,.372,.312,.525,44.6,53.6,11.8,12.8,.490,15.9,31.5,.257,+4.07,106.4,102.4,69.5,+.031,+2.35,103.2,100.8,-7.09
Arkansas State,34,14,20,.412,-3.18,-0.52,6,10,10,5,2,14,2198,2239,1370,765,1771,.432,176,476,.370,492,737,.668,392,1030,329,210,78,460,533,64.1,100.0,.416,.269,.518,49.1,43.0,9.6,6.0,.482,17.8,34.6,.278,-2.68,102.6,105.3,62.0,-.024,+0.06,102.3,102.2,+3.40
Arkansas-Pine Bluff,33,11,22,.333,-16.77,-8.34,9,9,6,3,3,15,2013,2291,1325,705,1707,.413,145,484,.300,458,719,.637,364,1003,367,230,132,491,601,66.3,91.7,.421,.284,.491,45.7,52.1,10.5,11.3,.455,19.3,31.5,.268,-17.97,93.5,111.5,65.2,+.062,-8.05,96.2,104.2,+8.51
Army,30,12,18,.400,-11.26,-7.16,5,9,9,6,3,11,2027,2091,1215,678,1608,.422,238,671,.355,433,596,.727,247,860,403,185,54,467,581,69.4,96.1,.371,.417,.536,44.4,59.4,8.8,5.3,.496,19.8,24.3,.269,-12.92,93.7,106.7,68.2,-.005,-8.01,99.2,107.2,-11.94
Auburn,31,15,16,.484,2.52,3.84,5,11,14,3,1,10,1942,1983,1255,696,1669,.417,156,517,.302,394,608,.648,345,985,386,199,149,433,573,65.0,95.2,.364,.310,.496,47.4,55.5,9.8,14.0,.464,18.1,31.9,.236,+2.10,99.6,97.5,64.0,+.027,+3.58,104.7,101.1,-6.74
Austin Peay,32,12,20,.375,-4.86,-0.66,8,8,8,5,4,12,2216,2324,1290,792,1781,.445,139,433,.321,493,735,.671,388,982,388,230,115,466,574,68.2,100.7,.413,.243,.520,46.5,49.0,10.5,9.3,.484,17.9,34.4,.277,-3.50,102.5,106.0,67.5,-.030,+0.84,104.2,103.4,+9.54
Ball State,30,15,15,.500,-2.93,-4.45,6,10,10,5,5,9,1901,1822,1200,647,1536,.421,191,581,.329,416,604,.689,336,941,400,182,79,388,501,62.5,101.4,.393,.378,.521,49.1,61.8,9.7,7.9,.483,17.5,34.4,.271,-2.69,100.1,102.8,62.3,-.054,-4.63,100.1,104.7,-7.52
Baylor,38,30,8,.789,16.54,8.03,12,6,14,3,8,3,2839,2483,1525,1004,2148,.467,259,676,.383,572,759,.754,470,1280,570,286,178,522,674,67.1,111.0,.353,.315,.566,52.0,56.8,11.2,12.5,.528,17.2,38.4,.266,+21.29,116.0,94.7,65.6,+.059,+9.61,108.1,98.5,-2.70
Belmont,35,27,8,.771,11.81,-1.22,16,2,13,1,10,6,2831,2363,1410,975,2026,.481,309,817,.378,572,779,.734,401,1151,606,255,78,430,631,68.7,117.0,.385,.403,.591,49.7,62.2,10.5,5.7,.558,15.2,34.5,.282,+16.96,117.1,100.1,67.2,-.017,-0.32,103.4,103.7,+4.69
Bethune-Cookman,35,18,17,.514,-9.11,-7.05,11,5,9,3,5,12,2276,2319,1405,818,1890,.433,178,522,.341,462,702,.658,414,974,416,241,95,471,663,64.9,99.9,.371,.276,.512,45.5,50.9,10.6,7.6,.480,17.5,34.6,.244,-8.23,101.4,109.7,62.4,+.055,-7.14,98.2,105.4,+2.37
Binghamton,31,2,29,.065,-20.14,-6.24,1,15,1,13,0,15,1762,2193,1245,627,1579,.397,132,437,.302,376,538,.699,278,832,346,187,67,462,554,65.1,86.9,.341,.277,.480,44.0,55.2,9.2,6.2,.439,20.1,26.8,.238,-25.99,86.5,112.5,64.6,-.021,-7.02,98.8,105.8,-5.28
Boise State,30,13,17,.433,3.52,3.14,3,11,11,5,1,11,2050,1988,1205,708,1653,.428,227,664,.342,407,589,.691,328,917,346,183,56,366,544,65.2,104.3,.356,.402,.530,49.9,48.9,9.3,5.9,.497,15.9,32.2,.246,+1.38,105.3,103.9,64.3,-.081,+2.77,104.1,101.3,-4.39
Boston College,31,9,22,.290,-4.54,4.89,4,12,8,9,0,10,1833,2125,1255,629,1543,.408,225,664,.339,350,520,.673,222,836,354,153,89,454,491,64.7,90.3,.337,.430,.512,42.9,56.3,7.5,7.6,.481,20.2,22.4,.227,-8.67,95.7,104.3,63.8,+.048,+3.88,104.5,100.6,-3.18
Boston University,32,16,16,.500,-3.74,-4.09,12,4,7,5,8,9,2045,2034,1285,725,1717,.422,202,634,.319,393,583,.674,351,1012,371,187,98,434,537,64.4,98.8,.340,.369,.513,47.7,51.2,9.0,8.7,.481,17.9,31.8,.229,-1.60,100.0,101.6,63.8,-.014,-3.10,100.7,103.8,+5.09
Bowling Green State,32,16,16,.500,1.23,0.07,9,7,12,4,4,12,2125,2046,1285,823,1795,.458,156,461,.338,323,474,.681,363,984,438,247,103,425,538,64.8,102.1,.264,.257,.526,48.7,53.2,11.9,9.0,.502,17.4,34.1,.180,+3.75,103.8,100.0,63.9,-.065,+1.16,103.6,102.4,+1.66
Bradley,32,7,25,.219,-5.79,3.62,2,16,6,10,1,12,1955,2256,1280,689,1720,.401,151,503,.300,426,625,.682,302,985,343,204,99,438,550,67.3,90.7,.363,.292,.485,45.3,49.8,9.5,8.2,.444,17.8,26.3,.248,-8.46,94.9,103.4,67.4,-.012,+3.88,105.3,101.5,-1.34
Brigham Young,35,26,9,.743,11.25,1.55,12,4,13,3,8,3,2727,2358,1400,977,2099,.465,233,679,.343,540,771,.700,381,1223,599,296,154,473,637,73.0,106.7,.367,.323,.553,50.2,61.3,11.6,11.9,.521,16.1,30.6,.257,+12.79,106.3,93.5,72.6,+.020,+1.31,105.1,103.8,+0.38
Brown,31,8,23,.258,-12.52,-3.62,2,12,6,9,1,12,1907,2154,1240,685,1695,.404,234,647,.362,303,483,.627,280,928,413,162,79,382,497,65.4,94.1,.285,.382,.495,44.4,60.3,8.0,6.7,.473,16.6,24.9,.179,-15.73,95.2,110.9,64.1,-.006,-3.63,100.8,104.4,-7.11
Bryant,30,2,28,.067,-17.90,-4.27,1,17,1,10,0,17,1852,2261,1205,656,1626,.403,209,690,.303,331,480,.690,293,854,376,133,64,441,552,66.3,92.6,.295,.424,.499,43.5,57.3,6.7,5.8,.468,19.2,27.6,.204,-22.37,94.0,116.4,64.6,-.037,-3.04,100.9,104.0,+0.40
Bucknell,35,25,10,.714,3.57,-3.08,12,2,14,3,11,7,2410,2147,1400,836,1813,.461,206,526,.392,532,687,.774,314,1135,478,152,112,416,595,64.0,107.6,.379,.290,.563,52.9,57.2,6.8,9.5,.518,16.3,30.0,.293,+8.11,107.4,99.3,63.2,+.007,-3.12,101.5,104.6,+1.59
Buffalo,31,20,11,.645,4.15,0.15,12,4,12,2,8,8,2262,2090,1245,806,1734,.465,212,601,.353,438,665,.659,374,1128,511,174,157,465,549,68.7,105.8,.384,.347,.552,52.2,63.4,8.1,13.1,.526,18.5,35.7,.253,+7.92,107.3,99.4,67.3,-.000,+2.00,104.3,102.3,+2.92
