School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Air Force,31,10,21,.323,-4.90,3.13,1,15,8,10,0,10,1773,1957,,59.6,96.0,.367,.394,.529,46.8,61.6,8.4,6.2,.504,19.0,24.2,.233,-8.64,96.8,105.5,57.3,-.046,+2.52,103.7,101.1,-7.67
Akron,35,24,11,.686,2.82,-1.50,12,4,13,5,7,4,2472,2293,,65.9,104.8,.363,.343,.521,51.6,53.9,9.0,8.5,.491,16.4,37.2,.239,+5.20,105.3,100.1,65.1,+.047,-1.52,102.2,103.7,-4.29
Alabama,32,17,15,.531,10.34,6.62,6,10,11,6,3,6,2192,2073,,65.7,104.2,.343,.279,.525,50.5,54.2,11.8,10.9,.490,16.4,35.0,.242,+12.55,107.9,95.3,64.2,-.099,+6.75,106.5,99.8,-0.93
Alabama A&M,27,11,16,.407,-20.19,-13.71,8,10,8,5,3,9,1778,1881,,73.2,89.5,.474,.237,.463,46.8,48.1,12.5,12.7,.416,18.8,33.9,.301,-19.70,87.5,107.2,70.2,-.016,-14.66,91.7,106.4,+8.50
Alabama State,31,16,15,.516,-14.41,-12.02,12,6,9,3,6,11,1998,2043,,67.8,94.7,.448,.356,.499,51.3,60.0,10.8,11.1,.462,20.0,35.6,.287,-12.63,93.5,106.2,65.2,+.022,-11.86,93.3,105.2,+8.16
Alabama-Birmingham,34,25,9,.735,9.46,2.90,11,5,14,4,9,4,2276,2053,,64.9,102.4,.457,.315,.518,53.6,51.1,10.0,7.3,.471,17.0,35.7,.317,+12.73,104.6,91.8,64.1,+.017,+3.09,104.0,100.9,+0.40
Albany (NY),32,7,25,.219,-11.94,-5.53,2,14,4,9,3,15,2007,2212,,65.7,94.8,.314,.337,.503,52.0,53.5,8.8,8.2,.465,20.6,36.0,.226,-13.16,97.2,110.3,63.6,-.073,-4.25,99.6,103.8,-0.45
Alcorn State,31,2,29,.065,-30.36,-9.00,2,16,2,8,0,18,1880,2542,,75.3,80.2,.422,.255,.456,44.5,41.3,9.1,7.4,.418,23.7,29.2,.258,-32.65,81.3,113.9,72.1,-.030,-9.37,95.5,104.8,+5.19
American,31,11,20,.355,-11.47,-6.89,7,7,7,8,4,12,1941,2083,,64.1,95.7,.356,.333,.518,52.4,65.6,5.4,6.6,.482,19.6,30.2,.246,-13.09,94.1,107.2,62.4,+.016,-7.81,99.2,107.0,-6.12
Appalachian State,37,24,13,.649,1.80,-2.76,13,5,14,4,8,8,2766,2567,,67.5,110.0,.391,.350,.581,55.7,46.9,8.0,7.7,.545,18.6,35.3,.289,+6.18,110.1,104.0,65.3,+.012,-1.96,101.7,103.7,+2.75
