School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Air Force,31,24,7,.774,10.20,2.49,12,4,16,0,6,5,1990,1695,1240,683,1413,.483,276,684,.404,348,467,.745,204,763,445,249,67,335,472,,,.331,.484,.609,45.7,65.2,,4.7,.581,17.0,,.246,+14.87,113.2,98.3,54.7,-.001,+0.57,102.8,102.2,-6.63
Akron,33,23,10,.697,5.00,0.13,14,4,13,0,7,8,2407,2180,,826,1825,.453,264,721,.366,491,682,.720,373,1116,535,202,102,412,631,,,.374,.395,.560,50.7,64.8,,5.8,.525,16.1,,.269,+9.28,111.1,101.8,64.1,+.037,+0.82,102.5,101.7,+1.96
Alabama,31,18,13,.581,10.79,8.08,10,6,14,4,3,7,2178,2094,1250,758,1662,.456,174,505,.345,488,689,.708,389,1135,379,195,152,421,433,,,.415,.304,.547,53.2,50.0,,8.3,.508,17.5,,.294,+12.48,112.8,100.3,63.4,+.005,+9.21,107.7,98.4,+1.60
Alabama A&M,26,13,13,.500,-9.12,-10.43,11,7,9,3,4,9,1917,1872,,669,1606,.417,159,508,.313,420,654,.642,355,1018,324,231,157,424,499,,,.407,.316,.500,48.3,48.4,,9.8,.466,18.1,,.262,-9.65,94.5,104.1,73.4,-.040,-11.93,94.2,106.1,+16.53
Alabama State,30,12,18,.400,-12.98,-8.58,10,8,7,4,4,12,1985,2117,,689,1686,.409,174,559,.311,433,690,.628,395,1069,308,179,83,476,639,,,.409,.332,.493,50.2,44.7,,5.2,.460,19.1,,.257,-13.52,94.0,107.5,66.1,+.046,-8.93,97.2,106.1,+4.97
Alabama-Birmingham,31,24,7,.774,9.64,1.57,12,2,14,1,7,5,2306,2035,1240,822,1816,.453,222,647,.343,440,680,.647,337,971,482,337,111,395,560,,,.374,.356,.539,44.2,58.6,,6.6,.514,15.6,,.242,+12.65,109.1,96.5,68.5,+.058,+1.51,101.8,100.3,+0.98
Albany (NY),32,21,11,.656,-0.44,-4.25,13,3,10,3,8,7,2194,2065,1295,743,1660,.448,223,589,.379,485,682,.711,349,1077,403,209,81,451,606,,,.411,.355,.553,51.7,54.2,,4.8,.515,18.5,,.292,+2.63,106.2,103.6,63.8,+.027,-5.65,99.6,105.3,+0.12
Alcorn State,28,8,20,.286,-15.11,-8.03,8,10,5,4,3,15,1848,2046,,652,1544,.422,170,526,.323,374,570,.656,317,991,337,195,85,512,614,,,.369,.341,.509,49.0,51.7,,5.3,.477,22.0,,.242,-16.39,93.0,109.4,68.4,-.004,-7.57,96.6,104.1,+8.98
American,29,12,17,.414,-8.49,-4.32,7,7,7,4,4,12,1850,1971,1170,655,1573,.416,165,486,.340,375,543,.691,366,1007,379,190,89,452,549,,,.345,.309,.505,50.9,57.9,,5.7,.469,19.8,,.238,-8.62,98.5,107.1,63.7,+.019,-4.39,99.4,103.8,+0.15
Appalachian State,30,14,16,.467,-7.61,-4.79,6,8,8,4,4,10,2100,2113,1215,731,1703,.429,249,703,.354,389,550,.707,371,1032,427,224,112,455,567,,,.323,.413,.535,48.5,58.4,,6.6,.502,18.8,,.228,-7.25,100.6,107.8,64.1,+.021,-4.79,101.0,105.8,+0.12
Arizona,33,20,13,.606,15.12,10.09,11,7,12,2,4,7,2433,2267,1345,909,2037,.446,142,445,.319,473,667,.709,453,1140,492,322,125,437,549,,,.327,.218,.517,49.8,54.1,,6.9,.481,15.7,,.232,+17.23,112.2,95.0,67.7,-.037,+10.53,108.0,97.5,+9.27
Arizona State,28,11,17,.393,4.36,7.18,5,13,8,9,3,7,1878,1958,1140,655,1520,.431,158,418,.378,410,568,.722,310,927,403,180,90,422,562,,,.374,.275,.525,50.1,61.5,,6.0,.483,19.1,,.270,+2.26,104.8,102.6,64.8,-.027,+5.53,105.1,99.6,-6.99
Arkansas,32,22,10,.688,15.01,6.17,10,6,15,1,3,5,2359,2076,1290,841,1837,.458,179,533,.336,498,720,.692,390,1118,495,266,194,428,541,,,.392,.290,.541,50.2,58.9,,10.7,.507,16.4,,.271,+18.47,112.2,93.8,66.0,-.062,+6.35,106.0,99.6,-4.78
Arkansas State,30,12,18,.400,-5.49,-1.45,7,7,8,5,2,12,2189,2259,,789,1690,.467,172,481,.358,439,667,.658,330,1045,406,198,78,461,556,,,.395,.285,.545,49.6,51.5,,4.4,.518,18.7,,.260,-5.35,104.7,110.0,67.2,-.028,-0.80,101.5,102.3,+1.27
Arkansas-Pine Bluff,29,13,16,.448,-12.48,-10.81,8,10,5,5,6,10,1829,1851,1160,666,1634,.408,146,458,.319,351,516,.680,298,1036,329,225,128,472,557,,,.316,.280,.487,47.3,49.4,,7.6,.452,20.1,,.215,-12.43,85.0,97.5,66.7,-.040,-11.48,95.3,106.8,+3.24
Army,27,5,22,.185,-19.89,-5.69,1,13,2,11,3,11,1491,1790,,529,1321,.400,148,435,.340,285,415,.687,224,807,297,153,44,425,539,,,.314,.329,.491,47.0,56.1,,3.3,.456,21.9,,.216,-26.50,87.9,114.4,60.4,-.028,-6.81,97.8,104.6,-9.89
Auburn,28,12,16,.429,4.92,7.06,4,12,11,5,1,10,1836,1896,1120,654,1509,.433,194,545,.356,334,529,.631,347,924,378,226,118,446,552,,,.351,.361,.522,49.1,57.8,,8.0,.498,20.2,,.221,+5.58,104.2,98.6,65.2,-.018,+8.07,107.3,99.2,-1.86
Austin Peay,31,17,14,.548,-5.68,-6.29,11,9,11,2,4,12,2228,2209,1255,765,1680,.455,170,508,.335,528,707,.747,326,1018,435,217,93,447,576,,,.421,.302,.553,48.9,56.9,,5.3,.506,18.1,,.314,-3.21,102.8,106.0,66.7,+.032,-5.53,101.6,107.1,-1.38
Ball State,28,10,18,.357,-3.53,-0.60,6,12,6,8,4,10,1779,1821,1135,632,1483,.426,147,430,.342,368,556,.662,327,926,328,207,100,397,629,,,.375,.290,.509,50.8,51.9,,7.7,.476,18.5,,.248,-3.50,98.2,101.7,63.3,-.092,+0.69,103.3,102.6,+3.78
Baylor,17,4,13,.235,2.30,11.65,4,12,4,4,0,8,1074,1233,685,367,923,.398,134,360,.372,206,298,.691,170,542,186,105,72,259,340,,,.323,.390,.504,44.8,50.7,,7.5,.470,19.6,,.223,+0.18,102.6,102.4,65.5,-.046,+11.81,108.7,96.9,-99.00
Belmont,31,20,11,.645,-3.53,-6.72,15,5,10,2,7,8,2499,2356,1260,897,1819,.493,261,692,.377,444,643,.691,364,1099,518,240,110,503,612,,,.353,.380,.588,50.3,57.7,,5.9,.565,19.1,,.244,-0.73,107.1,107.8,69.1,+.024,-8.62,99.7,108.4,+5.97
Bethune-Cookman,30,15,15,.500,-13.66,-10.49,11,7,8,3,5,11,1962,2057,1220,706,1675,.421,172,527,.326,378,614,.616,337,998,369,276,60,458,585,,,.367,.315,.499,47.0,52.3,,3.7,.473,18.9,,.226,-14.02,95.3,109.3,66.4,+.085,-11.65,94.5,106.2,+2.58
Binghamton,29,16,13,.552,-4.73,-5.52,12,4,8,6,7,7,1812,1783,1170,616,1612,.382,179,590,.303,401,541,.741,344,977,293,203,49,345,564,,,.336,.366,.485,48.3,47.6,,3.3,.438,15.6,,.249,-3.19,95.8,99.0,63.3,+.015,-6.83,100.1,107.0,-1.60
Boise State,29,14,15,.483,0.83,1.09,6,10,10,5,3,9,2095,2049,1170,744,1684,.442,230,629,.366,377,530,.711,292,1037,413,166,60,445,530,,,.315,.374,.541,49.2,55.5,,3.4,.510,18.7,,.224,+1.78,101.8,100.0,69.8,-.049,+0.89,103.7,102.8,-3.08
Boston College,36,28,8,.778,13.79,6.10,11,5,14,2,9,3,2671,2383,,949,1958,.485,211,585,.361,562,833,.675,466,1277,639,222,161,472,586,,,.425,.299,.567,52.8,67.3,,7.9,.539,16.7,,.287,+18.65,117.8,99.2,61.5,+.024,+7.43,107.1,99.7,-5.69
Boston University,28,12,16,.429,-4.45,-3.77,9,7,6,5,5,9,1650,1669,1130,593,1448,.410,150,449,.334,314,474,.662,312,959,377,187,84,376,488,,,.327,.310,.493,51.6,63.6,,6.0,.461,18.3,,.217,-3.87,97.1,101.0,59.3,-.042,-3.53,100.6,104.1,+5.00
Bowling Green State,30,9,21,.300,-7.83,0.38,5,13,5,8,4,10,1978,2142,1215,666,1531,.435,214,561,.381,432,600,.720,252,848,411,200,49,496,720,,,.392,.366,.545,45.1,61.7,,3.3,.505,21.5,,.282,-8.79,97.5,106.3,66.4,-.012,+2.20,104.0,101.8,+1.98
Bradley,33,22,11,.667,11.78,5.38,11,7,13,1,5,8,2359,2148,,848,1933,.439,185,551,.336,478,666,.718,419,1241,533,294,151,497,614,,,.345,.285,.524,52.0,62.9,,8.2,.487,18.1,,.247,+16.50,107.5,91.0,69.3,-.019,+6.94,105.4,98.5,-2.22
Brigham Young,29,20,9,.690,7.19,3.19,12,4,14,1,4,7,2209,2078,,782,1692,.462,202,521,.388,443,620,.715,325,1024,462,197,108,425,582,,,.366,.308,.556,51.3,59.1,,6.7,.522,17.6,,.262,+7.87,110.1,102.2,70.7,+.074,+2.21,103.5,101.3,-2.84
Brown,27,10,17,.370,-11.37,-6.66,6,8,4,8,6,7,1613,1740,1095,545,1317,.414,133,473,.281,390,591,.660,263,867,338,190,80,434,464,,,.449,.359,.505,49.5,62.0,,5.6,.464,21.4,,.296,-14.18,91.3,105.5,63.8,+.038,-7.85,98.4,106.2,-6.54
Bucknell,32,27,5,.844,7.29,-2.29,14,0,14,1,11,3,2114,1785,1290,726,1560,.465,196,503,.390,466,670,.696,308,1032,457,279,55,474,561,,,.429,.322,.563,52.4,62.9,,3.6,.528,20.2,,.299,+12.56,105.7,93.1,61.8,+.092,-3.17,100.2,103.4,+7.18
Buffalo,32,19,13,.594,-0.10,-1.22,8,10,12,3,5,9,2317,2247,1295,766,1748,.438,208,568,.366,577,768,.751,405,1086,410,254,71,522,629,,,.439,.325,.548,51.7,53.5,,4.1,.498,19.8,,.330,+2.56,106.0,103.4,67.3,+.030,-0.68,102.5,103.2,-1.31
Butler,33,20,13,.606,6.22,0.44,11,5,12,1,5,10,2254,2032,,784,1726,.454,300,787,.381,386,548,.704,256,855,436,212,75,292,559,,,.317,.456,.567,43.6,55.6,,4.6,.541,12.8,,.224,+12.00,114.9,102.9,58.3,-.072,+1.16,103.0,101.9,+3.14
Cal Poly,29,10,19,.345,-6.00,-0.56,7,7,6,7,3,11,1907,2052,1165,659,1575,.418,222,631,.352,367,529,.694,349,1013,332,152,60,437,540,,,.336,.401,.522,51.2,50.4,,3.7,.489,19.3,,.233,-7.88,99.8,107.7,62.6,-.025,-0.70,103.5,104.2,+0.71
Cal State Fullerton,29,16,13,.552,-2.24,-3.07,5,9,7,5,7,6,2293,2183,,840,1808,.465,221,575,.384,392,588,.667,399,1124,433,207,65,437,548,,,.325,.318,.549,53.0,51.5,,3.8,.526,17.3,,.217,-0.77,107.3,108.1,68.2,-.036,-4.85,100.3,105.2,-6.46
Cal State Northridge,28,11,17,.393,-8.67,-1.46,4,10,6,6,4,9,1986,2072,1130,668,1540,.434,156,444,.351,494,673,.734,313,926,389,219,84,491,573,,,.437,.288,.534,49.5,58.2,,5.6,.484,20.9,,.321,-9.16,95.6,104.8,69.3,+.038,-2.45,102.8,105.2,-2.91
Campbell,28,10,18,.357,-12.28,-8.11,9,11,5,8,5,9,2319,2408,1130,807,1837,.439,276,787,.351,429,671,.639,441,1098,476,208,73,509,597,,,.365,.428,.538,52.2,59.0,,4.2,.514,19.1,,.234,-12.59,101.0,113.6,75.0,-.042,-9.58,99.3,108.9,-2.10
Canisius,29,9,20,.310,-6.04,-1.80,6,12,4,9,4,10,2050,2173,1175,749,1653,.453,192,556,.345,360,497,.724,312,951,394,214,84,394,500,,,.301,.336,.543,48.1,52.6,,4.9,.511,17.3,,.218,-4.97,103.6,108.5,64.6,-.066,-0.79,105.3,106.1,-3.32
Central Connecticut State,29,18,11,.621,-2.14,-6.76,13,5,11,4,7,7,2102,1968,1190,721,1624,.444,230,598,.385,430,596,.721,380,995,428,191,68,372,448,,,.367,.368,.551,52.1,59.4,,4.3,.515,16.3,,.265,-0.07,109.6,109.6,62.0,-.027,-7.66,97.5,105.2,-3.20
Central Florida,29,14,15,.483,-2.25,-0.69,7,7,10,5,3,7,1836,1839,1160,655,1509,.434,206,565,.365,320,498,.643,331,999,420,186,108,455,554,,,.330,.374,.526,51.5,64.1,,7.1,.502,20.7,,.212,-2.74,99.9,102.6,62.0,-.027,-3.23,100.1,103.3,-7.62
