School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Air Force,28,9,19,.321,-0.95,3.23,3,11,5,6,2,12,1605,1722,1160,533,1151,.463,208,558,.373,331,465,.712,154,614,327,228,39,390,,,,.404,.485,.585,42.3,61.4,,3.2,.553,22.1,,.288,-1.64,103.8,105.5,54.2,-.015,+4.30,105.9,101.6,-0.75
Akron,31,10,21,.323,-4.84,0.36,5,13,6,6,3,9,2154,2304,1250,709,1581,.448,182,491,.371,554,731,.758,295,933,416,180,77,450,,,,.462,.311,.559,47.5,58.7,,4.4,.506,18.9,,.350,-5.94,105.2,111.2,65.6,-.026,+1.27,105.4,104.2,-1.37
Alabama,35,27,8,.771,16.93,7.67,12,4,17,0,4,4,2658,2334,,910,2071,.439,217,703,.309,621,844,.736,509,1369,460,257,113,490,,,,.408,.339,.538,52.8,50.5,,5.6,.492,16.5,,.300,+18.73,114.0,95.3,68.0,+.076,+8.59,107.4,98.8,-1.56
Alabama A&M,29,19,10,.655,-11.33,-15.81,12,6,12,2,7,7,2318,2123,1160,814,2010,.405,212,681,.311,478,711,.672,506,1217,426,395,116,504,,,,.354,.339,.494,49.3,52.3,,6.7,.458,17.7,,.238,-9.53,92.2,101.7,79.0,+.002,-18.64,92.8,111.5,-15.03
Alabama State,32,19,13,.594,-13.25,-14.15,12,6,12,2,5,9,2095,2067,1290,715,1681,.425,182,533,.341,483,755,.640,389,1167,314,217,89,538,,,,.449,.317,.514,51.2,43.9,,4.9,.479,20.9,,.287,-12.62,90.1,102.7,63.1,+.081,-14.95,95.8,110.8,-5.12
Alabama-Birmingham,30,13,17,.433,5.56,2.96,6,10,11,4,1,10,2110,2032,1210,739,1763,.419,204,585,.349,428,623,.687,376,1117,433,231,87,448,,,,.353,.332,.512,50.5,58.6,,5.2,.477,17.9,,.243,+6.18,102.5,96.4,67.7,-.143,+2.74,104.7,102.0,-2.90
Albany (NY),28,8,20,.286,-16.99,-8.85,5,11,5,7,3,12,1593,1821,1125,594,1538,.386,163,497,.328,242,361,.670,310,904,285,195,83,405,,,,.235,.323,.466,47.5,48.0,,5.8,.439,19.2,,.157,-20.29,87.0,107.3,62.7,+.039,-9.58,98.2,107.8,-4.05
Alcorn State,31,21,10,.677,-11.28,-14.18,16,2,11,0,8,9,2473,2374,,900,1935,.465,173,458,.378,500,777,.644,453,1243,496,258,125,538,,,,.402,.237,.537,53.3,55.1,,6.4,.510,18.9,,.258,-8.71,100.1,108.8,73.0,+.097,-14.53,95.3,109.8,+2.60
American,30,18,12,.600,-5.00,-6.20,10,4,8,6,8,6,1977,1941,1215,680,1507,.451,215,604,.356,402,554,.726,272,983,412,201,78,482,,,,.368,.401,.558,50.8,60.6,,4.8,.523,21.4,,.267,-4.01,101.0,105.1,62.9,+.057,-7.70,98.5,106.2,-3.16
Appalachian State,28,10,18,.357,-7.53,-0.65,5,11,7,6,3,11,2140,2211,1125,745,1700,.438,170,481,.353,480,703,.683,367,1048,426,241,77,480,,,,.414,.283,.526,49.5,57.2,,4.5,.488,19.1,,.282,-6.25,102.1,108.3,72.6,-.006,+0.93,103.3,102.4,+2.60
Arizona,34,24,10,.706,16.93,12.49,12,6,13,4,6,5,2793,2642,,935,2039,.459,258,686,.376,665,910,.731,430,1286,527,207,103,478,,,,.446,.336,.565,50.4,56.4,,4.6,.522,16.2,,.326,+20.54,119.3,98.8,71.1,+.079,+14.22,111.5,97.3,+17.56
Arizona State,29,14,15,.483,9.79,6.79,7,11,12,5,2,10,2229,2142,1165,812,1784,.455,144,431,.334,461,703,.656,415,1070,475,208,77,438,,,,.394,.242,.526,53.0,58.5,,5.1,.496,17.1,,.258,+10.54,108.6,98.1,71.7,-.090,+7.95,108.7,100.7,-8.12
Arkansas,29,14,15,.483,12.27,10.13,6,10,11,5,3,7,2171,2108,,775,1777,.436,232,694,.334,389,598,.651,319,930,445,306,99,413,,,,.337,.391,.527,44.0,57.4,,6.2,.501,16.7,,.219,+12.56,108.8,96.2,71.9,-.062,+11.24,108.6,97.3,+4.82
Arkansas State,31,15,16,.484,2.13,-1.98,5,9,9,4,3,9,2259,2076,,826,1815,.455,190,540,.352,417,575,.725,403,1154,410,230,166,460,,,,.317,.298,.541,51.7,49.6,,9.4,.507,18.1,,.230,+2.13,105.2,103.1,64.2,-.135,-1.64,102.0,103.6,-3.55
Arkansas-Pine Bluff,28,2,26,.071,-27.49,-8.70,2,16,2,7,0,19,1852,2378,,647,1789,.362,143,530,.270,415,628,.661,370,964,298,311,66,531,,,,.351,.296,.444,42.1,46.1,,3.7,.402,20.3,,.232,-28.85,82.2,111.1,75.5,-.014,-7.85,100.3,108.1,+12.23
Army,28,12,16,.429,-13.02,-7.44,6,8,8,6,4,9,1871,1962,1125,650,1518,.428,145,425,.341,426,596,.715,286,914,326,162,74,412,,,,.393,.280,.519,47.3,50.2,,4.8,.476,18.6,,.281,-15.11,95.4,110.5,68.0,+.047,-8.92,97.8,106.7,-8.66
Auburn,28,12,16,.429,6.89,7.96,4,12,12,5,0,9,1835,1865,,659,1575,.418,163,517,.315,354,597,.593,361,1011,371,229,151,503,,,,.379,.328,.494,48.9,56.3,,9.3,.470,21.3,,.225,+6.61,98.6,92.0,70.1,-.049,+8.17,107.3,99.1,-6.32
Austin Peay,32,14,18,.438,-4.02,-1.02,8,8,9,4,3,11,2255,2253,1295,803,1785,.450,200,604,.331,449,702,.640,336,1098,383,233,134,469,,,,.393,.338,.532,48.3,47.7,,7.2,.506,18.1,,.252,-2.98,99.4,102.4,67.3,-.037,+0.02,104.6,104.6,+10.17
Ball State,35,23,12,.657,8.87,3.29,12,6,12,2,8,7,2731,2517,1410,927,2061,.450,310,815,.380,567,752,.754,393,1253,422,218,138,443,,,,.365,.395,.565,49.8,45.5,,6.7,.525,15.5,,.275,+12.66,113.3,100.6,69.1,+.012,+3.72,106.0,102.3,+8.96
Baylor,30,14,16,.467,6.23,5.08,4,12,12,4,1,10,2296,2166,,800,1821,.439,273,746,.366,423,589,.718,371,1083,514,278,116,428,,,,.323,.410,.546,47.8,64.3,,6.3,.514,16.9,,.232,+4.69,108.2,103.5,68.3,-.090,+4.23,106.2,102.0,-6.93
Belmont,28,11,17,.393,-7.11,-3.39,8,12,7,5,3,11,2020,2124,,698,1484,.470,264,711,.371,360,477,.755,275,868,506,173,37,457,,,,.321,.479,.590,47.6,72.5,,2.2,.559,21.1,,.243,-5.00,108.8,113.8,65.2,-.025,-2.66,102.8,105.4,+8.70
Bethune-Cookman,29,12,17,.414,-14.33,-8.26,8,10,6,7,5,9,1983,2140,1175,672,1567,.429,149,431,.346,490,711,.689,332,1030,259,210,70,504,,,,.454,.275,.521,49.2,38.5,,4.1,.476,20.9,,.313,-14.58,94.8,109.4,69.3,+.038,-10.27,97.1,107.3,-1.43
Binghamton,28,9,19,.321,-13.87,-9.40,6,10,3,8,4,8,1811,1936,,621,1535,.405,194,569,.341,375,529,.709,310,944,320,177,125,442,,,,.345,.371,.507,48.2,51.5,,8.0,.468,19.8,,.244,-15.37,92.7,108.1,67.2,-.059,-10.68,97.6,108.3,-6.96
Boise State,30,13,17,.433,-1.64,2.09,6,12,9,6,3,11,1877,1973,1205,675,1631,.414,164,531,.309,363,523,.694,318,907,366,184,83,426,,,,.321,.326,.499,47.7,54.2,,5.8,.464,18.5,,.223,-2.21,98.2,100.4,65.2,+.016,+2.30,104.6,102.3,-3.11
Boston College,32,20,12,.625,8.95,5.91,8,8,11,5,5,4,2354,2257,,801,1913,.419,212,629,.337,540,776,.696,452,1192,431,259,106,449,,,,.406,.329,.516,49.6,53.8,,5.8,.474,16.4,,.282,+9.97,109.4,99.4,69.1,+.040,+6.41,105.5,99.1,-2.78
Boston University,32,22,10,.688,-4.68,-7.81,13,3,11,2,9,6,2147,2047,,748,1767,.423,203,567,.358,448,651,.688,393,1200,399,192,84,415,,,,.368,.321,.517,51.9,53.3,,4.8,.481,16.7,,.254,-2.74,101.3,104.0,64.5,+.102,-9.18,97.7,106.9,+0.25
Bowling Green State,33,24,9,.727,7.68,1.46,12,6,13,1,7,6,2464,2238,1340,834,1709,.488,203,520,.390,593,791,.750,307,1063,473,209,93,462,,,,.463,.304,.591,51.2,56.7,,5.5,.547,18.1,,.347,+11.76,111.3,99.6,66.6,+.021,+2.13,105.9,103.7,+0.85
