School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Air Force,31,10,21,.323,-2.99,2.37,0,16,7,10,1,9,1821,1936,1240,611,1389,.440,206,546,.377,393,583,.674,229,879,378,155,70,407,542,,,.420,.393,.547,48.0,61.9,,5.5,.514,19.6,,.283,-5.70,98.6,104.3,57.8,-.090,+2.30,104.9,102.6,-12.06
Akron,36,23,13,.639,3.37,-2.01,10,6,11,3,8,8,2403,2171,1455,823,1969,.418,258,776,.332,499,705,.708,424,1199,446,270,80,490,745,,,.358,.394,.522,49.2,54.2,,5.0,.483,17.5,,.253,+6.90,102.9,96.0,64.8,-.014,-1.60,100.9,102.5,-1.83
Alabama,32,18,14,.563,5.49,3.99,7,9,13,5,2,7,2349,2254,1295,845,1913,.442,157,479,.328,502,711,.706,441,1264,357,235,144,464,546,,,.372,.250,.522,51.6,42.2,,8.2,.483,17.1,,.262,+6.63,105.9,99.3,67.5,-.016,+4.06,105.2,101.2,-7.19
Alabama A&M,27,8,19,.296,-19.72,-11.63,6,12,6,7,2,11,1761,1954,,608,1566,.388,121,454,.267,424,638,.665,340,948,298,224,90,448,549,,,.407,.290,.471,46.0,49.0,,6.3,.427,19.3,,.271,-20.67,86.0,106.7,70.2,-.012,-12.18,96.1,108.3,+9.37
Alabama State,32,22,10,.688,-6.13,-11.20,16,2,10,1,8,7,2202,2025,,816,1752,.466,181,550,.329,389,614,.634,358,1130,445,182,153,435,558,,,.350,.314,.539,50.3,54.5,,9.0,.517,17.5,,.222,-2.97,100.7,103.6,63.6,+.025,-11.71,95.4,107.2,+9.21
Alabama-Birmingham,34,22,12,.647,10.05,3.67,11,5,13,1,7,8,2461,2244,1375,880,1935,.455,228,676,.337,473,669,.707,328,1169,430,224,69,387,568,,,.346,.349,.546,50.0,48.9,,4.0,.514,14.7,,.244,+13.73,109.4,95.7,66.4,-.009,+5.04,106.2,101.2,+3.87
Albany (NY),31,15,16,.484,-6.63,-4.11,6,10,10,4,5,12,1984,2038,1245,715,1713,.417,130,442,.294,424,590,.719,425,1206,367,160,63,474,626,,,.344,.258,.498,56.3,51.3,,4.5,.455,19.2,,.248,-6.99,97.3,104.3,64.3,+.046,-4.91,100.3,105.2,-3.46
Alcorn State,31,6,25,.194,-25.55,-10.26,4,14,5,7,1,15,2156,2588,,742,1901,.390,187,571,.327,485,709,.684,318,992,309,257,55,455,609,,,.373,.300,.482,42.9,41.6,,3.1,.440,16.9,,.255,-26.40,92.1,118.5,72.4,-.050,-10.26,96.5,106.7,+2.94
American,32,24,8,.750,-0.05,-5.49,13,1,13,1,11,6,2065,1891,1290,751,1614,.465,230,615,.374,333,514,.648,302,1046,421,176,79,422,581,,,.318,.381,.556,51.9,56.1,,5.5,.537,18.5,,.206,+4.70,105.3,100.6,60.7,+.093,-6.34,97.6,104.0,+0.55
Appalachian State,31,13,18,.419,-8.44,-5.44,9,11,7,7,5,9,2356,2381,1270,799,1768,.452,239,642,.372,519,733,.708,404,1220,407,187,106,542,626,,,.415,.363,.557,55.3,50.9,,6.5,.520,20.4,,.294,-8.10,101.5,109.6,69.7,-.005,-5.31,101.1,106.4,+2.23
Arizona,35,21,14,.600,11.88,8.80,9,9,14,3,2,9,2529,2421,1405,897,1892,.474,212,548,.387,523,709,.738,387,1183,500,217,104,442,548,,,.375,.290,.567,51.7,55.7,,6.0,.530,16.5,,.276,+15.96,117.7,101.8,64.9,+.018,+11.33,109.0,97.7,+2.34
Arizona State,35,25,10,.714,16.70,7.82,11,7,12,3,6,4,2428,2117,1420,825,1718,.480,288,778,.370,490,665,.737,288,1085,544,201,72,401,557,,,.387,.453,.597,51.0,65.9,,4.5,.564,16.5,,.285,+23.03,118.2,95.2,59.1,-.018,+10.14,108.9,98.8,-2.04
Arkansas,30,14,16,.467,3.79,3.89,2,14,12,6,1,9,2238,2213,1215,797,1821,.438,202,608,.332,442,679,.651,381,1129,390,227,86,419,521,,,.373,.334,.522,51.1,48.9,,5.6,.493,16.4,,.243,+3.20,105.1,101.9,68.6,-.040,+3.85,105.1,101.2,-7.75
Arkansas State,30,13,17,.433,-5.42,-4.31,5,13,9,5,4,12,1996,1948,1225,731,1685,.434,144,442,.326,390,571,.683,347,1094,402,201,109,408,501,,,.339,.262,.510,51.7,55.0,,7.3,.477,17.3,,.231,-5.23,95.9,101.1,64.3,-.069,-3.42,102.0,105.5,-0.01
Arkansas-Pine Bluff,31,13,18,.419,-15.45,-7.48,11,7,6,3,6,14,1943,2190,,709,1768,.401,124,431,.288,401,649,.618,446,1179,339,271,84,605,705,,,.367,.244,.468,50.7,47.8,,5.6,.436,22.6,,.227,-13.77,88.0,101.7,69.7,+.082,-6.85,98.5,105.4,+15.60
Army,30,11,19,.367,-10.11,-7.59,6,8,7,7,4,12,1741,1823,,644,1533,.420,144,427,.337,309,448,.690,237,876,396,224,75,459,579,,,.292,.279,.499,45.6,61.5,,5.8,.467,20.8,,.202,-12.46,88.3,100.7,62.8,-.033,-8.81,97.2,106.0,-9.41
Auburn,36,24,12,.667,9.93,3.56,10,6,18,4,5,5,2620,2354,1445,928,2116,.439,278,832,.334,486,802,.606,422,1323,507,327,123,470,674,,,.379,.393,.525,49.9,54.6,,7.1,.504,15.8,,.230,+12.46,106.8,94.3,68.3,-.032,+3.54,104.7,101.2,-7.27
Austin Peay,33,19,14,.576,-4.20,-3.69,13,5,9,5,9,7,2485,2449,1340,885,1877,.471,225,616,.365,490,712,.688,359,1121,486,224,105,446,610,,,.379,.328,.561,49.6,54.9,,6.4,.531,16.8,,.261,-1.64,107.4,109.0,66.7,+.056,-2.35,102.3,104.7,+4.92
Ball State,31,14,17,.452,-5.50,-3.02,7,9,10,6,3,10,1795,1852,1255,646,1572,.411,134,395,.339,369,604,.611,333,1071,333,158,63,406,572,,,.384,.251,.483,50.6,51.5,,4.4,.454,17.9,,.235,-6.50,95.2,101.7,60.6,+.026,-4.45,99.0,103.5,-2.20
Baylor,39,24,15,.615,12.54,7.93,5,11,14,5,4,7,2965,2732,,1024,2191,.467,320,876,.365,597,838,.712,411,1332,484,282,146,501,717,,,.382,.400,.573,49.8,47.3,,7.4,.540,16.2,,.272,+16.38,116.5,100.1,65.8,-.017,+10.57,108.6,98.0,-2.35
Belmont,33,20,13,.606,0.39,-1.37,14,6,12,3,8,9,2528,2334,,869,1961,.443,336,950,.354,454,664,.684,390,1186,549,261,84,479,638,,,.339,.484,.555,49.6,63.2,,5.0,.529,17.4,,.232,+4.25,106.6,102.4,69.1,-.047,-3.83,101.3,105.2,+2.46
Bethune-Cookman,33,17,16,.515,-12.41,-9.76,9,7,8,4,7,10,1926,1941,,685,1725,.397,136,489,.278,420,665,.632,418,1163,307,222,92,474,643,,,.386,.283,.472,52.6,44.8,,6.6,.437,18.8,,.243,-11.76,89.5,101.3,59.8,+.012,-10.45,96.1,106.6,-2.18
Binghamton,32,23,9,.719,-3.27,-5.62,13,3,12,2,9,6,2239,2156,1295,778,1764,.441,192,575,.334,491,733,.670,357,1101,383,227,134,431,652,,,.416,.326,.530,48.5,49.2,,8.5,.495,16.9,,.278,-0.98,102.3,103.3,67.2,+.130,-5.64,99.6,105.3,-4.08
Boise State,32,19,13,.594,-0.95,0.54,9,7,13,3,6,9,2329,2315,1290,875,1849,.473,200,584,.342,379,544,.697,314,1097,510,200,117,476,576,,,.294,.316,.553,49.5,58.3,,6.8,.527,18.4,,.205,+0.97,103.1,102.1,68.7,+.091,-0.24,104.1,104.4,-3.56
Boston College,34,22,12,.647,10.36,7.23,9,7,15,4,5,5,2528,2397,1370,885,2000,.443,217,649,.334,541,733,.738,485,1259,503,208,147,457,614,,,.367,.325,.538,51.9,56.8,,8.1,.497,16.3,,.271,+11.20,113.2,102.0,65.3,+.038,+6.40,106.6,100.2,-5.57
Boston University,30,17,13,.567,-2.61,-4.91,11,5,9,6,8,6,2058,1989,,698,1646,.424,267,740,.361,395,578,.683,345,1039,380,202,97,408,513,,,.351,.450,.536,49.1,54.4,,6.5,.505,17.5,,.240,-0.59,104.4,104.9,62.7,+.003,-5.22,100.0,105.2,-3.11
Bowling Green State,33,19,14,.576,0.09,-1.75,11,5,10,4,6,9,2126,2020,,775,1796,.432,206,583,.353,370,548,.675,380,1186,415,221,120,427,569,,,.305,.325,.517,51.2,53.5,,7.5,.489,17.2,,.206,+1.79,102.5,100.7,62.5,-.010,-1.76,100.3,102.1,-4.43
Bradley,36,21,15,.583,2.48,1.95,10,8,14,4,5,9,2415,2387,,806,1833,.440,216,658,.328,587,816,.719,388,1160,453,282,125,521,648,,,.445,.359,.544,49.5,56.2,,7.5,.499,19.0,,.320,+3.95,104.9,101.0,64.7,+.046,+1.45,104.2,102.8,-0.67
Brigham Young,33,25,8,.758,15.12,4.15,12,4,14,2,9,3,2544,2150,1325,909,1879,.484,238,624,.381,488,669,.729,302,1196,537,241,119,375,607,,,.356,.332,.579,52.7,59.1,,7.2,.547,14.6,,.260,+20.10,114.0,93.9,69.0,-.046,+4.57,105.4,100.9,+0.39
